일자,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"2019/12/30","1603282","39248121","145578005600","3563729386800","4.08"
"2019/12/27","1595358","39248121","139274753400","3426360963300","4.06"
"2019/12/26","1623055","39248121","136012009000","3288992539800","4.14"
"2019/12/24","1632579","39248121","137136636000","3296842164000","4.16"
"2019/12/23","1608096","39248121","138778684800","3387112842300","4.10"
"2019/12/20","1587804","39248121","136709924400","3379263218100","4.05"
"2019/12/19","1604217","39248121","137320975200","3359639157600","4.09"
"2019/12/18","1605832","39248121","137780385600","3367488781800","4.09"
"2019/12/17","1633807","39248121","139527117800","3351789533400","4.16"
"2019/12/16","1640156","39248121","139577275600","3340015097100","4.18"
"2019/12/13","1669403","39248121","142567016200","3351789533400","4.25"
"2019/12/12","1760109","39248121","147673145100","3292917351900","4.48"
"2019/12/11","1816649","39248121","152053521300","3285067727700","4.63"
"2019/12/10","1845204","39248121","150199605600","3194797049400","4.70"
"2019/12/09","1851595","39248121","149423716500","3167323364700","4.72"
"2019/12/06","1869654","39248121","152002870200","3190872237300","4.76"
"2019/12/05","1878115","39248121","151376069000","3163398552600","4.79"
"2019/12/04","1871286","39248121","153071194800","3210496297800","4.77"
"2019/12/03","1857290","39248121","155455173000","3285067727700","4.73"
"2019/12/02","1893180","39248121","158080530000","3277218103500","4.82"
"2019/11/29","1905053","39248121","161357989100","3324315848700","4.85"
"2019/11/28","1920567","39248121","161903798100","3308616600300","4.89"
"2019/11/27","2021574","39248121","166577697600","3234045170400","5.15"
"2019/11/26","2045335","39248121","167717470000","3218345922000","5.21"
"2019/11/25","2088944","39248121","170040041600","3194797049400","5.32"
"2019/11/22","2081089","39248121","166487120000","3139849680000","5.30"
"2019/11/21","2099648","39248121","166502086400","3112375995300","5.35"
"2019/11/20","2097064","39248121","170701009600","3194797049400","5.34"
"2019/11/19","2115944","39248121","172872624800","3206571485700","5.39"
"2019/11/18","2116642","39248121","176104614400","3265443667200","5.39"
"2019/11/15","2104445","39248121","174668935000","3257594043000","5.36"
"2019/11/14","2144863","39248121","174806334500","3198721861500","5.46"
"2019/11/13","2191775","39248121","179725550000","3218345922000","5.58"
"2019/11/12","2227476","39248121","182653032000","3218345922000","5.68"
"2019/11/11","2245971","39248121","184618816200","3226195546200","5.72"
"2019/11/08","2259660","39248121","187325814000","3253669230900","5.76"
"2019/11/07","2291442","39248121","189960541800","3253669230900","5.84"
"2019/11/06","2271749","39248121","189691041500","3277218103500","5.79"
"2019/11/05","2415896","39248121","192546911200","3128075243700","6.16"
