일자,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"2022/07/07","34929088","489039496","866241382400","12128179500800","7.14"
"2022/07/06","35346655","489039496","843017721750","11663591979600","7.23"
"2022/07/05","35336637","489039496","874581765750","12103727526000","7.23"
"2022/07/04","35700448","489039496","844315595200","11565784080400","7.30"
"2022/07/01","35756841","489039496","858164184000","11736947904000","7.31"
"2022/06/30","35534320","489039496","874144272000","12030371601600","7.27"
"2022/06/29","35012429","489039496","884063832250","12348247274000","7.16"
"2022/06/28","34657019","489039496","901082494000","12715026896000","7.09"
"2022/06/27","34567230","489039496","881464365000","12470507148000","7.07"
"2022/06/24","34833970","489039496","839498677000","11785851853600","7.12"
"2022/06/23","34027376","489039496","816657024000","11736947904000","6.96"
"2022/06/22","33629210","489039496","854181934000","12421603198400","6.88"
"2022/06/21","33579744","489039496","876431318400","12763930845600","6.87"
"2022/06/20","33314224","489039496","841184156000","12348247274000","6.81"
"2022/06/17","32735360","489039496","880581184000","13155162442400","6.69"
"2022/06/16","32017246","489039496","891680301100","13619749963600","6.55"
"2022/06/15","31872360","489039496","881270754000","13521942064400","6.52"
"2022/06/14","31602029","489039496","900657826500","13937625636000","6.46"
"2022/06/13","31247944","489039496","884316815200","13839817736800","6.39"
"2022/06/10","30849871","489039496","908528700950","14402213157200","6.31"
"2022/06/09","30594939","489039496","901020953550","14402213157200","6.26"
"2022/06/08","30082365","489039496","916008014250","14891252653200","6.15"
"2022/06/07","29979418","489039496","923366074400","15062416476800","6.13"
"2022/06/03","30083087","489039496","940096468750","15282484250000","6.15"
"2022/06/02","30080946","489039496","927997184100","15086868451600","6.15"
"2022/05/31","29298813","489039496","950746481850","15869331645200","5.99"
"2022/05/30","27287155","489039496","871824602250","15624811897200","5.58"
"2022/05/27","26599074","489039496","897718747500","16505082990000","5.44"
"2022/05/26","27560163","489039496","898461313800","15942687569600","5.64"
"2022/05/25","28019305","489039496","905023551500","15795975720800","5.73"
"2022/05/24","28117646","489039496","906794083500","15771523746000","5.75"
"2022/05/23","28783056","489039496","910983722400","15478100048400","5.89"
"2022/05/20","29392462","489039496","886182729300","14744540804400","6.01"
"2022/05/19","29828904","489039496","872495442000","14304405258000","6.10"
"2022/05/18","29535330","489039496","871292235000","14426665132000","6.04"
"2022/05/17","29551875","489039496","867347531250","14353309207600","6.04"
"2022/05/16","29644339","489039496","895259037800","14768992779200","6.06"
"2022/05/13","29397346","489039496","914257460600","15209128325600","6.01"
"2022/05/12","29143907","489039496","897632335600","15062416476800","5.96"
"2022/05/11","29707609","489039496","882315987300","14524473031200","6.07"
"2022/05/10","30249723","489039496","866654563950","14010981560400","6.19"
"2022/05/09","30317584","489039496","891336969600","14377761182400","6.20"
"2022/05/06","30214814","489039496","889826272300","14402213157200","6.18"
"2022/05/04","30411745","489039496","888022954000","14279953283200","6.22"
"2022/05/03","30399798","489039496","878554162200","14133241434400","6.22"
"2022/05/02","30088792","489039496","871070528400","14157693409200","6.15"
"2022/04/29","30005498","489039496","852156143200","13888721686400","6.14"
"2022/04/28","29588437","489039496","843270454500","13937625636000","6.05"
"2022/04/27","29614736","489039496","795155661600","13130710467600","6.06"
"2022/04/26","29267849","489039496","794622100350","13277422316400","5.98"
"2022/04/25","28910308","489039496","773350739000","13081806518000","5.91"
"2022/04/22","28217755","489039496","773166487000","13399682190400","5.77"
"2022/04/21","27506029","489039496","767418209100","13644201938400","5.62"
"2022/04/20","27183403","489039496","744825242200","13399682190400","5.56"
"2022/04/19","26326404","489039496","725292430200","13473038114800","5.38"
"2022/04/18","26172043","489039496","690941935200","12910642694400","5.35"
"2022/04/15","26086721","489039496","696515450700","13057354543200","5.33"
"2022/04/14","25819131","489039496","697116537000","13204066392000","5.28"
"2022/04/13","25016178","489039496","669182761500","13081806518000","5.12"
"2022/04/12","24895344","489039496","662216150400","13008450593600","5.09"
"2022/04/11","24198302","489039496","642464918100","12983998618800","4.95"
"2022/04/08","23716759","489039496","615449896050","12690574921200","4.85"
"2022/04/07","23192148","489039496","598357418400","12617218996800","4.74"
"2022/04/06","21769638","489039496","601930490700","13521942064400","4.45"
"2022/04/05","21370933","489039496","609071590500","13937625636000","4.37"
"2022/04/04","21187352","489039496","604898899600","13962077610800","4.33"
"2022/04/01","21046387","489039496","608240584300","14133241434400","4.30"
"2022/03/31","20579117","489039496","599881260550","14255501308400","4.21"
"2022/03/30","19631777","489039496","575211066100","14328857232800","4.01"
"2022/03/29","19301098","489039496","562627006700","14255501308400","3.95"
"2022/03/28","19336004","489039496","573312518600","14500021056400","3.95"
"2022/03/25","19125005","489039496","577575151000","14768992779200","3.91"
"2022/03/24","18780979","489039496","585027495850","15233580300400","3.84"
"2022/03/23","18712797","489039496","583839266400","15258032275200","3.83"
"2022/03/22","18388468","489039496","572800778200","15233580300400","3.76"
"2022/03/21","17156324","489039496","559296162400","15942687569600","3.51"
"2022/03/18","16275392","489039496","552549558400","16602890889200","3.33"
"2022/03/17","14379355","489039496","468048005250","15918235594800","2.94"
"2022/03/16","14215296","489039496","454889472000","15649263872000","2.91"
"2022/03/15","14369504","489039496","456950227200","15551455972800","2.94"
"2022/03/14","13169229","489039496","454338400500","16871862612000","2.69"
"2022/03/11","13326323","489039496","439768659000","16138303368000","2.72"
"2022/03/10","13295355","489039496","437417179500","16089399418400","2.72"
"2022/03/08","13153036","489039496","446545572200","16602890889200","2.69"
"2022/03/07","13155029","489039496","444639980200","16529534964800","2.69"
"2022/03/04","12462995","489039496","441190023000","17311998158400","2.55"
"2022/03/03","17755521","489039496","550421151000","15160224376000","3.63"
"2022/03/02","18210995","489039496","529939954500","14231049333600","3.72"
"2022/02/28","18340158","489039496","529113558300","14108789459600","3.75"
"2022/02/25","18275028","489039496","546423337200","14622280930400","3.74"
"2022/02/24","18254043","489039496","557661013650","14940156602800","3.73"
"2022/02/23","18425744","489039496","566591628000","15037964502000","3.77"
"2022/02/22","18504511","489039496","569013713250","15037964502000","3.78"
"2022/02/21","18581343","489039496","559298424300","14720088829600","3.80"
"2022/02/18","18961482","489039496","561259867200","14475569081600","3.88"
"2022/02/17","19991121","489039496","555753163800","13595297988800","4.09"
"2022/02/16","20856081","489039496","526616045250","12348247274000","4.26"
"2022/02/15","20027374","489039496","505691193500","12348247274000","4.10"
"2022/02/14","20120279","489039496","503006975000","12225987400000","4.11"
"2022/02/11","20059807","489039496","488456300450","11908111727600","4.10"
"2022/02/10","20195914","489039496","497829280100","12054823576400","4.13"
"2022/02/09","20167671","489039496","493099555950","11957015677200","4.12"
"2022/02/08","20189717","489039496","492629094800","11932563702400","4.13"
"2022/02/07","20416635","489039496","473665932000","11345716307200","4.17"
"2022/02/04","20366746","489039496","472508507200","11345716307200","4.16"
"2022/02/03","20315078","489039496","466231040100","11223456433200","4.15"
"2022/01/28","20298034","489039496","444526944600","10709964962400","4.15"
"2022/01/27","19735294","489039496","432202938600","10709964962400","4.04"
"2022/01/26","19188276","489039496","436533279000","11125648534000","3.92"
"2022/01/25","19297049","489039496","427429635350","10832224836400","3.95"
"2022/01/24","18790189","489039496","447206498200","11639140004800","3.84"
"2022/01/21","18009654","489039496","443937971100","12054823576400","3.68"
"2022/01/20","17862632","489039496","435848220800","11932563702400","3.65"
"2022/01/19","17588475","489039496","428279366250","11908111727600","3.60"
"2022/01/18","17429525","489039496","430509267500","12079275551200","3.56"
"2022/01/17","17291873","489039496","433161418650","12250439374800","3.54"
"2022/01/14","17227133","489039496","434123751600","12323795299200","3.52"
"2022/01/13","16505921","489039496","433280426250","12837286770000","3.38"
"2022/01/12","16280898","489039496","429001662300","12886190719600","3.33"
"2022/01/11","16260994","489039496","418720595500","12592767022000","3.33"
"2022/01/10","16198061","489039496","424389198200","12812834795200","3.31"
"2022/01/07","15857055","489039496","418626252000","12910642694400","3.24"
"2022/01/06","15597053","489039496","410202493900","12861738744800","3.19"
"2022/01/05","15407743","489039496","422942545350","13424134165200","3.15"
"2022/01/04","15412486","489039496","420760867800","13350778240800","3.15"
"2022/01/03","15307066","489039496","417882901800","13350778240800","3.13"
"2021/12/30","15284366","489039496","411149445400","13155162442400","3.13"
"2021/12/29","15025447","489039496","414702337200","13497490089600","3.07"
"2021/12/28","15634265","489039496","398673757500","12470507148000","3.20"
"2021/12/27","15934608","489039496","422267112000","12959546644000","3.26"
"2021/12/24","15909976","489039496","439910836400","13521942064400","3.25"
"2021/12/23","15817009","489039496","445248803350","13766461812400","3.23"
"2021/12/22","15857909","489039496","441642765650","13619749963600","3.24"
"2021/12/21","15700168","489039496","445884771200","13888721686400","3.21"
"2021/12/20","15780804","489039496","441862512000","13693105888000","3.23"
"2021/12/17","15460684","489039496","445267699200","14084337484800","3.16"
"2021/12/16","15616780","489039496","438831518000","13742009837600","3.19"
"2021/12/15","15802433","489039496","427455812650","13228518366800","3.23"
"2021/12/14","15565270","489039496","442053668000","13888721686400","3.18"
"2021/12/13","15733390","489039496","444468267500","13815365762000","3.22"
"2021/12/10","16297145","489039496","445726915750","13375230215600","3.33"
"2021/12/09","16377286","489039496","452831957900","13521942064400","3.35"
"2021/12/08","16473872","489039496","451384092800","13399682190400","3.37"
"2021/12/07","16531476","489039496","460401606600","13619749963600","3.38"
"2021/12/06","16818842","489039496","456631560300","13277422316400","3.44"
"2021/12/03","17248673","489039496","462264436400","13106258492800","3.53"
"2021/12/02","17493596","489039496","461830934400","12910642694400","3.58"
"2021/12/01","17832567","489039496","443139289950","12152631475600","3.65"
"2021/11/30","18824753","489039496","444264170800","11541332105600","3.85"
