일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/07/11","24300","-800","-3.19","25200","25250","24250","1542179","37714663600","11883659752800","489039496"
"2022/07/08","25100","300","1.21","25200","25600","25000","2356848","59708386800","12274891349600","489039496"
"2022/07/07","24800","950","3.98","24300","25200","24150","2219083","54845898550","12128179500800","489039496"
"2022/07/06","23850","-900","-3.64","24750","24800","23850","1812772","43944754400","11663591979600","489039496"
"2022/07/05","24750","1100","4.65","23800","24850","23650","2132434","52073411550","12103727526000","489039496"
"2022/07/04","23650","-350","-1.46","24150","24350","23150","2052977","48640564650","11565784080400","489039496"
"2022/07/01","24000","-600","-2.44","25000","25650","23750","2733631","66846611450","11736947904000","489039496"
"2022/06/30","24600","-650","-2.57","25250","25450","24550","2497846","62134888500","12030371601600","489039496"
"2022/06/29","25250","-750","-2.88","25650","25700","24950","2124542","53533845150","12348247274000","489039496"
"2022/06/28","26000","500","1.96","25300","26500","25100","2549618","65963858150","12715026896000","489039496"
"2022/06/27","25500","1400","5.81","24150","25600","24150","3397972","85117711700","12470507148000","489039496"
"2022/06/24","24100","100","0.42","24000","24450","23400","3826604","91537295250","11785851853600","489039496"
"2022/06/23","24000","-1400","-5.51","24900","25250","23500","6962828","168399064450","11736947904000","489039496"
"2022/06/22","25400","-700","-2.68","26550","27250","25400","3735995","97543755450","12421603198400","489039496"
"2022/06/21","26100","850","3.37","25300","26400","25150","2766214","71123195200","12763930845600","489039496"
"2022/06/20","25250","-1650","-6.13","27000","27050","25100","4682501","119863167650","12348247274000","489039496"
"2022/06/17","26900","-950","-3.41","26950","27400","26700","3066997","82754850750","13155162442400","489039496"
"2022/06/16","27850","200","0.72","28250","28500","27300","1963484","54786849450","13619749963600","489039496"
"2022/06/15","27650","-850","-2.98","28700","28900","27250","2928922","81914058850","13521942064400","489039496"
"2022/06/14","28500","200","0.71","27650","28800","27400","3129413","88254416800","13937625636000","489039496"
"2022/06/13","28300","-1150","-3.90","29050","29450","28300","2309349","66093034600","13839817736800","489039496"
"2022/06/10","29450","0","0.00","28750","29700","28750","2295031","67209558250","14402213157200","489039496"
"2022/06/09","29450","-1000","-3.28","29750","29900","29150","3890341","114331308050","14402213157200","489039496"
"2022/06/08","30450","-350","-1.14","30650","30900","29850","2468400","74642583450","14891252653200","489039496"
"2022/06/07","30800","-450","-1.44","31000","31400","30350","2263801","69678526300","15062416476800","489039496"
"2022/06/03","31250","400","1.30","30950","31400","30850","1965290","61189189500","15282484250000","489039496"
"2022/06/02","30850","-1600","-4.93","32150","32200","30800","4677005","146627130600","15086868451600","489039496"
"2022/05/31","32450","500","1.56","31950","32500","31250","7351423","235747098650","15869331645200","489039496"
"2022/05/30","31950","-1800","-5.33","34000","34050","31650","7824229","254458616000","15624811897200","489039496"
"2022/05/27","33750","1150","3.53","33200","33950","32800","5245802","175261802350","16505082990000","489039496"
"2022/05/26","32600","300","0.93","32500","32900","32100","2849389","92770399550","15942687569600","489039496"
"2022/05/25","32300","50","0.16","32650","32800","31850","3479975","113007205850","15795975720800","489039496"
"2022/05/24","32250","600","1.90","32200","33150","32000","7375202","240342510350","15771523746000","489039496"
"2022/05/23","31650","1500","4.98","30700","31700","30400","5740540","179586799800","15478100048400","489039496"
"2022/05/20","30150","900","3.08","29250","30200","28950","2608633","77889848600","14744540804400","489039496"
"2022/05/19","29250","-250","-0.85","28700","29250","28200","3960034","113545806300","14304405258000","489039496"
"2022/05/18","29500","150","0.51","29550","30150","29400","2585458","76766162350","14426665132000","489039496"
"2022/05/17","29350","-850","-2.81","30000","30600","29200","3366121","100405288600","14353309207600","489039496"
"2022/05/16","30200","-900","-2.89","31150","31200","29750","4797540","145909432150","14768992779200","489039496"
