일자,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"2022/07/07","12476650","357815700","193388075000","5546143350000","3.49"
"2022/07/06","12750742","357815700","195723889700","5492470995000","3.56"
"2022/07/05","13689272","357815700","204654616400","5349344715000","3.83"
"2022/07/04","13995292","357815700","202931734000","5188327650000","3.91"
"2022/07/01","13948230","357815700","200157100500","5134655295000","3.90"
"2022/06/30","13963852","357815700","203174046600","5206218435000","3.90"
"2022/06/29","14358003","357815700","213216344550","5313563145000","4.01"
"2022/06/28","14705477","357815700","220582155000","5367235500000","4.11"
"2022/06/27","14995611","357815700","231682189950","5528252565000","4.19"
"2022/06/24","15458789","357815700","234973592800","5438798640000","4.32"
"2022/06/23","15749040","357815700","236235600000","5367235500000","4.40"
"2022/06/22","16118996","357815700","244202789400","5420907855000","4.50"
"2022/06/21","16597482","357815700","256431096900","5528252565000","4.64"
"2022/06/20","16848537","357815700","261152323500","5546143350000","4.71"
"2022/06/17","17293890","357815700","275837545500","5707160415000","4.83"
"2022/06/16","17219224","357815700","279812390000","5814505125000","4.81"
"2022/06/15","17401862","357815700","281040071300","5778723555000","4.86"
"2022/06/14","17720859","357815700","287963958750","5814505125000","4.95"
"2022/06/13","17942268","357815700","292458968400","5832395910000","5.01"
"2022/06/10","18483807","357815700","314224719000","6082866900000","5.17"
"2022/06/09","18464603","357815700","317591171600","6154430040000","5.16"
"2022/06/08","18467543","357815700","315794985300","6118648470000","5.16"
"2022/06/07","18711960","357815700","318103320000","6082866900000","5.23"
"2022/06/03","18894760","357815700","326879348000","6190211610000","5.28"
"2022/06/02","19032664","357815700","330216720400","6208102395000","5.32"
"2022/05/31","18778325","357815700","325803938750","6208102395000","5.25"
"2022/05/30","18925376","357815700","327409004800","6190211610000","5.29"
"2022/05/27","18918834","357815700","326349886500","6172320825000","5.29"
"2022/05/26","18746376","357815700","321500348400","6136539255000","5.24"
"2022/05/25","19212258","357815700","330450837600","6154430040000","5.37"
"2022/05/24","18978107","357815700","326423440400","6154430040000","5.30"
"2022/05/23","19113288","357815700","334482540000","6261774750000","5.34"
"2022/05/20","19469784","357815700","333906795600","6136539255000","5.44"
"2022/05/19","19577275","357815700","327919356250","5993412975000","5.47"
"2022/05/18","19436731","357815700","336255446300","6190211610000","5.43"
"2022/05/17","19959738","357815700","340313532900","6100757685000","5.58"
"2022/05/16","20038116","357815700","341649877800","6100757685000","5.60"
"2022/05/13","19917608","357815700","345570498800","6208102395000","5.57"
"2022/05/12","19802094","357815700","335645493300","6064976115000","5.53"
"2022/05/11","20228748","357815700","340854403800","6029194545000","5.65"
"2022/05/10","20258739","357815700","347437373850","6136539255000","5.66"
"2022/05/09","20578251","357815700","348801354450","6064976115000","5.75"
"2022/05/06","20871586","357815700","355860541300","6100757685000","5.83"
"2022/05/04","21080196","357815700","364687390800","6190211610000","5.89"
"2022/05/03","21143879","357815700","365789106700","6190211610000","5.91"
"2022/05/02","22047095","357815700","368186486500","5975522190000","6.16"
"2022/04/29","22090916","357815700","370022843000","5993412975000","6.17"
"2022/04/28","22463706","357815700","368404778400","5868177480000","6.28"
"2022/04/27","20860424","357815700","362971377600","6225993180000","5.83"
"2022/04/26","19567063","357815700","354163840300","6476464170000","5.47"
"2022/04/25","19230253","357815700","348067579300","6476464170000","5.37"
"2022/04/22","18741468","357815700","349528378200","6673262805000","5.24"
"2022/04/21","18547737","357815700","344987908200","6655372020000","5.18"
"2022/04/20","18079457","357815700","342605710150","6780607515000","5.05"
"2022/04/19","18216714","357815700","344295894600","6762716730000","5.09"
"2022/04/18","18179639","357815700","335414339550","6601699665000","5.08"
"2022/04/15","17446158","357815700","335838541500","6887952225000","4.88"
"2022/04/14","16852702","357815700","327785053900","6959515365000","4.71"
"2022/04/13","17466998","357815700","332746311900","6816389085000","4.88"
"2022/04/12","17661905","357815700","326745242500","6619590450000","4.94"
"2022/04/11","17723615","357815700","327886877500","6619590450000","4.95"
"2022/04/08","17517103","357815700","329321536400","6726935160000","4.90"
"2022/04/07","17342520","357815700","319102368000","6583808880000","4.85"
"2022/04/06","16334688","357815700","305458665600","6691153590000","4.57"
"2022/04/05","15362697","357815700","298036321800","6941624580000","4.29"
"2022/04/04","14779861","357815700","296336213050","7174204785000","4.13"
"2022/04/01","14669529","357815700","294857532900","7192095570000","4.10"
"2022/03/31","14548289","357815700","300422167850","7388894205000","4.07"
"2022/03/30","14612562","357815700","292981868100","7174204785000","4.08"
"2022/03/29","14507754","357815700","297408957000","7335221850000","4.05"
"2022/03/28","14563456","357815700","297822675200","7317331065000","4.07"
"2022/03/25","14278723","357815700","293427757650","7353112635000","3.99"
"2022/03/24","14457907","357815700","289881035350","7174204785000","4.04"
"2022/03/23","14349054","357815700","291285796200","7263658710000","4.01"
"2022/03/22","14521089","357815700","290421780000","7156314000000","4.06"
"2022/03/21","14284712","357815700","284265768800","7120532430000","3.99"
"2022/03/18","14241004","357815700","281971879200","7084750860000","3.98"
"2022/03/17","14289589","357815700","275074588250","6887952225000","3.99"
"2022/03/16","14282196","357815700","274932273000","6887952225000","3.99"
"2022/03/15","14245777","357815700","273518918400","6870061440000","3.98"
"2022/03/14","14758603","357815700","273772085650","6637481235000","4.12"
"2022/03/11","14885243","357815700","277609781950","6673262805000","4.16"
"2022/03/10","14892059","357815700","279970709200","6726935160000","4.16"
"2022/03/08","15408021","357815700","280425982200","6512245740000","4.31"
"2022/03/07","15588999","357815700","285278681700","6548027310000","4.36"
"2022/03/04","15621674","357815700","290563136400","6655372020000","4.37"
"2022/03/03","15134204","357815700","288306586200","6816389085000","4.23"
"2022/03/02","15108746","357815700","282533550200","6691153590000","4.22"
"2022/02/28","15023166","357815700","280933204200","6691153590000","4.20"
"2022/02/25","14800171","357815700","278243214800","6726935160000","4.14"
"2022/02/24","15312415","357815700","281748436000","6583808880000","4.28"
"2022/02/23","15170050","357815700","290506457500","6852170655000","4.24"
"2022/02/22","15556164","357815700","290900266800","6691153590000","4.35"
"2022/02/21","15273766","357815700","292492618900","6852170655000","4.27"
"2022/02/18","15442745","357815700","296500704000","6870061440000","4.32"
"2022/02/17","15312146","357815700","295524417800","6905843010000","4.28"
"2022/02/16","15006947","357815700","291885119150","6959515365000","4.19"
"2022/02/15","14481722","357815700","279497234600","6905843010000","4.05"
"2022/02/14","14596071","357815700","280244563200","6870061440000","4.08"
"2022/02/11","14780822","357815700","288965070100","6995296935000","4.13"
"2022/02/10","14844942","357815700","293187604500","7066860075000","4.15"
"2022/02/09","15212457","357815700","301967271450","7102641645000","4.25"
"2022/02/08","15977785","357815700","305974582750","6852170655000","4.47"
"2022/02/07","15651263","357815700","302069375900","6905843010000","4.37"
"2022/02/04","15692381","357815700","303647572350","6923733795000","4.39"
"2022/02/03","15870843","357815700","303926643450","6852170655000","4.44"
"2022/01/28","15266243","357815700","300744987100","7048969290000","4.27"
"2022/01/27","14793881","357815700","285521903300","6905843010000","4.13"
"2022/01/26","14164010","357815700","298860611000","7549911270000","3.96"
"2022/01/25","14038274","357815700","298313322500","7603583625000","3.92"
"2022/01/24","14204760","357815700","306112578000","7710928335000","3.97"
"2022/01/21","14105982","357815700","312447501300","7925617755000","3.94"
"2022/01/20","13887539","357815700","320802150900","8265542670000","3.88"
"2022/01/19","13805291","357815700","313380105700","8122416390000","3.86"
"2022/01/18","13665104","357815700","316347157600","8283433455000","3.82"
"2022/01/17","13848180","357815700","326817048000","8444450520000","3.87"
"2022/01/14","14081539","357815700","338661012950","8605467585000","3.94"
"2022/01/13","14093021","357815700","340346457150","8641249155000","3.94"
"2022/01/12","13670964","357815700","332887973400","8712812295000","3.82"
"2022/01/11","13521902","357815700","329258313700","8712812295000","3.78"
"2022/01/10","13736904","357815700","326938315200","8516013660000","3.84"
"2022/01/07","13982823","357815700","337685175450","8641249155000","3.91"
"2022/01/06","14078327","357815700","337879848000","8587576800000","3.93"
"2022/01/05","14397993","357815700","349871229900","8694921510000","4.02"
"2022/01/04","14417019","357815700","371959090200","9231645060000","4.03"
