일자,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"2022/07/07","2081414","76784046","288275839000","10634590371000","2.71"
"2022/07/06","2145998","76784046","260738757000","9329261589000","2.79"
"2022/07/05","2132420","76784046","261221450000","9406045635000","2.78"
"2022/07/04","2340567","76784046","229609622700","7532514912600","3.05"
"2022/07/01","2384892","76784046","231096034800","7440374057400","3.11"
"2022/06/30","2327404","76784046","233904102000","7716796623000","3.03"
"2022/06/29","2154091","76784046","234795919000","8369461014000","2.81"
"2022/06/28","1980361","76784046","213878988000","8292676968000","2.58"
"2022/06/27","1831445","76784046","199627505000","8369461014000","2.39"
"2022/06/24","1767782","76784046","181197655000","7870364715000","2.30"
"2022/06/23","1867263","76784046","180937784700","7440374057400","2.43"
"2022/06/22","1891015","76784046","186832282000","7586263744800","2.46"
"2022/06/21","1913397","76784046","192296398500","7716796623000","2.49"
"2022/06/20","1988669","76784046","196281630300","7578585340200","2.59"
"2022/06/17","1986104","76784046","206554816000","7985540784000","2.59"
"2022/06/16","1998241","76784046","205818823000","7908756738000","2.60"
"2022/06/15","2021450","76784046","213262975000","8100716853000","2.63"
"2022/06/14","2085175","76784046","228326662500","8407853037000","2.72"
"2022/06/13","2062133","76784046","233021029000","8676597198000","2.69"
"2022/06/10","1995117","76784046","241409157000","9290869566000","2.60"
"2022/06/09","1871840","76784046","234915920000","9636397773000","2.44"
"2022/06/08","1864870","76784046","234041185000","9636397773000","2.43"
"2022/06/07","1909162","76784046","235781507000","9482829681000","2.49"
"2022/06/03","1850015","76784046","238651935000","9905141934000","2.41"
"2022/06/02","1792860","76784046","234864660000","10058710026000","2.33"
"2022/05/31","1744095","76784046","236324872500","10404238233000","2.27"
"2022/05/30","1731025","76784046","232822862500","10327454187000","2.25"
"2022/05/27","1714009","76784046","232248219500","10404238233000","2.23"
"2022/05/26","1705852","76784046","228584168000","10289062164000","2.22"
"2022/05/25","1729403","76784046","232604703500","10327454187000","2.25"
"2022/05/24","1744631","76784046","229418976500","10097102049000","2.27"
"2022/05/23","1780806","76784046","236847198000","10212278118000","2.32"
"2022/05/20","1814342","76784046","230421434000","9751573842000","2.36"
"2022/05/19","1917345","76784046","232957417500","9329261589000","2.50"
"2022/05/18","1869649","76784046","233706125000","9598005750000","2.43"
"2022/05/17","1861609","76784046","232701125000","9598005750000","2.42"
"2022/05/16","1852467","76784046","231558375000","9598005750000","2.41"
"2022/05/13","1887452","76784046","231212870000","9406045635000","2.46"
"2022/05/12","1857358","76784046","222882960000","9214085520000","2.42"
"2022/05/11","1886996","76784046","233987504000","9521221704000","2.46"
"2022/05/10","2013908","76784046","240662006000","9175693497000","2.62"
"2022/05/09","1990257","76784046","244801611000","9444437658000","2.59"
"2022/05/06","1992519","76784046","245079837000","9444437658000","2.59"
"2022/05/04","1887604","76784046","244444718000","9943533957000","2.46"
"2022/05/03","1793639","76784046","239450806500","10250670141000","2.34"
"2022/05/02","1839713","76784046","243761972500","10173886095000","2.40"
"2022/04/29","1739846","76784046","235749133000","10404238233000","2.27"
"2022/04/28","1657149","76784046","227029413000","10519414302000","2.16"
"2022/04/27","1593372","76784046","223868766000","10788158463000","2.08"
"2022/04/26","1546758","76784046","212679225000","10557806325000","2.01"
"2022/04/25","1456524","76784046","198087264000","10442630256000","1.90"
"2022/04/22","1358432","76665556","173200080000","9774858390000","1.77"
"2022/04/21","1303698","76665556","172088136000","10119853392000","1.70"
"2022/04/20","1273849","76665556","170695766000","10273184504000","1.66"
"2022/04/19","1251959","76665556","170892403500","10464848394000","1.63"
"2022/04/18","1249976","76665556","168746760000","10349850060000","1.63"
"2022/04/15","1181370","76665556","158303580000","10273184504000","1.54"
"2022/04/14","1133757","76600000","156458466000","10570800000000","1.48"
"2022/04/13","1104264","76600000","152940564000","10609100000000","1.44"
"2022/04/12","1105722","76600000","150378192000","10417600000000","1.44"
"2022/04/11","1104435","76600000","154068682500","10685700000000","1.44"
"2022/04/08","1099418","76600000","157216774000","10953800000000","1.44"
"2022/04/07","1107647","76600000","158947344500","10992100000000","1.45"
"2022/04/06","1123724","76600000","165749290000","11298500000000","1.47"
"2022/04/05","1085188","76600000","168204140000","11873000000000","1.42"
"2022/04/04","1082989","76600000","168404789500","11911300000000","1.41"
