일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/07/11","146500","6500","4.64","145000","154500","142500","2640140","390164470500","11248862739000","76784046"
"2022/07/08","140000","1500","1.08","146000","148000","135500","2174989","307187718500","10749766440000","76784046"
"2022/07/07","138500","17000","13.99","123500","145500","123500","5275252","726260352500","10634590371000","76784046"
"2022/07/06","121500","-1000","-0.82","121000","125500","115500","2240830","271759923000","9329261589000","76784046"
"2022/07/05","122500","24400","24.87","99600","124500","99600","3966679","460719790500","9406045635000","76784046"
"2022/07/04","98100","1200","1.24","97100","101000","96700","561529","55273906900","7532514912600","76784046"
"2022/07/01","96900","-3600","-3.58","101500","102500","96300","551239","54460915100","7440374057400","76784046"
"2022/06/30","100500","-8500","-7.80","109500","110500","100500","801466","83002663500","7716796623000","76784046"
"2022/06/29","109000","1000","0.93","107500","117500","106500","1632420","182907426000","8369461014000","76784046"
"2022/06/28","108000","-1000","-0.92","113500","114500","107000","677470","75037769000","8292676968000","76784046"
"2022/06/27","109000","6500","6.34","107000","112500","104000","797459","86801163500","8369461014000","76784046"
"2022/06/24","102500","5600","5.78","96900","103500","96900","370996","37614522200","7870364715000","76784046"
"2022/06/23","96900","-1900","-1.92","98800","100500","95100","319821","31424236700","7440374057400","76784046"
"2022/06/22","98800","-1700","-1.69","101500","103000","98800","270334","27189477400","7586263744800","76784046"
"2022/06/21","100500","1800","1.82","97600","101500","97600","283067","28175314200","7716796623000","76784046"
"2022/06/20","98700","-5300","-5.10","104500","105000","97600","409266","40728749200","7578585340200","76784046"
"2022/06/17","104000","1000","0.97","99400","104500","98600","442016","44963547100","7985540784000","76784046"
"2022/06/16","103000","-2500","-2.37","107000","108500","102000","410832","43138026000","7908756738000","76784046"
"2022/06/15","105500","-4000","-3.65","108500","110500","104000","371998","39599872000","8100716853000","76784046"
"2022/06/14","109500","-3500","-3.10","108500","112000","107000","475245","51695645500","8407853037000","76784046"
