순위,종목코드,종목명,공매도 거래대금,거래대금,공매도 비중,직전40거래일 공매도 거래대금 평균,공매도 거래대금 증가배율,직전40거래일 공매도 비중 평균,공매도 비중 증가배율,주가 수익률
"1","021240","코웨이","2150898200","6714318100","32.03","1760883180","1.22","18.06","1.77","-1.80"
"2","005940","NH투자증권","2297666290","7932520600","28.96","677577295","3.39","10.22","2.83","1.88"
"3","381970","케이카","482399650","1740307700","27.72","743737683","0.65","12.74","2.18","0.00"
"4","259960","크래프톤","8936784500","32430329000","27.56","6010301138","1.49","11.56","2.38","-3.88"
"5","285130","SK케미칼","1816747500","6603207500","27.51","815634348","2.23","10.02","2.75","-1.43"
"6","005830","DB손해보험","2012752600","7999017900","25.16","929469478","2.17","9.11","2.76","-2.83"
"7","373220","LG에너지솔루션","13668165500","58477354500","23.37","25862275713","0.53","20.96","1.11","0.12"
"8","011070","LG이노텍","23946154000","102581357500","23.34","8246298488","2.90","10.75","2.17","0.44"
"9","090430","아모레퍼시픽","3910733500","16975580000","23.04","7970469438","0.49","19.18","1.20","-0.74"
"10","019170","신풍제약","6915167150","30903665350","22.38","870164796","7.95","6.53","3.43","1.68"
"11","323410","카카오뱅크","8201146900","36897854750","22.23","10523672755","0.78","15.60","1.43","-3.24"
"12","001450","현대해상","2341134200","11307544400","20.70","1460445643","1.60","14.37","1.44","-0.47"
"13","011200","HMM","14421644100","70222510250","20.54","10884665265","1.32","12.57","1.63","-4.25"
"14","094800","맵스리얼티1","41291445","205694780","20.07","11064013","3.73","5.44","3.69","0.79"
"15","002350","넥센타이어","134273450","691403250","19.42","219425970","0.61","17.03","1.14","1.24"
"16","001800","오리온홀딩스","237583100","1226938350","19.36","47976185","4.95","3.67","5.28","0.00"
"17","267250","HD현대","1523029300","7893613800","19.29","1453578160","1.05","10.40","1.85","-0.78"
"18","006650","대한유화","658926000","3478347500","18.94","524267638","1.26","10.97","1.73","-0.41"
"19","004000","롯데정밀화학","2110056100","11398977100","18.51","687837788","3.07","9.88","1.87","-3.51"
"20","069260","TKG휴켐스","419930100","2298827300","18.27","126722574","3.31","1.92","9.52","-0.81"
"21","377300","카카오페이","3855401000","21219074200","18.17","5841448768","0.66","12.51","1.45","-2.79"
"22","001040","CJ","436784900","2555207700","17.09","393157930","1.11","13.47","1.27","-0.51"
"23","361610","SK아이이테크놀로지","4561182000","27094744500","16.83","5524438463","0.83","16.81","1.00","-2.04"
"24","029780","삼성카드","497636300","3000053450","16.59","353730086","1.41","12.00","1.38","-0.83"
"25","023530","롯데쇼핑","1435514000","8692254100","16.52","1281510035","1.12","13.61","1.21","-1.44"
"26","284740","쿠쿠홈시스","135788200","825443650","16.45","94748189","1.43","13.07","1.26","-1.93"
"27","105560","KB금융","13942037550","88337971400","15.78","5523646083","2.52","7.30","2.16","-2.87"
"28","009240","한샘","1067371300","6781128000","15.74","654007540","1.63","13.80","1.14","-2.80"
"29","031430","신세계인터내셔날","426565200","2716507800","15.70","466211154","0.92","8.72","1.80","0.00"
"30","081660","휠라홀딩스","584579350","3801991050","15.38","1119181413","0.52","13.26","1.16","0.54"
"31","088260","이리츠코크렙","35485130","234195070","15.15","10725620","3.31","1.99","7.63","-1.76"
"32","138040","메리츠금융지주","1076239900","7115810100","15.12","956581805","1.12","20.68","0.73","-6.25"
"33","000070","삼양홀딩스","166943600","1123934700","14.85","100730480","1.66","10.24","1.45","-2.33"
"34","001680","대상","442333400","2981396850","14.84","216365183","2.04","8.29","1.79","-0.68"
"35","097950","CJ제일제당","2313756500","15729800500","14.71","1869778625","1.24","11.73","1.25","-1.12"
"36","093370","후성","2786446700","19579395250","14.23","2370267300","1.18","3.74","3.81","-1.21"
"37","011210","현대위아","1515456000","10761597900","14.08","839468063","1.80","8.15","1.73","1.91"
"38","000990","DB하이텍","8084406200","58156916100","13.90","2152393628","3.76","4.71","2.95","0.58"
"39","064350","현대로템","3497572150","25529307650","13.70","1873157579","1.87","5.84","2.35","3.78"
"40","008560","메리츠증권","590075865","4331171725","13.62","779233861","0.76","11.48","1.19","-2.29"
"41","003670","포스코케미칼","2289054000","17070266500","13.41","5935749163","0.39","12.90","1.04","-0.91"
"42","329180","현대중공업","1819856000","13608382500","13.37","3065293075","0.59","7.79","1.72","-0.87"
"43","417310","코람코더원리츠","36459340","274147230","13.30","5764133","6.33","1.43","9.31","0.19"
"44","012330","현대모비스","5666963500","43478513500","13.03","2459597163","2.30","5.75","2.27","0.00"
"45","000660","SK하이닉스","56064676100","434627155600","12.90","13674890200","4.10","4.45","2.90","5.00"
"46","004370","농심","679369500","5285751000","12.85","511404925","1.33","7.91","1.62","0.00"
"47","010950","S-Oil","2637138000","20759776600","12.70","4036013739","0.65","9.13","1.39","-1.88"
"48","079160","CJ CGV","499370850","3943039850","12.66","1065316883","0.47","10.43","1.21","-2.12"
"49","294870","HDC현대산업개발","353295450","2898919850","12.19","682933503","0.52","14.79","0.82","-1.38"
"50","302440","SK바이오사이언스","31542002000","266838256500","11.82","8343367230","3.78","12.19","0.97","-8.67"
