일자,수량_공매도거래량_전체,수량_공매도거래량_업틱룰적용,수량_공매도거래량_업틱룰예외,수량_거래량,수량_비중,금액_공매도거래대금_전체,금액_공매도거래대금_업틱룰적용,금액_공매도거래대금_업틱룰예외,금액_거래대금,금액_비중
2022-07-08,3459930,2871106,588824,57887951,5.98,1.14065E+11,93703223670,20361287145,1.49098E+12,7.65
2022-07-07,2672999,2301203,371796,40013502,6.68,99998438505,85952893750,14045544755,1.17209E+12,8.53
2022-07-06,4129487,2863296,1266191,49537404,8.34,1.49409E+11,1.1014E+11,39269675785,1.54278E+12,9.68
2022-07-05,3926603,3296544,630059,54678944,7.18,1.31913E+11,1.09779E+11,22134144040,1.5389E+12,8.57
2022-07-04,4318615,3479209,839406,45512212,9.49,1.50844E+11,1.24423E+11,26420290360,1.33093E+12,11.33
2022-07-01,4186805,3425521,761284,56240630,7.44,1.42617E+11,1.19254E+11,23362844175,1.56159E+12,9.13
2022-06-30,3659053,3048778,610275,49910037,7.33,1.30157E+11,1.10022E+11,20135417975,1.68577E+12,7.72
2022-06-29,3765472,2722330,1043142,45949601,8.19,1.35809E+11,1.04059E+11,31749151520,1.4444E+12,9.4
2022-06-28,3506920,3002186,504734,53115006,6.6,1.27506E+11,1.10872E+11,16634452670,1.48485E+12,8.59
2022-06-27,4061660,3060528,1001132,53632200,7.57,1.85784E+11,1.448E+11,40984646590,1.88442E+12,9.86
2022-06-24,3561386,3207954,353432,59561020,5.98,1.40545E+11,1.16291E+11,24253659370,1.88071E+12,7.47
2022-06-23,4341671,3599491,742180,76070804,5.71,1.92658E+11,1.61747E+11,30910744865,2.39937E+12,8.03
2022-06-22,4389513,3391991,997522,66372872,6.61,1.37162E+11,1.01844E+11,35318472880,2.03175E+12,6.75
2022-06-21,3902022,3442664,459358,62171276,6.28,1.43743E+11,1.2122E+11,22522898190,1.77007E+12,8.12
2022-06-20,4050640,3713748,336892,53394810,7.59,1.32413E+11,1.15878E+11,16534519490,1.5026E+12,8.81
2022-06-17,3727919,3261999,465920,50781778,7.34,1.32273E+11,1.12729E+11,19544788145,1.51094E+12,8.75
2022-06-16,2618489,2349562,268927,51702620,5.06,89901215520,74958825345,14942390175,1.57079E+12,5.72
2022-06-15,4764260,4153728,610532,57229929,8.32,1.71194E+11,1.39814E+11,31379674795,1.83149E+12,9.35
2022-06-14,4409726,3926978,482748,70335211,6.27,1.53698E+11,1.31485E+11,22213280565,2.02089E+12,7.61
2022-06-13,4777255,3885208,892047,75057417,6.36,1.39996E+11,1.08402E+11,31593718490,1.95899E+12,7.15
2022-06-10,6876330,6090837,785493,85239402,8.07,2.13788E+11,1.74333E+11,39455179335,1.91354E+12,11.17
2022-06-09,4671161,4265116,406045,87063765,5.37,1.2899E+11,1.09841E+11,19149354415,1.94172E+12,6.64
2022-06-08,3289121,2911185,377936,62522808,5.26,1.15012E+11,1.00102E+11,14910280115,1.27192E+12,9.04
2022-06-07,2854620,2474817,379803,44790133,6.37,1.106E+11,95420491020,15179056370,1.43516E+12,7.71
2022-06-03,2960722,2861146,99576,40537426,7.3,93176753965,86349220185,6827533780,1.34103E+12,6.95
2022-06-02,3148803,2581346,567457,44565350,7.07,1.08019E+11,86064293405,21954359215,1.28818E+12,8.39
2022-05-31,3081804,2726668,355136,70511859,4.37,1.20848E+11,1.06333E+11,14514817105,1.99111E+12,6.07
2022-05-30,2327506,2244048,83458,45475980,5.12,90545657380,85348757530,5196899850,1.71319E+12,5.29
2022-05-27,2823299,2526581,296718,47082849,6,98846013915,86687501395,12158512520,1.64505E+12,6.01
2022-05-26,3602655,2725952,876703,51587471,6.98,1.1736E+11,91106999520,26253014355,1.85207E+12,6.34
2022-05-25,3719984,3228523,491461,57183781,6.51,1.22764E+11,1.03038E+11,19725812070,2.13501E+12,5.75
2022-05-24,4718214,2658518,2059696,56508950,8.35,1.43813E+11,82694378375,61118249845,1.82779E+12,7.87
2022-05-23,4015068,2618457,1396611,59673808,6.73,1.57221E+11,1.08647E+11,48574559410,2.43514E+12,6.46
2022-05-20,2512511,2198691,313820,47515430,5.29,1.03805E+11,77732747095,26072273475,1.86437E+12,5.57
2022-05-19,4732276,2412641,2319635,56571468,8.37,1.79083E+11,1.04086E+11,74996695680,2.62449E+12,6.82
2022-05-18,3910691,2081125,1829566,58986119,6.63,1.37451E+11,77093279000,60357940495,2.1053E+12,6.53
2022-05-17,3725766,3431225,294541,59063885,6.31,1.12484E+11,98584843005,13898830335,1.64528E+12,6.84
2022-05-16,3667932,2689450,978482,56512553,6.49,1.1686E+11,84028071115,32831929420,1.70261E+12,6.86
