일자,수량_공매도거래량_전체,수량_공매도거래량_업틱룰적용,수량_공매도거래량_업틱룰예외,수량_거래량,수량_비중,금액_공매도거래대금_전체,금액_공매도거래대금_업틱룰적용,금액_공매도거래대금_업틱룰예외,금액_거래대금,금액_비중
"2022/07/08","6477040","5974908","502132","108520280","5.97","347554995850","315119329025","32435666825","5481366254032","6.34"
"2022/07/07","6557780","5971850","585930","126308391","5.19","369638571755","343380649745","26257922010","6187396745597","5.97"
"2022/07/06","9067879","8053253","1014626","156255459","5.80","445951047935","397927365505","48023682430","7320258968101","6.09"
"2022/07/05","6776832","6269070","507762","110061662","6.16","363507952175","335108006455","28399945720","5593805878084","6.50"
"2022/07/04","8360134","7553174","806960","128355599","6.51","392785399900","347661722080","45123677820","5456744055406","7.20"
"2022/07/01","9204821","8340607","864214","136341014","6.75","485401180160","436340038755","49061141405","6640105588159","7.31"
"2022/06/30","8444970","7528549","916421","143728581","5.88","459440282955","399923505100","59516777855","6884662893235","6.67"
"2022/06/29","7713008","6941131","771877","132702473","5.81","453428992755","396231320935","57197671820","6316507805821","7.18"
"2022/06/28","6099938","5502768","597170","117270107","5.20","310377464250","279812930180","30564534070","5176514685988","6.00"
"2022/06/27","6047065","5454566","592499","136483261","4.43","277479790445","237784526925","39695263520","5923970339186","4.68"
"2022/06/24","8019254","7522383","496871","137827106","5.82","379001855140","352541514335","26460340805","6261623465471","6.05"
"2022/06/23","13742971","12870060","872911","197731766","6.95","584369546900","540333348660","44036198240","7893205010708","7.40"
"2022/06/22","11422837","10740426","682411","161699987","7.06","501532187905","464060514430","37471673475","6595752632164","7.60"
"2022/06/21","7632078","6996283","635795","120058757","6.36","352265274455","315702423480","36562850975","5524069194316","6.38"
"2022/06/20","10871272","9914306","956966","151134778","7.19","464942785535","418250116510","46692669025","6548982164978","7.10"
"2022/06/17","12634504","11538900","1095604","197274709","6.40","769635604090","711424085230","58211518860","8831028636019","8.72"
"2022/06/16","7698514","6757403","941111","138751851","5.55","388570956835","344457998555","44112958280","6833924982258","5.69"
"2022/06/15","10760572","9668319","1092253","159365415","6.75","508540174390","460626675725","47913498665","7401732983729","6.87"
"2022/06/14","12639074","11471441","1167633","174250564","7.25","569261293470","509247209025","60014084445","7468385969235","7.62"
"2022/06/13","12188064","10840813","1347251","163805809","7.44","586149511600","521026320940","65123190660","7193816119534","8.15"
"2022/06/10","11029344","9431056","1598288","136208016","8.10","570640688685","469309963570","101330725115","6290154321015","9.07"
"2022/06/09","15303808","11280366","4023442","191391854","8.00","763686508450","515093628505","248592879945","8507879984034","8.98"
"2022/06/08","8332010","7608889","723121","123302092","6.76","419538125195","367047336700","52490788495","6030965507002","6.96"
"2022/06/07","7303895","6546999","756896","135311555","5.40","347608931670","294487897165","53121034505","6687788632348","5.20"
"2022/06/03","7218523","6832547","385976","134646639","5.36","274267040250","247159129715","27107910535","4797509616342","5.72"
"2022/06/02","10970900","10231063","739837","196091386","5.59","488348853705","449329211760","39019641945","5908010491322","8.27"
"2022/05/31","11112188","10235776","876412","266678105","4.17","615334253910","573972702450","41361551460","11290597703804","5.45"
"2022/05/30","7655726","6928457","727269","151012831","5.07","378258982945","334292950500","43966032445","5604146609901","6.75"
