일자,수량_공매도잔고수량,수량_상장주식수,수량_비중,금액_공매도잔고금액,금액_시가총액,금액_비중
"2022/07/06","96706.0","6177177.0","1.57","2896019.0","1.45826988E8","1.99"
"2022/07/05","96203.0","6177174.0","1.56","2897839.0","1.47708876E8","1.96"
"2022/07/04","97661.0","6177174.0","1.58","2817925.0","1.41304443E8","1.99"
"2022/07/01","97106.0","6177174.0","1.57","2788656.0","1.42094085E8","1.96"
"2022/06/30","96019.0","6177144.0","1.55","2823141.0","1.45206719E8","1.94"
"2022/06/29","95119.0","6176774.0","1.54","2862290.0","1.48286652E8","1.93"
"2022/06/28","93885.0","6176774.0","1.52","2863386.0","1.51336877E8","1.89"
"2022/06/27","92318.0","6176774.0","1.49","2813194.0","1.52284335E8","1.85"
"2022/06/24","93043.0","6176570.0","1.51","3036836.0","1.58426295E8","1.92"
"2022/06/23","97388.0","6176570.0","1.58","2970430.0","1.49501225E8","1.99"
"2022/06/22","99854.0","6176570.0","1.62","3090216.0","1.55356194E8","1.99"
"2022/06/21","100336.0","6176570.0","1.62","3200043.0","1.61612616E8","1.98"
"2022/06/20","102050.0","6176570.0","1.65","3184811.0","1.59728867E8","1.99"
"2022/06/17","100498.0","6176018.0","1.63","3213566.0","1.64214773E8","1.96"
"2022/06/16","101613.0","6176008.0","1.65","3191372.0","1.6503629E8","1.93"
"2022/06/15","103222.0","6176000.0","1.67","3216167.0","1.63817519E8","1.96"
"2022/06/14","102322.0","6175807.0","1.66","3298544.0","1.68573301E8","1.96"
"2022/06/13","102284.0","6175807.0","1.66","3294135.0","1.68613421E8","1.95"
"2022/06/10","102078.0","6175644.0","1.65","3435168.0","1.76405215E8","1.95"
"2022/06/09","105239.0","6233993.0","1.69","3436974.0","1.7238763E8","1.99"
"2022/06/08","106455.0","6233993.0","1.71","3414150.0","1.70792896E8","2.00"
"2022/06/07","106298.0","6232808.0","1.71","3391313.0","1.70334483E8","1.99"
"2022/06/03","105570.0","6232566.0","1.69","3464671.0","1.75076838E8","1.98"
"2022/06/02","105209.0","6232566.0","1.69","3471056.0","1.75577931E8","1.98"
"2022/05/31","104696.0","6232504.0","1.68","3486533.0","1.77233451E8","1.97"
"2022/05/30","103898.0","6232448.0","1.67","3398435.0","1.75558115E8","1.94"
"2022/05/27","104899.0","6232386.0","1.68","3359936.0","1.7284432E8","1.94"
"2022/05/26","103481.0","6232318.0","1.66","3313802.0","1.72637128E8","1.92"
"2022/05/25","102880.0","6234280.0","1.65","3318455.0","1.7370687E8","1.91"
"2022/05/24","104163.0","6234280.0","1.67","3311348.0","1.71331465E8","1.93"
"2022/05/23","103515.0","6234246.0","1.66","3399584.0","1.76218462E8","1.93"
"2022/05/20","104283.0","6234240.0","1.67","3387445.0","1.74964498E8","1.94"
"2022/05/19","109096.0","6296350.0","1.73","3384621.0","1.7048645E8","1.99"
"2022/05/18","108001.0","6296350.0","1.72","3394757.0","1.72108795E8","1.97"
"2022/05/17","108456.0","6296350.0","1.72","3383640.0","1.70384192E8","1.99"
"2022/05/16","108574.0","6296286.0","1.72","3350842.0","1.67312193E8","2.00"
"2022/05/13","108258.0","6296286.0","1.72","3351802.0","1.6751566E8","2.00"
"2022/05/12","110391.0","6296257.0","1.75","3266471.0","1.62322127E8","2.01"
"2022/05/11","109127.0","6296257.0","1.73","3376171.0","1.70319795E8","1.98"
"2022/05/10","109372.0","6292754.0","1.74","3313548.0","1.66446822E8","1.99"
"2022/05/09","109816.0","6290407.0","1.75","3338113.0","1.67364111E8","1.99"
"2022/05/06","110124.0","6290231.0","1.75","3420786.0","1.71849351E8","1.99"
"2022/05/04","109892.0","6290205.0","1.75","3482393.0","1.76113871E8","1.98"
"2022/05/03","108589.0","6271415.0","1.73","3478826.0","1.76930305E8","1.97"
"2022/05/02","106454.0","6271404.0","1.70","3369472.0","1.75381272E8","1.92"
"2022/04/29","107063.0","6271239.0","1.71","3414718.0","1.770753E8","1.93"
"2022/04/28","108280.0","6271156.0","1.73","3371263.0","1.73568112E8","1.94"
"2022/04/27","106947.0","6270977.0","1.71","3373749.0","1.74257792E8","1.94"
"2022/04/26","107536.0","6270977.0","1.71","3525539.0","1.78044044E8","1.98"
"2022/04/25","108845.0","6270958.0","1.74","3439724.0","1.748773E8","1.97"
"2022/04/22","105222.0","6252493.0","1.68","3418233.0","1.79145945E8","1.91"
"2022/04/21","106669.0","6242968.0","1.71","3414508.0","1.80802645E8","1.89"
"2022/04/20","107570.0","6241738.0","1.72","3380370.0","1.80898916E8","1.87"
"2022/04/19","106746.0","6241580.0","1.71","3360984.0","1.82396812E8","1.84"
"2022/04/18","109195.0","6241531.0","1.75","3349600.0","1.78391542E8","1.88"
"2022/04/15","109127.0","6241398.0","1.75","3367141.0","1.79857468E8","1.87"
"2022/04/14","107550.0","6239640.0","1.72","3332878.0","1.81490567E8","1.84"
"2022/04/13","106052.0","6238749.0","1.70","3275331.0","1.81581582E8","1.80"
"2022/04/12","110345.0","6238749.0","1.77","3347790.0","1.78488733E8","1.88"
