종목코드,종목명,증권구분,수량_공매도거래량_전체,수량_공매도거래량_업틱룰적용,수량_공매도거래량_업틱룰예외,수량_거래량,수량_비중,금액_공매도거래대금_전체,금액_공매도거래대금_업틱룰적용,금액_공매도거래대금_업틱룰예외,금액_거래대금,금액_비중
"060310","3S","주권","0","0","0","1087639","0.00","0","0","0","3166930910","0.00"
"054620","APS홀딩스","주권","0","0","0","27632","0.00","0","0","0","226210050","0.00"
"265520","AP시스템","주권","3978","2832","1146","64521","6.17","67795200","48280250","19514950","1098715600","6.17"
"211270","AP위성","주권","0","0","0","246201","0.00","0","0","0","2839091150","0.00"
"032790","BNGT","주권","0","0","0","0","0.00","0","0","0","0","0.00"
"013720","CBI","주권","0","0","0","624305","0.00","0","0","0","857927595","0.00"
"035760","CJ ENM","주권","1303","46","1257","104684","1.24","124338900","4329200","120009700","9995853000","1.24"
"311690","CJ 바이오사이언스","주권","0","0","0","19141","0.00","0","0","0","611545950","0.00"
"051500","CJ프레시웨이","주권","0","0","0","64508","0.00","0","0","0","2520853150","0.00"
"058820","CMG제약","주권","30602","19715","10887","311778","9.82","80184140","51652925","28531215","817492340","9.81"
"023460","CNH","주권","13","0","13","117262","0.01","23335","0","23335","211821515","0.01"
"056730","CNT85","주권","0","0","0","0","0.00","0","0","0","0","0.00"
"065770","CS","주권","0","0","0","78587","0.00","0","0","0","166101890","0.00"
"083660","CSA 코스믹","주권","0","0","0","12640","0.00","0","0","0","19165735","0.00"
"404950","DB금융스팩10호","주권","0","0","0","46440","0.00","0","0","0","97579650","0.00"
"367340","DB금융스팩8호","주권","0","0","0","4609","0.00","0","0","0","9830100","0.00"
"367360","DB금융스팩9호","주권","0","0","0","1424","0.00","0","0","0","3061710","0.00"
"068790","DMS","주권","11","0","11","34664","0.03","55550","0","55550","175356950","0.03"
"241520","DSC인베스트먼트","주권","5438","0","5438","56202","9.68","22836300","0","22836300","233825095","9.77"
"245620","EDGC","주권","1340","0","1340","1083997","0.12","4361690","0","4361690","3526196705","0.12"
"037370","EG","주권","38","0","38","37245","0.10","349540","0","349540","343769990","0.10"
"050120","ES큐브","주권","0","0","0","41090","0.00","0","0","0","158620395","0.00"
"084180","EV수성","주권","0","0","0","813390","0.00","0","0","0","1211645290","0.00"
"214270","FSN","주권","1","0","1","197677","0.00","4420","0","4420","878955525","0.00"
"130500","GH신소재","주권","0","0","0","6396559","0.00","0","0","0","32034709420","0.00"
"900290","GRT","외국주권","0","0","0","108296","0.00","0","0","0","135041335","0.00"
"083450","GST","주권","1","0","1","75853","0.00","21750","0","21750","1663692150","0.00"
"297890","HB솔루션","주권","0","0","0","27589","0.00","0","0","0","361377100","0.00"
"078150","HB테크놀러지","주권","6","0","6","251982","0.00","11190","0","11190","467922090","0.00"
"195940","HK이노엔","주권","16225","14553","1672","505198","3.21","651122200","583935850","67186350","20272370400","3.21"
"028300","HLB","주권","226798","216836","9962","2730776","8.31","8857261850","8473994600","383267250","106919795350","8.28"
"067630","HLB생명과학","주권","219498","210992","8506","2658426","8.26","2808812350","2701841150","106971200","33915007700","8.28"
"047920","HLB제약","주권","285","0","285","951441","0.03","4232950","0","4232950","14626247000","0.03"
"115450","HLB테라퓨틱스","주권","356","0","356","645892","0.06","4646850","0","4646850","8588245550","0.05"
"036640","HRS","주권","13","0","13","197648","0.01","80860","0","80860","1232823750","0.01"
"335870","IBKS제12호스팩","주권","0","0","0","0","0.00","0","0","0","0","0.00"
"351340","IBKS제13호스팩","주권","0","0","0","36305","0.00","0","0","0","73780675","0.00"
"388790","IBKS제16호스팩","주권","0","0","0","0","0.00","0","0","0","0","0.00"
"405350","IBKS제17호스팩","주권","0","0","0","12341","0.00","0","0","0","28026235","0.00"
"095340","ISC","주권","6","0","6","184916","0.00","195300","0","195300","6045487400","0.00"
"099520","ITX-AI","주권","0","0","0","0","0.00","0","0","0","0","0.00"
"950170","JTC","주식예탁증권","0","0","0","74965","0.00","0","0","0","214291545","0.00"
"067290","JW신약","주권","1137","0","1137","183530","0.62","4422930","0","4422930","709826785","0.62"
"035900","JYP Ent.","주권","16679","14734","1945","385157","4.33","893157700","789180900","103976800","20620895800","4.33"
"318000","KBG","주권","0","0","0","21807","0.00","0","0","0","131203540","0.00"
"024840","KBI메탈","주권","0","0","0","170252","0.00","0","0","0","292350535","0.00"
"024120","KB오토시스","주권","0","0","0","26756","0.00","0","0","0","150481080","0.00"
"021320","KCC건설","주권","0","0","0","17748","0.00","0","0","0","121760080","0.00"
"036670","KCI","주권","0","0","0","23423","0.00","0","0","0","190078340","0.00"
"044180","KD","주권","0","0","0","86821","0.00","0","0","0","90825200","0.00"
"151860","KG ETS","주권","2","0","2","10205390","0.00","31700","0","31700","162407250700","0.00"
"046440","KG모빌리언스","주권","21","0","21","354184","0.01","149690","0","149690","2549412980","0.01"
"035600","KG이니시스","주권","15361","13725","1636","195735","7.85","209998050","187689300","22308750","2673232100","7.86"
"226360","KH 건설","주권","0","0","0","12048035","0.00","0","0","0","11196717695","0.00"
"111870","KH 전자","주권","0","0","0","1995614","0.00","0","0","0","1507332892","0.00"
"060720","KH바텍","주권","2241","607","1634","90258","2.48","40780050","11054100","29725950","1642886300","2.48"
"122450","KMH","주권","118","0","118","30017","0.39","907240","0","907240","230946200","0.39"
"052900","KMH하이텍","주권","0","0","0","93462","0.00","0","0","0","128846600","0.00"
"058400","KNN","주권","22","0","22","265957","0.01","22220","0","22220","270721485","0.01"
"114450","KPX생명과학","주권","0","0","0","1213867","0.00","0","0","0","6559217480","0.00"
"060370","KT서브마린","주권","0","0","0","620815","0.00","0","0","0","4012567630","0.00"
"108320","LX세미콘","주권","7757","6632","1125","119099","6.51","743822000","635741600","108080400","11443336700","6.50"
"160550","NEW","주권","1","0","1","343810","0.00","7150","0","7150","2451681250","0.00"
"053290","NE능률","주권","0","0","0","111847","0.00","0","0","0","606119770","0.00"
"104200","NHN벅스","주권","0","0","0","159995","0.00","0","0","0","1460880090","0.00"
"060250","NHN한국사이버결제","주권","3358","1278","2080","281172","1.19","43618000","16585500","27032500","3656426800","1.19"
"030190","NICE평가정보","주권","3822","433","3389","93320","4.10","54678400","6227800","48450600","1336758000","4.09"
"024940","PN풍년","주권","0","0","0","154523","0.00","0","0","0","764605810","0.00"
"218410","RFHIC","주권","2927","1275","1652","69724","4.20","65369200","28453950","36915250","1554209200","4.21"
"327260","RF머트리얼즈","주권","0","0","0","20874","0.00","0","0","0","235967900","0.00"
"091340","S&K폴리텍","주권","0","0","0","7715","0.00","0","0","0","32860165","0.00"
"019550","SBI인베스트먼트","주권","24082","0","24082","1837452","1.31","37806820","0","37806820","2866811725","1.32"
"950110","SBI핀테크솔루션즈","주식예탁증권","0","0","0","3246","0.00","0","0","0","13938775","0.00"
"046140","SBS콘텐츠허브","주권","2","0","2","15705","0.01","12060","0","12060","94971740","0.01"
"151910","SBW생명과학","주권","12995","6497","6498","195130","6.66","49227665","24681100","24546565","741350295","6.64"
"036120","SCI평가정보","주권","0","0","0","943069","0.00","0","0","0","3136881385","0.00"
"099220","SDN","주권","2","0","2","4530191","0.00","5020","0","5020","11751359695","0.00"
"036540","SFA반도체","주권","48469","41137","7332","622327","7.79","250924710","212960440","37964270","3222845130","7.79"
"255220","SG","주권","0","0","0","22136","0.00","0","0","0","35289935","0.00"
"040610","SG&G","주권","0","0","0","162049","0.00","0","0","0","324414630","0.00"
"049470","SGA","주권","0","0","0","128347","0.00","0","0","0","120754322","0.00"
"184230","SGA솔루션즈","주권","0","0","0","76436","0.00","0","0","0","66020544","0.00"
"016250","SGC이테크건설","주권","0","0","0","4075","0.00","0","0","0","178042950","0.00"
"337450","SK5호스팩","주권","0","0","0","7548190","0.00","0","0","0","35752930605","0.00"
"340350","SK6호스팩","주권","0","0","0","8269091","0.00","0","0","0","19361256565","0.00"
"048550","SM C&C","주권","0","0","0","3227242","0.00","0","0","0","10996094285","0.00"
"063440","SM Life Design","주권","0","0","0","1099883","0.00","0","0","0","2397393150","0.00"
"289080","SV인베스트먼트","주권","4542","0","4542","162951","2.79","12217980","0","12217980","435584310","2.80"
"089230","THE E&M","주권","0","0","0","320092","0.00","0","0","0","144883834","0.00"
"161570","THE MIDONG","주권","0","0","0","7702","0.00","0","0","0","9406215","0.00"
"192410","THQ","주권","0","0","0","327622","0.00","0","0","0","1611471270","0.00"
"032540","TJ미디어","주권","0","0","0","21294","0.00","0","0","0","124266770","0.00"
"022220","TKG애강","주권","0","0","0","1682878","0.00","0","0","0","3188736810","0.00"
"048770","TPC","주권","0","0","0","193612","0.00","0","0","0","933817250","0.00"
"246690","TS인베스트먼트","주권","52","0","52","2951545","0.00","132600","0","132600","7639592705","0.00"
"317240","TS트릴리온","주권","0","0","0","4903296","0.00","0","0","0","4450354239","0.00"
"038340","UCI","주권","0","0","0","0","0.00","0","0","0","0","0.00"
"073570","WI","주권","0","0","0","385785","0.00","0","0","0","389457615","0.00"
"057030","YBM넷","주권","0","0","0","89984","0.00","0","0","0","362839565","0.00"
"040300","YTN","주권","4","0","4","9927","0.04","14600","0","14600","36232795","0.04"
"051390","YW","주권","0","0","0","10727","0.00","0","0","0","39194050","0.00"
"052220","iMBC","주권","0","0","0","36381","0.00","0","0","0","114810915","0.00"
"079940","가비아","주권","0","0","0","17425","0.00","0","0","0","193555900","0.00"
"078890","가온미디어","주권","28","0","28","103365","0.03","237160","0","237160","879492380","0.03"
"399720","가온칩스","주권","0","0","0","597178","0.00","0","0","0","14979850450","0.00"
"036620","감성코퍼레이션","주권","0","0","0","386342","0.00","0","0","0","626698415","0.00"
"217730","강스템바이오텍","주권","0","0","0","36368","0.00","0","0","0","103361500","0.00"
"114190","강원에너지","주권","0","0","0","437149","0.00","0","0","0","2774131630","0.00"
"094480","갤럭시아머니트리","주권","16","0","16","130262","0.01","97440","0","97440","796154110","0.01"
"039240","경남스틸","주권","0","0","0","80335","0.00","0","0","0","263205765","0.00"
"053950","경남제약","주권","0","0","0","318678","0.00","0","0","0","845361850","0.00"
"011040","경동제약","주권","1","0","1","59970","0.00","8930","0","8930","532260100","0.00"
"024910","경창산업","주권","0","0","0","19717","0.00","0","0","0","47818220","0.00"
"198440","고려시멘트","주권","0","0","0","361413","0.00","0","0","0","1249021180","0.00"
"049720","고려신용정보","주권","0","0","0","731256","0.00","0","0","0","8297120300","0.00"
"014570","고려제약","주권","0","0","0","16303","0.00","0","0","0","125465850","0.00"
"348150","고바이오랩","주권","22","0","22","14056","0.16","280500","0","280500","178974450","0.16"
"098460","고영","주권","11792","6451","5341","125385","9.40","159676400","87638350","72038050","1702316600","9.38"
"035290","골드앤에스","주권","0","0","0","620895","0.00","0","0","0","1539944580","0.00"
"038530","골드퍼시픽","주권","0","0","0","219038","0.00","0","0","0","147513972","0.00"
"900280","골든센츄리","외국주권","0","0","0","320948","0.00","0","0","0","118622747","0.00"
"215000","골프존","주권","3090","2706","384","43370","7.12","433971700","379941200","54030500","6085443200","7.13"
"121440","골프존뉴딘홀딩스","주권","13","0","13","34422","0.04","91670","0","91670","241641430","0.04"
"366030","공구우먼","주권","0","0","0","1074063","0.00","0","0","0","36016884950","0.00"
"014200","광림","주권","0","0","0","2182764","0.00","0","0","0","3278627495","0.00"
"029480","광무","주권","0","0","0","149341","0.00","0","0","0","427275880","0.00"
"026910","광진실업","주권","0","0","0","24392","0.00","0","0","0","118666850","0.00"
"355150","교보10호스팩","주권","0","0","0","750","0.00","0","0","0","1676680","0.00"
"397880","교보11호스팩","주권","0","0","0","9308","0.00","0","0","0","19931180","0.00"
"421800","교보12호스팩","주권","0","0","0","32132","0.00","0","0","0","67604310","0.00"
"331520","교보9호스팩","주권","0","0","0","0","0.00","0","0","0","0","0.00"
"053270","구영테크","주권","0","0","0","310917","0.00","0","0","0","1022955920","0.00"
"066620","국보디자인","주권","0","0","0","18736","0.00","0","0","0","318195700","0.00"
"043650","국순당","주권","0","0","0","29979","0.00","0","0","0","266155650","0.00"
"006050","국영지앤엠","주권","0","0","0","296224","0.00","0","0","0","456512870","0.00"
"060480","국일신동","주권","0","0","0","16414","0.00","0","0","0","48537180","0.00"
"078130","국일제지","주권","26729","18537","8192","413810","6.46","70131765","48693395","21438370","1086381705","6.46"
"307750","국전약품","주권","1","0","1","1397411","0.00","7380","0","7380","10483635210","0.00"
"035080","그래디언트","주권","3229","1796","1433","82045","3.94","58147650","32401300","25746350","1472412850","3.95"
"204020","그리티","주권","0","0","0","55521","0.00","0","0","0","173840935","0.00"
"186230","그린플러스","주권","0","0","0","18732","0.00","0","0","0","225927900","0.00"
"900070","글로벌에스엠","외국주권","0","0","0","624916","0.00","0","0","0","502402348","0.00"
"204620","글로벌텍스프리","주권","0","0","0","57487","0.00","0","0","0","140717695","0.00"
"019660","글로본","주권","0","0","0","90948","0.00","0","0","0","223012655","0.00"
"053260","금강철강","주권","0","0","0","127070","0.00","0","0","0","914218070","0.00"
"036190","금화피에스시","주권","2","0","2","1923","0.10","59700","0","59700","56927650","0.10"
"049080","기가레인","주권","99","0","99","240559","0.04","150975","0","150975","368103995","0.04"
"035460","기산텔레콤","주권","0","0","0","4034276","0.00","0","0","0","13966282905","0.00"
"308100","까스텔바작","주권","0","0","0","1616404","0.00","0","0","0","16876788180","0.00"
"187790","나노","주권","0","0","0","74117","0.00","0","0","0","82014440","0.00"
"286750","나노브릭","주권","0","0","0","38613","0.00","0","0","0","79482875","0.00"
"121600","나노신소재","주권","15037","14291","746","208790","7.20","1093675800","1039807300","53868500","15173456900","7.21"
"247660","나노씨엠에스","주권","0","0","0","1334129","0.00","0","0","0","49946540300","0.00"
"039860","나노엔텍","주권","0","0","0","219585","0.00","0","0","0","1181574900","0.00"
"091970","나노캠텍","주권","0","0","0","0","0.00","0","0","0","0","0.00"
"051490","나라엠앤디","주권","0","0","0","57960","0.00","0","0","0","375155610","0.00"
"137080","나래나노텍","주권","0","0","0","137299","0.00","0","0","0","1271965410","0.00"
"190510","나무가","주권","13","0","13","90207","0.01","122590","0","122590","857012340","0.01"
"242040","나무기술","주권","60","0","60","62175","0.10","107400","0","107400","111170460","0.10"
"089600","나스미디어","주권","0","0","0","7632","0.00","0","0","0","174115850","0.00"
"293580","나우IB","주권","5","0","5","16028","0.03","42700","0","42700","136699610","0.03"
"138610","나이벡","주권","0","0","0","38403","0.00","0","0","0","921136350","0.00"
"130580","나이스디앤비","주권","0","0","0","3154","0.00","0","0","0","23066700","0.00"
"036800","나이스정보통신","주권","0","0","0","9792","0.00","0","0","0","247009800","0.00"
"267320","나인테크","주권","0","0","0","1115729","0.00","0","0","0","4034827105","0.00"
"111710","남화산업","주권","0","0","0","5777","0.00","0","0","0","43223780","0.00"
"091590","남화토건","주권","0","0","0","22810","0.00","0","0","0","169912730","0.00"
"168330","내츄럴엔도텍","주권","0","0","0","14556","0.00","0","0","0","61777590","0.00"
"094860","네오리진","주권","0","0","0","278631","0.00","0","0","0","201514799","0.00"
"253590","네오셈","주권","0","0","0","133997","0.00","0","0","0","462411645","0.00"
"212560","네오오토","주권","0","0","0","8546","0.00","0","0","0","52062060","0.00"
"095660","네오위즈","주권","29","0","29","374204","0.01","751300","0","751300","9832466600","0.01"
"042420","네오위즈홀딩스","주권","4","0","4","57252","0.01","117950","0","117950","1719065150","0.01"
"950220","네오이뮨텍","주식예탁증권","0","0","0","872764","0.00","0","0","0","3888554645","0.00"
"311390","네오크레마","주권","0","0","0","476819","0.00","0","0","0","6503035100","0.00"
"085910","네오티스","주권","0","0","0","115256","0.00","0","0","0","586194890","0.00"
"092730","네오팜","주권","205","0","205","10490","1.95","4124400","0","4124400","212185900","1.94"
"290660","네오펙트","주권","0","0","0","28303","0.00","0","0","0","58908865","0.00"
"306620","네온테크","주권","0","0","0","1554667","0.00","0","0","0","6695898055","0.00"
"153460","네이블","주권","0","0","0","8066","0.00","0","0","0","58115120","0.00"
"007390","네이처셀","주권","25190","14590","10600","484082","5.20","476199750","275546750","200653000","9171288800","5.19"
"033640","네패스","주권","3834","1786","2048","96014","3.99","74730300","34800800","39929500","1873190100","3.99"
"330860","네패스아크","주권","6","0","6","44141","0.01","173100","0","173100","1267500150","0.01"
