종목코드,종목명,증권구분,수량_공매도거래량_전체,수량_공매도거래량_업틱룰적용,수량_공매도거래량_업틱룰예외,수량_거래량,수량_비중,금액_공매도거래대금_전체,금액_공매도거래대금_업틱룰적용,금액_공매도거래대금_업틱룰예외,금액_거래대금,금액_비중
"095570","AJ네트웍스","주권","1","0","1","45932","0.00","6550","0","6550","298342290","0.00"
"006840","AK홀딩스","주권","0","0","0","5267","0.00","0","0","0","85340750","0.00"
"027410","BGF","주권","4025","0","4025","95837","4.20","16812770","0","16812770","398187520","4.22"
"282330","BGF리테일","주권","1270","1256","14","35456","3.58","241253500","238642500","2611000","6729561500","3.58"
"138930","BNK금융지주","주권","112665","110592","2073","867677","12.98","747812930","734085270","13727660","5756804960","12.99"
"001460","BYC","주권","0","0","0","24","0.00","0","0","0","9664500","0.00"
"001465","BYC우","주권","0","0","0","46","0.00","0","0","0","7176500","0.00"
"001040","CJ","주권","4721","4359","362","26912","17.54","366411200","338301500","28109700","2087747700","17.55"
"079160","CJ CGV","주권","7379","0","7379","197111","3.74","161610700","0","161610700","4323849750","3.74"
"00104K","CJ4우(전환)","주권","5","0","5","7711","0.06","352000","0","352000","537378800","0.07"
"000120","CJ대한통운","주권","3288","3144","144","42152","7.80","397848000","380370000","17478000","5084075000","7.83"
"011150","CJ씨푸드","주권","0","0","0","70568","0.00","0","0","0","224560055","0.00"
"011155","CJ씨푸드1우","주권","0","0","0","318","0.00","0","0","0","9466350","0.00"
"001045","CJ우","주권","0","0","0","1420","0.00","0","0","0","68615500","0.00"
"097950","CJ제일제당","주권","721","499","222","26223","2.75","282278000","195173500","87104500","10238513500","2.76"
"097955","CJ제일제당 우","주권","0","0","0","748","0.00","0","0","0","123445000","0.00"
"000590","CS홀딩스","주권","0","0","0","5231","0.00","0","0","0","312647100","0.00"
"012030","DB","주권","4","0","4","166312","0.00","3192","0","3192","132612596","0.00"
"016610","DB금융투자","주권","0","0","0","21780","0.00","0","0","0","109601845","0.00"
"005830","DB손해보험","주권","5435","5097","338","89988","6.04","316126400","296508000","19618400","5215837900","6.06"
"000990","DB하이텍","주권","37789","37734","55","851784","4.44","1881079200","1878268700","2810500","42488415800","4.43"
"000995","DB하이텍1우","주권","0","0","0","448","0.00","0","0","0","41986900","0.00"
