종목코드,종목명,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"060310","3S","84207","46271513","250937.0","1.37889109E8","0.18"
"054620","APS홀딩스","56307","20394221","452145.0","1.63765595E8","0.28"
"265520","AP시스템","201344","15281421","3352378.0","2.5443566E8","1.32"
"211270","AP위성","0","15082304","0.0","1.73446496E8","0.00"
"032790","BNGT","45862","29534345","186888.0","1.20352456E8","0.16"
"013720","CBI","0","67660032","0.0","8.6266541E7","0.00"
"035760","CJ ENM","75450","21929154","6865950.0","1.995553014E9","0.34"
"311690","CJ 바이오사이언스","0","5878672","0.0","1.96935512E8","0.00"
"051500","CJ프레시웨이","5631","11871586","219891.0","4.63585433E8","0.05"
"058820","CMG제약","1717721","138892244","4363011.0","3.527863E8","1.24"
"023460","CNH","0","37200000","0.0","6.5658E7","0.00"
"056730","CNT85","0","35351956","0.0","1.09591064E8","0.00"
"065770","CS","0","19411130","0.0","3.9307538E7","0.00"
"083660","CSA 코스믹","0","39451193","0.0","5.7598742E7","0.00"
"404950","DB금융스팩10호","0","5840000","0.0","1.23224E7","0.00"
"367340","DB금융스팩8호","0","6050000","0.0","1.291675E7","0.00"
"367360","DB금융스팩9호","0","4840000","0.0","1.0285E7","0.00"
"068790","DMS","34371","24573061","169793.0","1.21390921E8","0.14"
"241520","DSC인베스트먼트","45394","27811403","182484.0","1.1180184E8","0.16"
"245620","EDGC","0","84075931","0.0","2.67361461E8","0.00"
"037370","EG","56854","8624972","507706.0","7.7021E7","0.66"
"050120","ES큐브","60273","13564086","227531.0","5.1204425E7","0.44"
"084180","EV수성","0","61491577","0.0","8.8240413E7","0.00"
"214270","FSN","0","27904552","0.0","1.19850051E8","0.00"
"130500","GH신소재","0","14545052","0.0","6.3634603E7","0.00"
"900290","GRT","0","67375000","0.0","8.3881875E7","0.00"
"083450","GST","16919","9317745","356145.0","1.96138532E8","0.18"
"297890","HB솔루션","0","16713053","0.0","2.17269689E8","0.00"
"078150","HB테크놀러지","485297","78990426","856549.0","1.39418102E8","0.61"
"195940","HK이노엔","728088","28904499","2.8286219E7","1.122939786E9","2.52"
"028300","HLB","5047599","106882745","1.80451664E8","3.821058134E9","4.72"
"067630","HLB생명과학","1467513","95498081","1.753678E7","1.141202068E9","1.54"
"047920","HLB제약","53091","27564264","748583.0","3.88656122E8","0.19"
"115450","HLB테라퓨틱스","194950","31335211","2622078.0","4.21458588E8","0.62"
"036640","HRS","0","16354800","0.0","9.4530744E7","0.00"
"335870","IBKS제12호스팩","0","3120000","0.0","7628400.0","0.00"
"351340","IBKS제13호스팩","0","5170000","0.0","1.041755E7","0.00"
"388790","IBKS제16호스팩","0","3410000","0.0","7587250.0","0.00"
"405350","IBKS제17호스팩","0","2720000","0.0","6147200.0","0.00"
"095340","ISC","16737","17399471","512989.0","5.33293786E8","0.10"
"099520","ITX-AI","0","29301683","0.0","3.7652663E7","0.00"
"950170","JTC","0","35005517","0.0","9.4689923E7","0.00"
"067290","JW신약","175819","46127437","667233.0","1.75053623E8","0.38"
"035900","JYP Ent.","189134","35497492","9816055.0","1.842319835E9","0.53"
"318000","KBG","0","8229825","0.0","4.608702E7","0.00"
"024840","KBI메탈","103266","32950848","169356.0","5.4039391E7","0.31"
"024120","KB오토시스","0","11500000","0.0","6.2905E7","0.00"
"021320","KCC건설","47471","21400000","317106.0","1.42952E8","0.22"
"036670","KCI","28342","11270000","222485.0","8.84695E7","0.25"
"044180","KD","0","24848641","0.0","2.6091073E7","0.00"
"151860","KG ETS","0","36000000","0.0","5.022E8","0.00"
"046440","KG모빌리언스","0","38825568","0.0","2.69837698E8","0.00"
"035600","KG이니시스","317526","27904434","4175467.0","3.66943307E8","1.14"
"226360","KH 건설","0","112309212","0.0","1.03324475E8","0.00"
"111870","KH 전자","0","134038718","0.0","9.9054613E7","0.00"
"060720","KH바텍","336847","23677442","5877980.0","4.13171363E8","1.42"
"122450","KMH","0","45335964","0.0","3.48180204E8","0.00"
"052900","KMH하이텍","76241","51628046","101782.0","6.8923441E7","0.15"
"058400","KNN","0","132429720","0.0","1.31635142E8","0.00"
"114450","KPX생명과학","0","15000000","0.0","7.47E7","0.00"
"060370","KT서브마린","116654","21900000","718589.0","1.34904E8","0.53"
"108320","LX세미콘","785762","16264300","7.2761561E7","1.50607418E9","4.83"
"160550","NEW","44917","27906106","298249.0","1.85296544E8","0.16"
"053290","NE능률","0","16526307","0.0","8.7258901E7","0.00"
"104200","NHN벅스","0","14827550","0.0","1.29147961E8","0.00"
"060250","NHN한국사이버결제","27394","40160611","354752.0","5.20079912E8","0.07"
"030190","NICE평가정보","285240","60714820","3993360.0","8.5000748E8","0.47"
"024940","PN풍년","0","10000000","0.0","4.72E7","0.00"
"218410","RFHIC","464593","26786434","1.0035209E7","5.78586974E8","1.73"
"327260","RF머트리얼즈","0","8197697","0.0","9.0994437E7","0.00"
"091340","S&K폴리텍","0","11703721","0.0","4.8511924E7","0.00"
"019550","SBI인베스트먼트","584233","162066575","896798.0","2.48772193E8","0.36"
"950110","SBI핀테크솔루션즈","0","24052540","0.0","1.00900405E8","0.00"
"046140","SBS콘텐츠허브","0","21463555","0.0","1.31356957E8","0.00"
"151910","SBW생명과학","748269","177134118","2742406.0","6.49196542E8","0.42"
"036120","SCI평가정보","0","35500000","0.0","1.21765E8","0.00"
"099220","SDN","127520","56171811","318162.0","1.40148668E8","0.23"
"036540","SFA반도체","1323575","164460303","6631111.0","8.23946118E8","0.80"
"255220","SG","0","44756689","0.0","6.9596651E7","0.00"
"040610","SG&G","122162","34087196","232108.0","6.4765672E7","0.36"
"049470","SGA","0","58862249","0.0","5.5271652E7","0.00"
"184230","SGA솔루션즈","0","54187224","0.0","4.605914E7","0.00"
"016250","SGC이테크건설","0","2599445","0.0","1.0917669E8","0.00"
"337450","SK5호스팩","0","4310000","0.0","1.286535E7","0.00"
"340350","SK6호스팩","0","5710000","0.0","1.190535E7","0.00"
"048550","SM C&C","63072","95610120","201830.0","3.05952384E8","0.07"
