순위,종목코드,종목명,공매도 거래대금,거래대금,공매도 비중,직전40거래일 공매도 거래대금 평균,공매도 거래대금 증가배율,직전40거래일 공매도 비중 평균,공매도 비중 증가배율,주가 수익률
"1","032500","케이엠더블유","824747200","2195026550","37.57","452680636","1.82","14.68","2.56","0.74"
"2","086900","메디톡스","391840300","1392648000","28.14","416048875","0.94","14.05","2.00","-0.17"
"3","183300","코미코","297397400","1183404350","25.13","201671434","1.48","8.43","2.98","-1.04"
"4","293490","카카오게임즈","5708762500","24826588600","23.00","6410214699","0.89","15.44","1.49","-1.41"
"5","029960","코엔텍","119729500","604499860","19.81","111526711","1.07","8.64","2.29","0.12"
"6","084370","유진테크","859126300","4443571850","19.33","350379133","2.45","7.63","2.53","1.54"
"7","084850","아이티엠반도체","141439750","800500750","17.67","170371420","0.83","15.92","1.11","0.47"
"8","290510","코리아센터","75182500","427903070","17.57","129274238","0.58","11.40","1.54","0.80"
"9","319660","피에스케이","1164295150","6684396000","17.42","400306320","2.91","6.70","2.60","1.84"
"10","038500","삼표시멘트","105250710","632409110","16.64","127830260","0.82","11.17","1.49","1.76"
"11","247540","에코프로비엠","7139583500","44392719300","16.08","16398159758","0.43","13.96","1.15","2.15"
"12","090460","비에이치","1277221200","8067247700","15.83","699837288","1.82","4.94","3.21","-0.20"
"13","240810","원익IPS","1701997000","11379293250","14.96","1795163945","0.95","15.87","0.94","-0.17"
"14","080160","모두투어","261647150","1760244250","14.86","225720450","1.16","10.80","1.38","-0.63"
"15","068760","셀트리온제약","5132958300","36356972500","14.12","791828628","6.48","9.91","1.42","-4.22"
"16","213420","덕산네오룩스","335742350","2436861650","13.78","367954596","0.91","8.61","1.60","-2.04"
"17","263750","펄어비스","1410431400","10243843900","13.77","2550679721","0.55","10.71","1.29","0.57"
"18","053800","안랩","4061620100","29972237100","13.55","1082948535","3.75","5.43","2.49","0.11"
"19","086450","동국제약","116045850","938904100","12.36","192315375","0.60","10.89","1.14","-0.75"
"20","006730","서부T&D","97479500","815073010","11.96","157114286","0.62","8.50","1.41","-0.95"
"21","033290","코웰패션","80978000","707763080","11.44","96906638","0.84","8.01","1.43","-0.32"
"22","278280","천보","1260739500","11330859600","11.13","2295513648","0.55","10.23","1.09","0.74"
"23","003380","하림지주","136449420","1252766690","10.89","343807947","0.40","12.83","0.85","1.83"
"24","104830","원익머트리얼즈","98295800","933323400","10.53","306625981","0.32","7.42","1.42","-0.32"
"25","243070","휴온스","26949400","258856500","10.41","72099153","0.37","10.46","0.99","0.98"
"26","082270","젬백스","73571100","725126300","10.15","177829724","0.41","9.93","1.02","0.00"
"27","058820","CMG제약","80184140","817492340","9.81","105956044","0.76","7.38","1.33","0.57"
"28","241520","DSC인베스트먼트","22836300","233825095","9.77","2243068","10.18","0.42","22.97","2.96"
"29","100090","삼강엠앤티","884621900","9116450600","9.70","533396336","1.66","4.36","2.23","1.04"
"30","030530","원익홀딩스","34378645","355488025","9.67","161030122","0.21","15.44","0.63","0.26"
"31","098460","고영","159676400","1702316600","9.38","262982761","0.61","5.97","1.57","0.37"
"32","122870","와이지엔터테인먼트","1379240800","14916440150","9.25","1029083394","1.34","8.48","1.09","1.33"
"33","095700","제넥신","252614300","2740395950","9.22","290899960","0.87","8.86","1.04","0.15"
"34","096530","씨젠","8246108550","89968582050","9.17","3884673693","2.12","16.27","0.56","3.35"
"35","095610","테스","253400200","2787795400","9.09","184361229","1.37","7.81","1.16","3.09"
"36","022100","포스코 ICT","97411470","1082071610","9.00","270196518","0.36","12.54","0.72","0.77"
"37","086520","에코프로","1014862100","11558819300","8.78","2316018088","0.44","10.36","0.85","1.42"
"38","200130","콜마비앤에이치","96213100","1107177350","8.69","200557820","0.48","9.57","0.91","-1.84"
"39","215200","메가스터디교육","191250400","2280256200","8.39","389008093","0.49","8.44","0.99","0.13"
"40","189300","인텔리안테크","395433400","4737933800","8.35","445758480","0.89","4.22","1.98","1.29"
"41","041510","에스엠","5200597900","62428477100","8.33","3548619793","1.47","10.88","0.77","4.90"
"42","086390","유니테스트","93940400","1130936550","8.31","438817630","0.21","6.46","1.29","0.28"
"43","028300","HLB","8857261850","106919795350","8.28","4383849476","2.02","7.10","1.17","12.26"
"44","067630","HLB생명과학","2808812350","33915007700","8.28","1920198884","1.46","6.20","1.34","8.79"
"45","253450","스튜디오드래곤","649510100","7893210800","8.23","1081404775","0.60","11.72","0.70","-0.14"
"46","272290","이녹스첨단소재","284132850","3482530100","8.16","501447916","0.57","5.44","1.50","-0.73"
"47","141080","레고켐바이오","1557150150","19111167300","8.15","749551404","2.08","8.02","1.02","2.90"
"48","290650","엘앤씨바이오","180603450","2221384500","8.13","782231728","0.23","8.72","0.93","-0.78"
"49","066970","엘앤에프","9737502800","120819417900","8.06","11860072230","0.82","7.08","1.14","2.83"
"50","005290","동진쎄미켐","1054396850","13162652900","8.01","2680430184","0.39","7.45","1.07","-0.30"
