순위,종목코드,종목명,공매도 거래대금,거래대금,공매도 비중,직전40거래일 공매도 거래대금 평균,공매도 거래대금 증가배율,직전40거래일 공매도 비중 평균,공매도 비중 증가배율,주가 수익률
"1","011780","금호석유","3212300500","11181050500","28.73","1226170750","2.62","9.82","2.93","0.00"
"2","081660","휠라홀딩스","1281448500","4520651750","28.35","1025160568","1.25","11.21","2.53","0.71"
"3","036570","엔씨소프트","8377886500","36844076500","22.74","5403455488","1.55","9.27","2.45","-0.66"
"4","011200","HMM","12901627800","59708386800","21.61","11385158778","1.13","11.56","1.87","1.21"
"5","034220","LG디스플레이","7793738500","36098176350","21.59","5282536679","1.48","17.93","1.20","-1.61"
"6","009830","한화솔루션","8279023100","38499973800","21.50","4594716969","1.80","10.46","2.06","1.02"
"7","259960","크래프톤","4891879500","23730559500","20.61","6797554038","0.72","10.98","1.88","-1.46"
"8","373220","LG에너지솔루션","30401386500","152494371000","19.94","24751213500","1.23","20.41","0.98","3.88"
"9","138040","메리츠금융지주","382583950","1937315950","19.75","1112833556","0.34","20.67","0.96","0.00"
"10","071050","한국금융지주","1531187600","8048563300","19.02","932646495","1.64","7.98","2.38","-0.16"
"11","000060","메리츠화재","780695250","4146476650","18.83","588890021","1.33","5.66","3.33","0.15"
"12","326030","SK바이오팜","1216787300","6568625000","18.52","2039674208","0.60","19.55","0.95","-1.62"
"13","024720","한국콜마홀딩스","14486900","80167350","18.07","7317483","1.98","1.84","9.81","0.00"
"14","078930","GS","972289300","5398481550","18.01","1008860313","0.96","7.43","2.42","0.13"
"15","001040","CJ","366411200","2087747700","17.55","398617243","0.92","13.13","1.34","1.44"
"16","004000","롯데정밀화학","2105850300","12064113100","17.45","757686515","2.78","9.83","1.78","3.61"
"17","006800","미래에셋증권","947469390","5437034500","17.43","1114547173","0.85","15.25","1.14","1.09"
"18","377300","카카오페이","4138688300","24152422700","17.14","5967487663","0.69","12.32","1.39","-3.12"
"19","064350","현대로템","4648332250","28882501450","16.09","1671786625","2.78","5.53","2.91","1.31"
"20","011790","SKC","3820263500","23834226500","16.03","3096948563","1.23","8.86","1.81","0.38"
"21","161890","한국콜마","582763850","3682242300","15.83","1007852688","0.58","19.27","0.82","0.13"
"22","381970","케이카","298899900","1952039900","15.31","679692923","0.44","10.22","1.50","-1.23"
"23","251270","넷마블","1578939600","10445557700","15.12","4301761598","0.37","24.62","0.61","-0.43"
"24","180640","한진칼","577472300","3858184800","14.97","562864185","1.03","10.02","1.49","-1.16"
"25","284740","쿠쿠홈시스","324794250","2187721750","14.85","101216689","3.21","12.57","1.18","0.71"
"26","323410","카카오뱅크","3932447800","26661223200","14.75","10662191658","0.37","14.65","1.01","-1.42"
"27","012750","에스원","405310600","2750901800","14.73","620094425","0.65","17.37","0.85","0.79"
"28","013890","지누스","171290800","1180833000","14.51","174826796","0.98","5.91","2.45","-0.20"
"29","039490","키움증권","537156200","3751480300","14.32","610546098","0.88","13.66","1.05","-2.69"
"30","035720","카카오","14745487500","103036162300","14.31","11330413970","1.30","8.46","1.69","-1.64"
"31","000810","삼성화재","3812784000","26654805500","14.30","2089463238","1.82","11.39","1.26","3.42"
"32","383220","F&F","1191001000","8465789500","14.07","1286620613","0.93","6.40","2.20","0.36"
"33","002350","넥센타이어","40450110","295504960","13.69","265984583","0.15","18.49","0.74","1.28"
"34","014820","동원시스템즈","137502900","1045493500","13.15","97889403","1.41","8.30","1.58","-1.89"
"35","138930","BNK금융지주","747812930","5756804960","12.99","378875857","1.97","5.13","2.53","1.38"
"36","010620","현대미포조선","3227912400","24956299350","12.93","1778248640","1.81","8.03","1.61","1.00"
"37","010060","OCI","9452456000","74731511500","12.65","5086126263","1.86","6.86","1.84","-0.39"
"38","051600","한전KPS","1009096500","8536252450","11.82","515268261","1.96","6.10","1.94","-1.54"
"39","204320","만도","1962636700","17224182000","11.39","1681117209","1.17","10.96","1.04","4.08"
"40","018880","한온시스템","452392850","3990786050","11.34","899527667","0.50","12.91","0.88","0.00"
"41","021240","코웨이","758238500","6704930901","11.31","1840672818","0.41","18.29","0.62","1.41"
"42","004490","세방전지","173600700","1562575400","11.11","483144575","0.36","9.88","1.12","0.20"
"43","114090","GKL","291123450","2637128200","11.04","183888719","1.58","7.11","1.55","1.45"
"44","023530","롯데쇼핑","947931600","8620453300","11.00","1324535520","0.72","13.56","0.81","0.51"
"45","042660","대우조선해양","769101900","7202846600","10.68","1627702796","0.47","15.48","0.69","0.74"
"46","103140","풍산","270947400","2542272100","10.66","241738906","1.12","7.00","1.52","1.68"
"47","285130","SK케미칼","888225000","8502400200","10.45","761744085","1.17","9.12","1.15","1.49"
"48","000210","DL","535390400","5148492100","10.40","849248970","0.63","12.16","0.85","2.59"
"49","068270","셀트리온","14122253500","137186065500","10.29","6038885513","2.34","7.27","1.42","-2.67"
"50","294870","HDC현대산업개발","355062400","3564592000","9.96","719538601","0.49","14.19","0.70","0.44"
