적출일,공매도 거래제한일_시작일,공매도 거래제한일_종료일,종목코드,종목명,시장구분,공매도 과열종목 적출 지표_과거40거래일 중 종목 거래일수,공매도 과열종목 적출 지표_공매도비중,공매도 과열종목 적출 지표_주가 수익률,공매도 과열종목 적출 지표_공매도 거래대금 증가배율,공매도 과열종목 적출 지표_직전40거래일 공매도비중 평균,지정유형
"2022/07/08","2022/07/11","2022/07/11","068760","셀트리온제약","KOSDAQ","40",,,"6.48","9.91","유형3"
"2022/07/08","2022/07/11","2022/07/11","027360","아주IB투자","KOSDAQ","40",,,"5.05","10.60","유형3"
"2022/07/07","2022/07/08","2022/07/08","092190","서울바이오시스","KOSDAQ","40",,,"6.08","9.71","유형3"
"2022/07/05","2022/07/06","2022/07/06","027360","아주IB투자","KOSDAQ","40",,,"6.23","10.68","유형3"
"2022/07/04","2022/07/05","2022/07/05","213420","덕산네오룩스","KOSDAQ","40",,,"5.36","8.48","유형3"
"2022/06/30","2022/07/01","2022/07/01","086900","메디톡스","KOSDAQ","40",,,"6.85","12.15","유형3"
"2022/06/28","2022/06/29","2022/06/29","048530","인트론바이오","KOSDAQ","40",,"-28.92","6.11",,"유형2"
"2022/06/28","2022/06/29","2022/06/29","084990","헬릭스미스","KOSDAQ","40",,"-14.84","6.56",,"유형2"
"2022/06/21","2022/06/22","2022/06/22","293490","카카오게임즈","KOSDAQ","40",,,"6.03","15.45","유형3"
"2022/06/17","2022/06/20","2022/06/20","196170","알테오젠","KOSDAQ","40",,,"5.90","11.79","유형3"
"2022/06/15","2022/06/16","2022/06/16","299900","위지윅스튜디오","KOSDAQ","40","28.61","-7.08","9.52",,"유형1"
"2022/06/14","2022/06/15","2022/06/15","222080","씨아이에스","KOSDAQ","40",,,"6.82","7.93","유형3"
"2022/06/13","2022/06/14","2022/06/14","225570","넥슨게임즈","KOSDAQ","40",,"-20.59","27.59",,"유형2"
"2022/06/13","2022/06/14","2022/06/14","025980","아난티","KOSDAQ","40",,,"5.12","6.20","유형3"
"2022/06/13","2022/06/14","2022/06/14","110790","크리스에프앤씨","KOSDAQ","40","19.75","-5.07","5.33",,"유형1"
"2022/06/10","2022/06/13","2022/06/13","215200","메가스터디교육","KOSDAQ","40",,,"8.43","6.14","유형3"
"2022/06/10","2022/06/13","2022/06/13","121800","비덴트","KOSDAQ","39","23.15","-5.02","51.23",,"유형1"
"2022/06/10","2022/06/13","2022/06/13","222080","씨아이에스","KOSDAQ","40",,,"8.93","8.03","유형3"
"2022/06/10","2022/06/13","2022/06/13","299900","위지윅스튜디오","KOSDAQ","40","51.40","-8.49","210.39",,"유형1"
"2022/06/10","2022/06/13","2022/06/13","189300","인텔리안테크","KOSDAQ","40","31.92","-7.29","54.28",,"유형1"
"2022/06/09","2022/06/10","2022/06/10","067630","HLB생명과학","KOSDAQ","40",,,"7.27","7.26","유형3"
"2022/06/09","2022/06/10","2022/06/10","038540","상상인","KOSDAQ","40",,"-10.46","7.43",,"유형2"
"2022/06/09","2022/06/10","2022/06/10","025980","아난티","KOSDAQ","40",,,"8.47","6.24","유형3"
"2022/06/08","2022/06/09","2022/06/09","015750","성우하이텍","KOSDAQ","40",,,"6.55","6.59","유형3"
"2022/05/31","2022/06/02","2022/06/02","195940","HK이노엔","KOSDAQ","40",,,"5.13","6.66","유형3"
"2022/05/27","2022/05/30","2022/05/30","195940","HK이노엔","KOSDAQ","40",,,"8.56","6.74","유형3"
"2022/05/26","2022/05/27","2022/05/27","069080","웹젠","KOSDAQ","40",,,"5.17","11.69","유형3"
"2022/05/26","2022/05/27","2022/05/27","022100","포스코 ICT","KOSDAQ","40",,,"15.18","9.57","유형3"
