적출일,공매도 거래제한일_시작일,공매도 거래제한일_종료일,종목코드,종목명,시장구분,공매도 과열종목 적출 지표_과거40거래일 중 종목 거래일수,공매도 과열종목 적출 지표_공매도비중,공매도 과열종목 적출 지표_주가 수익률,공매도 과열종목 적출 지표_공매도 거래대금 증가배율,공매도 과열종목 적출 지표_직전40거래일 공매도비중 평균,지정유형
"2022/06/22","2022/06/23","2022/06/23","013890","지누스","KOSPI","40","15.01","-8.90","8.07",,"유형1"
"2022/05/18","2022/05/19","2022/05/19","004490","세방전지","KOSPI","40","25.62","-7.70","7.85",,"유형1"
"2022/05/18","2022/05/19","2022/05/19","139480","이마트","KOSPI","40","26.44","-5.91","6.37",,"유형1"
"2022/05/17","2022/05/18","2022/05/18","004370","농심","KOSPI","40","16.64","-6.88","11.01",,"유형1"
"2022/05/17","2022/05/18","2022/05/18","042660","대우조선해양","KOSPI","40","23.26","-9.49","9.24",,"유형1"
"2022/05/17","2022/05/18","2022/05/18","192820","코스맥스","KOSPI","40",,"-12.28","7.57",,"유형2"
"2022/05/17","2022/05/18","2022/05/18","161890","한국콜마","KOSPI","40","39.46","-6.04","8.57",,"유형1"
"2022/05/13","2022/05/16","2022/05/16","251270","넷마블","KOSPI","40",,"-13.82","8.02",,"유형2"
"2022/05/12","2022/05/13","2022/05/13","051900","LG생활건강","KOSPI","40",,"-14.80","8.50",,"유형2"
"2022/05/06","2022/05/09","2022/05/09","007070","GS리테일","KOSPI","40",,"-10.05","28.43",,"유형2"
"2022/03/07","2022/03/08","2022/03/08","009150","삼성전기","KOSPI","40","24.66","-5.44","7.36",,"유형1"
"2022/03/04","2022/03/07","2022/03/07","001440","대한전선","KOSPI","33","35.58","-7.30","20.84",,"유형1"
"2022/02/22","2022/02/23","2022/02/23","000810","삼성화재","KOSPI","40","22.36","-6.40","6.77",,"유형1"
"2022/02/15","2022/02/16","2022/02/16","002380","KCC","KOSPI","40",,"-21.04","6.33",,"유형2"
"2022/02/09","2022/02/10","2022/02/10","010120","LS ELECTRIC","KOSPI","40",,"-10.21","12.34",,"유형2"
"2022/01/25","2022/01/26","2022/01/26","178920","PI첨단소재","KOSPI","31",,"-13.60","7.67",,"유형2"
"2022/01/18","2022/01/19","2022/01/19","294870","HDC현대산업개발","KOSPI","40",,"-14.13","13.82",,"유형2"
"2022/01/17","2022/01/18","2022/01/18","069620","대웅제약","KOSPI","40",,"-10.31","6.19",,"유형2"
"2022/01/14","2022/01/17","2022/01/17","294870","HDC현대산업개발","KOSPI","40","14.59","-8.25","16.31",,"유형1"
"2022/01/14","2022/01/17","2022/01/17","010060","OCI","KOSPI","40","22.81","-7.80","10.68",,"유형1"
"2022/01/12","2022/01/13","2022/01/13","294870","HDC현대산업개발","KOSPI","40",,"-19.03","38.10",,"유형2"
"2021/12/29","2021/12/30","2021/12/30","138930","BNK금융지주","KOSPI","40","14.89","-6.04","7.93",,"유형1"
"2021/12/29","2021/12/30","2021/12/30","005830","DB손해보험","KOSPI","40","18.25","-8.63","6.12",,"유형1"
"2021/12/29","2021/12/30","2021/12/30","005940","NH투자증권","KOSPI","40","10.12","-6.99","14.76",,"유형1"
"2021/12/29","2021/12/30","2021/12/30","016360","삼성증권","KOSPI","40","16.43","-8.35","12.40",,"유형1"
"2021/12/29","2021/12/30","2021/12/30","029780","삼성카드","KOSPI","40","15.22","-7.57","18.99",,"유형1"
"2021/12/29","2021/12/30","2021/12/30","000810","삼성화재","KOSPI","40","27.34","-7.43","7.26",,"유형1"
"2021/12/29","2021/12/30","2021/12/30","001450","현대해상","KOSPI","40","13.37","-6.02","9.28",,"유형1"
"2021/12/29","2021/12/30","2021/12/30","004800","효성","KOSPI","40","9.60","-6.83","8.58",,"유형1"
"2021/12/20","2021/12/21","2021/12/21","192820","코스맥스","KOSPI","40",,"-12.77","10.72",,"유형2"
"2021/12/10","2021/12/13","2021/12/13","138040","메리츠금융지주","KOSPI","40","23.47","-5.24","33.67",,"유형1"
"2021/12/02","2021/12/03","2021/12/03","011070","LG이노텍","KOSPI","40","10.95","-8.44","10.49",,"유형1"
"2021/11/30","2021/12/01","2021/12/01","020150","일진머티리얼즈","KOSPI","40","10.71","-7.88","20.53",,"유형1"
"2021/11/25","2021/11/26","2021/11/26","214320","이노션","KOSPI","40","19.52","-7.53","14.70",,"유형1"
"2021/11/01","2021/11/02","2021/11/02","008770","호텔신라","KOSPI","40","24.20","-7.78","10.42",,"유형1"
"2021/10/27","2021/10/28","2021/10/28","051900","LG생활건강","KOSPI","40","18.75","-8.26","6.01",,"유형1"
"2021/10/27","2021/10/28","2021/10/28","006650","대한유화","KOSPI","40","18.20","-7.11","7.77",,"유형1"
"2021/10/20","2021/10/21","2021/10/21","012450","한화에어로스페이스","KOSPI","40","13.92","-5.50","7.66",,"유형1"
"2021/10/12","2021/10/13","2021/10/13","018260","삼성에스디에스","KOSPI","40","21.06","-6.54","18.73",,"유형1"
"2021/10/07","2021/10/08","2021/10/08","001120","LX인터내셔널","KOSPI","40",,"-11.10","6.96",,"유형2"
"2021/10/06","2021/10/07","2021/10/07","052690","한전기술","KOSPI","40","12.43","-8.15","7.12",,"유형1"
"2021/10/05","2021/10/06","2021/10/06","068270","셀트리온","KOSPI","40",,"-12.10","7.46",,"유형2"
"2021/10/05","2021/10/06","2021/10/06","185750","종근당","KOSPI","40","11.05","-8.40","6.85",,"유형1"
"2021/09/30","2021/10/01","2021/10/01","011790","SKC","KOSPI","40",,"-15.07","9.31",,"유형2"
"2021/09/17","2021/09/23","2021/09/23","009540","한국조선해양","KOSPI","40",,"-10.97","9.84",,"유형2"
"2021/09/08","2021/09/09","2021/09/09","035720","카카오","KOSPI","40",,"-10.06","11.43",,"유형2"
"2021/08/26","2021/08/27","2021/08/27","042670","두산인프라코어","KOSPI","25",,"-18.77","6.13",,"유형2"
"2021/08/26","2021/08/27","2021/08/27","036570","엔씨소프트","KOSPI","40",,"-15.29","10.04",,"유형2"
"2021/08/17","2021/08/18","2021/08/18","013890","지누스","KOSPI","40",,"-28.70","7.80",,"유형2"
"2021/08/17","2021/08/18","2021/08/18","081660","휠라홀딩스","KOSPI","40",,"-15.64","6.74",,"유형2"
