공시의무발생일,종목코드,종목명,성명(법인명),생년월일(사업자번호 등),국적,주소,대리인성명,최초의무발생일
"2022/07/06","058820","CMG제약","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/06/27"
"2022/07/06","078150","HB테크놀러지","유비에스에이쥐","751","스위스","Bahnhofstrasse **, **** ZurichAeschenvorstadt * **** Basel Seitzerland","스탠다드차타드 은행","2021/06/29"
"2022/07/06","195940","HK이노엔","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/05/31"
"2022/07/06","028300","HLB","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/06/21"
"2022/07/06","028300","HLB","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/06/08"
"2022/07/06","028300","HLB","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2018/04/25"
"2022/07/06","060370","KT서브마린","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2020/10/16"
"2022/07/06","108320","LX세미콘","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/06/02"
"2022/07/06","108320","LX세미콘","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2021/09/16"
"2022/07/06","108320","LX세미콘","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2021/09/07"
"2022/07/06","215000","골프존","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/06/27"
"2022/07/06","078130","국일제지","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/09/30"
"2022/07/06","078130","국일제지","유비에스에이쥐","751","스위스","Bahnhofstrasse **, **** ZurichAeschenvorstadt * **** Basel Seitzerland","스탠다드차타드 은행","2021/04/30"
"2022/07/06","007390","네이처셀","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/07/06"
"2022/07/06","007390","네이처셀","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2021/08/04"
"2022/07/06","033640","네패스","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/07/01"
"2022/07/06","033640","네패스","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/06/20"
"2022/07/06","033640","네패스","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/04/08"
"2022/07/06","068240","다원시스","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/06/07"
"2022/07/06","068240","다원시스","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/06/13"
"2022/07/06","078600","대주전자재료","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2021/05/10"
"2022/07/06","005290","동진쎄미켐","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/06/03"
"2022/07/06","131970","두산테스나","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/06/16"
"2022/07/06","131970","두산테스나","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/06/09"
"2022/07/06","131970","두산테스나","제이피모간 증권회사","3587","영국","** Bank Street, Canary Wharf London, England","제이피모간증권회사","2022/06/24"
"2022/07/06","180400","디엑스앤브이엑스","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2019/11/18"
"2022/07/06","141080","레고켐바이오","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2021/09/02"
"2022/07/06","086900","메디톡스","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/09/27"
"2022/07/06","086900","메디톡스","타이거자산운용투자자문","2208868811","대한민국","서울특별시 강남구 테헤란로*길 ** (역삼동) ***호 (역삼동, 한덕빌딩)","타이거자산운용투자자문","2022/03/07"
"2022/07/06","059210","메타바이오메드","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2021/05/04"
"2022/07/06","323990","박셀바이오","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/12/17"
"2022/07/06","323990","박셀바이오","제이피모간 증권회사","3587","영국","** Bank Street, Canary Wharf London, England","제이피모간증권회사","2022/04/04"
"2022/07/06","006910","보성파워텍","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2021/10/15"
"2022/07/06","038540","상상인","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/06/02"
"2022/07/06","038540","상상인","제이피모간 증권회사","3587","영국","** Bank Street, Canary Wharf London, England","제이피모간증권회사","2022/06/09"
"2022/07/06","092190","서울바이오시스","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/05/23"
"2022/07/06","046890","서울반도체","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/02/10"
"2022/07/06","178320","서진시스템","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/12/07"
"2022/07/06","035890","서희건설","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/05/18"
"2022/07/06","268600","셀리버리","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/05/04"
"2022/07/06","268600","셀리버리","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/05/13"
"2022/07/06","268600","셀리버리","제이피모간 증권회사","3587","영국","** Bank Street, Canary Wharf London, England","제이피모간증권회사","2022/06/27"
"2022/07/06","357780","솔브레인","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/05/13"
"2022/07/06","215600","신라젠","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2019/11/18"
"2022/07/06","215600","신라젠","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2019/02/12"
"2022/07/06","215600","신라젠","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2017/11/30"
"2022/07/06","215600","신라젠","크레디트 스위스 씨큐리티즈 유럽 엘티디","6219","영국","ONE CABOT SQUARE LONDON E** *QJ","스탠다드차타드은행","2018/05/04"
"2022/07/06","215600","신라젠","씨티그룹글로벌마켓리미티드","1376","영국","Citigroup Centre, Canada Square ,Canary Wharf, London United Kingdom E** *LB","한국씨티은행","2018/05/09"
"2022/07/06","222800","심텍","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/05/30"
"2022/07/06","222080","씨아이에스","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/07/26"
"2022/07/06","222080","씨아이에스","크레디트 스위스 에이지","641","영국","* PARADEPLATZ, **** ZURICH SWITZERLAND","SC 제일은행","2022/06/29"
"2022/07/06","222080","씨아이에스","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2021/05/28"
"2022/07/06","222080","씨아이에스","제이피모간 증권회사","3587","영국","** Bank Street, Canary Wharf London, England","제이피모간증권회사","2022/07/05"
"2022/07/06","096530","씨젠","제이피모간 증권회사","3587","영국","** Bank Street, Canary Wharf London, England","제이피모간증권회사","2022/01/26"
"2022/07/06","096530","씨젠","한국투자증권(주)","1168104504","대한민국","서울 영등포구 여의도동 **-* 한국투자증권 결제업무부","한국투자증권(주)","2022/06/22"
"2022/07/06","058220","아리온","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2020/03/11"
