공시의무발생일,종목코드,종목명,성명(법인명),생년월일(사업자번호 등),국적,주소,대리인성명,최초의무발생일
"2022/07/06","000210","DL","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/06/22"
"2022/07/06","114090","GKL","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/05/13"
"2022/07/06","114090","GKL","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/02/11"
"2022/07/06","294870","HDC현대산업개발","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/04/13"
"2022/07/06","294870","HDC현대산업개발","크레디트 스위스 에이지","641","영국","* PARADEPLATZ, **** ZURICH SWITZERLAND","SC 제일은행","2022/07/04"
"2022/07/06","011200","HMM","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/12/30"
"2022/07/06","011200","HMM","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2021/06/01"
"2022/07/06","011200","HMM","제이피모간 증권회사","3587","영국","** Bank Street, Canary Wharf London, England","제이피모간증권회사","2022/03/15"
"2022/07/06","092220","KEC","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2018/07/17"
"2022/07/06","034220","LG디스플레이","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/01/24"
"2022/07/06","051900","LG생활건강","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/02/15"
"2022/07/06","011070","LG이노텍","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/01/17"
"2022/07/06","010060","OCI","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2021/12/09"
"2022/07/06","002360","SH에너지화학","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/06/24"
"2022/07/06","011790","SKC","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/03/16"
"2022/07/06","011790","SKC","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/05/17"
"2022/07/06","302440","SK바이오사이언스","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/05/09"
"2022/07/06","326030","SK바이오팜","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2021/08/17"
"2022/07/06","017040","광명전기","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/07/04"
"2022/07/06","011780","금호석유","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/08/02"
"2022/07/06","251270","넷마블","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/06/21"
"2022/07/06","042660","대우조선해양","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/01/19"
"2022/07/06","012800","대창","바클레이즈 캐피탈 증권회사","000553","영국","* Churchill Place, London E** *HP, England","신한금융투자","2022/07/06"
"2022/07/06","001440","대한전선","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/05/12"
"2022/07/06","000150","두산","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/06/17"
"2022/07/06","034020","두산에너빌리티","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/11/01"
"2022/07/06","336260","두산퓨얼셀","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/06/03"
