순위,종목코드,종목명,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"1","222080","씨아이에스","4386844","61437486","5.6590288E7","7.92543569E8","7.14"
"2","247540","에코프로비엠","1579411","22919466","1.81632265E8","2.63573859E9","6.89"
"3","215600","신라젠","6517123","102867125","7.8857188E7","1.244692213E9","6.33"
"4","048410","현대바이오","2494806","39478008","6.0374305E7","9.55367794E8","6.32"
"5","039200","오스코텍","1531395","30206525","4.2189932E7","8.32189764E8","5.07"
"6","263750","펄어비스","3137973","64235855","1.62547001E8","3.327417289E9","4.88"
"7","108320","LX세미콘","785762","16264300","7.2761561E7","1.50607418E9","4.83"
"8","268600","셀리버리","836609","17333799","2.3508713E7","4.87079752E8","4.83"
"9","028300","HLB","5047599","106882745","1.80451664E8","3.821058134E9","4.72"
"10","096530","씨젠","2111836","52225994","8.3206338E7","2.057704164E9","4.04"
"11","086520","에코프로","972436","24450875","6.8362251E7","1.718896513E9","3.98"
"12","032500","케이엠더블유","1583166","39820883","4.1399791E7","1.04131609E9","3.98"
"13","066970","엘앤에프","1379001","35929616","2.91658712E8","7.599113784E9","3.84"
"14","078130","국일제지","4367972","127617473","1.1225688E7","3.27976906E8","3.42"
"15","323990","박셀바이오","513662","15223000","1.9930086E7","5.906524E8","3.37"
"16","046890","서울반도체","1945600","58305400","2.023424E7","6.0637616E8","3.34"
"17","131970","두산테스나","473520","14759577","1.4300304E7","4.45739225E8","3.21"
"18","240810","원익IPS","1568153","49083901","4.4457138E7","1.391528593E9","3.19"
"19","112040","위메이드","1068611","33573458","6.0590244E7","1.903615069E9","3.18"
"20","041510","에스엠","728070","23788401","4.7178936E7","1.541488385E9","3.06"
"21","178320","서진시스템","1124151","37580642","1.6356397E7","5.46798341E8","2.99"
"22","068240","다원시스","1004695","34660519","2.210329E7","7.62531418E8","2.90"
"23","141080","레고켐바이오","670404","24303258","2.9698897E7","1.076634329E9","2.76"
"24","293490","카카오게임즈","2160586","78699190","1.06840978E8","3.891674946E9","2.75"
"25","084990","헬릭스미스","1014999","37689326","1.9538731E7","7.25519526E8","2.69"
"26","086900","메디톡스","176474","6556073","1.9853325E7","7.37558213E8","2.69"
"27","196170","알테오젠","1147018","42841184","7.1918029E7","2.686142237E9","2.68"
"28","088800","에이스테크","1192111","44926073","8273250.0","3.11786947E8","2.65"
"29","078600","대주전자재료","392420","15480593","2.5036396E7","9.87661833E8","2.54"
"30","034230","파라다이스","2297131","90942672","3.0781555E7","1.218631805E9","2.53"
"31","007390","네이처셀","1580720","62637156","2.8136816E7","1.114941377E9","2.52"
"32","195940","HK이노엔","728088","28904499","2.8286219E7","1.122939786E9","2.52"
"33","082270","젬백스","981551","39812863","1.261293E7","5.1159529E8","2.46"
"34","033640","네패스","519180","23059202","9760584.0","4.33512998E8","2.25"
"35","086390","유니테스트","460108","21134126","7913858.0","3.63506967E8","2.18"
"36","299900","위지윅스튜디오","927057","42762221","1.9653608E7","9.06559085E8","2.17"
"37","091700","파트론","1235586","58918214","1.0354211E7","4.93734633E8","2.10"
"38","222800","심텍","642582","31854143","2.3454243E7","1.16267622E9","2.02"
"39","038540","상상인","1088432","55328313","9382284.0","4.76930058E8","1.97"
"40","121600","나노신소재","201742","10848333","1.3920198E7","7.48534977E8","1.86"
"41","061970","엘비세미콘","781285","43784592","6289344.0","3.52465966E8","1.78"
"42","005290","동진쎄미켐","915553","51414494","2.9206141E7","1.640122359E9","1.78"
"43","108230","톱텍","668728","38023245","4747969.0","2.6996504E8","1.76"
"44","101490","에스앤에스텍","376693","21451447","7176002.0","4.08650065E8","1.76"
"45","218410","RFHIC","464593","26786434","1.0035209E7","5.78586974E8","1.73"
"46","053030","바이넥스","548528","31761048","8173067.0","4.73239615E8","1.73"
"47","048260","오스템임플란트","240407","14285717","2.40407E7","1.4285717E9","1.68"
"48","091990","셀트리온헬스케어","2636251","158154885","1.91391823E8","1.1482044651E10","1.67"
"49","036810","에프에스티","359172","21756789","5136160.0","3.11122083E8","1.65"
"50","080160","모두투어","310645","18900000","4783933.0","2.9106E8","1.64"
