일자,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"2022/07/07","3368233","65493726","100878578350","1961537093700","5.14"
"2022/07/06","3382045","65493726","98924816250","1915691485500","5.16"
"2022/07/05","3409866","65493726","100591047000","1932064917000","5.21"
"2022/07/04","3408614","65493726","97997652500","1882944622500","5.20"
"2022/07/01","3417757","65493726","99627616550","1909142112900","5.22"
"2022/06/30","3425482","65493726","102935734100","1968086466300","5.23"
"2022/06/29","3425964","65493726","107403971400","2053228310100","5.23"
"2022/06/28","3461503","65493726","103152789400","1951713034800","5.29"
"2022/06/27","3475256","65493726","102520052000","1932064917000","5.31"
"2022/06/24","3653735","65493726","103948760750","1863296504700","5.58"
"2022/06/23","3816829","65493726","107252894900","1840373700600","5.83"
"2022/06/22","3832662","65493726","113446795200","1938614289600","5.85"
"2022/06/21","3856434","65493726","119356632300","2027030819700","5.89"
"2022/06/20","3845570","65493726","119020391500","2027030819700","5.87"
"2022/06/17","3839941","65493726","122878112000","2095799232000","5.86"
"2022/06/16","3864883","65493726","124835720900","2115447349800","5.90"
"2022/06/15","4049567","65493726","127156403800","2056502996400","6.18"
"2022/06/14","3808178","65493726","131953367700","2269357605900","5.81"
"2022/06/13","3786072","65493726","134026948800","2318477900400","5.78"
"2022/06/10","3761749","65493726","142194112200","2475662842800","5.74"
"2022/06/09","3759420","65493726","143985786000","2508409705800","5.74"
"2022/06/08","3785968","65493726","144245380800","2495310960600","5.78"
"2022/06/07","3765711","65493726","147051014550","2557530000300","5.75"
"2022/06/03","3731001","65493726","147561089550","2590276863300","5.70"
"2022/06/02","3906654","65493726","148257519300","2485486901700","5.96"
"2022/05/31","3894037","65493726","151867443000","2554255314000","5.95"
"2022/05/30","3910730","65493726","149780959000","2508409705800","5.97"
"2022/05/27","4021568","65493726","150607721600","2452740038700","6.14"
"2022/05/26","4068114","65493726","148689566700","2393795685300","6.21"
"2022/05/25","3986951","65493726","145523711500","2390520999000","6.09"
"2022/05/24","3923687","65493726","143214575500","2390520999000","5.99"
"2022/05/23","3844723","65493726","144946057100","2469113470200","5.87"
"2022/05/20","3774718","65493726","141363189100","2452740038700","5.76"
"2022/05/19","3940243","65493726","139878626500","2325027273000","6.02"
"2022/05/18","3719824","65493726","137447496800","2419993175700","5.68"
"2022/05/17","3789736","65493726","139272798000","2406894430500","5.79"
"2022/05/16","3798448","65493726","138833274400","2393795685300","5.80"
"2022/05/13","3799641","65493726","141916591350","2446190666100","5.80"
"2022/05/12","3730999","65493726","138046963000","2423267862000","5.70"
"2022/05/11","3572829","65493726","140948104050","2583727490700","5.46"
"2022/05/10","3879383","65493726","142955263550","2413443803100","5.92"
"2022/05/09","3807770","65493726","145266425500","2498585646900","5.81"
"2022/05/06","3801794","65493726","148840235100","2564079372900","5.80"
"2022/05/04","4114525","65493726","143185470000","2279181664800","6.28"
"2022/05/03","4158023","65493726","143659694650","2262808233300","6.35"
"2022/05/02","4179933","65493726","143371701900","2246434801800","6.38"
"2022/04/29","4102546","65493726","142973728100","2282456351100","6.26"
"2022/04/28","4115812","65493726","142201304600","2262808233300","6.28"
"2022/04/27","3714799","65493726","135590163500","2390520999000","5.67"
"2022/04/26","3734394","65493726","131077229400","2298829782600","5.70"
"2022/04/25","3806265","65493726","134361154500","2311928527800","5.81"
"2022/04/22","3760413","65493726","137255074500","2390520999000","5.74"
"2022/04/21","3215418","65493726","121060487700","2465838783900","4.91"
"2022/04/20","3252722","65493726","119212261300","2400345057900","4.97"
"2022/04/19","3242639","65493726","119004851300","2403619744200","4.95"
"2022/04/18","3307627","65493726","123705249800","2449465352400","5.05"
"2022/04/15","3292383","65493726","125933649750","2505135019500","5.03"
"2022/04/14","3336474","65493726","128787896400","2528057823600","5.09"
"2022/04/13","3374072","65493726","131082697200","2544431255100","5.15"
"2022/04/12","3451233","65493726","132354785550","2511684392100","5.27"
"2022/04/11","3476631","65493726","135414777450","2550980627700","5.31"
"2022/04/08","3540554","65493726","137373495200","2541156568800","5.41"
"2022/04/07","3528013","65493726","135475699200","2514959078400","5.39"
"2022/04/06","3423821","65493726","137637604200","2632847785200","5.23"
"2022/04/05","3306817","65493726","136736882950","2708165570100","5.05"
"2022/04/04","3464469","65493726","139618100700","2639397157800","5.29"
"2022/04/01","3490291","65493726","140309698200","2632847785200","5.33"
"2022/03/31","3465514","65493726","141739522600","2678693393400","5.29"
"2022/03/30","3479938","65493726","141807473500","2668869334500","5.31"
"2022/03/29","3417648","65493726","139440038400","2672144020800","5.22"
"2022/03/28","3308385","65493726","138786750750","2747461805700","5.05"
"2022/03/25","3398408","65493726","137465603600","2649221216700","5.19"
"2022/03/24","3387260","65493726","137861482000","2665594648200","5.17"
"2022/03/23","3445226","65493726","139876175600","2659045275600","5.26"
"2022/03/22","3456525","65493726","141371872500","2678693393400","5.28"
"2022/03/21","3525110","65493726","141533166500","2629573098900","5.38"
"2022/03/18","3474894","65493726","141428185800","2665594648200","5.31"
"2022/03/17","3565749","65493726","142629960000","2619749040000","5.44"
"2022/03/16","3535924","65493726","141436960000","2619749040000","5.40"
"2022/03/15","3445275","65493726","137811000000","2619749040000","5.26"
"2022/03/14","3433562","65493726","136312411400","2600100922200","5.24"
"2022/03/11","3414987","65493726","139160720250","2668869334500","5.21"
"2022/03/10","3437366","65493726","137494640000","2619749040000","5.25"
"2022/03/08","3406678","65493726","135756118300","2609924981100","5.20"
"2022/03/07","3339584","65493726","132581484800","2600100922200","5.10"
"2022/03/04","3328462","65493726","130142864200","2560804686600","5.08"
"2022/03/03","3289750","65493726","132741412500","2642671844100","5.02"
"2022/03/02","3196052","65493726","130079316400","2665594648200","4.88"
"2022/02/28","3045360","65493726","118159968000","2541156568800","4.65"
"2022/02/25","3003107","65493726","109613405500","2390520999000","4.59"
"2022/02/24","3069020","65493726","107722602000","2298829782600","4.69"
"2022/02/23","3010985","65493726","111406445000","2423267862000","4.60"
"2022/02/22","3027756","65493726","108393664800","2344675390800","4.62"
"2022/02/21","3027209","65493726","110795849400","2397070371600","4.62"
"2022/02/18","3001127","65493726","109691191850","2393795685300","4.58"
"2022/02/17","3006375","65493726","108079181250","2354499449700","4.59"
"2022/02/16","2999887","65493726","107395954600","2344675390800","4.58"
"2022/02/15","3040324","65493726","102914967400","2216962625100","4.64"
"2022/02/14","3070576","65493726","106395458400","2269357605900","4.69"
"2022/02/11","3078701","65493726","109909625700","2338126018200","4.70"
"2022/02/10","3056262","65493726","111247936800","2383971626400","4.67"
"2022/02/09","2996374","65493726","112963299800","2469113470200","4.58"
"2022/02/08","3076852","65493726","110920514600","2361048822300","4.70"
"2022/02/07","3070032","65493726","112977177600","2410169116800","4.69"
"2022/02/04","3110360","65493726","114772284000","2416718489400","4.75"
"2022/02/03","3054504","65493726","112558472400","2413443803100","4.66"
"2022/01/28","3148246","65493726","108299662400","2252984174400","4.81"
"2022/01/27","3504561","65493726","118103705700","2207138566200","5.35"
"2022/01/26","3722709","65493726","142579754700","2508409705800","5.68"
"2022/01/25","3755302","65493726","143452536400","2501860333200","5.73"
"2022/01/24","3839148","65493726","152030260800","2593551549600","5.86"
"2022/01/21","3830256","65493726","157423521600","2691792138600","5.85"
"2022/01/20","3791969","65493726","154522736750","2668869334500","5.79"
"2022/01/19","3759391","65493726","153007213700","2665594648200","5.74"
"2022/01/18","3732104","65493726","151336817200","2655770589300","5.70"
"2022/01/17","3704246","65493726","153355784400","2711440256400","5.66"
"2022/01/14","3669625","65493726","150821587500","2691792138600","5.60"
"2022/01/13","3619915","65493726","152941408750","2767109923500","5.53"
"2022/01/12","3548314","65493726","149206603700","2754011178300","5.42"
"2022/01/11","3553651","65493726","148542611800","2737637746800","5.43"
"2022/01/10","3554850","65493726","152325322500","2806406159100","5.43"
"2022/01/07","3469536","65493726","155088259200","2927569552200","5.30"
"2022/01/06","3383919","65493726","149061631950","2884998630300","5.17"
"2022/01/05","3199258","65493726","152284680800","3117501357600","4.88"
"2022/01/04","3095554","65493726","147503148100","3120776043900","4.73"
"2022/01/03","3039402","65493726","145891296000","3143698848000","4.64"
"2021/12/30","3018743","65493726","144899664000","3143698848000","4.61"
"2021/12/29","2977563","65493726","142178633250","3127325416500","4.55"
"2021/12/28","3013005","65493726","144021639000","3130600102800","4.60"
"2021/12/27","2771743","65493726","138864324300","3281235672600","4.23"
"2021/12/24","2845805","65493726","145136055000","3340180026000","4.35"
"2021/12/23","2993868","65493726","154184202000","3372926889000","4.57"
"2021/12/22","2942605","65493726","153015460000","3405673752000","4.49"
"2021/12/21","2985951","65493726","155269452000","3405673752000","4.56"
"2021/12/20","3010781","65493726","156560612000","3405673752000","4.60"
"2021/12/17","3052975","65493726","160281187500","3438420615000","4.66"
"2021/12/16","3102863","65493726","156074008900","3294334417800","4.74"
