일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/07/11","30300","300","1.00","30050","30550","29500","199958","5985779500","1984459897800","65493726"
"2022/07/08","30000","50","0.17","30150","30800","30000","210007","6375578350","1964811780000","65493726"
"2022/07/07","29950","700","2.39","29900","30200","29450","199297","5963007550","1961537093700","65493726"
"2022/07/06","29250","-250","-0.85","29850","30500","29250","328715","9824459000","1915691485500","65493726"
"2022/07/05","29500","750","2.61","28900","29650","28650","163282","4780002200","1932064917000","65493726"
"2022/07/04","28750","-400","-1.37","29250","29650","28250","223075","6424527500","1882944622500","65493726"
"2022/07/01","29150","-900","-3.00","30150","30450","28850","300235","8837271050","1909142112900","65493726"
"2022/06/30","30050","-1300","-4.15","31200","31500","30000","304368","9268562800","1968086466300","65493726"
"2022/06/29","31350","1550","5.20","29500","31900","29250","629819","19599136800","2053228310100","65493726"
"2022/06/28","29800","300","1.02","29550","29850","28900","303931","8941709250","1951713034800","65493726"
"2022/06/27","29500","1050","3.69","28800","29700","28100","458083","13362352250","1932064917000","65493726"
"2022/06/24","28450","350","1.25","28050","28700","27350","575444","16247944150","1863296504700","65493726"
"2022/06/23","28100","-1500","-5.07","29600","30200","28000","618562","17793295000","1840373700600","65493726"
"2022/06/22","29600","-1350","-4.36","31200","31550","29600","385480","11665574250","1938614289600","65493726"
"2022/06/21","30950","0","0.00","30900","31450","30500","230214","7135470800","2027030819700","65493726"
"2022/06/20","30950","-1050","-3.28","32150","32550","30550","323445","10105321050","2027030819700","65493726"
"2022/06/17","32000","-300","-0.93","30700","32250","30150","385265","12159998338","2095799232000","65493726"
"2022/06/16","32300","900","2.87","31950","33250","31950","598304","19523158250","2115447349800","65493726"
"2022/06/15","31400","-3250","-9.38","34100","34400","31050","1441125","46129163100","2056502996400","65493726"
"2022/06/14","34650","-750","-2.12","34350","35150","33950","536019","18442814600","2269357605900","65493726"
"2022/06/13","35400","-2400","-6.35","36650","37200","35400","447400","16216756850","2318477900400","65493726"
"2022/06/10","37800","-500","-1.31","37600","38100","37000","328028","12340242500","2475662842800","65493726"
"2022/06/09","38300","200","0.52","38000","38600","37600","300796","11458107800","2508409705800","65493726"
"2022/06/08","38100","-950","-2.43","39300","39500","38100","340205","13100331700","2495310960600","65493726"
"2022/06/07","39050","-500","-1.26","39600","40100","38700","522125","20603267100","2557530000300","65493726"
"2022/06/03","39550","1600","4.22","38600","39700","38300","1031018","40486301550","2590276863300","65493726"
"2022/06/02","37950","-1050","-2.69","38650","38850","37800","310602","11867885300","2485486901700","65493726"
"2022/05/31","39000","700","1.83","38450","39100","38050","593037","22932966250","2554255314000","65493726"
"2022/05/30","38300","850","2.27","38450","38600","37700","529960","20261966900","2508409705800","65493726"
"2022/05/27","37450","900","2.46","37100","38050","36850","477282","17879067350","2452740038700","65493726"
"2022/05/26","36550","50","0.14","36800","37400","36350","404195","14899121650","2393795685300","65493726"
"2022/05/25","36500","0","0.00","37100","37300","36450","297588","10948851150","2390520999000","65493726"
"2022/05/24","36500","-1200","-3.18","37900","38450","36500","507015","18976689500","2390520999000","65493726"
"2022/05/23","37700","250","0.67","37600","38900","36900","548784","20664953650","2469113470200","65493726"
"2022/05/20","37450","1950","5.49","35700","37700","35550","685811","25415862000","2452740038700","65493726"
"2022/05/19","35500","-1450","-3.92","36150","36400","35400","575720","20585766150","2325027273000","65493726"
"2022/05/18","36950","200","0.54","37150","37450","36500","393519","14512680050","2419993175700","65493726"
"2022/05/17","36750","200","0.55","36550","37150","36550","256263","9444492900","2406894430500","65493726"
"2022/05/16","36550","-800","-2.14","37300","37450","36550","381287","14042522500","2393795685300","65493726"
"2022/05/13","37350","350","0.95","37450","37750","36700","465566","17303042400","2446190666100","65493726"
"2022/05/12","37000","-2450","-6.21","38800","38800","36900","822751","30909122500","2423267862000","65493726"
"2022/05/11","39450","2600","7.06","36550","39900","36550","1540570","59860008700","2583727490700","65493726"
"2022/05/10","36850","-1300","-3.41","37500","38700","36500","1193010","44650321050","2413443803100","65493726"
"2022/05/09","38150","-1000","-2.55","39050","39700","37800","1347137","52303981000","2498585646900","65493726"
"2022/05/06","39150","4350","12.50","36700","40500","35750","6068173","233845039350","2564079372900","65493726"
"2022/05/04","34800","250","0.72","34600","34850","34350","250643","8703693100","2279181664800","65493726"
"2022/05/03","34550","250","0.73","34300","34800","34300","205880","7126638950","2262808233300","65493726"
"2022/05/02","34300","-550","-1.58","34250","34400","34050","277646","9484164450","2246434801800","65493726"
"2022/04/29","34850","300","0.87","34700","34900","34550","412534","14298048200","2282456351100","65493726"
"2022/04/28","34550","-1950","-5.34","36150","36150","34200","977058","33790870550","2262808233300","65493726"
"2022/04/27","36500","1400","3.99","34100","39800","34050","2498809","93164887250","2390520999000","65493726"
"2022/04/26","35100","-200","-0.57","35200","35550","34550","356264","12524750300","2298829782600","65493726"
"2022/04/25","35300","-1200","-3.29","36100","36100","34900","439900","15525016700","2311928527800","65493726"
"2022/04/22","36500","-1150","-3.05","36950","37000","36250","947583","34575993600","2390520999000","65493726"
"2022/04/21","37650","1000","2.73","37100","37800","36650","369547","13799405150","2465838783900","65493726"
"2022/04/20","36650","-50","-0.14","37000","37050","36150","326261","11930312100","2400345057900","65493726"
"2022/04/19","36700","-700","-1.87","37400","37450","36350","512138","18823954300","2403619744200","65493726"
"2022/04/18","37400","-850","-2.22","38050","38050","37250","287887","10782811500","2449465352400","65493726"
