일자,종가,대비,등락률,시가,고가,저가
"2022/07/08","1277.52","15.20","1.20","1274.95","1288.98","1270.04"
"2022/07/07","1262.32","33.21","2.70","1244.89","1267.23","1242.21"
"2022/07/06","1229.11","24.20","-1.93","1248.52","1272.13","1229.11"
"2022/07/05","1253.31","50.04","4.16","1219.29","1256.82","1210.64"
"2022/07/04","1203.27","0.47","-0.04","1210.40","1219.64","1181.29"
"2022/07/01","1203.74","22.80","-1.86","1241.39","1250.39","1196.37"
"2022/06/30","1226.54","27.01","-2.15","1254.37","1257.41","1225.96"
"2022/06/29","1253.55","34.49","-2.68","1260.80","1270.15","1244.89"
"2022/06/28","1288.04","19.06","-1.46","1297.86","1304.76","1273.89"
"2022/06/27","1307.10","27.13","2.12","1294.47","1310.14","1276.35"
"2022/06/24","1279.97","74.36","6.17","1223.03","1279.97","1223.03"
"2022/06/23","1205.61","45.25","-3.62","1252.73","1270.97","1203.86"
"2022/06/22","1250.86","50.98","-3.92","1306.75","1310.14","1247.24"
"2022/06/21","1301.84","17.89","1.39","1297.51","1309.32","1271.67"
"2022/06/20","1283.95","33.91","-2.57","1333.41","1333.41","1275.42"
"2022/06/17","1317.86","11.34","-0.85","1302.54","1320.55","1294.94"
"2022/06/16","1329.20","10.87","0.82","1342.42","1355.86","1319.38"
"2022/06/15","1318.33","29.58","-2.19","1347.91","1358.20","1307.57"
"2022/06/14","1347.91","6.20","-0.46","1329.20","1353.53","1318.21"
"2022/06/13","1354.11","54.84","-3.89","1372.82","1380.07","1346.51"
"2022/06/10","1408.95","13.91","-0.98","1408.01","1419.70","1402.16"
"2022/06/09","1422.86","4.75","0.33","1408.41","1433.22","1398.01"
"2022/06/08","1418.11","8.40","0.60","1422.85","1431.77","1412.19"
"2022/06/07","1409.71","43.59","-3.00","1446.47","1446.77","1408.10"
"2022/06/03","1453.30","2.08","-0.14","1474.61","1475.63","1449.85"
"2022/06/02","1455.38","18.20","-1.24","1462.91","1465.12","1453.52"
"2022/05/31","1473.58","14.49","0.99","1457.81","1473.58","1448.19"
"2022/05/30","1459.09","21.33","1.48","1456.19","1461.18","1450.17"
"2022/05/27","1437.76","5.22","0.36","1457.47","1460.60","1429.99"
"2022/05/26","1432.54","6.72","-0.47","1443.90","1465.00","1425.23"
"2022/05/25","1439.26","21.33","1.50","1432.42","1456.65","1414.45"
"2022/05/24","1417.93","45.80","-3.13","1454.34","1456.54","1417.24"
"2022/05/23","1463.73","12.17","0.84","1460.84","1465.01","1445.30"
"2022/05/20","1451.56","45.10","3.21","1423.62","1454.11","1421.18"
"2022/05/19","1406.46","25.04","-1.75","1386.86","1422.57","1385.36"
"2022/05/18","1431.50","20.17","1.43","1421.76","1434.29","1417.13"
"2022/05/17","1411.33","30.84","2.23","1390.69","1412.37","1386.52"
"2022/05/16","1380.49","6.38","-0.46","1410.41","1413.54","1378.64"
"2022/05/13","1386.87","52.40","3.93","1356.96","1392.56","1353.25"
"2022/05/12","1334.47","65.85","-4.70","1373.31","1380.61","1332.38"
"2022/05/11","1400.32","39.88","2.93","1354.41","1404.03","1349.77"
"2022/05/10","1360.44","14.72","-1.07","1352.78","1375.51","1333.31"
"2022/05/09","1375.16","32.00","-2.27","1399.74","1402.29","1371.91"
