일자,종가,대비,등락률,시가,고가,저가
"2022/07/08","1574.31","9.37","0.60","1577.09","1588.74","1571.77"
"2022/07/07","1564.94","28.62","1.86","1543.41","1574.31","1543.16"
"2022/07/06","1536.32","33.68","-2.15","1555.31","1562.66","1532.01"
"2022/07/05","1570.00","24.82","1.61","1562.15","1575.07","1551.77"
"2022/07/04","1545.18","0.51","0.03","1546.45","1553.79","1528.97"
"2022/07/01","1544.67","12.67","-0.81","1567.72","1576.33","1533.02"
"2022/06/30","1557.34","29.63","-1.87","1577.60","1580.89","1556.58"
"2022/06/29","1586.97","28.62","-1.77","1595.58","1600.90","1585.70"
"2022/06/28","1615.59","11.90","0.74","1603.94","1616.35","1595.58"
"2022/06/27","1603.69","19.76","1.25","1591.02","1615.08","1579.12"
"2022/06/24","1583.93","33.43","2.16","1558.10","1589.00","1552.53"
"2022/06/23","1550.50","11.14","-0.71","1562.91","1574.81","1542.65"
"2022/06/22","1561.64","42.55","-2.65","1605.97","1606.98","1558.86"
"2022/06/21","1604.19","14.43","0.91","1601.41","1614.32","1590.52"
"2022/06/20","1589.76","26.08","-1.61","1627.24","1627.24","1579.12"
"2022/06/17","1615.84","13.17","-0.81","1601.15","1622.43","1594.57"
"2022/06/16","1629.01","1.01","0.06","1652.57","1663.71","1628.00"
"2022/06/15","1628.00","28.37","-1.71","1656.37","1660.42","1620.15"
"2022/06/14","1656.37","11.39","-0.68","1645.98","1665.48","1638.89"
"2022/06/13","1667.76","60.03","-3.47","1694.61","1698.15","1667.26"
"2022/06/10","1727.79","19.75","-1.13","1734.12","1736.14","1721.71"
"2022/06/09","1747.54","7.37","-0.42","1747.26","1754.28","1740.08"
"2022/06/08","1754.91","4.22","0.24","1752.92","1761.68","1748.93"
"2022/06/07","1750.69","33.85","-1.90","1773.14","1773.55","1745.36"
"2022/06/03","1784.54","12.18","0.69","1789.82","1791.69","1778.51"
"2022/06/02","1772.36","21.02","-1.17","1783.25","1783.76","1768.82"
"2022/05/31","1793.38","6.08","0.34","1784.01","1795.66","1773.88"
"2022/05/30","1787.30","20.51","1.16","1780.97","1787.30","1773.63"
"2022/05/27","1766.79","20.76","1.19","1764.77","1769.33","1759.20"
"2022/05/26","1746.03","6.84","-0.39","1748.82","1767.30","1736.92"
"2022/05/25","1752.87","9.88","0.57","1753.37","1760.97","1740.97"
"2022/05/24","1742.99","32.92","-1.85","1765.53","1771.10","1742.23"
"2022/05/23","1775.91","5.32","0.30","1777.93","1779.71","1765.53"
"2022/05/20","1770.59","38.23","2.21","1746.28","1771.10","1745.27"
"2022/05/19","1732.36","31.90","-1.81","1724.51","1741.47","1724.26"
"2022/05/18","1764.26","4.05","0.23","1768.82","1777.68","1757.93"
"2022/05/17","1760.21","17.47","1.00","1749.58","1762.24","1748.06"
"2022/05/16","1742.74","7.85","-0.45","1763.00","1766.29","1739.19"
"2022/05/13","1750.59","40.01","2.34","1722.74","1751.85","1718.69"
"2022/05/12","1710.58","26.59","-1.53","1719.19","1733.88","1707.29"
"2022/05/11","1737.17","0.25","-0.01","1727.29","1740.21","1724.51"
"2022/05/10","1737.42","11.14","-0.64","1733.88","1741.73","1711.60"
"2022/05/09","1748.56","15.19","-0.86","1755.40","1765.27","1744.77"
"2022/05/06","1763.75","26.59","-1.49","1767.81","1770.08","1759.20"
"2022/05/04","1790.34","3.54","0.20","1793.88","1799.71","1783.00"
"2022/05/03","1786.80","3.03","-0.17","1788.82","1803.51","1785.28"
"2022/05/02","1789.83","10.89","-0.60","1779.45","1792.62","1778.95"
"2022/04/29","1800.72","28.86","1.63","1769.58","1800.72","1764.77"
"2022/04/28","1771.86","22.79","1.30","1760.46","1771.86","1748.31"
"2022/04/27","1749.07","23.55","-1.33","1744.51","1754.13","1737.17"
"2022/04/26","1772.62","8.61","0.49","1773.88","1782.49","1770.34"
"2022/04/25","1764.01","31.39","-1.75","1772.36","1780.72","1764.01"
"2022/04/22","1795.40","22.03","-1.21","1798.19","1801.73","1788.31"
"2022/04/21","1817.43","9.87","0.55","1814.90","1827.05","1813.13"
"2022/04/20","1807.56","1.26","-0.07","1805.03","1812.87","1795.15"
"2022/04/19","1808.82","17.72","0.99","1797.94","1814.65","1795.91"
"2022/04/18","1791.10","3.80","0.21","1775.91","1794.90","1775.91"
"2022/04/15","1787.30","22.28","-1.23","1794.14","1796.42","1783.76"
"2022/04/14","1809.58","7.35","-0.40","1817.69","1817.69","1803.25"
"2022/04/13","1816.93","31.15","1.74","1790.59","1820.72","1788.57"
"2022/04/12","1785.78","17.22","-0.96","1791.61","1797.43","1778.44"
"2022/04/11","1803.00","1.77","-0.10","1793.63","1810.34","1789.58"
"2022/04/08","1804.77","1.01","0.06","1805.03","1808.06","1792.62"
"2022/04/07","1803.76","26.08","-1.43","1812.87","1816.42","1797.94"
"2022/04/06","1829.84","20.00","-1.08","1834.14","1837.94","1826.29"
"2022/04/05","1849.84","1.01","-0.05","1856.17","1858.45","1841.99"
"2022/04/04","1850.85","10.12","0.55","1830.85","1850.85","1826.55"
"2022/04/01","1840.73","11.14","-0.60","1845.28","1845.54","1830.85"
"2022/03/31","1851.87","4.81","0.26","1846.30","1862.25","1845.54"
"2022/03/30","1847.06","6.08","0.33","1855.41","1860.73","1844.78"
"2022/03/29","1840.98","5.57","0.30","1845.03","1850.35","1834.65"
"2022/03/28","1835.41","3.55","0.19","1820.98","1837.43","1814.39"
"2022/03/25","1831.86","3.80","-0.21","1843.26","1843.26","1826.80"
"2022/03/24","1835.66","8.86","-0.48","1832.37","1839.21","1824.02"
"2022/03/23","1844.52","14.43","0.79","1841.23","1855.41","1836.67"
"2022/03/22","1830.09","13.42","0.74","1814.90","1832.88","1814.14"
"2022/03/21","1816.67","16.46","-0.90","1841.23","1841.23","1812.37"
