일자,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"2022/07/07","2409330","58492759","325259550000","7896522465000","4.12"
"2022/07/06","2436014","58492759","317899827000","7633305049500","4.16"
"2022/07/05","2465957","58492759","320574410000","7604058670000","4.22"
"2022/07/04","2460649","58492759","314963072000","7487073152000","4.21"
"2022/07/01","2409720","58492759","314468460000","7633305049500","4.12"
"2022/06/30","2355202","58492759","306176260000","7604058670000","4.03"
"2022/06/29","2293165","58492759","318749935000","8130493501000","3.92"
"2022/06/28","2384465","58492759","315941612500","7750290567500","4.08"
"2022/06/27","2376274","58492759","317232579000","7808783326500","4.06"
"2022/06/24","2453323","58492759","317705328500","7574812290500","4.19"
"2022/06/23","2486725","58492759","318300800000","7487073152000","4.25"
"2022/06/22","2534746","58492759","320645369000","7399334013500","4.33"
"2022/06/21","2382975","58492759","335999475000","8247479019000","4.07"
"2022/06/20","2396395","58492759","334297102500","8159739880500","4.10"
"2022/06/17","2390906","58492759","333531387000","8159739880500","4.09"
"2022/06/16","2409234","58492759","325246590000","7896522465000","4.12"
"2022/06/15","2414689","58492759","342885838000","8305971778000","4.13"
"2022/06/14","2426507","58492759","354270022000","8539942814000","4.15"
"2022/06/13","2397619","58492759","358444040500","8744667470500","4.10"
"2022/06/10","2381608","58492759","364386024000","8949392127000","4.07"
"2022/06/09","2335283","58492759","366639431000","9183363163000","3.99"
"2022/06/08","2313206","58492759","358546930000","9066377645000","3.95"
"2022/06/07","2235153","58492759","357624480000","9358841440000","3.82"
"2022/06/03","2173632","58492759","361909728000","9739044373500","3.72"
"2022/06/02","2169279","58492759","351423198000","9475826958000","3.71"
"2022/05/31","2148260","58492759","351240510000","9563566096500","3.67"
"2022/05/30","2347703","58492759","379154034500","9446580578500","4.01"
"2022/05/27","2373648","58492759","370289088000","9124870404000","4.06"
"2022/05/26","2388289","58492759","368990650500","9037131265500","4.08"
"2022/05/25","2358532","58492759","370289524000","9183363163000","4.03"
"2022/05/24","2360540","58492759","365883700000","9066377645000","4.04"
"2022/05/23","2356405","58492759","372311990000","9241855922000","4.03"
"2022/05/20","2357660","58492759","361900810000","8978638506500","4.03"
"2022/05/19","2342318","58492759","358374654000","8949392127000","4.00"
"2022/05/18","2287319","58492759","356821764000","9124870404000","3.91"
"2022/05/17","2265518","58492759","355686326000","9183363163000","3.87"
"2022/05/16","2165960","58492759","350885520000","9475826958000","3.70"
"2022/05/13","2134784","58492759","352239360000","9651305235000","3.65"
"2022/05/12","2119051","58492759","346464838500","9563566096500","3.62"
"2022/05/11","2171386","58492759","365878541000","9856029891500","3.71"
"2022/05/10","2171402","58492759","363709835000","9797537132500","3.71"
"2022/05/09","2107289","58492759","345595396000","9592812476000","3.60"
"2022/05/06","2052378","58492759","341720937000","9739044373500","3.51"
"2022/05/04","1993533","58492759","335910310500","9856029891500","3.41"
"2022/05/03","1947084","58492759","335871990000","10090000927500","3.33"
"2022/05/02","1956870","58492759","350279730000","10470203861000","3.35"
"2022/04/29","1954781","58492759","353815361000","10587189379000","3.34"
"2022/04/28","2049907","58492759","364883446000","10411711102000","3.50"
"2022/04/27","2399414","58492759","391104482000","9534319717000","4.10"
"2022/04/26","2447520","58492759","394050720000","9417334199000","4.18"
"2022/04/25","2461104","58492759","390084984000","9271102301500","4.21"
"2022/04/22","2369441","58492759","399250808500","9856029891500","4.05"
"2022/04/21","2372230","58492759","397348525000","9797537132500","4.06"
"2022/04/20","2379447","58492759","396177925500","9739044373500","4.07"
"2022/04/19","2404444","58492759","399137704000","9709797994000","4.11"
"2022/04/18","2341695","58492759","393404760000","9826783512000","4.00"
"2022/04/15","2318083","58492759","374370404500","9446580578500","3.96"
"2022/04/14","2309290","58492759","376414270000","9534319717000","3.95"
"2022/04/13","2320640","58492759","374783360000","9446580578500","3.97"
"2022/04/12","2332102","58492759","368472116000","9241855922000","3.99"
"2022/04/11","2321726","58492759","362189256000","9124870404000","3.97"
"2022/04/08","2283924","58492759","351724296000","9007884886000","3.90"
"2022/04/07","2212531","58492759","345154836000","9124870404000","3.78"
"2022/04/06","2196638","58492759","355855356000","9475826958000","3.76"
"2022/04/05","2129302","58492759","355593434000","9768290753000","3.64"
"2022/04/04","2107022","58492759","351872674000","9768290753000","3.60"
"2022/04/01","2075501","58492759","343495415500","9680551614500","3.55"
"2022/03/31","1987998","58492759","318079680000","9358841440000","3.40"
"2022/03/30","1978196","58492759","316511360000","9358841440000","3.38"
"2022/03/29","1941341","58492759","308673219000","9300348681000","3.32"
"2022/03/28","2041873","58492759","312406569000","8949392127000","3.49"
"2022/03/25","2001373","58492759","311213501500","9095624024500","3.42"
"2022/03/24","1986646","58492759","308923453000","9095624024500","3.40"
"2022/03/23","1944617","58492759","304332560500","9154116783500","3.32"
"2022/03/22","1942804","58492759","301134620000","9066377645000","3.32"
"2022/03/21","1942285","58492759","298140747500","8978638506500","3.32"
"2022/03/18","2013036","58492759","303968436000","8832406609000","3.44"
"2022/03/17","1969255","58492759","303265270000","9007884886000","3.37"
"2022/03/16","1941214","58492759","300888170000","9066377645000","3.32"
"2022/03/15","1911692","58492759","293444722000","8978638506500","3.27"
"2022/03/14","1879189","58492759","289395106000","9007884886000","3.21"
"2022/03/11","1918267","58492759","321309722500","9797537132500","3.28"
"2022/03/10","2027040","58492759","344596800000","9943769030000","3.47"
"2022/03/08","2056111","58492759","357763314000","10177740066000","3.52"
"2022/03/07","2040787","58492759","366321266500","10499450240500","3.49"
"2022/03/04","2037167","58492759","374838728000","10762667656000","3.48"
"2022/03/03","2015908","58492759","375966842000","10908899553500","3.45"
"2022/03/02","1993818","58492759","369853239000","10850406794500","3.41"
"2022/02/28","1957699","58492759","360216616000","10762667656000","3.35"
"2022/02/25","1907527","58492759","342401096500","10499450240500","3.26"
"2022/02/24","1869144","58492759","343922496000","10762667656000","3.20"
"2022/02/23","1845072","58492759","342260856000","10850406794500","3.15"
"2022/02/22","1836060","58492759","346097310000","11025885071500","3.14"
"2022/02/21","1849158","58492759","353189178000","11172116969000","3.16"
"2022/02/18","1843979","58492759","350356010000","11113624210000","3.15"
"2022/02/17","1808904","58492759","339169500000","10967392312500","3.09"
"2022/02/16","1791232","58492759","324212992000","10587189379000","3.06"
"2022/02/15","1736588","58492759","312585840000","10528696620000","2.97"
"2022/02/14","1759386","58492759","303494085000","10090000927500","3.01"
"2022/02/11","1740908","58492759","304658900000","10236232825000","2.98"
"2022/02/10","1638326","58492759","292441191000","10440957481500","2.80"
"2022/02/09","1651668","58492759","270047718000","9563566096500","2.82"
"2022/02/08","1674686","58492759","264600388000","9241855922000","2.86"
"2022/02/07","1672169","58492759","266710955500","9329595060500","2.86"
"2022/02/04","1662996","58492759","266079360000","9358841440000","2.84"
"2022/02/03","1651057","58492759","254262778000","9007884886000","2.82"
"2022/01/28","1626616","58492759","252125480000","9066377645000","2.78"
"2022/01/27","1625575","58492759","243023462500","8744667470500","2.78"
"2022/01/26","1572195","58492759","241331932500","8978638506500","2.69"
"2022/01/25","1589935","58492759","239285217500","8803160229500","2.72"
"2022/01/24","1602310","58492759","247556895000","9037131265500","2.74"
"2022/01/21","1590651","58492759","253708834500","9329595060500","2.72"
"2022/01/20","1575051","58492759","247283007000","9183363163000","2.69"
"2022/01/19","1628878","58492759","244331700000","8773913850000","2.78"
"2022/01/18","1638182","58492759","245727300000","8773913850000","2.80"
"2022/01/17","1658279","58492759","247912710500","8744667470500","2.84"
"2022/01/14","1670441","58492759","253907032000","8890899368000","2.86"
"2022/01/13","1655730","58492759","254154555000","8978638506500","2.83"
"2022/01/12","1662193","58492759","257639915000","9066377645000","2.84"
"2022/01/11","1646955","58492759","251984115000","8949392127000","2.82"
"2022/01/10","1646177","58492759","250218904000","8890899368000","2.81"
"2022/01/07","1581751","58492759","253871035500","9388087819500","2.70"
"2022/01/06","1517128","58492759","248050428000","9563566096500","2.59"
"2022/01/05","1438713","58492759","233071506000","9475826958000","2.46"
"2022/01/04","1389705","58492759","231385882500","9739044373500","2.38"
"2022/01/03","1385342","58492759","232737456000","9826783512000","2.37"
"2021/12/30","1350672","58492759","225562224000","9768290753000","2.31"
"2021/12/29","1285284","58492759","224924700000","10236232825000","2.20"
"2021/12/28","1265065","58492759","223283972500","10323971963500","2.16"
"2021/12/27","1263161","58492759","220421594500","10206986445500","2.16"
"2021/12/24","1246003","58492759","218673526500","10265479204500","2.13"
"2021/12/23","1220295","58492759","215992215000","10353218343000","2.09"
"2021/12/22","1204000","58492759","211904000000","10294725584000","2.06"
"2021/12/21","1202907","58492759","212313085500","10323971963500","2.06"
"2021/12/20","1185410","58492759","209224865000","10323971963500","2.03"
"2021/12/17","1172789","58492759","210515625500","10499450240500","2.01"
"2021/12/16","1156338","58492759","208140840000","10528696620000","1.98"
"2021/12/15","1137314","58492759","215521003000","11084377830500","1.94"
"2021/12/14","1151358","58492759","208971477000","10616435758500","1.97"
"2021/12/13","1193899","58492759","213110971500","10440957481500","2.04"
"2021/12/10","1227980","58492759","219808420000","10470203861000","2.10"
"2021/12/09","1244504","58492759","220899460000","10382464722500","2.13"
"2021/12/08","1203072","58492759","205725312000","10002261789000","2.06"
"2021/12/07","1155613","58492759","204543501000","10353218343000","1.98"
"2021/12/06","1141595","58492759","196925137500","10090000927500","1.95"
"2021/12/03","1167556","58492759","194981852000","9768290753000","2.00"
"2021/12/02","1152420","58492759","188996880000","9592812476000","1.97"
"2021/12/01","1276947","58492759","204949993500","9388087819500","2.18"
"2021/11/30","1279108","58492759","200819956000","9183363163000","2.19"
"2021/11/29","1268085","58492759","211136152500","9739044373500","2.17"
"2021/11/26","1280857","58492759","217105261500","9914522650500","2.19"
"2021/11/25","1275997","58492759","221385479500","10148493686500","2.18"
"2021/11/24","1279424","58492759","222619776000","10177740066000","2.19"
"2021/11/23","1268058","58492759","224446266000","10353218343000","2.17"
"2021/11/22","1258010","58492759","224554785000","10440957481500","2.15"
"2021/11/19","1247682","58492759","222087396000","10411711102000","2.13"
