일자,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"2022/07/07","12860566","476282437","408322970500","15121967374750","2.70"
"2022/07/06","12956978","476282437","405553411400","14907640278100","2.72"
"2022/07/05","13540628","476282437","414343216800","14574242572200","2.84"
"2022/07/04","13710257","476282437","403767068650","14026517769650","2.88"
"2022/07/01","13896758","476282437","402311144100","13788376551150","2.92"
"2022/06/30","13721542","476282437","415076645500","14407543719250","2.88"
"2022/06/29","13529392","476282437","420764091200","14812383790700","2.84"
"2022/06/28","13038982","476282437","440065642500","16074532248750","2.74"
"2022/06/27","12586507","476282437","434863816850","16455558198350","2.64"
"2022/06/24","12285346","476282437","427530040800","16574628807600","2.58"
"2022/06/23","12443842","476282437","419979667500","16074532248750","2.61"
"2022/06/22","12282367","476282437","417600478000","16193602858000","2.58"
"2022/06/21","11696165","476261437","422231556500","17193037875700","2.46"
"2022/06/20","11650717","476261437","414765525200","16954907157200","2.45"
"2022/06/17","11597091","476261437","419234839650","17216850947550","2.44"
"2022/06/16","10481738","476261437","382059350100","17359729378650","2.20"
"2022/06/15","10722029","476261437","383848638200","17050159444600","2.25"
"2022/06/14","10749125","476261437","379981568750","16835841797950","2.26"
"2022/06/13","10454272","476261437","376353792000","17145411732000","2.20"
"2022/06/10","9559095","476261437","374238569250","18645635258550","2.01"
"2022/06/09","8354998","476261437","342972667900","19550531988850","1.75"
"2022/06/08","6590521","476261437","266257048400","19240962054800","1.38"
"2022/06/07","6689357","476261437","277608315500","19764849635500","1.40"
"2022/06/03","7211528","476256437","296754377200","19597952382550","1.51"
"2022/06/02","7682891","476256437","306163206350","18978819014450","1.61"
"2022/05/31","7438506","476256437","302375268900","19359824164050","1.56"
"2022/05/30","6513887","476256437","269023533100","19669390848100","1.37"
"2022/05/27","6726218","476256437","277456492500","19645578026250","1.41"
"2022/05/26","6783385","476256437","275744600250","19359824164050","1.42"
"2022/05/25","6885686","476256437","276460292900","19121695945550","1.45"
"2022/05/24","7071090","476256437","278600946000","18764503617800","1.48"
"2022/05/23","7169274","476256437","286770960000","19050257480000","1.51"
"2022/05/20","7254388","476256437","289812800600","19026444658150","1.52"
"2022/05/19","7392570","476196437","285722830500","18404992290050","1.55"
"2022/05/18","7165613","476196437","282325152200","18762139617800","1.50"
"2022/05/17","7257789","476196437","290311560000","19047857480000","1.52"
"2022/05/16","7436146","476196437","288894272100","18500231577450","1.56"
"2022/05/13","7384075","476196437","283917683750","18309753002650","1.55"
"2022/05/12","7307023","476196437","277301522850","18071654784150","1.53"
"2022/05/11","7499874","476196437","300744947400","19095477123700","1.57"
"2022/05/10","7617684","476196437","305088244200","19071667301850","1.60"
"2022/05/09","7476787","476196437","305800588300","19476434273300","1.57"
"2022/05/06","7825856","476196437","313816825600","19095477123700","1.64"
"2022/05/04","8000692","476196437","331628683400","19738342313650","1.68"
"2022/05/03","8304233","476196437","342549611250","19643103026250","1.74"
"2022/05/02","8392958","476196437","344950573800","19571673560700","1.76"
"2022/04/29","8469887","476196437","358699714450","20166919106950","1.78"
"2022/04/28","8253447","476196437","354485548650","20452636969150","1.73"
"2022/04/27","8352058","476196437","352874450500","20119299463250","1.75"
"2022/04/26","8318598","476196437","359779363500","20595495900250","1.75"
"2022/04/25","8757072","476196437","371737706400","20214538750650","1.84"
"2022/04/22","8562182","476196437","373311135200","20762164653200","1.80"
"2022/04/21","8417336","476196437","379200986800","21452649486850","1.77"
"2022/04/20","8180662","476196437","369356889300","21500269130550","1.72"
"2022/04/19","8124565","476196437","370480164000","21714557527200","1.71"
"2022/04/18","8135861","476196437","369368089400","21619318239800","1.71"
"2022/04/15","8019705","475159237","370510371000","21952356749400","1.69"
"2022/04/14","7993220","475159237","373283374000","22189936367900","1.68"
"2022/04/13","8055529","475159237","377401533650","22261210253450","1.70"
"2022/04/12","8300757","475159237","376024292100","21524713436100","1.75"
"2022/04/11","8356553","475159237","378969678550","21548471397950","1.76"
"2022/04/08","8312739","475159237","383217267900","21904840825700","1.75"
"2022/04/07","8242962","475159237","380824844400","21952356749400","1.73"
"2022/04/06","8030209","475159237","388260605150","22973949108950","1.69"
"2022/04/05","7822800","475159237","389575440000","23662930002600","1.65"
"2022/04/04","7757658","475159237","394089026400","24138089239600","1.63"
"2022/04/01","7826962","475159237","398392365800","24185605163300","1.65"
"2022/03/31","7871098","475159237","406148656800","24518216629200","1.66"
"2022/03/30","8302359","475159237","417608657700","23900509621100","1.75"
"2022/03/29","8277858","475159237","411823435500","23639172040750","1.74"
"2022/03/28","8345725","475159237","417286250000","23757961850000","1.76"
"2022/03/25","8270971","475159237","421819521000","24233121087000","1.74"
"2022/03/24","8378042","475159237","430631358800","24423184781800","1.76"
"2022/03/23","8440076","475159237","441415974800","24850828095100","1.78"
"2022/03/22","8756475","475159237","445704577500","24185605163300","1.84"
"2022/03/21","8853040","475159237","447078520000","23995541468500","1.86"
"2022/03/18","8593266","475159237","453724444800","25088407713600","1.81"
"2022/03/17","8546206","475159237","445257332600","24755796247700","1.80"
"2022/03/16","8544568","475159237","449444276800","24993375866200","1.80"
"2022/03/15","8782769","475159237","461095372500","24945859942500","1.85"
"2022/03/14","9553950","475159237","475786710000","23662930002600","2.01"
"2022/03/11","9442396","475159237","461733164400","23235286689300","1.99"
"2022/03/10","9797160","475159237","471733254000","22878917261550","2.06"
"2022/03/08","9724210","475159237","466762080000","22807643376000","2.05"
"2022/03/07","10230017","475159237","484391304950","22498789871950","2.15"
"2022/03/04","10417426","475159237","507328646200","23140254841900","2.19"
"2022/03/03","10417431","475159237","506287146600","23092738918200","2.19"
"2022/03/02","10759440","475159237","515377176000","22760127452300","2.26"
"2022/02/28","10732073","475159237","515139504000","22807643376000","2.26"
"2022/02/25","10626637","475159237","507421916750","22688853566750","2.24"
"2022/02/24","10859024","475159237","509288225600","22284968215300","2.29"
"2022/02/23","11113701","475159237","523455317100","22380000062700","2.34"
"2022/02/22","11007544","475159237","520106454000","22451273948250","2.32"
"2022/02/21","10970035","475159237","536434711500","23235286689300","2.31"
"2022/02/18","10910884","475159237","538452125400","23449108345950","2.30"
"2022/02/17","10718444","475159237","529491133600","23472866307800","2.26"
"2022/02/16","11141327","475159237","517514639150","22071146558650","2.34"
"2022/02/15","11174823","475159237","493927176600","21002038275400","2.35"
"2022/02/14","11307243","475159237","496953329850","20883248466150","2.38"
"2022/02/11","11514189","475159237","485323066350","20027961839550","2.42"
"2022/02/10","11443295","475159237","489773026000","20336815343600","2.41"
"2022/02/09","10496257","475159237","463934559400","21002038275400","2.21"
"2022/02/08","10311576","475159237","460411868400","21215859932050","2.17"
"2022/02/07","10801749","475159237","457454070150","20122993686950","2.27"
"2022/02/04","11265585","475159237","474281128500","20004203877700","2.37"
"2022/02/03","11141418","475159237","460697634300","19647834449950","2.34"
"2022/01/28","10948180","475159237","448875380000","19481528717000","2.30"
"2022/01/27","10685090","475159237","423663818500","18840063747050","2.25"
"2022/01/26","10472652","475159237","424666038600","19267707060350","2.20"
"2022/01/25","10043980","475159237","404270195000","19125159289250","2.11"
"2022/01/24","9828116","475159237","412780872000","19956687954000","2.07"
"2022/01/21","9474817","475159237","414996984600","20811974580600","1.99"
"2022/01/20","9023547","475159237","385756634250","20313057381750","1.90"
"2022/01/19","9540346","475159237","398786462800","19861656106600","2.01"
"2022/01/18","9249340","475159237","400496422000","20574394962100","1.95"
"2022/01/17","8902792","475159237","401515919200","21429681588700","1.87"
"2022/01/14","8829830","475159237","408821129000","21999872673100","1.86"
"2022/01/13","8064796","475159237","393965284600","23211528727450","1.70"
"2022/01/12","7669561","475159237","378109357300","23425350384100","1.61"
"2022/01/11","7769289","475159237","383414412150","23449108345950","1.64"
"2022/01/10","7837889","475159237","400516127900","24280637010700","1.65"
"2022/01/07","7451560","475159237","409835800000","26133758035000","1.57"
"2022/01/06","7205779","475159237","403523624000","26608917272000","1.52"
"2022/01/05","6595717","475159237","366721865200","26418853577200","1.39"
"2022/01/04","6415174","475159237","367589470200","27226624280100","1.35"
"2022/01/03","6274864","475159237","370844462400","28081910906700","1.32"
"2021/12/30","6060872","475159237","357591448000","28034394983000","1.28"
"2021/12/29","6026199","475159237","360366700200","28414522372600","1.27"
"2021/12/28","6041365","475159237","364294309500","28652101991100","1.27"
"2021/12/27","6045365","475159237","358490144500","28176942754100","1.27"
"2021/12/24","5896099","475159237","354945159800","28604586067400","1.24"
"2021/12/23","5812179","475159237","351636829500","28747133838500","1.22"
"2021/12/22","5692205","475159237","346655284500","28937197533300","1.20"
"2021/12/21","5704360","475159237","350247704000","29174777151800","1.20"
"2021/12/20","5760226","475159237","358862079800","29602420465100","1.21"
"2021/12/17","5797962","475159237","370489771800","30362675244300","1.22"
"2021/12/16","4024936","475159237","253973461600","29982547854700","0.85"
"2021/12/15","4049832","475159237","253519483200","29744968236200","0.85"
"2021/12/14","4215237","475159237","265559931000","29935031931000","0.89"
"2021/12/13","4201333","475159237","266364512200","30125095625800","0.88"
"2021/12/10","4256478","475159237","269860705200","30125095625800","0.90"
"2021/12/09","4131018","475159237","265211355600","30505223015400","0.87"
"2021/12/08","4595624","475159237","310204620000","32073248497500","0.97"
"2021/12/07","4592767","475159237","310011772500","32073248497500","0.97"
