일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/07/11","31200","-100","-0.32","31350","31650","31100","537764","16844598650","14860012034400","476282437"
"2022/07/08","31300","-450","-1.42","31950","32000","31200","845872","26661223200","14907640278100","476282437"
"2022/07/07","31750","450","1.44","31750","31950","31300","780061","24691977290","15121967374750","476282437"
"2022/07/06","31300","700","2.29","30250","31800","29850","2551934","79574732500","14907640278100","476282437"
"2022/07/05","30600","1150","3.90","29550","30750","29500","1600485","48467847850","14574242572200","476282437"
"2022/07/04","29450","500","1.73","29050","29800","28750","1640600","48002695100","14026517769650","476282437"
"2022/07/01","28950","-1300","-4.30","30400","30500","28600","2655063","77975701300","13788376551150","476282437"
"2022/06/30","30250","-850","-2.73","31000","31200","30100","2230180","68168671650","14407543719250","476282437"
"2022/06/29","31100","-2650","-7.85","32550","32800","30650","4292024","134011391550","14812383790700","476282437"
"2022/06/28","33750","-800","-2.32","34700","34850","33600","1395917","47413377900","16074532248750","476282437"
"2022/06/27","34550","-250","-0.72","35000","35150","34000","1250644","43334229600","16455558198350","476282437"
"2022/06/24","34800","1050","3.11","33750","35100","33700","1340546","46323894350","16574628807600","476282437"
"2022/06/23","33750","-250","-0.74","34050","34600","32950","1841487","62456967950","16074532248750","476282437"
"2022/06/22","34000","-2100","-5.82","36200","36450","34000","1864627","64341612400","16193602858000","476282437"
"2022/06/21","36100","500","1.40","36400","36400","35650","1054363","38103952300","17193037875700","476261437"
"2022/06/20","35600","-550","-1.52","36300","36350","35050","1304530","46227647250","16954907157200","476261437"
"2022/06/17","36150","-300","-0.82","35700","36150","35400","2210132","79295281780","17216850947550","476261437"
"2022/06/16","36450","650","1.82","36450","37700","36200","1921845","71094947615","17359729378650","476261437"
"2022/06/15","35800","450","1.27","35150","36050","35000","1589703","56583313250","17050159444600","476261437"
"2022/06/14","35350","-650","-1.81","35050","35750","34600","2443473","85999432100","16835841797950","476261437"
"2022/06/13","36000","-3150","-8.05","38300","38350","36000","3679924","134562365000","17145411732000","476261437"
"2022/06/10","39150","-1900","-4.63","40700","40750","39100","3297078","130666045200","18645635258550","476261437"
"2022/06/09","41050","650","1.61","40200","42300","39950","6994591","288406311350","19550531988850","476261437"
"2022/06/08","40400","-1100","-2.65","41500","41500","39600","2070212","83246884150","19240962054800","476261437"
"2022/06/07","41500","350","0.85","41100","41900","40700","1678530","69516590500","19764849635500","476261437"
"2022/06/03","41150","1300","3.26","40300","41300","40150","1406396","57323393450","19597952382550","476256437"
"2022/06/02","39850","-800","-1.97","40300","40500","39800","1117195","44683307900","18978819014450","476256437"
"2022/05/31","40650","-650","-1.57","41500","41500","40000","3768851","153327348150","19359824164050","476256437"
"2022/05/30","41300","50","0.12","41500","41750","40800","914296","37786041850","19669390848100","476256437"
"2022/05/27","41250","600","1.48","41100","41400","40450","1016331","41748016300","19645578026250","476256437"
"2022/05/26","40650","500","1.25","40150","41400","40050","1303023","53271524050","19359824164050","476256437"
"2022/05/25","40150","750","1.90","39950","41150","39750","1736547","70346526300","19121695945550","476256437"
"2022/05/24","39400","-600","-1.50","40050","40200","39400","661541","26414957300","18764503617800","476256437"
"2022/05/23","40000","50","0.13","40200","40500","39850","647955","26019864050","19050257480000","476256437"
"2022/05/20","39950","1300","3.36","38650","40100","38650","851181","33753619800","19026444658150","476256437"
"2022/05/19","38650","-750","-1.90","38400","38750","38000","1023492","39178293950","18404992290050","476196437"
"2022/05/18","39400","-600","-1.50","40150","40300","39300","726873","28882825300","18762139617800","476196437"
"2022/05/17","40000","1150","2.96","38450","40250","38450","1152307","45842177350","19047857480000","476196437"
"2022/05/16","38850","400","1.04","38500","39750","38450","1189121","46439972350","18500231577450","476196437"
"2022/05/13","38450","500","1.32","37850","38550","37100","1708351","64976109465","18309753002650","476196437"
"2022/05/12","37950","-2150","-5.36","39500","39600","37550","2795518","108003649400","18071654784150","476196437"
"2022/05/11","40100","50","0.12","39900","40300","39600","957524","38316070050","19095477123700","476196437"
"2022/05/10","40050","-850","-2.08","40100","40200","39400","1267511","50537736650","19071667301850","476196437"
"2022/05/09","40900","800","2.00","39850","41150","39850","1182506","47946047350","19476434273300","476196437"
"2022/05/06","40100","-1350","-3.26","41100","41100","39950","2241683","90301845150","19095477123700","476196437"
"2022/05/04","41450","200","0.48","41300","41800","41050","1283809","53190594950","19738342313650","476196437"
