일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/07/11","308.29","-1.86","-0.60","311.05","311.86","307.97","94922551","4718629337243","1610368416952080"
"2022/07/08","310.15","1.84","0.60","310.73","313.01","310.02","108520280","5481366254032","1617955304345615"
"2022/07/07","308.31","6.03","1.99","304.30","310.07","304.20","126308391","6187396745597","1606685184524260"
"2022/07/06","302.28","-6.75","-2.18","307.14","307.90","302.06","156255459","7320258968101","1576203143255790"
"2022/07/05","309.03","5.02","1.65","307.15","309.99","305.35","110061662","5593805878084","1611388078554145"
"2022/07/04","304.01","-0.01","0.00","304.46","305.82","300.82","128355599","5456744055406","1583918341655470"
"2022/07/01","304.02","-3.18","-1.04","308.72","310.55","301.95","136341014","6640105588159","1585084727165805"
"2022/06/30","307.20","-5.66","-1.81","311.20","311.63","307.20","143728581","6884662893235","1603805244560215"
"2022/06/29","312.86","-6.25","-1.96","314.33","315.16","312.52","132702473","6316507805821","1635672964172905"
"2022/06/28","319.11","2.91","0.92","316.65","319.11","315.19","117270107","5176514685988","1668359045522240"
"2022/06/27","316.20","4.13","1.32","314.31","319.08","311.85","136483261","5923970339186","1654305716476185"
"2022/06/24","312.07","6.62","2.17","307.47","313.42","306.27","137827106","6261623465471","1632120665523760"
"2022/06/23","305.45","-2.63","-0.85","308.81","310.94","304.13","197731766","7893205010708","1598572273857840"
"2022/06/22","308.08","-8.30","-2.62","317.47","317.63","308.08","161699987","6595752632164","1613760285140535"
"2022/06/21","316.38","1.94","0.62","315.95","318.74","313.66","120058757","5524069194316","1657423542167400"
"2022/06/20","314.44","-5.65","-1.77","321.46","321.62","311.71","151134778","6548982164978","1646290149837275"
"2022/06/17","320.09","-2.16","-0.67","316.36","320.71","314.79","197274709","8831028636019","1677808527467670"
"2022/06/16","322.25","0.04","0.01","326.72","328.84","321.54","138751851","6833924982258","1684971119910690"
"2022/06/15","322.21","-6.02","-1.83","327.70","328.30","320.29","159365415","7401732983729","1682397050139430"
"2022/06/14","328.23","-1.65","-0.50","325.68","329.27","323.36","174250564","7468385969235","1712327466720425"
"2022/06/13","329.88","-12.01","-3.51","335.76","335.97","329.88","163805809","7193816119534","1719014040273525"
"2022/06/10","341.89","-4.73","-1.36","342.32","343.25","340.66","136208016","6290154321015","1781297885258855"
"2022/06/09","346.62","0.40","0.12","345.35","346.82","343.69","191391854","8507879984034","1788694206261965"
"2022/06/08","346.22","0.55","0.16","346.46","348.11","345.56","123302092","6030965507002","1787550056243065"
"2022/06/07","345.67","-6.34","-1.80","350.04","350.53","345.02","135311555","6687788632348","1787307752331310"
"2022/06/03","352.01","1.50","0.43","353.47","353.93","351.10","134646639","4797509616342","1818050041868215"
"2022/06/02","350.51","-4.03","-1.14","352.29","352.81","349.55","196091386","5908010491322","1809736540235105"
"2022/05/31","354.54","2.05","0.58","351.79","354.72","350.01","266678105","11290597703804","1829557640416650"
"2022/05/30","352.49","4.45","1.28","351.53","352.85","350.07","151012831","5604146609901","1818267472317275"
"2022/05/27","348.04","3.78","1.10","348.42","349.11","347.15","133072930","5613542895753","1795926250208115"
"2022/05/26","344.26","-1.34","-0.39","345.54","349.03","342.65","126445367","6231121581940","1778033119381720"
"2022/05/25","345.60","1.52","0.44","346.34","347.60","343.51","125139646","5781990616472","1781457274638255"
"2022/05/24","344.08","-6.26","-1.79","349.02","349.79","344.08","150996891","5827622859224","1773639723444140"
"2022/05/23","350.34","1.05","0.30","351.16","351.41","348.48","183164939","5447158234709","1802702685461820"
"2022/05/20","349.29","6.05","1.76","345.15","349.68","344.89","133213782","6183574152869","1796371712981410"
"2022/05/19","343.24","-5.10","-1.46","341.07","344.10","340.55","196527465","6861034807573","1762095923626760"
"2022/05/18","348.34","0.81","0.23","349.62","351.20","347.15","166291214","6302360001326","1785066967204960"
