일자,기관,개인,외국인,기타,전체
"2022/07/08","31507190211","7672783870","75239743810","0","114419717891"
"2022/07/07","21411526540","2799667675","76291007695","0","100502201910"
"2022/07/06","51789919814","6121137330","91815931805","0","149726988949"
"2022/07/05","38099695392","7106994420","87002833710","0","132209523522"
"2022/07/04","56239549970","5058410355","90077951040","0","151375911365"
"2022/07/01","44750067446","4168544990","93973733910","1689800","142894036146"
"2022/06/30","41383026840","3693456700","85229618200","0","130306101740"
"2022/06/29","50943173180","2439369185","82725921235","0","136108463600"
"2022/06/28","40488850261","4052309030","83186419880","0","127727579171"
"2022/06/27","70176289613","8120033085","108346651570","0","186642974268"
"2022/06/24","42792514059","10177655615","87799392475","0","140769562149"
"2022/06/23","56351799151","5505026875","131578915315","0","193435741341"
"2022/06/22","42528617247","5295910055","89873885230","0","137698412532"
"2022/06/21","47466204088","3032157185","93534880670","0","144033241943"
"2022/06/20","41474745385","4080175775","87143959120","0","132698880280"
"2022/06/17","33524374900","3065867645","96570436135","0","133160678680"
"2022/06/16","23222320145","4296905070","62961175035","0","90480400250"
"2022/06/15","43724435038","5321068420","122796990645","0","171842494103"
"2022/06/14","47527233375","5306304865","101686877500","0","154520415740"
"2022/06/13","56429534641","3185223130","81178371340","0","140793129111"
"2022/06/10","122157907180","2540428370","90721660025","0","215419995575"
"2022/06/09","35782759673","4734610000","90217898300","0","130735267973"
"2022/06/08","33989750510","2423959600","78900971090","0","115314681200"
"2022/06/07","37614217240","1725934465","71483606225","269500","110824027430"
"2022/06/03","14541068340","2767109240","76220378375","0","93528555955"
"2022/06/02","36325661250","2230512595","70026592075","0","108582765920"
"2022/05/31","23188965057","5949595085","92329016360","0","121467576502"
"2022/05/30","19664403593","2051117315","69078013415","0","90793534323"
"2022/05/27","22292441820","3054413545","73851698960","0","99198554325"
"2022/05/26","38072309920","3146315180","76465097860","0","117683722960"
"2022/05/25","42338639581","4917762425","75970316050","0","123226718056"
"2022/05/24","74013744037","2984679765","67295382400","0","144293806202"
"2022/05/23","63989201788","5294262880","88681570935","0","157965035603"
"2022/05/20","35807368868","4065833040","65745349330","0","105618551238"
"2022/05/19","88914460924","8286955435","82632492440","0","179833908799"
"2022/05/18","68378735531","5596608695","64219296880","0","138194641106"
"2022/05/17","19683051041","6270016460","87151685220","0","113104752721"
"2022/05/16","42267106099","6136400350","68936477980","0","117339984429"
"2022/05/13","36699140999","6805144530","84084642925","10035000","127598963454"
"2022/05/12","109103294124","4137348170","125184369945","18074500","238443086739"
"2022/05/11","51872701703","6608673370","86273260790","48650","144754684513"
"2022/05/10","73476243110","4120812990","90503238535","17892400","168118187035"
"2022/05/09","40330101195","2424388795","74857848415","10550400","117622888805"
"2022/05/06","86736111431","3040822890","99723801445","0","189500735766"
"2022/05/04","35504394563","5487108000","72535296300","0","113526798863"
"2022/05/03","23911949637","4525002050","88266229420","0","116703181107"
"2022/05/02","61812812930","3222547170","79940484195","0","144975844295"
"2022/04/29","23552164325","5102084150","76145282670","0","104799531145"
"2022/04/28","25932721778","3182881025","115188766370","0","144304369173"
"2022/04/27","56781171679","4509791900","73926641710","0","135217605289"
"2022/04/26","34384120005","3986630175","126423169100","0","164793919280"
"2022/04/25","64507822310","3133729270","90944478570","0","158586030150"
"2022/04/22","70772055885","2761439740","73930137820","0","147463633445"
"2022/04/21","29547987518","4119207250","84295063325","0","117962258093"
"2022/04/20","31832273943","5445420750","95902475335","0","133180170028"
"2022/04/19","18439976140","5490616740","66051493110","0","89982085990"
"2022/04/18","27685286445","2794143240","68670062385","6967600","99156459670"
"2022/04/15","66256894579","3555276145","68246571325","0","138058742049"
"2022/04/14","59016843175","4926915350","75778518385","0","139722276910"
"2022/04/13","33597194020","4832501445","85680585495","0","124110280960"
"2022/04/12","70239486905","5276801425","100022269330","0","175538557660"
"2022/04/11","78206151585","3602939740","89329004080","0","171138095405"
"2022/04/08","44119753491","3156274230","72124286010","0","119400313731"
"2022/04/07","68450092728","5407206310","113312377515","0","187169676553"
"2022/04/06","106336273445","3654752570","83664646425","0","193655672440"
"2022/04/05","38084696204","5032111105","61917970290","0","105034777599"
"2022/04/04","24748457393","5028921960","92780889185","0","122558268538"
"2022/04/01","41235931390","3763594850","71127373135","0","116126899375"
"2022/03/31","29248947337","6074697050","61454074055","0","96777718442"
"2022/03/30","27707883494","4023908405","62093114630","0","93824906529"
"2022/03/29","28093189935","3928794000","71023694850","5508400","103051187185"
"2022/03/28","78482477256","2750290200","73109369830","5390000","154347527286"
"2022/03/25","55089713125","3221388020","77006144970","6547500","135323793615"
"2022/03/24","43692547012","3352471200","102842712545","9103000","149896833757"
"2022/03/23","42041812725","3136192740","60256812915","0","105434818380"
"2022/03/22","34938402089","2188639360","68083391405","0","105210432854"
"2022/03/21","41857445902","2257709600","65245754260","6054400","109366964162"
"2022/03/18","33479828820","2843551330","91730119475","0","128053499625"
"2022/03/17","26611572907","6101782530","89336431340","0","122049786777"
"2022/03/16","23825246945","4666601440","98055676510","4992750","126552517645"
"2022/03/15","41115045251","4193655710","95103609510","0","140412310471"
"2022/03/14","63203806845","4854392235","142978817150","0","211037016230"
"2022/03/11","49932492025","3806216360","120918090240","0","174656798625"
"2022/03/10","54059169798","5056715550","133397057835","0","192512943183"
"2022/03/08","55931365566","3080311210","132364156635","0","191375833411"
"2022/03/07","64642104568","2909384540","73908392705","0","141459881813"
"2022/03/04","78028254567","2498867620","81713339560","1419840","162241881587"
"2022/03/03","55880209191","5637128180","85079901840","0","146597239211"
"2022/03/02","25972353845","6641316275","80597356130","0","113211026250"
"2022/02/28","54046912170","3556966535","67746452120","0","125350330825"
"2022/02/25","28947774000","5325220770","83485998385","0","117758993155"
"2022/02/24","70459940795","2966441930","102673991220","2382000","176102755945"
"2022/02/23","49786945923","2224503240","75515416890","0","127526866053"
"2022/02/22","66822035966","3640987025","62553214950","0","133016237941"
"2022/02/21","45926039952","3422395990","43203814415","0","92552250357"
"2022/02/18","62169659244","3382715945","65642403465","0","131194778654"
"2022/02/17","71093802371","5025483790","97096876380","105300000","173321462541"
"2022/02/16","54493774779","5864300475","95198585040","8600000","155565260294"
"2022/02/15","33206753877","5092482760","86694659920","11097400","125004993957"
"2022/02/14","35676494305","4594061800","68966239755","0","109236795860"
"2022/02/11","72729098620","5240468405","102944831645","4296000","180918694670"
"2022/02/10","98264265176","3323234920","145709183510","3204500","247299888106"
"2022/02/09","48125505195","4480392860","82909205525","6289600","135521393180"
"2022/02/08","51468082010","5666670010","125800502250","6015300","182941269570"
"2022/02/07","74962752667","5089788425","123598724255","0","203651265347"
"2022/02/04","63724407886","5816787380","91164158950","0","160705354216"
"2022/02/03","43772376318","7491422080","117584412070","10447500","168858657968"
"2022/01/28","61715658807","6198119920","134513206120","0","202426984847"
"2022/01/27","45645207195","7970486545","173570550335","0","227186244075"
"2022/01/26","41503200312","9211497955","132448129805","0","183162828072"
"2022/01/25","51581622675","6470552290","137554518470","0","195606693435"
"2022/01/24","37035838185","6156021005","134146967365","0","177338826555"
"2022/01/21","49533152947","3862019160","115745112580","0","169140284687"
"2022/01/20","36187846445","4817512910","100056867525","0","141062226880"
"2022/01/19","57039569745","3516960340","99603237575","0","160159767660"
"2022/01/18","38650722681","3897991445","86930085555","0","129478799681"
"2022/01/17","21923724740","3822348080","93576428010","0","119322500830"
"2022/01/14","64858713475","3048922880","94659772610","0","162567408965"
"2022/01/13","77157056089","4118832760","158924594480","0","240200483329"
"2022/01/12","38606042731","3525583700","123389196440","25650000","165546472871"
"2022/01/11","63297304299","3353212660","145012207715","38254000","211700978674"
"2022/01/10","59249490417","2550116870","85067204295","15228000","146882039582"
"2022/01/07","66976590193","4576323920","110951262895","2550000","182506727008"
"2022/01/06","61190583747","4747783850","122502413940","13910750","188454692287"
"2022/01/05","50997716840","3212772160","121580864595","21587000","175812940595"
"2022/01/04","41963666532","3321485850","125137971990","316500","170423440872"
"2022/01/03","33811667401","3576379270","89395294965","0","126783341636"
"2021/12/30","84896110075","3690746925","103100421040","0","191687278040"
"2021/12/29","108316080467","4676942430","156749566160","0","269742589057"
"2021/12/28","37158678141","6032674045","122646305720","0","165837657906"
"2021/12/27","5890727602","2787755050","63837219225","0","72515701877"
"2021/12/24","14552656716","4111803640","75510167370","0","94174627726"
"2021/12/23","15340517225","6213431120","108307319670","0","129861268015"
"2021/12/22","29903410933","4277107845","80765515885","0","114946034663"
"2021/12/21","27800602494","7171053905","99441923265","0","134413579664"
"2021/12/20","27348598268","4528435635","88758038520","0","120635072423"
"2021/12/17","53621634235","2908962955","86768845300","0","143299442490"
"2021/12/16","21889761804","3545234385","83300740185","0","108735736374"
"2021/12/15","32954831359","4072543480","93971776890","0","130999151729"
"2021/12/14","23547827925","3626252550","99848369450","0","127022449925"
"2021/12/13","46402411735","4234209090","90588430850","0","141225051675"
"2021/12/10","153116435327","3709238515","120516721110","0","277342394952"
"2021/12/09","99676388095","4409721090","126691029110","0","230777138295"
"2021/12/08","33598091497","6886635750","109463188160","4540900","149952456307"
"2021/12/07","45182336141","3440439255","112201850375","4039200","160828664971"
"2021/12/06","89168176475","4978672150","124998622125","5440400","219150911150"
"2021/12/03","44956933559","5324661815","95808130320","0","146089725694"
"2021/12/02","44947587934","4770972005","124072662600","5341750","173796564289"
"2021/12/01","58227450674","5129543420","110260919595","0","173617913689"
"2021/11/30","70373647236","5829935160","200579958325","0","276783540721"
"2021/11/29","65039729723","4137041320","86356439750","0","155533210793"
"2021/11/26","88143909980","6109307350","92345452345","0","186598669675"
"2021/11/25","47556447024","4210403160","88382171680","0","140149021864"
"2021/11/24","45400947978","4883346140","99385459920","0","149669754038"
"2021/11/23","58414701055","3114918900","90009692065","234900","151539546920"
"2021/11/22","40758543388","4494760350","136833122905","0","182086426643"
"2021/11/19","46666469702","3019052720","107003613645","0","156689136067"
"2021/11/18","43934075144","5261799185","117447805090","0","166643679419"
