일자,기관,개인,외국인,기타,전체
"2022/07/08","78221857117","10536015955","260159633965","0","348917507037"
"2022/07/07","63642526013","15888774200","290974425130","0","370505725343"
"2022/07/06","103409047751","15718598950","327912180300","0","447039827001"
"2022/07/05","55942059634","15982184580","292249149905","23025600","364196419719"
"2022/07/04","95533492240","11556552790","287555988165","0","394646033195"
"2022/07/01","120777251249","15193093770","350470685440","8789400","486449819859"
"2022/06/30","155660885187","12966793895","292800299520","0","461427978602"
"2022/06/29","136410463056","12859311415","305639228000","0","454909002471"
"2022/06/28","75149315358","12939339595","223451675115","0","311540330068"
"2022/06/27","61945648899","9390173645","209149155530","0","280484978074"
"2022/06/24","44604259483","13807189085","321822388640","0","380233837208"
"2022/06/23","109908774722","14972603405","461810740005","0","586692118132"
"2022/06/22","83944281148","9234906980","410501253380","0","503680441508"
"2022/06/21","71265973415","12647719225","270180912695","0","354094605335"
"2022/06/20","104115207395","7643017785","357299023410","0","469057248590"
"2022/06/17","154210436157","12164485515","605950140075","0","772325061747"
"2022/06/16","93487785953","13086010050","284013778155","0","390587574158"
"2022/06/15","95170521079","13978129540","401654330270","184736600","510987717489"
"2022/06/14","104180057502","14066444095","453035882940","0","571282384537"
"2022/06/13","155350763597","7642040420","425042517615","0","588035321632"
"2022/06/10","195969324528","10018836915","366820676420","0","572808837863"
"2022/06/09","192040009113","9057495090","573535268575","0","774632772778"
"2022/06/08","111609579372","8521486610","301077356325","0","421208422307"
"2022/06/07","98707809005","9443025405","240617369865","0","348768204275"
"2022/06/03","48919498627","7245944145","219484988625","0","275650431397"
"2022/06/02","73614978163","4942392670","410600915295","0","489158286128"
"2022/05/31","83442528479","12297300890","521632775510","0","617372604879"
"2022/05/30","60244076083","8620290610","310183625570","0","379047992263"
"2022/05/27","57025488852","6465926385","260964316065","0","324455731302"
"2022/05/26","80837381861","8293236540","326666641760","0","415797260161"
"2022/05/25","105394152752","6915832915","386307578350","0","498617564017"
"2022/05/24","93552284047","4646704550","309246947725","0","407445936322"
"2022/05/23","72015201962","5778540880","273357473500","0","351151216342"
"2022/05/20","80795535649","8225124590","320550818585","0","409571478824"
"2022/05/19","149059122639","6624781785","356932753965","0","512616658389"
"2022/05/18","114575517635","5032480320","351488760495","0","471096758450"
"2022/05/17","97858479211","6878688100","398308209560","0","503045376871"
"2022/05/16","81659978340","6258616030","366671214585","0","454589808955"
"2022/05/13","117458474109","13335316760","476191222955","0","606985013824"
"2022/05/12","278656726369","11734161320","466955056455","0","757345944144"
"2022/05/11","166881584861","8051971045","338318857470","0","513252413376"
"2022/05/10","138056462017","8276825440","458432425020","0","604765712477"
"2022/05/09","157359129302","5926850895","315346475690","0","478632455887"
"2022/05/06","192958393242","8877848550","386084226530","0","587920468322"
"2022/05/04","98670391944","8013358200","274400408750","0","381084158894"
"2022/05/03","95518336492","5333808760","257232693565","0","358084838817"
"2022/05/02","117591397111","7486043870","277134988725","0","402212429706"
"2022/04/29","112513256164","8771835540","330609336630","0","451894428334"
"2022/04/28","138011334102","10292700020","460314951850","0","608618985972"
"2022/04/27","120274160858","10831553550","371929903205","0","503035617613"
"2022/04/26","104914067670","7274201725","372776692420","0","484964961815"
"2022/04/25","189820582382","8665348460","355156275115","0","553642205957"
"2022/04/22","169185002177","6780124290","353155423175","0","529120549642"
"2022/04/21","87245000099","4434989130","270248692780","0","361928682009"
"2022/04/20","116754646627","5498368550","260565698455","0","382818713632"
"2022/04/19","76256545270","5267664645","200555770340","0","282079980255"
"2022/04/18","122208921903","4541439890","199357557595","0","326107919388"
"2022/04/15","171636923345","7293580170","228367635265","0","407298138780"
"2022/04/14","186227134540","8509986790","304666873095","0","499403994425"
"2022/04/13","76132431110","7516889790","236716796575","0","320366117475"
"2022/04/12","97142534282","4895817015","305613568960","0","407651920257"
"2022/04/11","106175696130","4819309805","306818617300","0","417813623235"
"2022/04/08","121880998260","7330716975","302168186990","0","431379902225"
"2022/04/07","190022663104","6499952580","370417205805","0","566939821489"
"2022/04/06","145395769637","5564678335","314304594865","0","465265042837"
"2022/04/05","81952744593","5752177490","221863635595","0","309568557678"
"2022/04/04","68832358351","5596705180","189874315575","0","264303379106"
"2022/04/01","91898772049","7685801725","282391308100","0","381975881874"
"2022/03/31","91556340143","8280385420","249439612785","0","349276338348"
"2022/03/30","105231000763","5601915650","261307758290","0","372140674703"
"2022/03/29","93030158494","5648314865","247668024310","0","346346497669"
"2022/03/28","130763137648","6761099640","246393086195","0","383917323483"
"2022/03/25","100240062595","5920730135","210327116630","0","316487909360"
"2022/03/24","102175836756","10383255970","248560896340","0","361119989066"
"2022/03/23","97895834912","8345874605","293120661435","6089150","399368460102"
"2022/03/22","111296663460","8652247010","273607988895","0","393556899365"
"2022/03/21","120063018690","9704778960","249425732065","5684000","379199213715"
"2022/03/18","86538725182","10731391745","394168320165","0","491438437092"
"2022/03/17","116107554251","10101465415","325595452710","219689960","452024162336"
"2022/03/16","85421271082","10387642945","381732382840","0","477541296867"
"2022/03/15","120129138839","8868184675","447941542410","0","576938865924"
"2022/03/14","150154335381","12472509125","628081966935","0","790708811441"
"2022/03/11","183067345369","14248788920","548052176684","0","745368310973"
"2022/03/10","158024601140","18793743445","615450300333","0","792268644918"
"2022/03/08","196077741970","14352636375","380092644080","0","590523022425"
"2022/03/07","437669885437","12706237770","373642617494","0","824018740701"
"2022/03/04","159682892380","18838212290","279078197475","0","457599302145"
"2022/03/03","77874807797","11493098940","243201122945","0","332569029682"
"2022/03/02","70243491874","9355236490","341449708480","0","421048436844"
"2022/02/28","129761658587","10830160010","339168259550","11930800","479772008947"
"2022/02/25","68431788873","14224952185","320808862105","6457600","403472060763"
"2022/02/24","131161506482","11009081295","352155833095","0","494326420872"
"2022/02/23","65514536251","11440891510","301341647400","5941350","378303016511"
"2022/02/22","93819943245","9728902360","306965544975","0","410514390580"
"2022/02/21","63146884189","8261811755","209287720435","21860300","280718276679"
"2022/02/18","100609946585","12752213705","259462135335","16750","372824312375"
"2022/02/17","119235314132","12144484885","262335385190","4671500","393719855707"
"2022/02/16","95579683091","13003050105","295318952870","0","403901686066"
"2022/02/15","134476169345","14580196220","273390751760","0","422447117325"
"2022/02/14","157546710237","9694341865","284199864050","0","451440916152"
"2022/02/11","204546095038","11383107760","463690720860","0","679619923658"
"2022/02/10","200665285367","16407627405","458089876770","0","675162789542"
"2022/02/09","90240643307","9714483180","349177424675","0","449132551162"
"2022/02/08","143892598464","10827339275","384158594249","12216400","538890748388"
"2022/02/07","117463624210","7328791480","348676031335","5945000","473474392025"
"2022/02/04","83844453396","11331386665","279981256850","0","375157096911"
"2022/02/03","108136316946","10651382355","396515102850","0","515302802151"
"2022/01/28","97019507470","15496267200","544749736915","0","657265511585"
"2022/01/27","133768648293","14145771655","558055606995","0","705970026943"
"2022/01/26","84570697180","12076012660","368964265170","369000","465611344010"
"2022/01/25","129464189982","7566001595","432236612475","0","569266804052"
"2022/01/24","87031689265","6799273350","350942174035","0","444773136650"
"2022/01/21","137713694655","10411738955","355586165935","0","503711599545"
"2022/01/20","77716379932","10134719585","352997063020","0","440848162537"
"2022/01/19","135544604564","12987963925","447244568530","0","595777137019"
"2022/01/18","141687133008","10466701935","406606856430","0","558760691373"
"2022/01/17","152789008602","10856485360","445713821899","0","609359315861"
"2022/01/14","184435859430","15450009910","458355815048","0","658241684388"
"2022/01/13","281867407861","9654840730","328975409125","0","620497657716"
"2022/01/12","156739400914","19840547580","386235871135","0","562815819629"
"2022/01/11","153607079376","10780184840","351668640995","0","516055905211"
"2022/01/10","214700651101","12128828095","465023584935","0","691853064131"
"2022/01/07","148113425559","8240621320","526335124750","0","682689171629"
"2022/01/06","171415478397","11707247180","498875275935","15620000","682013621512"
"2022/01/05","323499018115","8124837170","436351597695","0","767975452980"
"2022/01/04","146751888260","9585892310","290174386995","0","446512167565"
"2022/01/03","102152338200","5657554960","215489146140","0","323299039300"
"2021/12/30","82227648879","4927778535","213398561285","0","300553988699"
"2021/12/29","141889565491","8792726180","246913491260","9475000","397605257931"
"2021/12/28","64341546923","7916177530","222511169850","0","294768894303"
"2021/12/27","51588202328","3202273800","138905930715","0","193696406843"
"2021/12/24","43285148499","3817210540","180283884230","0","227386243269"
"2021/12/23","52448835270","7783697155","237262394841","0","297494927266"
"2021/12/22","50518704306","5545057520","225805682845","0","281869444671"
"2021/12/21","65559980141","8148114480","259737116080","0","333445210701"
"2021/12/20","86208822096","6038688935","236484462630","0","328731973661"
"2021/12/17","81145486325","7543799265","476605993200","0","565295278790"
"2021/12/16","90334846007","6181784690","210086163665","0","306602794362"
"2021/12/15","77171681874","7106688435","231928199215","0","316206569524"
"2021/12/14","110085388008","6153278340","268694303110","16750000","384949719458"
"2021/12/13","78335627048","5075318700","238658354385","0","322069300133"
"2021/12/10","116540793091","4223134450","218096881170","57046570","338917855281"
"2021/12/09","177890372292","7392978420","504230919505","0","689514270217"
"2021/12/08","69399058937","5718299660","276033632910","104785160","351255776667"
"2021/12/07","110379422681","6501569925","267153292340","38030400","384072315346"
"2021/12/06","72527238032","4374699930","269661653615","144800000","346708391577"
"2021/12/03","97362905478","6438094010","280517989770","0","384318989258"
"2021/12/02","87655040497","8880121380","404878589115","0","501413750992"
"2021/12/01","73438058231","12483217900","291185059405","0","377106335536"
"2021/11/30","116015052514","14911195805","687571458790","0","818497707109"
"2021/11/29","109155095162","9549183055","412278781320","0","530983059537"
"2021/11/26","98822594683","6535382330","336047514120","0","441405491133"
"2021/11/25","45389671734","5487907220","260019174965","0","310896753919"
"2021/11/24","50315039022","5527171000","310083489405","0","365925699427"
"2021/11/23","58523822139","6590930250","343845302050","0","408960054439"
"2021/11/22","80433581207","6553111040","403568285860","0","490554978107"
"2021/11/19","47177474747","6120218900","351321821925","0","404619515572"
"2021/11/18","62796442440","9405575490","296972615337","0","369174633267"
"2021/11/17","94925841590","5682371600","334929401400","0","435537614590"
"2021/11/16","71335897305","5921746370","316065376722","0","393323020397"
"2021/11/15","128507447556","10011638250","329415778310","0","467934864116"
"2021/11/12","131828531569","8530355870","343658727955","0","484017615394"
"2021/11/11","131000518708","17499237725","380058972650","0","528558729083"
"2021/11/10","67495308192","7773210490","311036345825","0","386304864507"
"2021/11/09","71833196760","5665399825","282086962370","0","359585558955"
"2021/11/08","110950948877","7723116495","324782401165","0","443456466537"
"2021/11/05","81856529077","10093592900","345141820860","0","437091942837"
"2021/11/04","70570039306","9826934170","336443228660","0","416840202136"
"2021/11/03","43403854657","8845410885","379180527295","0","431429792837"
"2021/11/02","54909238078","8382785450","237501286220","0","300793309748"
"2021/11/01","60856615575","8407490350","278522460730","9592680","347796159335"
"2021/10/29","88471244242","5861956885","350117243140","0","444450444267"
"2021/10/28","86064021916","7987450320","313564590530","0","407616062766"
"2021/10/27","105475252497","8469651310","342205990780","87220000","456238114587"
"2021/10/26","79116208987","6409419690","330606398540","0","416132027217"
"2021/10/25","83739570486","8835698655","243547857975","0","336123127116"
"2021/10/22","51688337953","7590608650","244054755620","0","303333702223"
"2021/10/21","51664830146","8731878360","294783409625","0","355180118131"
"2021/10/20","73190372705","6873149990","358671673860","0","438735196555"
"2021/10/19","61360125845","6342806665","252882973720","0","320585906230"
"2021/10/18","86815021070","4818984485","261647889365","0","353281894920"
"2021/10/15","110535979176","7508118870","297537364515","0","415581462561"
"2021/10/14","139687574173","9760757660","385807197365","0","535255529198"
"2021/10/13","117145526297","7728184400","352457756140","0","477331466837"
"2021/10/12","126155681494","9128722870","427475618555","0","562760022919"
"2021/10/08","116850521914","13928573525","416066082930","0","546845178369"
"2021/10/07","77110738334","11894714450","312162121100","0","401167573884"
"2021/10/06","118538990168","9052999810","392229620290","24148000","519845758268"
"2021/10/05","158904644317","11196406565","526863718755","0","696964769637"
"2021/10/01","189912212915","9552981120","341638973005","0","541104167040"
"2021/09/30","187654485984","9632648695","355924513430","0","553211648109"
"2021/09/29","173895742941","10700540340","340434645185","0","525030928466"
"2021/09/28","124965569356","9192945490","271352785835","95710000","405607010681"
"2021/09/27","73927501984","7857705085","245073072580","0","326858279649"
"2021/09/24","82045903903","6847866380","357279790015","0","446173560298"
"2021/09/23","68337069149","7411696985","335281197004","529000","411030492138"
"2021/09/17","109708746211","8249813550","472142757785","551000","590101868546"
"2021/09/16","62476113511","6830243635","386344033458","192000","455650582604"
"2021/09/15","105275090162","6836286850","338039886910","191000","450151454922"
"2021/09/14","74274329112","6405695645","355746296535","385500","436426706792"
"2021/09/13","116382152398","8609371540","285514661545","0","410506185483"
"2021/09/10","166281114398","9597521930","497715363775","1208000","673595208103"
"2021/09/09","175721734908","7015860970","347406874910","0","530144470788"
"2021/09/08","136537028443","10194639755","450075581622","1108000","596808357820"
"2021/09/07","68668263649","5393404085","271177287615","0","345238955349"
"2021/09/06","38457239826","4651955180","252100622310","0","295209817316"
"2021/09/03","62940570079","6611604045","372981365405","599500","442534139029"
"2021/09/02","72790148458","6880282150","315415343605","0","395085774213"
"2021/09/01","79514452955","6271953690","285350154450","0","371136561095"
"2021/08/31","80656368912","8713315600","349089768125","0","438459452637"
"2021/08/30","61471405591","8116898315","300578020590","615000","370166939496"
"2021/08/27","53618829088","7697714505","235315664970","0","296632208563"
"2021/08/26","85402766437","8765837165","393132906805","0","487301510407"
