일자,기관,개인,외국인,기타,전체
"2022/07/08","1048745","132119","2389841","0","3570705"
"2022/07/07","569005","54597","2095836","0","2719438"
"2022/07/06","1563102","107450","2491073","0","4161625"
"2022/07/05","1061071","133583","2770513","0","3965167"
"2022/07/04","1602393","117213","2675027","0","4394633"
"2022/07/01","1238822","112726","2870039","71","4221658"
"2022/06/30","1185891","79374","2411177","0","3676442"
"2022/06/29","1617067","93982","2105129","0","3816178"
"2022/06/28","1058158","110176","2358702","0","3527036"
"2022/06/27","1661821","105916","2348879","0","4116616"
"2022/06/24","886760","175230","2528884","0","3590874"
"2022/06/23","1399172","99601","2973898","0","4472671"
"2022/06/22","1183595","100629","3150965","0","4435189"
"2022/06/21","990268","65614","2876782","0","3932664"
"2022/06/20","1025352","80983","2972106","0","4078441"
"2022/06/17","1014385","63476","2774942","0","3852803"
"2022/06/16","464981","61121","2127165","0","2653267"
"2022/06/15","915133","102953","3823456","0","4841542"
"2022/06/14","1194719","88370","3231547","0","4514636"
"2022/06/13","1709556","56369","3074641","0","4840566"
"2022/06/10","3688799","56772","3273152","0","7018723"
"2022/06/09","1106444","89850","3598472","0","4794766"
"2022/06/08","670428","57484","2578184","0","3306096"
"2022/06/07","666711","38582","2166159","5","2871457"
"2022/06/03","373488","57048","2552824","0","2983360"
"2022/06/02","968662","34796","2202690","0","3206148"
"2022/05/31","547172","117029","2450455","0","3114656"
"2022/05/30","321957","42037","1984234","0","2348228"
"2022/05/27","672943","58179","2205866","0","2936988"
"2022/05/26","1225921","67151","2337604","0","3630676"
"2022/05/25","1066701","110706","2576345","0","3753752"
"2022/05/24","2345721","78388","2316452","0","4740561"
"2022/05/23","1666907","105305","2280383","0","4052595"
"2022/05/20","597250","56869","1927297","0","2581416"
"2022/05/19","2532020","106511","2123783","0","4762314"
"2022/05/18","2123389","73367","1752181","0","3948937"
"2022/05/17","497223","119626","3145253","0","3762102"
"2022/05/16","1227332","77530","2394145","0","3699007"
"2022/05/13","623861","143408","2650687","45","3418001"
"2022/05/12","3062320","85875","3757343","85","6905623"
"2022/05/11","1453301","120172","3131062","1","4704536"
"2022/05/10","1543817","83057","3031232","82","4658188"
"2022/05/09","928823","50413","2291046","48","3270330"
"2022/05/06","1946727","56511","2423112","0","4426350"
"2022/05/04","803434","73314","2106818","0","2983566"
"2022/05/03","478905","75941","2433507","0","2988353"
"2022/05/02","1337837","58700","1787151","0","3183688"
"2022/04/29","516352","77010","1826125","0","2419487"
"2022/04/28","514592","77474","3075128","0","3667194"
"2022/04/27","1224579","99875","2041045","0","3365499"
"2022/04/26","775662","83785","2239912","0","3099359"
"2022/04/25","1561809","82135","2672558","0","4316502"
"2022/04/22","1896849","67098","2009026","0","3972973"
"2022/04/21","572153","71903","2139611","0","2783667"
"2022/04/20","831389","104643","2512562","0","3448594"
"2022/04/19","397331","97330","2061870","0","2556531"
"2022/04/18","695854","54480","2279000","43","3029377"
"2022/04/15","1457934","66709","1793256","0","3317899"
"2022/04/14","1232752","77357","1656864","0","2966973"
"2022/04/13","715231","98994","2344276","0","3158501"
"2022/04/12","1620769","123075","2273067","0","4016911"
"2022/04/11","2239636","84228","2109624","0","4433488"
"2022/04/08","749251","79022","2225983","0","3054256"
"2022/04/07","1206621","116655","2824780","0","4148056"
"2022/04/06","3052003","60315","2221470","0","5333788"
"2022/04/05","1040059","102601","2203989","0","3346649"
"2022/04/04","709225","124007","3524687","0","4357919"
"2022/04/01","1286818","82569","2321853","0","3691240"
"2022/03/31","632740","89901","2032456","0","2755097"
"2022/03/30","663491","103189","2207004","0","2973684"
"2022/03/29","683251","114674","2507528","68","3305521"
"2022/03/28","2392472","82324","2134924","70","4609790"
"2022/03/25","1721679","126554","2384127","270","4232630"
"2022/03/24","1096001","64204","2792698","127","3953030"
"2022/03/23","1147594","50316","1831407","0","3029317"
"2022/03/22","936991","43760","1805608","0","2786359"
"2022/03/21","1015770","82801","1836523","43","2935137"
"2022/03/18","966999","64861","2120224","0","3152084"
"2022/03/17","538313","86430","1971702","0","2596445"
"2022/03/16","750730","204504","2695231","317","3650782"
"2022/03/15","1025813","162851","2173711","0","3362375"
"2022/03/14","1279863","84277","2573223","0","3937363"
"2022/03/11","865837","98564","2293102","0","3257503"
"2022/03/10","1267547","123666","3103489","0","4494702"
"2022/03/08","1153233","68760","2911472","0","4133465"
"2022/03/07","2199241","65578","2504935","0","4769754"
"2022/03/04","2298649","69512","2494544","288","4862993"
"2022/03/03","1563315","114600","2313248","0","3991163"
"2022/03/02","745918","103189","2394404","0","3243511"
"2022/02/28","1783496","58655","1955576","0","3797727"
"2022/02/25","983931","118067","2915660","0","4017658"
"2022/02/24","2055257","66823","3207611","60","5329751"
"2022/02/23","1625554","55142","2191729","0","3872425"
"2022/02/22","2175929","83542","2243295","0","4502766"
"2022/02/21","1327605","67046","1413096","0","2807747"
"2022/02/18","1662604","80122","2077244","0","3819970"
"2022/02/17","2057858","170788","2759932","3000","4991578"
"2022/02/16","1876728","131879","3632884","500","5641991"
"2022/02/15","711390","91932","2495160","533","3299015"
"2022/02/14","921758","95631","2073992","0","3091381"
"2022/02/11","1978047","156079","2485506","24","4619656"
"2022/02/10","2158421","82191","3940800","17","6181429"
"2022/02/09","834302","135969","2194947","331","3165549"
"2022/02/08","1142883","158538","4040726","211","5342358"
"2022/02/07","1590692","99209","3422842","0","5112743"
"2022/02/04","1376146","153744","2301917","0","3831807"
"2022/02/03","1033250","147825","2524880","38","3705993"
"2022/01/28","1705488","131939","2988956","0","4826383"
"2022/01/27","1319744","157078","3920081","0","5396903"
"2022/01/26","960696","133131","2965960","0","4059787"
"2022/01/25","1174506","94635","2857674","0","4126815"
"2022/01/24","621942","98788","2952202","0","3672932"
"2022/01/21","1343475","76719","2527195","0","3947389"
"2022/01/20","794532","82786","2152664","0","3029982"
"2022/01/19","1274444","81818","2439368","0","3795630"
"2022/01/18","846282","71027","2503555","0","3420864"
"2022/01/17","425049","74441","3013382","0","3512872"
"2022/01/14","1256048","70491","2885074","0","4211613"
"2022/01/13","1399161","84765","4049761","0","5533687"
"2022/01/12","775405","64264","2994986","135","3834790"
