일자,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"2022/07/07","2196583","77463220","237230964000","8366027760000","2.84"
"2022/07/06","2171624","77463220","230192144000","8211101320000","2.80"
"2022/07/05","2163226","77463220","231465182000","8288564540000","2.79"
"2022/07/04","2204647","77463220","227078641000","7978711660000","2.85"
"2022/07/01","2226502","77463220","231556208000","8056174880000","2.87"
"2022/06/30","2243980","77463220","240105860000","8288564540000","2.90"
"2022/06/29","2232852","77463220","255661554000","8869538690000","2.88"
"2022/06/28","2222755","77463220","260062335000","9063196740000","2.87"
"2022/06/27","2238809","77463220","259701844000","8985733520000","2.89"
"2022/06/24","2294603","77463220","262732043500","8869538690000","2.96"
"2022/06/23","2326392","77463220","260555904000","8675880640000","3.00"
"2022/06/22","2391884","77463220","283438254000","9179391570000","3.09"
"2022/06/21","2392779","77463220","297900985500","9644170890000","3.09"
"2022/06/20","2396577","77463220","300770413500","9721634110000","3.09"
"2022/06/17","2389929","77463220","302326018500","9799097330000","3.09"
"2022/06/16","2395381","77463220","303015696500","9799097330000","3.09"
"2022/06/15","2400398","77463220","301249949000","9721634110000","3.10"
"2022/06/14","2375345","77463220","300481142500","9799097330000","3.07"
"2022/06/13","2395742","77463220","301863492000","9760365720000","3.09"
"2022/06/10","2419852","77463220","315790686000","10108950210000","3.12"
"2022/06/09","2434269","77463220","322540642500","10263876650000","3.14"
"2022/06/08","2511731","77463220","325269164500","10031486990000","3.24"
"2022/06/07","2504847","77463220","323125263000","9992755380000","3.23"
"2022/06/03","2477925","77463220","332041950000","10380071480000","3.20"
"2022/06/02","2459926","77463220","332090010000","10457534700000","3.18"
"2022/05/31","2606687","77463220","340172653500","10108950210000","3.37"
"2022/05/30","2810306","77463220","370960392000","10225145040000","3.63"
"2022/05/27","2859232","77463220","367411312000","9954023770000","3.69"
"2022/05/26","2767384","77463220","368062072000","10302608260000","3.57"
"2022/05/25","2730393","77463220","364507465500","10341339870000","3.52"
"2022/05/24","2671377","77463220","341936256000","9915292160000","3.45"
"2022/05/23","2586814","77463220","345339669000","10341339870000","3.34"
"2022/05/20","2323587","77463220","317169625500","10573729530000","3.00"
"2022/05/19","2468969","77463220","317262516500","9954023770000","3.19"
"2022/05/18","2522323","77463220","312768052000","9605439280000","3.26"
"2022/05/17","2480637","77463220","307598988000","9605439280000","3.20"
"2022/05/16","2445776","77463220","302053336000","9566707670000","3.16"
"2022/05/13","2394878","77463220","304149506000","9837828940000","3.09"
"2022/05/12","2387293","77463220","294830685500","9566707670000","3.08"
"2022/05/11","2390090","77463220","296371160000","9605439280000","3.09"
"2022/05/10","2384871","77463220","301686181500","9799097330000","3.08"
"2022/05/09","2406306","77463220","305600862000","9837828940000","3.11"
"2022/05/06","2411958","77463220","314760519000","10108950210000","3.11"
"2022/05/04","2420585","77463220","320727512500","10263876650000","3.12"
"2022/05/03","2430061","77463220","325628174000","10380071480000","3.14"
