일자,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"2022/07/07","3218016","109142293","61303204800","2079160681650","2.95"
"2022/07/06","3162994","109142293","59464287200","2051875108400","2.90"
"2022/07/05","3108577","109142293","60928109200","2139188942800","2.85"
"2022/07/04","3079672","109142293","59437669600","2106446254900","2.82"
"2022/07/01","2810054","109142293","58730128600","2281073923700","2.57"
"2022/06/30","2740835","109142293","57009368000","2270159694400","2.51"
"2022/06/29","2822985","109142293","59564983500","2302902382300","2.59"
"2022/06/28","2901821","109142293","61228423100","2302902382300","2.66"
"2022/06/27","2863438","109142293","56982416200","2171931630700","2.62"
"2022/06/24","2883709","109142293","54502100100","2062789337700","2.64"
"2022/06/23","2843013","109142293","52311439200","2008218191200","2.60"
"2022/06/22","2895665","109142293","55741551250","2100989140250","2.65"
"2022/06/21","2872634","109142293","58170838500","2210131433250","2.63"
"2022/06/20","2812103","109142293","56242060000","2182845860000","2.58"
"2022/06/17","2516146","109142293","50071305400","2171931630700","2.31"
"2022/06/16","2568580","109142293","50986313000","2166474516050","2.35"
"2022/06/15","2660133","109142293","53867693250","2210131433250","2.44"
"2022/06/14","2531091","109142293","56569883850","2439330248550","2.32"
"2022/06/13","2455878","109142293","54397697700","2417501789950","2.25"
"2022/06/10","2521478","109142293","57489698400","2488444280400","2.31"
"2022/06/09","2820612","109142293","64450984200","2493901395050","2.58"
"2022/06/08","3224408","109142293","67873788400","2297445267650","2.95"
"2022/06/07","2775969","109142293","56213372250","2210131433250","2.54"
"2022/06/03","2729527","109142293","53498729200","2139188942800","2.50"
"2022/06/02","2771394","109142293","54042183000","2128274713500","2.54"
"2022/05/31","2795955","109142293","54101729250","2111903369550","2.56"
"2022/05/30","2902675","109142293","54860557500","2062789337700","2.66"
"2022/05/27","2968764","109142293","55070572200","2024589535150","2.72"
"2022/05/26","3025372","109142293","55818113400","2013675305850","2.77"
"2022/05/25","3078770","109142293","56649368000","2008218191200","2.82"
"2022/05/24","3113759","109142293","56514725850","1980932617950","2.85"
"2022/05/23","3169021","109142293","58309986400","2008218191200","2.90"
"2022/05/20","3241369","109142293","59317052700","1997303961900","2.97"
"2022/05/19","3285651","109142293","58484587800","1942732815400","3.01"
"2022/05/18","3272685","109142293","59890135500","1997303961900","3.00"
"2022/05/17","3273942","109142293","60404229900","2013675305850","3.00"
"2022/05/16","3278414","109142293","59667134800","1986389732600","3.00"
"2022/05/13","3282559","109142293","59906701750","1991846847250","3.01"
"2022/05/12","3306905","109142293","58862909000","1942732815400","3.03"
"2022/05/11","3280115","109142293","60026104500","1997303961900","3.01"
"2022/05/10","3222260","109142293","59611810000","2019132420500","2.95"
"2022/05/09","3214451","109142293","59467343500","2019132420500","2.95"
"2022/05/06","2999320","109142293","57436978000","2090074910950","2.75"
"2022/05/04","3003248","109142293","57211874400","2079160681650","2.75"
"2022/05/03","3048468","109142293","58073315400","2079160681650","2.79"
