일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/07/11","15050","-200","-1.31","15200","15300","15000","1383167","20939771350","5385126285000","357815700"
"2022/07/08","15250","-250","-1.61","15550","15600","15200","2354284","36098176350","5456689425000","357815700"
"2022/07/07","15500","150","0.98","15400","15600","15000","2098091","32145880550","5546143350000","357815700"
"2022/07/06","15350","400","2.68","14850","15700","14750","2788454","42919165850","5492470995000","357815700"
"2022/07/05","14950","450","3.10","14400","15050","14400","1797373","26725123950","5349344715000","357815700"
"2022/07/04","14500","150","1.05","14350","14700","14250","1364198","19761316550","5188327650000","357815700"
"2022/07/01","14350","-200","-1.37","14400","14850","14300","1277129","18590117200","5134655295000","357815700"
"2022/06/30","14550","-300","-2.02","14800","15050","14550","1891755","27837295100","5206218435000","357815700"
"2022/06/29","14850","-150","-1.00","14700","14900","14700","1666847","24686458750","5313563145000","357815700"
"2022/06/28","15000","-450","-2.91","15350","15450","14950","2091253","31589815600","5367235500000","357815700"
"2022/06/27","15450","250","1.64","15250","15500","15100","1351146","20754784950","5528252565000","357815700"
"2022/06/24","15200","200","1.33","14950","15400","14950","1404993","21408803900","5438798640000","357815700"
"2022/06/23","15000","-150","-0.99","15050","15250","14800","2393713","35942055100","5367235500000","357815700"
"2022/06/22","15150","-300","-1.94","15650","15700","15050","1946366","29728675250","5420907855000","357815700"
"2022/06/21","15450","-50","-0.32","15400","15600","15200","1768535","27251000800","5528252565000","357815700"
"2022/06/20","15500","-450","-2.82","15950","16050","15350","2262534","35017940450","5546143350000","357815700"
"2022/06/17","15950","-300","-1.85","15800","15950","15500","2385166","37712764550","5707160415000","357815700"
"2022/06/16","16250","100","0.62","16350","16550","16150","1390539","22743844700","5814505125000","357815700"
"2022/06/15","16150","-100","-0.62","16200","16650","16050","2312628","37573876700","5778723555000","357815700"
"2022/06/14","16250","-50","-0.31","16000","16450","15950","2754010","44407697300","5814505125000","357815700"
"2022/06/13","16300","-700","-4.12","16550","16600","16050","3155842","51344162400","5832395910000","357815700"
"2022/06/10","17000","-200","-1.16","17000","17000","16800","906129","15327419500","6082866900000","357815700"
"2022/06/09","17200","100","0.58","17050","17200","16800","1487760","25335633700","6154430040000","357815700"
"2022/06/08","17100","100","0.59","17100","17150","17000","792385","13529192550","6118648470000","357815700"
"2022/06/07","17000","-300","-1.73","17250","17300","16950","1284155","21890400850","6082866900000","357815700"
"2022/06/03","17300","-50","-0.29","17500","17650","17200","1145340","19885982750","6190211610000","357815700"
"2022/06/02","17350","0","0.00","17500","18000","17350","3118907","55048974050","6208102395000","357815700"
"2022/05/31","17350","50","0.29","17350","17450","17200","1971934","34202723700","6208102395000","357815700"
"2022/05/30","17300","50","0.29","17400","17400","17250","833298","14419097500","6190211610000","357815700"
"2022/05/27","17250","100","0.58","17300","17350","17100","976042","16770700500","6172320825000","357815700"
"2022/05/26","17150","-50","-0.29","17300","17550","17000","1277266","22078815850","6136539255000","357815700"
"2022/05/25","17200","0","0.00","17250","17400","17100","1287907","22182447700","6154430040000","357815700"
"2022/05/24","17200","-300","-1.71","17500","17650","17000","2012145","34776409100","6154430040000","357815700"
"2022/05/23","17500","350","2.04","17250","17600","17200","1654148","28791383750","6261774750000","357815700"
"2022/05/20","17150","400","2.39","16800","17150","16800","1064306","18151641800","6136539255000","357815700"
"2022/05/19","16750","-550","-3.18","16900","16950","16700","2178467","36602737050","5993412975000","357815700"
"2022/05/18","17300","250","1.47","17000","17350","17000","1790733","30754631200","6190211610000","357815700"
"2022/05/17","17050","0","0.00","17100","17200","17000","926718","15823443450","6100757685000","357815700"
"2022/05/16","17050","-300","-1.73","17400","17450","16900","1575809","26908290000","6100757685000","357815700"
"2022/05/13","17350","400","2.36","17050","17450","17000","1465208","25324098200","6208102395000","357815700"
"2022/05/12","16950","100","0.59","16700","17150","16650","2777217","47053288400","6064976115000","357815700"
"2022/05/11","16850","-300","-1.75","17100","17150","16800","1617379","27364608100","6029194545000","357815700"
"2022/05/10","17150","200","1.18","16800","17350","16650","2486649","42386099950","6136539255000","357815700"
"2022/05/09","16950","-100","-0.59","16950","17250","16850","1734373","29571436050","6064976115000","357815700"
"2022/05/06","17050","-250","-1.45","16950","17200","16950","1546878","26391777550","6100757685000","357815700"
"2022/05/04","17300","0","0.00","17200","17450","17100","1722786","29798526800","6190211610000","357815700"
"2022/05/03","17300","600","3.59","16650","17350","16600","3186860","54577028600","6190211610000","357815700"
"2022/05/02","16700","-50","-0.30","16400","16750","16400","1859672","30843376950","5975522190000","357815700"
"2022/04/29","16750","350","2.13","16350","16750","16350","4497901","74503921850","5993412975000","357815700"
"2022/04/28","16400","-1000","-5.75","17400","17450","16250","9582413","158463914750","5868177480000","357815700"
"2022/04/27","17400","-700","-3.87","17600","17850","17150","5186393","90776636400","6225993180000","357815700"
"2022/04/26","18100","0","0.00","18150","18350","18100","1552102","28260298300","6476464170000","357815700"
"2022/04/25","18100","-550","-2.95","18300","18450","18100","2588985","47131527200","6476464170000","357815700"
"2022/04/22","18650","50","0.27","18500","18800","18450","2007755","37334563400","6673262805000","357815700"
"2022/04/21","18600","-350","-1.85","19000","19050","18550","2059319","38619895250","6655372020000","357815700"
"2022/04/20","18950","50","0.26","18900","19200","18750","1653640","31400151550","6780607515000","357815700"
"2022/04/19","18900","450","2.44","18500","18900","18450","2210961","41441723700","6762716730000","357815700"
"2022/04/18","18450","-800","-4.16","19050","19100","18300","3380965","62506004650","6601699665000","357815700"
"2022/04/15","19250","-200","-1.03","19150","19350","18900","1866849","35625792050","6887952225000","357815700"
"2022/04/14","19450","400","2.10","19100","19500","19050","2854548","55208404550","6959515365000","357815700"
"2022/04/13","19050","550","2.97","18600","19100","18450","2123422","40057045850","6816389085000","357815700"
"2022/04/12","18500","0","0.00","18400","19050","18350","2153917","40247582250","6619590450000","357815700"
"2022/04/11","18500","-300","-1.60","18500","18950","18400","1606758","29925586500","6619590450000","357815700"
"2022/04/08","18800","400","2.17","18550","18900","18450","1967951","36758971150","6726935160000","357815700"
"2022/04/07","18400","-300","-1.60","18400","18650","18300","3719531","68449301050","6583808880000","357815700"
"2022/04/06","18700","-700","-3.61","19200","19300","18700","3485553","65704849700","6691153590000","357815700"
"2022/04/05","19400","-650","-3.24","20050","20050","19400","3040967","59528160900","6941624580000","357815700"
"2022/04/04","20050","-50","-0.25","20150","20150","19750","1180550","23563548350","7174204785000","357815700"
"2022/04/01","20100","-550","-2.66","20450","20450","20000","1587351","32006502050","7192095570000","357815700"
"2022/03/31","20650","600","2.99","20000","20650","19900","1818596","37014831900","7388894205000","357815700"
"2022/03/30","20050","-450","-2.20","20650","20650","20000","2390386","48211832300","7174204785000","357815700"
"2022/03/29","20500","50","0.24","20600","20750","20400","1095714","22467867100","7335221850000","357815700"
"2022/03/28","20450","-100","-0.49","20700","20750","20300","1551044","31751375250","7317331065000","357815700"
"2022/03/25","20550","500","2.49","20300","20900","20300","4043846","83475669500","7353112635000","357815700"
"2022/03/24","20050","-250","-1.23","20200","20350","19950","1652832","33185114850","7174204785000","357815700"
"2022/03/23","20300","300","1.50","20100","20400","20100","2104947","42659785500","7263658710000","357815700"
"2022/03/22","20000","100","0.50","19950","20350","19900","3241006","65006464100","7156314000000","357815700"
"2022/03/21","19900","100","0.51","20000","20200","19700","2083046","41475357600","7120532430000","357815700"
"2022/03/18","19800","550","2.86","19350","20250","19150","4910799","97157383000","7084750860000","357815700"
"2022/03/17","19250","0","0.00","19550","19950","19250","3682347","72119340950","6887952225000","357815700"
"2022/03/16","19250","50","0.26","19450","19500","19100","1848648","35547680150","6887952225000","357815700"
"2022/03/15","19200","650","3.50","18500","19450","18450","4335491","82822175700","6870061440000","357815700"
"2022/03/14","18550","-100","-0.54","18650","18700","18300","1344159","24849537350","6637481235000","357815700"
"2022/03/11","18650","-150","-0.80","18800","18850","18500","1109835","20668109550","6673262805000","357815700"
"2022/03/10","18800","600","3.30","18600","18800","18400","2489673","46458058050","6726935160000","357815700"
"2022/03/08","18200","-100","-0.55","17900","18400","17900","1447131","26333422150","6512245740000","357815700"
"2022/03/07","18300","-300","-1.61","18350","18500","18200","1478572","27110820050","6548027310000","357815700"
"2022/03/04","18600","-450","-2.36","18900","18950","18550","2003070","37400928250","6655372020000","357815700"
"2022/03/03","19050","350","1.87","18900","19100","18850","1653784","31393268250","6816389085000","357815700"
"2022/03/02","18700","0","0.00","18700","18850","18550","1344277","25117774700","6691153590000","357815700"
"2022/02/28","18700","-100","-0.53","18750","18800","18450","1611379","29991188750","6691153590000","357815700"
"2022/02/25","18800","400","2.17","18650","19200","18600","2231112","42139820800","6726935160000","357815700"
"2022/02/24","18400","-750","-3.92","18850","18950","18300","2999382","55650084000","6583808880000","357815700"
"2022/02/23","19150","450","2.41","18800","19250","18700","2210787","42107408450","6852170655000","357815700"
"2022/02/22","18700","-450","-2.35","18800","18900","18450","3092050","57576645100","6691153590000","357815700"
"2022/02/21","19150","-50","-0.26","19000","19250","18800","1537048","29256631050","6852170655000","357815700"
"2022/02/18","19200","-100","-0.52","19050","19250","18950","2134689","40750393050","6870061440000","357815700"
