일자,수량_공매도거래량_전체,수량_공매도거래량_업틱룰적용,수량_공매도거래량_업틱룰예외,수량_거래량,수량_비중,금액_공매도거래대금_전체,금액_공매도거래대금_업틱룰적용,금액_공매도거래대금_업틱룰예외,금액_거래대금,금액_비중
"2022/07/08","6120","3729","2391","123037","4.97","427100100","260502300","166597800","8589676800","4.97"
"2022/07/07","13576","9921","3655","105071","12.92","937263100","685643400","251619700","7254912500","12.92"
"2022/07/06","29013","22770","6243","186913","15.52","1997046500","1566833600","430212900","12888466300","15.49"
"2022/07/05","29358","23618","5740","168847","17.39","2020524800","1624996100","395528700","11632363800","17.37"
"2022/07/04","48680","43032","5648","251171","19.38","3293571100","2910016800","383554300","16989889700","19.39"
"2022/07/01","84965","65114","19851","350981","24.21","5862519100","4492993100","1369526000","24250690200","24.17"
"2022/06/30","95098","77789","17309","298831","31.82","6832056400","5576118200","1255938200","21496216500","31.78"
"2022/06/29","45152","29130","16022","368977","12.24","3286164600","2120006900","1166157700","26803111800","12.26"
"2022/06/28","23674","15548","8126","137254","17.25","1666393100","1094423400","571969700","9666388800","17.24"
"2022/06/27","10810","3347","7463","182197","5.93","758112500","233755700","524356800","12759491300","5.94"
"2022/06/24","13112","10708","2404","181306","7.23","898661100","735050600","163610500","12425970700","7.23"
"2022/06/23","20716","12608","8108","303989","6.81","1424035100","863679500","560355600","20811209700","6.84"
"2022/06/22","31626","22623","9003","237425","13.32","2193799100","1568638900","625160200","16488096100","13.31"
"2022/06/21","9763","6431","3332","135524","7.20","689415000","453998000","235417000","9559036900","7.21"
"2022/06/20","16116","10208","5908","223466","7.21","1129406700","713821600","415585100","15674829600","7.21"
"2022/06/17","34367","27988","6379","277008","12.41","2428536900","1978287300","450249600","19583364900","12.40"
"2022/06/16","25959","13531","12428","227048","11.43","1888791400","984517100","904274300","16493339000","11.45"
"2022/06/15","23807","9320","14487","244440","9.74","1733262400","678498000","1054764400","17798644400","9.74"
"2022/06/14","60174","42674","17500","292814","20.55","4384932000","3109000200","1275931800","21347838400","20.54"
"2022/06/13","87369","76786","10583","324837","26.90","6505893600","5714157000","791736600","24210322200","26.87"
"2022/06/10","30524","20603","9921","155618","19.61","2368593900","1597913100","770680800","12068062500","19.63"
"2022/06/09","32782","22688","10094","171973","19.06","2558352000","1770322300","788029700","13416298100","19.07"
"2022/06/08","45434","33809","11625","154398","29.43","3580672900","2664808600","915864300","12177433400","29.40"
"2022/06/07","28339","26599","1740","233520","12.14","2238377300","2101313300","137064000","18449236200","12.13"
"2022/06/03","23923","23749","174","296386","8.07","1880581800","1866837800","13744000","23311982300","8.07"
"2022/06/02","12405","12364","41","132731","9.35","959208400","956047300","3161100","10268007700","9.34"
"2022/05/31","21546","20759","787","356299","6.05","1679674100","1618326100","61348000","27745615000","6.05"
"2022/05/30","16597","15681","916","333706","4.97","1283205800","1212197100","71008700","25799462400","4.97"
"2022/05/27","23075","17364","5711","217711","10.60","1740387000","1310377100","430009900","16422029200","10.60"
"2022/05/26","33359","30809","2550","188444","17.70","2484507300","2294118300","190389000","14068994400","17.66"
"2022/05/25","33171","32366","805","225703","14.70","2452079900","2392802600","59277300","16683734900","14.70"
"2022/05/24","44727","43407","1320","199982","22.37","3300441800","3202342800","98099000","14757066200","22.37"
"2022/05/23","36330","36155","175","212965","17.06","2681023800","2668038800","12985000","15722762400","17.05"
"2022/05/20","47549","41740","5809","334082","14.23","3511347800","3082286800","429061000","24660864200","14.24"
"2022/05/19","118272","113224","5048","414619","28.53","8724205600","8351717200","372488400","30583292700","28.53"
"2022/05/18","47485","42528","4957","196423","24.17","3592825300","3217540000","375285300","14858336400","24.18"
"2022/05/17","38977","34861","4116","232967","16.73","2928145500","2619601600","308543900","17490649100","16.74"
"2022/05/16","43553","38117","5436","216763","20.09","3285055100","2875756200","409298900","16355412200","20.09"
"2022/05/13","16191","7810","8381","185912","8.71","1220501000","590266700","630234300","14051546100","8.69"
"2022/05/12","69303","44551","24752","335152","20.68","5228618800","3362323900","1866294900","25254517500","20.70"
"2022/05/11","93891","86370","7521","320238","29.32","7171328600","6596460800","574867800","24521324600","29.25"
"2022/05/10","111572","98155","13417","366275","30.46","8386624700","7382538200","1004086500","27557843300","30.43"
"2022/05/09","104107","92397","11710","345498","30.13","7936043800","7041219900","894823900","26351415000","30.12"
"2022/05/06","98491","78464","20027","434867","22.65","7638092100","6086389700","1551702400","33798546900","22.60"
"2022/05/04","42151","36853","5298","250454","16.83","3357278600","2934345400","422933200","19945287500","16.83"
"2022/05/03","16073","14075","1998","144487","11.12","1296533900","1135523800","161010100","11656178600","11.12"
"2022/05/02","22008","17630","4378","146520","15.02","1774503600","1421484000","353019600","11809272300","15.03"
"2022/04/29","19241","13063","6178","164617","11.69","1561703000","1060614000","501089000","13374975000","11.68"
"2022/04/28","36722","25162","11560","193030","19.02","2971704800","2037181100","934523700","15607186700","19.04"
