일자,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"2022/07/07","2852905","39248121","197421026000","2715969973200","7.27"
"2022/07/06","2851481","39248121","194471004200","2676721852200","7.27"
"2022/07/05","2859280","39248121","197290320000","2708120349000","7.29"
"2022/07/04","2896948","39248121","196413074400","2661022603800","7.38"
"2022/07/01","2885817","39248121","198832791300","2704195536900","7.35"
"2022/06/30","2836771","39248121","201978095200","2794466215200","7.23"
"2022/06/29","2843904","39248121","209595724800","2892586517700","7.25"
"2022/06/28","2963932","39248121","209253599200","2770917342600","7.55"
"2022/06/27","2966232","39248121","208526109600","2759142906300","7.56"
"2022/06/24","3005857","39248121","207103547300","2704195536900","7.66"
"2022/06/23","3034241","39248121","204811267500","2649248167500","7.73"
"2022/06/22","3044528","39248121","210681337600","2715969973200","7.76"
"2022/06/21","3009598","39248121","213681458000","2786616591000","7.67"
"2022/06/20","3019843","39248121","211690994300","2751293282100","7.69"
"2022/06/17","3003108","39248121","213821289600","2794466215200","7.65"
"2022/06/16","2980349","39248121","213392988400","2810165463600","7.59"
"2022/06/15","2992770","39248121","216975825000","2845488772500","7.63"
"2022/06/14","2982510","39248121","218916234000","2880812081400","7.60"
"2022/06/13","2920773","39248121","216429279300","2908285766100","7.44"
"2022/06/10","2843990","39248121","219840427000","3033879753300","7.25"
"2022/06/09","2861304","39248121","223181712000","3061353438000","7.29"
"2022/06/08","2890118","39248121","227452286600","3088827122700","7.36"
"2022/06/07","2903947","39248121","228250234200","3084902310600","7.40"
"2022/06/03","2945269","39248121","232676251000","3100601559000","7.50"
"2022/06/02","2946776","39248121","227196429600","3026030129100","7.51"
"2022/05/31","2954626","39248121","230460828000","3061353438000","7.53"
"2022/05/30","2916743","39248121","226047582500","3041729377500","7.43"
"2022/05/27","2992101","39248121","226202835600","2967157947600","7.62"
"2022/05/26","3002767","39248121","222805311400","2912210578200","7.65"
"2022/05/25","3064247","39248121","227060702700","2908285766100","7.81"
"2022/05/24","3115777","39248121","229009609500","2884736893500","7.94"
"2022/05/23","3102943","39248121","230238370600","2912210578200","7.91"
"2022/05/20","3108867","39248121","230056158000","2904360954000","7.92"
"2022/05/19","3097686","39248121","228609226800","2896511329800","7.89"
"2022/05/18","3018337","39248121","227884443500","2963233135500","7.69"
"2022/05/17","2998184","39248121","225463436800","2951458699200","7.64"
"2022/05/16","3035189","39248121","227942693900","2947533887100","7.73"
"2022/05/13","3019499","39248121","229481924000","2982857196000","7.69"
"2022/05/12","3032830","39248121","226552401000","2931834638700","7.73"
"2022/05/11","3029241","39248121","230525240100","2986782008100","7.72"
"2022/05/10","3006005","39248121","228155779500","2978932383900","7.66"
"2022/05/09","2945061","39248121","225591672600","3006406068600","7.50"
"2022/05/06","2886745","39248121","224300086500","3049579001700","7.36"
"2022/05/04","2775417","39248121","220645651500","3120225619500","7.07"
"2022/05/03","2738986","39248121","220488373000","3159473740500","6.98"
"2022/05/02","2732173","39248121","221306013000","3179097801000","6.96"
"2022/04/29","2695357","39248121","218862988400","3186947425200","6.87"
"2022/04/28","2698241","39248121","219366993300","3190872237300","6.87"
"2022/04/27","2712104","39248121","216697109600","3135924867900","6.91"
"2022/04/26","2710165","39248121","218981332000","3171248176800","6.91"
"2022/04/25","2709120","39248121","217000512000","3143774492100","6.90"
"2022/04/22","2692039","39248121","221554809700","3230120358300","6.86"
"2022/04/21","2665405","39248121","222294777000","3273293291400","6.79"
"2022/04/20","2673535","39248121","221903405000","3257594043000","6.81"
"2022/04/19","2689274","39248121","224823306400","3281142915600","6.85"
"2022/04/18","2683753","39248121","224898501400","3288992539800","6.84"
"2022/04/15","2749499","39248121","225183968100","3214421109900","7.01"
"2022/04/14","2693930","39248121","224673762000","3273293291400","6.86"
"2022/04/13","2720070","39248121","224949789000","3245819606700","6.93"
"2022/04/12","2731852","39248121","225104604800","3234045170400","6.96"
"2022/04/11","2732964","39248121","226836012000","3257594043000","6.96"
"2022/04/08","2739267","39248121","227633087700","3261518855100","6.98"
"2022/04/07","2728504","39248121","226192981600","3253669230900","6.95"
"2022/04/06","2760191","39248121","234892254100","3340015097100","7.03"
"2022/04/05","2806981","39248121","237751290700","3324315848700","7.15"
