일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/07/11","68800","-900","-1.29","69800","69800","68300","149558","10282839900","2700270724800","39248121"
"2022/07/08","69700","500","0.72","69500","70400","69200","123037","8589676800","2735594033700","39248121"
"2022/07/07","69200","1000","1.47","68800","69600","68500","105071","7254912500","2715969973200","39248121"
"2022/07/06","68200","-800","-1.16","69200","69900","67900","186913","12888466300","2676721852200","39248121"
"2022/07/05","69000","1200","1.77","68000","69800","67900","168847","11632363800","2708120349000","39248121"
"2022/07/04","67800","-1100","-1.60","68700","69300","66500","251171","16989889700","2661022603800","39248121"
"2022/07/01","68900","-2300","-3.23","71200","71200","68600","350981","24250690200","2704195536900","39248121"
"2022/06/30","71200","-2500","-3.39","73700","73800","70500","298831","21496216500","2794466215200","39248121"
"2022/06/29","73700","3100","4.39","69700","73900","69600","368977","26803111800","2892586517700","39248121"
"2022/06/28","70600","300","0.43","70500","71200","69800","137254","9666388800","2770917342600","39248121"
"2022/06/27","70300","1400","2.03","69800","70800","68300","182197","12759491300","2759142906300","39248121"
"2022/06/24","68900","1400","2.07","67100","69500","67100","181306","12425970700","2704195536900","39248121"
"2022/06/23","67500","-1700","-2.46","68800","69900","67400","303989","20811209700","2649248167500","39248121"
"2022/06/22","69200","-1800","-2.54","71100","71500","68800","237425","16488096100","2715969973200","39248121"
"2022/06/21","71000","900","1.28","69900","71200","69700","135524","9559036900","2786616591000","39248121"
"2022/06/20","70100","-1100","-1.54","71600","72100","69200","223466","15674829600","2751293282100","39248121"
"2022/06/17","71200","-400","-0.56","70100","71900","69900","277008","19583364900","2794466215200","39248121"
"2022/06/16","71600","-900","-1.24","73400","73600","71600","227048","16493339000","2810165463600","39248121"
"2022/06/15","72500","-900","-1.23","73000","73800","72000","244440","17798644400","2845488772500","39248121"
"2022/06/14","73400","-700","-0.94","73100","74000","72100","292814","21347838400","2880812081400","39248121"
"2022/06/13","74100","-3200","-4.14","76200","76500","74000","324837","24210322200","2908285766100","39248121"
"2022/06/10","77300","-700","-0.90","77300","78400","76800","155618","12068062500","3033879753300","39248121"
"2022/06/09","78000","-700","-0.89","78200","78400","77500","171973","13416298100","3061353438000","39248121"
"2022/06/08","78700","100","0.13","79100","79500","78500","154398","12177433400","3088827122700","39248121"
"2022/06/07","78600","-400","-0.51","79300","79600","78500","233520","18449236200","3084902310600","39248121"
"2022/06/03","79000","1900","2.46","78000","79500","77500","296386","23311982300","3100601559000","39248121"
"2022/06/02","77100","-900","-1.15","77100","77900","77000","132731","10268007700","3026030129100","39248121"
"2022/05/31","78000","500","0.65","78000","78100","77200","356299","27745615000","3061353438000","39248121"
"2022/05/30","77500","1900","2.51","76300","77900","76300","333706","25799462400","3041729377500","39248121"
"2022/05/27","75600","1400","1.89","75100","75800","74900","217711","16422029200","2967157947600","39248121"
