일자,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"2022/07/07","193413","4479948","71079277500","1646380890000","4.32"
"2022/07/06","199343","4479948","71962823000","1617261228000","4.45"
"2022/07/05","195513","4479948","73903914000","1693420344000","4.36"
"2022/07/04","195212","4479948","72326046000","1659820734000","4.36"
"2022/07/01","198888","4479948","73886892000","1664300682000","4.44"
"2022/06/30","198844","4479948","75660142000","1704620214000","4.44"
"2022/06/29","197272","4479948","77527896000","1760619564000","4.40"
"2022/06/28","195615","4479948","79517497500","1821098862000","4.37"
"2022/06/27","201708","4479948","81590886000","1812138966000","4.50"
"2022/06/24","197875","4479948","79248937500","1794219174000","4.42"
"2022/06/23","199151","4479948","76673135000","1724779980000","4.45"
"2022/06/22","201620","4479948","78530990000","1744939746000","4.50"
"2022/06/21","199193","4479948","83262674000","1872618264000","4.45"
"2022/06/20","198320","4479948","82996920000","1874858238000","4.43"
"2022/06/17","195176","4479948","84413620000","1937577510000","4.36"
"2022/06/16","194114","4479948","84730761000","1955497302000","4.33"
"2022/06/15","193854","4479948","84326490000","1948777380000","4.33"
"2022/06/14","187481","4479948","85585076500","2045096262000","4.18"
"2022/06/13","183235","4479948","86028832500","2103335586000","4.09"
"2022/06/10","180130","4479948","88353765000","2197414494000","4.02"
"2022/06/09","179900","4479948","89230400000","2222054208000","4.02"
"2022/06/08","182841","4479948","91786182000","2248933896000","4.08"
"2022/06/07","183250","4479948","92724500000","2266853688000","4.09"
"2022/06/03","182809","4479948","94512253000","2316133116000","4.08"
"2022/06/02","180452","4479948","92210972000","2289253428000","4.03"
"2022/05/31","178015","4479948","92567800000","2329572960000","3.97"
"2022/05/30","177422","4479948","92436862000","2334052908000","3.96"
"2022/05/27","186310","4479948","90267195000","2170534806000","4.16"
"2022/05/26","187655","4479948","91669467500","2188454598000","4.19"
"2022/05/25","192846","4479948","92758926000","2154854988000","4.30"
"2022/05/24","196165","4479948","91707137500","2094375690000","4.38"
"2022/05/23","197321","4479948","94319438000","2141415144000","4.40"
"2022/05/20","197916","4479948","94109058000","2130215274000","4.42"
"2022/05/19","203042","4479948","92587152000","2042856288000","4.53"
"2022/05/18","203385","4479948","94777410000","2087655768000","4.54"
"2022/05/17","203925","4479948","94111387500","2067496002000","4.55"
"2022/05/16","204426","4479948","92707191000","2031656418000","4.56"
"2022/05/13","205051","4479948","93298205000","2038376340000","4.58"
"2022/05/12","207203","4479948","92826944000","2007016704000","4.63"
"2022/05/11","197854","4479948","93189234000","2110055508000","4.42"
"2022/05/10","194818","4479948","92538550000","2127975300000","4.35"
"2022/05/09","190300","4479948","90297350000","2125735326000","4.25"
"2022/05/06","183632","4479948","90622392000","2210854338000","4.10"
"2022/05/04","190091","4479948","88772497000","2092135716000","4.24"
"2022/05/03","188793","4479948","88071934500","2089895742000","4.21"
"2022/05/02","189360","4479948","88999200000","2105575560000","4.23"
"2022/04/29","185590","4479948","88712020000","2141415144000","4.14"
"2022/04/28","184309","4479948","89205556000","2168294832000","4.11"
