일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/07/11","354000","-9500","-2.61","365000","365000","349000","50320","17791241000","1585901592000","4479948"
"2022/07/08","363500","-4000","-1.09","371000","377000","361500","27833","10258242000","1628461098000","4479948"
"2022/07/07","367500","6500","1.80","367000","372500","361000","25927","9519266500","1646380890000","4479948"
"2022/07/06","361000","-17000","-4.50","378000","378000","360500","32293","11841747500","1617261228000","4479948"
"2022/07/05","378000","7500","2.02","373000","385000","373000","20430","7744944500","1693420344000","4479948"
"2022/07/04","370500","-1000","-0.27","373000","377000","361000","25665","9502756500","1659820734000","4479948"
"2022/07/01","371500","-9000","-2.37","381000","387500","370500","24948","9429071500","1664300682000","4479948"
"2022/06/30","380500","-12500","-3.18","390000","392000","374500","40182","15268164500","1704620214000","4479948"
"2022/06/29","393000","-13500","-3.32","401000","403500","390500","29022","11486990000","1760619564000","4479948"
"2022/06/28","406500","2000","0.49","403000","410000","399000","19646","7939331000","1821098862000","4479948"
"2022/06/27","404500","4000","1.00","405000","413000","394000","28457","11525106000","1812138966000","4479948"
"2022/06/24","400500","15500","4.03","385000","403500","385000","27406","10857897000","1794219174000","4479948"
"2022/06/23","385000","-4500","-1.16","389000","402000","381500","44025","17190727500","1724779980000","4479948"
"2022/06/22","389500","-28500","-6.82","422000","425000","387000","51423","20543062500","1744939746000","4479948"
"2022/06/21","418000","-500","-0.12","422000","423000","412500","19903","8334330500","1872618264000","4479948"
"2022/06/20","418500","-14000","-3.24","437000","439500","412500","27316","11520675000","1874858238000","4479948"
"2022/06/17","432500","-4000","-0.92","424000","436000","423500","24878","10667614500","1937577510000","4479948"
"2022/06/16","436500","1500","0.34","445000","453000","436500","25920","11539237500","1955497302000","4479948"
"2022/06/15","435000","-21500","-4.71","452500","456500","433500","39963","17643245500","1948777380000","4479948"
"2022/06/14","456500","-13000","-2.77","456000","469000","450000","40990","18679652000","2045096262000","4479948"
"2022/06/13","469500","-21000","-4.28","477000","480500","460000","50144","23488443000","2103335586000","4479948"
"2022/06/10","490500","-5500","-1.11","488000","496000","486000","16088","7861741000","2197414494000","4479948"
"2022/06/09","496000","-6000","-1.20","498000","502000","490000","24802","12286846500","2222054208000","4479948"
"2022/06/08","502000","-4000","-0.79","509000","513000","497000","21324","10728068000","2248933896000","4479948"
"2022/06/07","506000","-11000","-2.13","517000","524000","502000","23291","11885830000","2266853688000","4479948"
"2022/06/03","517000","6000","1.17","516000","524000","513000","28378","14713168000","2316133116000","4479948"
"2022/06/02","511000","-9000","-1.73","516000","516000","503000","34441","17535000000","2289253428000","4479948"
"2022/05/31","520000","-1000","-0.19","526000","531000","519000","44399","23236021000","2329572960000","4479948"
"2022/05/30","521000","36500","7.53","506000","522000","501000","92039","47432579000","2334052908000","4479948"
"2022/05/27","484500","-4000","-0.82","497000","497500","482500","22909","11204981500","2170534806000","4479948"
"2022/05/26","488500","7500","1.56","480000","500000","478500","41474","20389455000","2188454598000","4479948"
