종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"068400","AJ렌터카","KOSPI","서비스업","12350","-400","-3.14","273506805000"
"006840","AK홀딩스","KOSPI","서비스업","40950","-200","-0.49","476967622950"
"138930","BS금융지주","KOSPI","기타금융","16000","-100","-0.62","3094078384000"
"001460","BYC","KOSPI","섬유의복","188000","-500","-0.27","117427620000"
"001465","BYC우","KOSPI","섬유의복","69600","-100","-0.14","14990796000"
"001040","CJ","KOSPI","서비스업","116500","7000","6.39","3383226638000"
"079160","CJ CGV","KOSPI","서비스업","43500","550","1.28","920517115500"
"000120","CJ대한통운","KOSPI","운수창고업","100000","700","0.70","2281234400000"
"011150","CJ씨푸드","KOSPI","음식료품","2495","20","0.81","89647278635"
"011155","CJ씨푸드1우","KOSPI","음식료품","5700","140","2.52","1140000000"
"001045","CJ우","KOSPI","서비스업","40600","700","1.75","91765053800"
"097950","CJ제일제당","KOSPI","음식료품","277000","9000","3.36","3628699446000"
"097955","CJ제일제당 우","KOSPI","음식료품","94000","1500","1.62","124778702000"
"037560","CJ헬로비전","KOSPI","서비스업","19200","150","0.79","1486979808000"
"000590","CS홀딩스","KOSPI","서비스업","36150","550","1.54","41734524300"
"139130","DGB금융지주","KOSPI","기타금융","16500","-50","-0.30","2211877041000"
"004840","DRB동일","KOSPI","화학","7760","0","0.00","131683017360"
"155660","DSR","KOSPI","섬유의복","3870","35","0.91","61920000000"
"069730","DSR제강","KOSPI","철강금속","3065","-70","-2.23","44136000000"
"017940","E1","KOSPI","유통업","66800","-1400","-2.05","458248000000"
"007700","F&F","KOSPI","섬유의복","7060","-70","-0.98","108724000000"
"114090","GKL","KOSPI","서비스업","40400","1100","2.80","2498969068000"
"078930","GS","KOSPI","서비스업","57300","500","0.88","5324051159400"
"006360","GS건설","KOSPI","건설업","30500","500","1.67","1555500000000"
"001250","GS글로벌","KOSPI","유통업","8860","110","1.26","199649149040"
"007070","GS리테일","KOSPI","유통업","28000","100","0.36","2156000000000"
"078935","GS우","KOSPI","서비스업","29000","-150","-0.51","51759954000"
"035000","GⅡR","KOSPI","서비스업","7740","-30","-0.39","128231745660"
"001500","HMC투자증권","KOSPI","증권","9810","50","0.51","287797058910"
"011420","IB월드와이드","KOSPI","서비스업","1880","70","3.87","36890157120"
"003560","IHQ","KOSPI","서비스업","2125","-5","-0.23","87072338250"
"175330","JB금융지주","KOSPI","기타금융","6360","-20","-0.31","425002942320"
"005560","JS전선","KOSPI","전기전자","4845","10","0.21","55129510800"
"001060","JW중외제약","KOSPI","의약품","16100","250","1.58","222128785900"
"001067","JW중외제약2우B","KOSPI","의약품","16150","-200","-1.22","1157082900"
"001065","JW중외제약우","KOSPI","의약품","11000","0","0.00","1499366000"
"096760","JW홀딩스","KOSPI","서비스업","2485","-20","-0.80","127734290565"
"105560","KB금융","KOSPI","기타금융","42250","900","2.18","16323359029250"
"002380","KCC","KOSPI","화학","468500","6500","1.41","4928620000000"
"009070","KCTC","KOSPI","운수창고업","19450","150","0.78","58350000000"
"009440","KC그린홀딩스","KOSPI","서비스업","6190","330","5.63","138872526200"
"119650","KC코트렐","KOSPI","기계","9260","-130","-1.38","92600000000"
"092220","KEC","KOSPI","전기전자","784","3","0.38","46293149056"
"109070","KGP","KOSPI","종이목재","1925","0","0.00","8614667600"
"001390","KG케미칼","KOSPI","화학","16950","0","0.00","181365000000"
"001940","KISCO홀딩스","KOSPI","서비스업","39550","-50","-0.13","146148165800"
"083420","KPX그린케미칼","KOSPI","화학","4670","30","0.65","93400000000"
"025000","KPX케미칼","KOSPI","화학","63900","1000","1.59","309276000000"
"092230","KPX홀딩스","KOSPI","서비스업","44300","150","0.34","187151817800"
"025850","KPX화인케미칼","KOSPI","화학","14750","50","0.34","56050000000"
"044450","KSS해운","KOSPI","운수창고업","12400","150","1.22","143752456000"
"030200","KT","KOSPI","통신업","31550","0","0.00","8238077542400"
"033780","KT&G","KOSPI","기타제조업","74500","-200","-0.27","10228291026500"
"030210","KTB투자증권","KOSPI","증권","2175","85","4.07","131183150100"
"058850","KTcs","KOSPI","서비스업","3470","-15","-0.43","158526950000"
"003550","LG","KOSPI","서비스업","64000","200","0.31","11043656384000"
"034220","LG디스플레이","KOSPI","전기전자","25350","0","0.00","9070627995000"
"001120","LG상사","KOSPI","유통업","28750","250","0.88","1114350000000"
"068870","LG생명과학","KOSPI","의약품","40600","300","0.74","673025794000"
"068875","LG생명과학우","KOSPI","의약품","21300","0","0.00","5031400800"
"051900","LG생활건강","KOSPI","화학","548000","8000","1.48","8558771956000"
"051905","LG생활건강우","KOSPI","화학","228000","3000","1.33","478730916000"
"003555","LG우","KOSPI","서비스업","35700","300","0.85","118333968900"
"032640","LG유플러스","KOSPI","통신업","10750","150","1.42","4693572130750"
"011070","LG이노텍","KOSPI","전기전자","83700","1300","1.58","1688307594300"
"066570","LG전자","KOSPI","전기전자","68100","-200","-0.29","11144416133400"
"066575","LG전자우","KOSPI","전기전자","26350","150","0.57","452850889200"
"093050","LG패션","KOSPI","섬유의복","33700","650","1.97","985388000000"
"108670","LG하우시스","KOSPI","화학","141500","0","0.00","1268925305000"
"108675","LG하우시스우","KOSPI","화학","46300","-100","-0.22","47796879000"
"051910","LG화학","KOSPI","화학","299500","4000","1.35","19848194450000"
