회사명,PER(최고)(IFRS),PBR(최고)(IFRS),PCR(최고)(IFRS),PSR(최고)(IFRS),총자본증가율(IFRS),자기자본증가율(IFRS),매출액증가율(IFRS),순이익증가율(IFRS),매출액총이익률(IFRS),매출액순이익률(IFRS),자기자본순이익률(IFRS),배당성향(IFRS),부채비율(IFRS),유동비율(IFRS),자기자본회전률(IFRS),기업가치(EV)(IFRS)(백만원),EBITDA(IFRS)(백만원),EV/EBITDA(IFRS)(배),종가,거래량,거래대금,산업코드,산업명,정지 여부
(주)성안,0.0,2.69,0.0,2.53,-23.8,-58.97,5.01,0.0,8.07,-7.57,-4.67,0.0,290.03,45.27,0.62,94751.09,-5689.78,0.0,787.0,0.0,0.0,31302.0,  섬유제품 제조업; 의복제외,
(주)와이투솔루션,0.0,4.0,0.0,3.43,4.13,174.76,-5.62,0.0,5.04,-9.53,-16.17,0.0,34.5,290.88,1.7,369329.74,-1759.48,0.0,2440.0,0.0,0.0,32601.0,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",
이화산업(주),7.45,0.97,0.0,1.37,0.96,14.94,19.73,0.0,16.6,18.4,13.94,0.0,37.53,177.77,0.76,58613.38,1241.6,47.21,15550.0,29611.0,4622311.0,74607.0,  도매 및 상품 중개업,
(주)조흥,8.27,0.95,4.15,0.53,7.75,9.39,12.69,113.86,13.97,6.41,11.52,24.26,83.59,114.34,1.8,182080.52,25015.91,7.28,188000.0,2827.0,5355720.0,31007.0,  식료품 제조업,
대림통상(주),0.0,1.24,0.0,0.85,0.85,0.25,-7.61,0.0,15.79,-0.69,-1.0,0.0,83.93,113.25,1.45,95754.53,1782.07,53.73,3525.0,205288.0,6824808.0,32509.0,  금속가공제품 제조업; 기계 및 가구 제외,
삼화왕관(주),19.06,0.73,10.23,0.89,0.5,2.27,7.12,0.0,17.21,4.66,3.74,25.72,56.38,180.52,0.8,140236.5,14415.91,9.73,43500.0,19535.0,8209806.0,32509.0,  금속가공제품 제조업; 기계 및 가구 제외,
전방(주),279.07,0.54,0.0,0.58,2.41,2.3,27.66,-96.37,9.74,0.21,0.2,0.0,166.79,130.04,0.94,233003.75,17465.79,13.34,40200.0,21886.0,8682748.0,31301.0,  섬유제품 제조업; 의복제외,
(주)경동인베스트,336.86,0.4,146.17,13.58,-0.31,-0.23,15.14,-72.72,62.53,4.03,0.12,457.6,0.39,5001.46,0.03,81794.82,1119.02,73.09,35350.0,25165.0,8731638.0,137105.0,  전문 서비스업,
(주)우진아이엔에스,0.0,0.81,0.0,0.86,-5.27,-4.28,-36.29,0.0,-0.06,-3.59,-3.23,0.0,18.09,485.43,0.9,44612.2,-4876.68,0.0,7120.0,131734.0,9143018.0,64202.0,  전문직별 공사업,
(주)천일고속,0.0,4.22,0.0,4.52,-6.44,-5.3,-5.83,0.0,-14.35,-1.94,-1.54,0.0,74.53,240.1,0.79,95423.67,-6900.12,0.0,67300.0,14523.0,9718657.0,84902.0,  육상운송 및 파이프라인 운송업,
