종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"095570","AJ네트웍스 ","29650","1150","4.04","2391","12.40",,,"28067","1.06","0","0.00"
"068400","AJ렌터카 ","8460","40","0.48","791","10.70",,,"10172","0.83","0","0.00"
"006840","AK홀딩스 ","57600","-200","-0.35",,,,,"42342","1.36","500","0.87"
"027410","BGF리테일 ","87000","1100","1.28","3121","27.88",,,"15615","5.57","1200","1.38"
"138930","BNK금융지주 ","8960","-70","-0.78","1890","4.74",,,"22104","0.41","150","1.67"
"001460","BYC ","396500","0","0.00","20803","19.06",,,"450114","0.88","850","0.21"
"001465","BYC우 ","177500","500","0.28",,,,,,,"900","0.51"
"001040","CJ ","175500","1000","0.57","7242","24.23",,,"114710","1.53","1350","0.77"
"079160","CJ CGV ","60900","600","1.00","2455","24.81",,,"19899","3.06","350","0.57"
"000120","CJ대한통운 ","184000","-1000","-0.54","2636","69.80",,,"101842","1.81","0","0.00"
"011150","CJ씨푸드 ","3275","0","0.00","71","46.13",,,"1384","2.37","0","0.00"
"011155","CJ씨푸드1우 ","16800","-100","-0.59",,,,,,,"0","0.00"
"001045","CJ우 ","72300","500","0.70",,,,,,,"1400","1.94"
"097950","CJ제일제당 ","384000","2500","0.66","13401","28.65",,,"216981","1.77","2500","0.65"
"097955","CJ제일제당 우 ","184500","500","0.27",,,,,,,"2550","1.38"
"037560","CJ헬로비전 ","9090","200","2.25","772","11.77",,,"12282","0.74","75","0.83"
"000590","CS홀딩스 ","79800","600","0.76","18834","4.24",,,"177390","0.45","0","0.00"
"139130","DGB금융지주 ","9570","-80","-0.83","1759","5.44",,,"20624","0.46","280","2.93"
"004840","DRB동일 ","11300","0","0.00","2377","4.75",,,"16422","0.69","60","0.53"
"155660","DSR ","10300","50","0.49","621","16.59",,,"7546","1.36","50","0.49"
"069730","DSR제강 ","10300","-150","-1.44","685","15.04",,,"8199","1.26","40","0.39"
