,종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,years,month,상장주식수대비거래량,시가총액대비거래대금
0,003465,유화증권우,15900,100,0.63,15900,15900,15850,45,715450,55575031500,3495285,2017,10,0.0012874486629845634,0.0012873586945245366
1,140890,트러스제7호,3190,5,0.16,3190,3190,3190,147,468930,30898340000,9686000,2017,10,0.001517654346479455,0.001517654346479455
2,005800,신영와코루,160000,0,0.0,157500,160000,156000,21,3304500,144000000000,900000,2017,10,0.002333333333333333,0.0022947916666666668
3,004365,세방우,7650,0,0.0,7640,7650,7640,104,795580,28222762500,3689250,2017,10,0.002819001151995663,0.002818930287210545
4,009190,대양금속,3715,35,0.95,3680,3730,3630,363,1321305,45761121095,12317933,2017,10,0.0029469229943043206,0.0028873964806434118
5,008110,대동전자,4330,-50,-1.14,4460,4460,4315,320,1406005,45423635510,10490447,2017,10,0.003050394325427696,0.00309531587292362
6,092230,KPX홀딩스,71700,-900,-1.24,71400,72600,71100,134,9593300,302907118200,4224646,2017,10,0.0031718633939979827,0.0031670764480568746
7,001799,대한제당3우B,25450,-350,-1.36,25200,25450,25200,5,126450,3299745200,129656,2017,10,0.003856358363670019,0.003832114067474058
8,024070,WISCOM,4245,-35,-0.82,4300,4305,4245,613,2621595,63785030400,15025920,2017,10,0.004079617088338019,0.004110047425798515
9,007590,동방아그로,7000,-30,-0.43,7030,7030,6960,639,4463750,95323039000,13617577,2017,10,0.0046924647461145256,0.004682760901066111
10,058650,세아홀딩스,157500,-1000,-0.63,157000,159500,155500,199,31378000,630000000000,4000000,2017,10,0.004975,0.00498063492063492
11,019685,대교우B,5090,-20,-0.39,5110,5110,5080,1000,5088520,98883379100,19426990,2017,10,0.005147477813083757,0.005145981100477987
12,001080,만호제강,18400,100,0.55,18050,18400,18050,239,4358750,76360000000,4150000,2017,10,0.005759036144578313,0.005708158721843897
13,000105,유한양행우,164000,-4500,-2.67,163500,166500,163500,14,2297500,38734832000,236188,2017,10,0.005927481497789896,0.005931353981346815
14,000680,LS네트웍스,2935,5,0.17,2945,2945,2915,5026,14723195,231286851960,78803016,2017,10,0.006377928479285615,0.006365772578610006
15,017390,서울가스,96300,0,0.0,96200,96400,96200,350,33719300,481500000000,5000000,2017,10,0.006999999999999999,0.007002969885773624
16,145995,삼양사우,54500,200,0.37,54300,55000,54300,26,1422300,20168815000,370070,2017,10,0.007025697840949009,0.007051976033296948
17,083370,동북아12호,5000,-20,-0.4,5000,5000,5000,113,565000,7928300000,1585660,2017,10,0.007126370091949094,0.007126370091949094
18,034590,인천도시가스,30600,0,0.0,30600,30650,30550,336,10281450,133867472400,4374754,2017,10,0.007680431859711426,0.007680319808593025
19,004135,대덕GDS우,8730,-10,-0.11,8640,8740,8640,175,1524530,18856800000,2160000,2017,10,0.008101851851851851,0.00808477578380213
20,011160,두산건설,3070,-15,-0.49,3150,3150,3030,5735,17551285,189032769440,61574192,2017,10,0.009313967124408226,0.009284784353524944
21,016800,퍼시스,33700,-250,-0.74,33800,34000,33450,1179,39753850,387550000000,11500000,2017,10,0.01025217391304348,0.010257734485872791
