회사명,거래소코드,회계년도,자산(*)(연결)(천원),부채(*)(연결)(천원),보통주(연결)(천원)
(주)BNK금융지주,138930,2017/12,94349977199,86693957704,325935246
(주)BNK금융지주,138930,2018/12,98793581957,90368620073,325935246
(주)BNK금융지주,138930,2019/12,104538771056,95357600637,325935246
(주)BNK금융지주,138930,2020/12,114156870957,104530588576,325935246
(주)BNK금융지주,138930,2021/12,128287034114,118063851120,325935246
(주)DB하이텍,000990,2017/12,993950720,538152775,44367832
(주)DB하이텍,000990,2018/12,1066533840,508142309,44398588
(주)DB하이텍,000990,2019/12,1088889810,444239080,44398588
(주)DB하이텍,000990,2020/12,1178581197,383996685,44398588
(주)DB하이텍,000990,2021/12,1549937896,443888190,44398588
(주)HJ중공업,097230,2017/12,4206655000,3629457000,106052508
(주)HJ중공업,097230,2018/12,2733620000,3441806000,106052508
(주)HJ중공업,097230,2019/12,2470222000,2225228000,83274281
(주)HJ중공업,097230,2020/12,2193855000,1873852000,83274281
(주)HJ중공업,097230,2021/12,2385236000,1953231000,83274281
(주)JB금융지주,175330,2017/12,47593660000,44507275000,155439423
(주)JB금융지주,175330,2018/12,46779843000,43321527000,196982894
(주)JB금융지주,175330,2019/12,47529564000,43709786000,196982894
(주)JB금융지주,175330,2020/12,53375463000,49346603000,196982894
(주)JB금융지주,175330,2021/12,56395637000,52068950000,196982894
(주)KB금융지주,105560,2017/12,436785609000,402740780000,418111537
(주)KB금융지주,105560,2018/12,479588298000,443875271000,418111537
(주)KB금융지주,105560,2019/12,518538117000,479418792000,415807920
(주)KB금융지주,105560,2020/12,610672192000,567310733000,415807920
(주)KB금융지주,105560,2021/12,663895834000,615601914000,415807920
(주)KB손해보험,002550,2021,,,
(주)LG데이콤,015940,2021,,,
(주)LG파워콤,045820,2021,,,
(주)MH에탄올,023150,2019/12,451474451,372085374,7378526
(주)MH에탄올,023150,2021/12,451460752,366757413,7378526
(주)MH에탄올,023150,2020/12,449679366,369253871,7378526
(주)MH에탄올,023150,2018/12,440177523,348592051,7378526
(주)MH에탄올,023150,2017/12,500180086,393342742,7378526
(주)SH에너지화학,002360,2019/12,123415832,24415856,111133730
(주)SH에너지화학,002360,2021/12,119629058,27889956,111133730
(주)SH에너지화학,002360,2020/12,117356594,27348204,111133730
(주)SH에너지화학,002360,2017/12,125312154,17618682,111133730
(주)SH에너지화학,002360,2018/12,122434685,17043794,111133730
(주)SIMPAC,009160,2020/12,737277692,273291527,65429516
(주)SIMPAC,009160,2021/12,903229593,356567304,65429516
(주)SIMPAC,009160,2019/12,679145850,237950364,65429516
(주)SIMPAC,009160,2017/12,381158251,140332152,29084925
(주)SIMPAC,009160,2018/12,681750819,246717950,65429516
(주)SNT에너지,100840,2019/12,333897235,88942325,7506711
(주)SNT에너지,100840,2021/12,332143488,87294232,7506711
(주)SNT에너지,100840,2020/12,335351657,99578947,7506711
(주)SNT에너지,100840,2018/12,,,
(주)SNT에너지,100840,2017/12,,,
(주)SNT홀딩스,036530,2019/12,2236679025,610745978,16303886
(주)SNT홀딩스,036530,2021/12,2372324440,592194060,16303886
(주)SNT홀딩스,036530,2020/12,2270485740,652956674,16303886
(주)SNT홀딩스,036530,2017/12,2146174938,626881784,15830105
(주)SNT홀딩스,036530,2018/12,2113834573,610559077,16303886
(주)STX,011810,2018/12,554061000,490033000,19726902
(주)STX,011810,2021/12,676149000,553619000,28621454
(주)STX,011810,2019/12,560107000,503816000,19726902
(주)STX,011810,2020/12,617563000,535834000,19726902
(주)STX,011810,2017/12,627542000,584982000,17862430
(주)TCC스틸,002710,2019/12,314210087,197366953,22342500
(주)TCC스틸,002710,2017/12,278692540,177776736,22342500
(주)TCC스틸,002710,2020/12,306758932,185628052,23000000
(주)TCC스틸,002710,2021/12,366996615,211767466,23500000
(주)TCC스틸,002710,2018/12,304781579,192535369,22342500
(주)갑을,009840,2021,,,
(주)강원랜드,035250,2021/12,3827273464,574480852,213940500
(주)강원랜드,035250,2020/12,3641632201,394603621,213940500
(주)강원랜드,035250,2019/12,4438119306,720360229,213940500
(주)강원랜드,035250,2018/12,4231241354,644464265,213940500
(주)강원랜드,035250,2017/12,4185657487,684421554,213940500
(주)갤럭시아에스엠,011420,2018/12,33253331,6781168,27549644
(주)갤럭시아에스엠,011420,2021/12,,,
(주)갤럭시아에스엠,011420,2017/12,49831109,9336773,27549644
(주)갤럭시아에스엠,011420,2019/12,28241598,6442848,27549644
(주)갤럭시아에스엠,011420,2020/12,,,
(주)건영,012720,2021,,,
(주)경남은행,192520,2021,,,
(주)경남은행,006610,2021,,,
(주)경농,002100,2021/12,388785779,151976386,19522575
(주)경농,002100,2017/12,335873898,143720912,21691750
(주)경농,002100,2020/12,371525656,160153423,21691750
(주)경농,002100,2019/12,370874091,168988819,21691750
(주)경농,002100,2018/12,357260541,155806650,21691750
(주)경동나비엔,009450,2021/12,933884529,483469066,14568592
(주)경동나비엔,009450,2020/12,734688738,386524892,13604730
(주)경동나비엔,009450,2017/12,503697210,247190712,12739510
(주)경동나비엔,009450,2018/12,583595818,303492202,12739510
(주)경동나비엔,009450,2019/12,609808343,308765719,12739510
(주)경동도시가스,267290,2021/12,904491766,529075279,5895406
(주)경동도시가스,267290,2019/12,749999474,410387431,5895406
(주)경동도시가스,267290,2020/12,699658165,342980474,5895406
(주)경동도시가스,267290,2018/12,778269612,457779539,4717063
(주)경동도시가스,267290,2017/12,710280194,415948312,4717063
(주)경동인베스트,012320,2017/12,599276331,198873241,2365023
(주)경동인베스트,012320,2020/12,589277835,158532501,2365023
(주)경동인베스트,012320,2018/12,592002536,194135226,2365023
(주)경동인베스트,012320,2021/12,577693061,137939974,2365023
(주)경동인베스트,012320,2019/12,605467383,190933746,2365023
(주)경방,000050,2019/12,1370742491,629189292,27415270
(주)경방,000050,2020/12,1264902051,522972244,27415270
(주)경방,000050,2017/12,1274042237,574908164,27415270
(주)경방,000050,2018/12,1301792841,593023494,27415270
(주)경방,000050,2021/12,1270805118,518658698,27415270
(주)경보제약,214390,2021/12,,,
(주)경보제약,214390,2017/12,,,
(주)경보제약,214390,2020/12,,,
(주)경보제약,214390,2019/12,,,
(주)경보제약,214390,2018/12,,,
(주)경인양행,012610,2020/12,505102151,276720395,41276365
(주)경인양행,012610,2021/12,579492465,327622550,41576365
(주)경인양행,012610,2019/12,472081003,234647863,40786365
(주)경인양행,012610,2017/12,357951470,147016537,40396365
(주)경인양행,012610,2018/12,412996589,189237207,40396365
(주)계몽사,011840,2021,,,
(주)고제,002540,2021,,,
(주)고합,004460,2021,,,
(주)광명전기,017040,2018/12,151823119,53074770,43337615
(주)광명전기,017040,2021/12,169926627,54791366,43337615
(주)광명전기,017040,2017/12,152717140,56068919,43337615
(주)광명전기,017040,2020/12,165884690,56097484,43337615
(주)광명전기,017040,2019/12,156712705,51313845,43337615
(주)광주신세계,037710,2021/12,,,
(주)광주신세계,037710,2017/12,,,
(주)광주신세계,037710,2020/12,,,
(주)광주신세계,037710,2019/12,,,
(주)광주신세계,037710,2018/12,,,
(주)광주은행,192530,2017/12,23419057841,21837065619,51316057
(주)광주은행,005770,2021,,,
(주)국동,005320,2021/12,168474551,66109970,54962976
(주)국동,005320,2020/12,180700682,96865598,38845864
(주)국동,005320,2019/12,133723726,68242500,27596156
(주)국동,005320,2018/12,123134702,74659657,13740480
(주)국동,005320,2017/12,106307080,63676354,13032774
(주)국민은행,060000,2021,,,
(주)국민은행,023130,2021,,,
(주)국보,001140,2018/12,48188113,34775907,1682304
(주)국보,001140,2017/12,73270170,55421608,1682304
(주)국보,001140,2021/12,102314952,70471633,65408729
(주)국보,001140,2019/12,115356448,86752439,23966505
(주)국보,001140,2020/12,90823631,59996330,49376445
(주)금비,008870,2021/09,337872961,176002341,1000000
(주)금비,008870,2018/09,252892158,96639999,1000000
(주)금비,008870,2017/09,247008401,96985485,1000000
(주)금비,008870,2019/09,260180107,96636403,1000000
(주)금비,008870,2020/09,333972461,176524804,1000000
(주)금양,001570,2017/12,196084032,138488586,42710111
(주)금양,001570,2019/12,224222540,155935477,44048135
(주)금양,001570,2021/12,314832085,197424609,48806004
(주)금양,001570,2018/12,204777156,125320820,43226540
(주)금양,001570,2020/12,219851714,140057911,44048135
(주)금호에이치티,214330,2021/12,458795624,107985910,196541594
(주)금호에이치티,214330,2018/12,238380056,113528186,15831019
(주)금호에이치티,214330,2017/12,150164495,59410075,9765000
(주)금호에이치티,214330,2020/12,344298589,121158723,117904727
(주)금호에이치티,214330,2019/12,322078193,149447504,23608582
(주)기린,006070,2021,,,
(주)까뮤이앤씨,013700,2017/12,,,
(주)까뮤이앤씨,013700,2018/12,,,
(주)까뮤이앤씨,013700,2019/12,,,
(주)까뮤이앤씨,013700,2020/12,,,
(주)까뮤이앤씨,013700,2021/12,,,
(주)나이스홀딩스,034310,2019/12,2564827369,1341206287,37882300
(주)나이스홀딩스,034310,2018/12,2172977804,1132969670,37882300
(주)나이스홀딩스,034310,2017/12,1742367144,864431349,37882300
(주)나이스홀딩스,034310,2020/12,2730355253,1480757599,37882300
(주)나이스홀딩스,034310,2021/12,3083783180,1763338212,37882300
(주)남선알미늄,008350,2021/12,355238355,119307587,110179090
(주)남선알미늄,008350,2020/12,295152804,105608246,110179090
(주)남선알미늄,008350,2017/12,,,
(주)남선알미늄,008350,2018/12,303023071,134303310,110179090
(주)남선알미늄,008350,2019/12,295529661,116429407,110179090
(주)남성,004270,2021/12,288756910,170183452,36212160
(주)남성,004270,2019/12,204791617,118867535,36212160
(주)남성,004270,2018/12,205083689,122315525,36212160
(주)남성,004270,2017/12,203435953,116043097,36212160
(주)남성,004270,2020/12,193273608,117797738,36212160
(주)남양,003020,2021,,,
(주)넥센,005720,2018/12,3825103267,1942346054,53543977
(주)넥센,005720,2017/12,1085451848,168376823,53543977
(주)넥센,005720,2019/12,4098014996,2081511600,53543977
(주)넥센,005720,2021/12,4572292481,2455495305,53543977
(주)넥센,005720,2020/12,4239211984,2197933137,53543977
(주)넥솔론,110570,2021,,,
(주)노루페인트,090350,2019/12,627342505,304973894,20000000
(주)노루페인트,090350,2020/12,666659131,332796975,20000000
(주)노루페인트,090350,2021/12,670646934,325655495,20000000
(주)노루페인트,090350,2018/12,607444943,299639080,20000000
(주)노루페인트,090350,2017/12,591817509,292787685,20000000
(주)노루홀딩스,000320,2020/12,1051083865,473115066,13291151
(주)노루홀딩스,000320,2021/12,1055537182,472000055,13291151
(주)노루홀딩스,000320,2019/12,1007372302,439906013,13291151
(주)노루홀딩스,000320,2018/12,987142342,425647066,13291151
(주)노루홀딩스,000320,2017/12,988648437,411127472,13291151
(주)녹십자,006280,2017/12,1703581525,594868624,11686538
(주)녹십자,006280,2021/12,2462144732,962387715,11686538
(주)녹십자,006280,2018/12,1723409866,597203089,11686538
(주)녹십자,006280,2020/12,2151399594,882093850,11686538
(주)녹십자,006280,2019/12,1959299528,775222803,11686538
(주)녹십자홀딩스,005250,2018/12,2628599972,1175483426,47028210
(주)녹십자홀딩스,005250,2020/12,3241202077,1567701359,47028210
(주)녹십자홀딩스,005250,2021/12,3496833927,1586104973,47028210
(주)녹십자홀딩스,005250,2019/12,2773868507,1267272303,47028210
(주)녹십자홀딩스,005250,2017/12,2560695918,1121028362,47028210
(주)농심,004370,2018/12,2532286535,634536236,6082642
(주)농심,004370,2020/12,2725528185,676564197,6082642
(주)농심,004370,2021/12,2899907794,699140508,6082642
(주)농심,004370,2017/12,2449898373,608800458,6082642
(주)농심,004370,2019/12,2653049875,712306478,6082642
(주)농심홀딩스,072710,2020/12,1248142700,274628632,4637790
(주)농심홀딩스,072710,2021/12,1328637732,289723336,4637790
(주)농심홀딩스,072710,2018/12,1194827993,298929772,4637790
(주)농심홀딩스,072710,2019/12,1216468899,294369753,4637790
(주)농심홀딩스,072710,2017/12,1145342998,282061165,4637790
(주)뉴맥스,014080,2021,,,
(주)다우기술,023590,2019/12,24741606800,22077381030,44866617
(주)다우기술,023590,2021/12,46322445970,41705976712,44866617
(주)다우기술,023590,2017/12,13126401794,11215409981,44866617
(주)다우기술,023590,2018/12,19345653730,16905080889,44866617
(주)다우기술,023590,2020/12,38622232830,35377055590,44866617
(주)다이나믹디자인,145210,2021/12,116040977,74246404,158289246
(주)다이나믹디자인,145210,2017/12,242445440,174181553,28050716
(주)다이나믹디자인,145210,2018/12,172063702,143954438,29402067
(주)다이나믹디자인,145210,2019/12,158469191,136973709,29402067
(주)다이나믹디자인,145210,2020/12,151157602,86954567,151569422
(주)다함이텍,009280,2021,,,
(주)대교,019680,2018/12,830328382,213502468,84702850
(주)대교,019680,2019/12,919873575,306647026,84702850
(주)대교,019680,2020/12,845161976,286275447,84702850
(주)대교,019680,2021/12,813566533,297164686,84702850
(주)대교,019680,2017/12,857097479,180165015,84702850
(주)대구백화점,006370,2021/12,486599802,232567470,10821611
(주)대구백화점,006370,2019/12,673555125,387383698,10821611
(주)대구백화점,006370,2020/12,508655893,246310150,10821611
(주)대구백화점,006370,2017/03,684071097,315887725,10821611
(주)대구백화점,006370,2018/12,700202374,390325540,10821611
(주)대구은행,005270,2021,,,
(주)대농,001110,2021,,,
(주)대덕,008060,2017/12,,,
(주)대덕,008060,2019/12,1201854195,162147975,78006972
(주)대덕,008060,2018/12,1136921457,152995020,78006972
(주)대덕,008060,2021/12,1723958191,351055476,33890150
(주)대덕,008060,2020/12,1638748950,292481242,33890150
(주)대도상사,028500,2021,,,
(주)대동,000490,2019/12,816997552,596185582,23728210
(주)대동,000490,2018/12,772716728,555212961,23728210
(주)대동,000490,2020/12,938726122,610427548,23728210
(주)대동,000490,2017/12,730626224,511728393,23728210
(주)대동,000490,2021/12,1260639076,874734549,23728210
(주)대망,028370,2021,,,
(주)대성합동지주,005620,2021,,,
(주)대양금속,009190,2018/12,,,
(주)대양금속,009190,2017/12,,,
(주)대양금속,009190,2020/12,,,
(주)대양금속,009190,2021/12,,,
(주)대양금속,009190,2019/12,,,
(주)대양상호신용금고,013250,2021,,,
(주)대우,003810,2021,,,
(주)대우건설,047040,2021/12,10457976991,7241599093,415622638
(주)대우건설,047040,2017/12,8776332436,6498263149,415622638
(주)대우건설,047040,2018/12,8733846010,6416124005,415622638
(주)대우건설,047040,2019/12,9697696817,7209447916,415622638
(주)대우건설,047040,2020/12,9305916434,6628920364,415622638
(주)대우증권그린코리아기업인수목적회사,121910,2021,,,
(주)대웅,003090,2017/12,1549153182,609847534,58141980
(주)대웅,003090,2018/12,1592170452,627857613,58141980
(주)대웅,003090,2019/12,1668172837,641926246,58141980
