,종목명,종가,거래량_합계,거래대금_합계,years,month,시가총액,상장주식수,kospi벤치마크지수,시가총액대비거래대금,소외주,종목코드_y,PBR,업종명,업종월평균PBR,LOW P/B
791,LS네트웍스,1895,570634,1105093575,2020,5,149331715320,78803016,0.7521586910500662,0.7400260370892524,so,000680,0.29,유통업,1.137857142857143,LOW
812,유화증권,2150,117650,253592075,2020,7,121910192250,56702415,0.8747449423233076,0.20801548280718096,so,003460,0.35,증권,0.4964705882352941,LOW
801,유화증권,2180,345887,768688045,2020,6,123611264700,56702415,0.9104022812711847,0.621859218790114,so,003460,0.35,증권,0.46235294117647063,LOW
826,유화증권,2220,300505,662913325,2020,8,125879361300,56702415,1.0138335236559897,0.5266259044801811,so,003460,0.36,증권,0.5100000000000001,LOW
849,유화증권,2230,195263,441872760,2020,10,126446385450,56702415,0.6731917961509821,0.349454639155919,so,003460,0.36,증권,0.5164705882352942,LOW
792,유화증권,2250,122061,278452710,2020,5,127580433750,56702415,0.7521586910500662,0.2182565945383455,so,003460,0.36,증권,0.4729411764705883,LOW
871,유화증권,2255,410658,925547010,2021,2,127863945825,56702415,0.895555433792539,0.7238530017419788,so,003460,0.36,증권,0.5970588235294118,LOW
863,유화증권,2310,435717,1035626995,2020,12,130982578650,56702415,0.9590558390820344,0.7906601058506494,so,003460,0.37,증권,0.5852941176470589,LOW
638,LS네트웍스,2480,244129,611723230,2018,12,195431479680,78803016,0.38276591630765733,0.31301161460867877,so,000680,0.31,유통업,1.2709615384615387,LOW
202,에쓰씨엔지니어링,2500,30268,76046440,2013,4,25442455000,10176982,0.38786043933511843,0.29889584161591326,so,023960,0.59,건설업,1.6931578947368418,LOW
624,LS네트웍스,2570,238024,618343840,2018,11,202523751120,78803016,0.3790927220492406,0.30531917198868047,so,000680,0.33,유통업,1.2901923076923079,LOW
119,평화홀딩스,2770,40207,108511830,2012,8,40512540820,14625466,0.3945662995313595,0.26784750549743475,so,010770,0.27,운수장비,1.1194871794871797,LOW
212,평화홀딩스,2770,25465,73075660,2013,6,40512540820,14625466,0.3753315123956449,0.18037787440852,so,010770,0.27,운수장비,1.04725,LOW
217,평화홀딩스,2780,28621,79639730,2013,7,40658795480,14625466,0.33432385587934893,0.19587331365774147,so,010770,0.27,운수장비,1.07525,LOW
153,평화홀딩스,2790,25872,71354630,2012,11,40805050140,14625466,0.3935360244208503,0.17486715432326633,so,010770,0.27,운수장비,1.0784999999999998,LOW
158,평화홀딩스,2820,18337,49806355,2012,12,41243814120,14625466,0.36958228006440985,0.12076078816349782,so,010770,0.27,운수장비,1.0494999999999999,LOW
654,LS네트웍스,2835,262186,718750795,2019,1,223406550360,78803016,0.40325525649193034,0.321723241257607,so,000680,0.36,유통업,1.368846153846154,LOW
74,평화홀딩스,2850,44920,129702300,2012,5,41682578100,14625466,0.43191862856455754,0.3111666934056557,so,010770,0.28,운수장비,1.0853846153846156,LOW
767,흥국화재,2905,269945,805070980,2020,1,186624883725,64242645,0.434462552200731,0.43138458491221765,so,000540,0.28,보험,0.4458333333333333,LOW
268,평화홀딩스,2910,32100,93854100,2013,11,42560106060,14625466,0.31210260052721794,0.22052130196218786,so,010770,0.29,운수장비,1.1665853658536587,LOW
503,LS네트웍스,2935,142768,421258140,2017,10,231286851960,78803016,0.3839944167689832,0.18213665689602393,so,000680,0.38,유통업,1.283,LOW
293,평화홀딩스,2940,14011,40861740,2014,1,42998870040,14625466,0.3379591512120073,0.09502979953191347,so,010770,0.29,운수장비,1.1009756097560977,LOW
346,평화홀딩스,2945,57360,167322730,2014,11,43071997370,14625466,0.39126724687859576,0.38847218661036986,so,010770,0.29,운수장비,1.0451219512195122,LOW
274,평화홀딩스,2950,18744,53997480,2013,12,43145124700,14625466,0.2932497775657455,0.1251531438962326,so,010770,0.29,운수장비,1.1056097560975606,LOW
13,평화홀딩스,2985,24771,72619820,2012,1,43657016010,14625466,0.49998729901411776,0.16634169404378402,so,010770,0.33,운수장비,1.248648648648649,LOW
46,평화홀딩스,3030,52376,157358900,2012,4,44315161980,14625466,0.43221843147297445,0.3550904317376028,so,010770,0.29,운수장비,1.1746153846153844,LOW
475,LS네트웍스,3035,284057,889014090,2017,6,239167153560,78803016,0.399061063237336,0.37171245163352773,so,000680,0.4,유통업,1.407551020408163,LOW
479,LS네트웍스,3075,219802,686095470,2017,7,242319274200,78803016,0.33874116330043946,0.2831369779664023,so,000680,0.4,유통업,1.3410204081632655,LOW
612,삼원강재,3080,135748,412349370,2018,9,123200000000,40000000,0.3931282133529395,0.33469916396103894,so,023000,0.63,운수장비,0.7883673469387759,LOW
596,LS네트웍스,3090,310597,944164360,2018,9,243501319440,78803016,0.3931282133529395,0.3877450693784216,so,000680,0.39,유통업,1.510576923076923,LOW
811,제주은행,3100,253801,781848405,2020,7,99599199400,32128774,0.8747449423233076,0.7849946683406774,so,006220,0.2,은행,0.22,LOW
436,LS네트웍스,3115,181945,560943195,2016,11,245471394840,78803016,0.3511889994763951,0.2285167260998483,so,000680,0.36,유통업,1.4369387755102045,LOW
522,LS네트웍스,3120,199120,622905020,2018,2,245865409920,78803016,0.42888501308551624,0.2533520352467155,so,000680,0.41,유통업,1.25734693877551,LOW
470,LS네트웍스,3145,255779,785223010,2017,5,247835485320,78803016,0.41376125228155375,0.3168323571526234,so,000680,0.41,유통업,1.5287755102040819,LOW
535,LS네트웍스,3155,153273,476654600,2018,3,248623515480,78803016,0.422893089744466,0.19171742426687047,so,000680,0.41,유통업,1.2916326530612245,LOW
315,평화홀딩스,3185,40945,128804810,2014,4,46582109210,14625466,0.30131362900403463,0.27651133060404415,so,010770,0.32,운수장비,1.140952380952381,LOW
90,SJM홀딩스,3385,50321,169563030,2012,6,50551617080,14934008,0.3825025398805935,0.335425530961076,so,025530,0.45,유통업,0.9536363636363636,LOW
417,흥국화재,3410,196117,663381910,2016,9,219067419450,64242645,0.3494295089256394,0.3028208903293401,so,000540,0.5,보험,0.8163636363636364,LOW
779,대림통상,3540,128097,386869600,2020,3,53896500000,15225000,0.8573532773920097,0.7178009703784105,so,006570,0.51,기계,0.7696774193548386,LOW
402,흥국화재,3720,118493,445098370,2016,5,238982639400,64242645,0.4051403604564593,0.18624715632795877,so,000540,0.55,보험,0.8436363636363636,LOW
776,대림통상,3755,42309,164217605,2020,2,57169875000,15225000,0.5216620777710378,0.28724499572545853,so,006570,0.54,기계,0.9438709677419354,LOW
640,NPC,3765,132764,483180390,2018,12,138250800000,36720000,0.38276591630765733,0.3494955472228732,so,004250,0.63,화학,1.477555555555555,LOW
