일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/01/03","2988.77","11.12","0.37","2998.32","3010.77","2979.42","435825854","8193887.0","2.211373367E9"
"2021/12/30","2977.65","-15.64","-0.52","2999.75","3005.36","2975.74","461038202","8727458.0","2.203366546E9"
"2021/12/29","2993.29","-26.95","-0.89","3002.90","3007.72","2988.67","545831859","1.0908667E7","2.215462632E9"
"2021/12/28","3020.24","20.69","0.69","3006.77","3020.29","2991.55","607046190","1.2096894E7","2.237623537E9"
"2021/12/27","2999.55","-12.88","-0.43","3013.94","3017.31","2999.30","475363053","8280395.0","2.221527069E9"
"2021/12/24","3012.43","14.26","0.48","3009.48","3025.77","3009.48","537548258","8583473.0","2.230019406E9"
"2021/12/23","2998.17","13.69","0.46","2998.02","3000.70","2980.91","483838948","9319627.0","2.218653457E9"
"2021/12/22","2984.48","9.45","0.32","2993.50","3000.79","2976.65","461755372","8835650.0","2.208300471E9"
"2021/12/21","2975.03","12.03","0.41","2981.67","2984.56","2955.90","410979633","9108501.0","2.20089611E9"
"2021/12/20","2963.00","-54.73","-1.81","3001.33","3001.33","2962.07","377584565","8621306.0","2.191456184E9"
"2021/12/17","3017.73","11.32","0.38","2985.20","3017.73","2984.19","451824159","1.1650003E7","2.231055479E9"
"2021/12/16","3006.41","17.02","0.57","3013.26","3018.20","2989.63","402825154","8524314.0","2.223256396E9"
"2021/12/15","2989.39","1.44","0.05","2979.83","2992.30","2973.00","432874423","8253059.0","2.210896375E9"
"2021/12/14","2987.95","-13.71","-0.46","2983.95","3001.70","2976.16","581569904","9856790.0","2.209778034E9"
"2021/12/13","3001.66","-8.57","-0.28","3019.67","3043.83","3000.51","375828375","8629449.0","2.219441357E9"
"2021/12/10","3010.23","-19.34","-0.64","3008.70","3017.64","2998.29","451599491","8434891.0","2.22564325E9"
"2021/12/09","3029.57","27.77","0.93","3007.00","3029.57","3001.55","513445799","1.2614031E7","2.238777012E9"
"2021/12/08","3001.80","10.08","0.34","3017.93","3036.13","2995.34","488246121","1.1115221E7","2.218153437E9"
"2021/12/07","2991.72","18.47","0.62","2973.84","2992.31","2960.90","541370062","1.0215647E7","2.211216991E9"
"2021/12/06","2973.25","4.92","0.17","2954.82","2983.50","2932.49","479907913","9657402.0","2.197379064E9"
"2021/12/03","2968.33","23.06","0.78","2935.93","2975.44","2927.55","486749001","1.0344373E7","2.192835466E9"
"2021/12/02","2945.27","45.55","1.57","2874.64","2945.27","2874.64","534461669","1.1918441E7","2.17691427E9"
"2021/12/01","2899.72","60.71","2.14","2860.12","2905.74","2837.03","563927192","1.2534485E7","2.143338152E9"
"2021/11/30","2839.01","-70.31","-2.42","2932.71","2942.93","2822.73","983556318","1.9852271E7","2.095821072E9"
"2021/11/29","2909.32","-27.12","-0.92","2906.15","2930.22","2890.78","844400434","1.3092783E7","2.148359053E9"
"2021/11/26","2936.44","-43.83","-1.47","2973.04","2985.77","2930.31","595597647","1.1901298E7","2.167444597E9"
"2021/11/25","2980.27","-14.02","-0.47","2996.74","2996.74","2973.24","595969686","9401091.0","2.199950623E9"
"2021/11/24","2994.29","-3.04","-0.10","3006.34","3017.90","2981.02","556640473","1.0963459E7","2.210804289E9"
"2021/11/23","2997.33","-15.92","-0.53","3013.16","3016.36","2992.14","524233416","1.0830504E7","2.213806548E9"
"2021/11/22","3013.25","42.23","1.42","2983.38","3018.01","2980.73","530959176","1.2945533E7","2.225325425E9"
"2021/11/19","2971.02","23.64","0.80","2951.06","2974.64","2948.07","657093788","1.1002169E7","2.192237375E9"
"2021/11/18","2947.38","-15.04","-0.51","2959.26","2964.48","2937.53","541652823","1.0119317E7","2.173103105E9"
"2021/11/17","2962.42","-34.79","-1.16","3004.02","3004.67","2957.70","541489534","1.066168E7","2.183852304E9"
"2021/11/16","2997.21","-2.31","-0.08","2995.68","3011.88","2985.34","579646335","1.1101213E7","2.208638226E9"
"2021/11/15","2999.52","30.72","1.03","2989.68","3003.71","2979.96","639395683","1.1402053E7","2.207950545E9"
"2021/11/12","2968.80","43.88","1.50","2945.95","2973.84","2938.27","665733196","1.2472956E7","2.185439468E9"
"2021/11/11","2924.92","-5.25","-0.18","2911.41","2925.19","2903.72","572859058","1.3468396E7","2.153082343E9"
"2021/11/10","2930.17","-32.29","-1.09","2947.46","2958.61","2924.36","570931752","9663221.0","2.15702273E9"
"2021/11/09","2962.46","2.26","0.08","2958.15","2987.28","2949.17","708773471","9684977.0","2.180787959E9"
"2021/11/08","2960.20","-9.07","-0.31","2965.36","2968.18","2930.90","560205356","1.0388089E7","2.17802038E9"
"2021/11/05","2969.27","-13.95","-0.47","3003.53","3003.53","2953.96","688027918","1.2669723E7","2.185189386E9"
"2021/11/04","2983.22","7.51","0.25","3000.92","3011.56","2978.07","772023904","1.465852E7","2.19542883E9"
"2021/11/03","2975.71","-37.78","-1.25","3020.36","3020.87","2969.01","658648364","1.2438268E7","2.189540503E9"
"2021/11/02","3013.49","34.55","1.16","2995.58","3034.30","2995.58","525853038","9662968.0","2.191376531E9"
