종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","7720","-10","-0.13","361468117400"
"006840","AK홀딩스","KOSPI","기타금융","16500","300","1.85","218584756500"
"027410","BGF","KOSPI","기타금융","4280","-25","-0.58","409667865480"
"282330","BGF리테일","KOSPI","유통업","169500","-4500","-2.59","2929622067000"
"138930","BNK금융지주","KOSPI","기타금융","6880","120","1.78","2242434492480"
"001460","BYC","KOSPI","섬유의복","418000","3500","0.84","261089070000"
"001465","BYC우","KOSPI","섬유의복","155500","-500","-0.32","33492367500"
"001040","CJ","KOSPI","기타금융","80700","800","1.00","2354583738600"
"079160","CJ CGV","KOSPI","서비스업","21700","600","2.84","1034846417500"
"00104K","CJ4우(전환)","KOSPI","기타금융","71800","700","0.98","303463561600"
"000120","CJ대한통운","KOSPI","운수창고업","125500","0","0.00","2862949172000"
"011150","CJ씨푸드","KOSPI","음식료품","3410","30","0.89","122523935930"
"011155","CJ씨푸드1우","KOSPI","음식료품","28600","0","0.00","5720000000"
"001045","CJ우","KOSPI","기타금융","49850","250","0.50","112672116550"
"097950","CJ제일제당","KOSPI","음식료품","421500","-2000","-0.47","6345339399000"
"097955","CJ제일제당 우","KOSPI","음식료품","176000","0","0.00","233628208000"
"000590","CS홀딩스","KOSPI","기타금융","70000","3300","4.95","80813740000"
"012030","DB","KOSPI","서비스업","830","5","0.61","166974364390"
"016610","DB금융투자","KOSPI","증권","5280","100","1.93","224116933920"
"005830","DB손해보험","KOSPI","보험","63000","100","0.16","4460400000000"
"000990","DB하이텍","KOSPI","전기전자","42700","900","2.15","1895819707600"
"000995","DB하이텍1우","KOSPI","전기전자","73200","1500","2.09","8221531200"
"139130","DGB금융지주","KOSPI","기타금융","7650","130","1.73","1293965622450"
"001530","DI동일","KOSPI","유통업","20100","800","4.15","513922227000"
"000210","DL","KOSPI","기타금융","68000","1200","1.80","1425000112000"
"001880","DL건설","KOSPI","건설업","22150","250","1.14","488480240600"
"000215","DL우","KOSPI","기타금융","39850","350","0.89","67191682750"
"375500","DL이앤씨","KOSPI","건설업","43400","-50","-0.12","1679303238200"
"37550L","DL이앤씨2우(전환)","KOSPI","건설업","34850","150","0.43","73601492350"
"37550K","DL이앤씨우","KOSPI","건설업","29850","50","0.17","63099467250"
"007340","DN오토모티브","KOSPI","전기전자","57300","1400","2.50","572656486500"
"004840","DRB동일","KOSPI","화학","4600","10","0.22","91678000000"
"155660","DSR","KOSPI","철강금속","6190","100","1.64","99040000000"
"069730","DSR제강","KOSPI","철강금속","5430","100","1.88","78192000000"
"017940","E1","KOSPI","유통업","45600","500","1.11","312816000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","5530","60","1.10","1178382170000"
"383220","F&F","KOSPI","섬유의복","152500","1000","0.66","5841828937500"
"007700","F&F홀딩스","KOSPI","기타금융","19800","50","0.25","774464466600"
"114090","GKL","KOSPI","서비스업","15350","500","3.37","949484534500"
"078930","GS","KOSPI","기타금융","42600","1000","2.40","3958195102800"
"006360","GS건설","KOSPI","건설업","31900","100","0.31","2730049531000"
"001250","GS글로벌","KOSPI","유통업","3855","-85","-2.16","318167660220"
"007070","GS리테일","KOSPI","유통업","25950","400","1.57","2717430075900"
"078935","GS우","KOSPI","기타금융","35400","600","1.72","63182840400"
"012630","HDC","KOSPI","기타금융","6990","60","0.87","417594629790"
"039570","HDC랩스","KOSPI","건설업","8770","-10","-0.11","227648160770"
"089470","HDC현대EP","KOSPI","화학","4260","30","0.71","135894000000"
"294870","HDC현대산업개발","KOSPI","건설업","13100","150","1.16","863386023000"
"267250","HD현대","KOSPI","화학","58600","200","0.34","4628994781000"
"097230","HJ중공업","KOSPI","건설업","6870","0","0.00","572094310470"
"003580","HLB글로벌","KOSPI","광업","9490","-60","-0.63","402063228580"
"011200","HMM","KOSPI","운수창고업","25300","350","1.40","12372699248800"
"082740","HSD엔진","KOSPI","기계","8910","200","2.30","416286301860"
"003560","IHQ","KOSPI","서비스업","727","8","1.11","120553672868"
"175330","JB금융지주","KOSPI","기타금융","7450","130","1.78","1467522560300"
"234080","JW생명과학","KOSPI","의약품","13550","-200","-1.45","214558206700"
"001060","JW중외제약","KOSPI","의약품","22950","-750","-3.16","508986958950"
"001067","JW중외제약2우B","KOSPI","의약품","71500","1000","1.42","7359280500"
"001065","JW중외제약우","KOSPI","의약품","36000","-550","-1.50","6578460000"
"096760","JW홀딩스","KOSPI","기타금융","3465","0","0.00","244090906290"
"105560","KB금융","KOSPI","기타금융","52200","1400","2.76","21524800186800"
