회사명,거래소코드,회계년도,총자본증가율(IFRS),자기자본증가율(IFRS),매출액증가율(IFRS),순이익증가율(IFRS),매출액순이익률(IFRS),총자본순이익률(IFRS),자기자본순이익률(IFRS),자본금순이익률(IFRS),유보율(IFRS),사내유보율(IFRS),자기자본배당률(IFRS),배당성향(IFRS),자기자본구성비율(IFRS),타인자본구성비율(IFRS),부채비율(IFRS),총자본회전률(IFRS),자기자본회전률(IFRS),자본금회전률(IFRS),타인자본회전률(IFRS),PER(최저)(IFRS),PBR(최저)(IFRS),PCR(최저)(IFRS),PSR(최저)(IFRS)
(주)BNK금융지주,138930,2016/12,10.75,12.07,99.25,1093.17,58.27,1.38,1.75,5.23,181.01,0,1.64,98.61,78.84,21.16,26.83,0.02,0.03,0.09,0.11,32.8,0.55,28.55,19.11
(주)BNK금융지주,138930,2017/12,1.04,0.94,42.36,72.59,70.64,2.25,2.85,8.05,183.64,0,1.62,57.13,78.77,21.23,26.96,0.03,0.04,0.11,0.15,21.09,0.61,14.4,14.9
(주)BNK금융지주,138930,2018/12,3.62,3.93,-45.03,-77.84,28.48,0.49,0.62,1.78,194.79,0,2.04,336.3,79,21,26.58,0.02,0.02,0.06,0.08,81.73,0.51,81.59,23.27
(주)BNK금융지주,138930,2019/12,0.69,3.47,57.09,214.98,57.1,1.5,1.87,5.62,205.03,0,2.36,128.13,81.19,18.81,23.17,0.03,0.03,0.1,0.13,22.6,0.43,67.8,12.91
(주)BNK금융지주,138930,2020/12,4.04,4.25,94.22,173.33,80.36,4.01,4.93,15.36,218.41,0,2,41.48,81.35,18.65,22.93,0.05,0.06,0.19,0.27,4.64,0.23,4.54,3.73
(주)BNK금융지주,138930,2021/12,7.15,1.35,-10.1,-17.58,73.68,3.13,3.95,12.66,222.68,0,3.46,88.07,76.94,23.06,29.96,0.04,0.05,0.17,0.2,8.58,0.35,8.61,6.32
(주)DB하이텍,000990,2016/12,0.07,31.26,15.98,-30.96,11.38,8.75,27.41,39.54,74.37,0,0,0,36.21,63.79,176.13,0.77,2.41,3.47,1.13,5.92,1.54,2.11,0.67
(주)DB하이텍,000990,2017/12,-2.86,21.15,-12.08,-15.45,10.95,7.5,18.46,33.43,109.01,0,2.48,14.74,45.17,54.83,121.4,0.69,1.69,3.05,1.15,6.76,1.24,2.76,0.74
(주)DB하이텍,000990,2018/12,7.48,22.88,-1.54,27.8,14.21,9.38,19.32,42.73,153.28,0,2,11.42,51.64,48.36,93.66,0.66,1.36,3.01,1.28,4.68,0.88,2.44,0.67
(주)DB하이텍,000990,2019/12,3.68,18.94,20.64,27.42,15.01,11.32,20.4,54.44,199.29,0,2.36,12.55,59.23,40.77,68.82,0.75,1.36,3.63,1.7,3.67,0.73,2.76,0.55
(주)DB하이텍,000990,2020/12,8.25,23.23,15.92,36.73,17.7,14.6,23,74.43,266.6,0,1.91,9.18,67.44,32.56,48.29,0.83,1.3,4.21,2.26,3.9,0.85,2.08,0.69
(주)DB하이텍,000990,2021/12,31.29,39.07,29.78,91.31,26.09,23.24,33.34,142.4,405.99,0,1.77,6.17,71.43,28.57,39.99,0.89,1.28,5.46,2.94,6.84,2.03,5.54,1.78
(주)HJ중공업,097230,2016/12,-15.45,-34.36,-5.52,0,-17.34,-7.81,-29.31,-64.21,70.78,0,0,0,23.06,76.94,333.73,0.45,1.69,3.7,0.61,0,0.33,3.81,0.16
(주)HJ중공업,097230,2017/12,-15.54,-37.69,-9.91,0,-17.21,-8.27,-40.75,-56.39,6.52,0,0,0,17.01,82.99,487.9,0.48,2.37,3.28,0.6,0,0.54,0.82,0.17
(주)HJ중공업,097230,2018/12,-27.89,0,0.78,0,-55.03,-33.8,0,-181.7,0,0,0,0,0,116.7,0,0.61,0,3.3,0.63,0,0,0.95,0.1
(주)HJ중공업,097230,2019/12,3.24,0,-8.08,0,-4.58,-3.03,0,-15.56,-40.27,0,0,0,10.03,89.97,897.14,0.66,0,3.4,0.64,0,0.32,0.56,0.05
(주)HJ중공업,097230,2020/12,-11.22,29.58,5.29,0,4.52,3.29,26.97,18.39,-22.7,0,0,0,14.64,85.36,583.21,0.73,5.97,4.07,0.83,3.91,0.94,1.18,0.18
(주)HJ중공업,097230,2021/12,8.77,34.89,0.66,0,-8.21,-6.13,-37.2,-33.62,4.14,0,0,0,18.15,81.85,450.92,0.75,4.53,4.1,0.89,0,1.3,0,0.33
(주)JB금융지주,175330,2016/12,6.12,1.14,20,30.44,60.31,2,2.55,4.78,88.33,0,0.53,20.92,76.62,23.38,30.51,0.03,0.04,0.08,0.15,20.54,0.53,91.92,12.39
(주)JB금융지주,175330,2017/12,2.85,1.75,49.22,64.05,66.3,3.15,4.13,7.84,93.56,0,1.03,25.08,75.8,24.2,31.92,0.05,0.06,0.12,0.2,13.98,0.58,9.01,9.27
