회사명,거래소코드,회계년도,거래년도(*),거래월(*),산술평균(원),거래량(주),거래대금(원)
AJ네트웍스보통주,095570,2016/12,2016,12,29752,662000,200124528
AJ네트웍스보통주,095570,2017/01,2017,01,20421,3250291,186932546
AJ네트웍스보통주,095570,2017/02,2017,02,5242,2482658,129751432
AJ네트웍스보통주,095570,2017/03,2017,03,5559,3651342,204184280
AJ네트웍스보통주,095570,2017/04,2017,04,6226,2544101,155958383
AJ네트웍스보통주,095570,2017/05,2017,05,6457,1988374,128315459
AJ네트웍스보통주,095570,2017/06,2017,06,7269,2968512,215339289
AJ네트웍스보통주,095570,2017/07,2017,07,7329,2715331,196549894
AJ네트웍스보통주,095570,2017/08,2017,08,7056,1630049,114781734
AJ네트웍스보통주,095570,2017/09,2017,09,7420,1924949,144500512
AJ네트웍스보통주,095570,2017/10,2017,10,7277,1146798,83065912
AJ네트웍스보통주,095570,2017/11,2017,11,7831,3339568,265398857
AJ네트웍스보통주,095570,2017/12,2017,12,7633,3529100,272140519
AJ네트웍스보통주,095570,2018/01,2018,01,7304,1147328,84088162
AJ네트웍스보통주,095570,2018/02,2018,02,7689,811813,62293142
AJ네트웍스보통주,095570,2018/03,2018,03,7266,673059,48783489
AJ네트웍스보통주,095570,2018/04,2018,04,6794,886155,60197001
AJ네트웍스보통주,095570,2018/05,2018,05,6229,1584405,99753069
AJ네트웍스보통주,095570,2018/06,2018,06,6251,1049849,65616891
AJ네트웍스보통주,095570,2018/07,2018,07,5530,1307737,72437975
AJ네트웍스보통주,095570,2018/08,2018,08,5173,1200087,61487614
AJ네트웍스보통주,095570,2018/09,2018,09,6104,3015817,188235376
AJ네트웍스보통주,095570,2018/10,2018,10,5220,1216041,62315163
AJ네트웍스보통주,095570,2018/11,2018,11,4797,1212916,58345971
AJ네트웍스보통주,095570,2018/12,2018,12,4566,921927,41317606
AJ네트웍스보통주,095570,2019/01,2019,01,4639,1347697,62268661
AJ네트웍스보통주,095570,2019/02,2019,02,4990,832309,42110196
AJ네트웍스보통주,095570,2019/03,2019,03,4926,1604656,82316930
AJ네트웍스보통주,095570,2019/04,2019,04,5961,3748971,224454308
AJ네트웍스보통주,095570,2019/05,2019,05,5652,1397185,79372217
AJ네트웍스보통주,095570,2019/06,2019,06,5397,641060,34544321
AJ네트웍스보통주,095570,2019/07,2019,07,4997,991034,50082831
AJ네트웍스보통주,095570,2019/08,2019,08,4713,642722,29936637
AJ네트웍스보통주,095570,2019/09,2019,09,4426,772853,34136961
AJ네트웍스보통주,095570,2019/10,2019,10,4247,1119373,47579499
AJ네트웍스보통주,095570,2019/11,2019,11,4196,1324831,55700448
