연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2021/08","성창기업지주","000180","STK","2725","2990","2475","2.035237","0.186869",,,"0.001600249","363505.7181","23.809524","6642670","316318","18445735945","878368378"
"2021/08","경동인베스트","012320","STK","37100","40200","35700","1.526068","0.78609",,,"0.00602818","9949.7233","14.285714","102678","4889","3861217900","183867519"
"2021/08","이건산업","008250","STK","13750","15300","12450","2.817624","1.126283",,,"0.000602869","161168.3499","4.761905","4882668","232508","68955160300","3283579062"
"2021/08","F&F홀딩스","007700","STK","44000","51300","35300","7.632819","10.705099",,,"0.000599775","238715.559","0","10754067","512098","490756065800","23369336467"
"2021/08","파미셀","005690","STK","16350","18300","15950","2.54913","0.898346",,,"0.000174046","464319.2619","0","16537531","787501","287952967450","13712046069"
"2021/08","삼영전자","005680","STK","13200","13300","11400","2.790422","0.861876",,,"0.001643508","78554.0206","9.52381","2665364","126922","34309485150","1633785007"
"2021/08","삼성제약","001360","STK","7270","7550","6540","2.505129","0.45575",,,"0.000230309","2171573.37","0","28858166","1374198","211702184840","10081056421"
"2021/08","가온전선","000500","STK","30750","33650","27850","2.377229","0.101353",,,"0.001964481","27326.4262","14.285714","617683","29413","19127243700","910821129"
"2021/08","샘표","007540","STK","46800","55400","43950","2.145107","0.193651",,,"0.003612272","13763.8662","14.285714","154950","7379","7682113650","365814936"
"2021/08","GS리테일","007070","STK","34300","35300","31900","1.635483","-0.020523",,,"0.000079623","593715.7716","4.761905","10272267","489156","346890798650","16518609460"
"2021/08","대유에이텍","002880","STK","1290","1465","1130","3.06221","-0.136675",,,"0.00117527","885775.2058","9.52381","28842794","1373466","38087185310","1813675491"
"2021/08","DL건설","001880","STK","32300","33300","29100","2.152417","-0.004706",,,"0.001150645","32727.5813","9.52381","854249","40679","26865771700","1279322462"
"2021/08","대상","001680","STK","25250","27600","24100","1.727879","3.052501",,,"0.000262701","324888.5256","0","3664394","174495","94844580900","4516408614"
"2021/08","유유제약2우B","000227","STK","23450","26250","21600","2.55287","-0.115701",,,"0.076884636","664.3493","9.52381","22348","1064","542064250","25812583"
"2021/08","삼아알미늄","006110","STK","24700","24700","14400","5.343736","1.118719",,,"0.000322507","466990.1496","14.285714","40049393","1907114","830377554550","39541788312"
"2021/08","한창","005110","STK","1345","1765","1345","2.640102","0.35331",,,"0.001058192","1186905.227","0","40277765","1917989","63245070945","3011670045"
"2021/08","부산주공","005030","STK","562","611","510","4.07021","11.210547",,,"0.007451312","496417.7037","4.761905","43365339","2065016","26644659189","1268793295"
"2021/08","포스코케미칼","003670","STK","155500","157500","139000","2.692001","2.382434",,,"0.000030919","201518.4075","14.285714","7895846","375993","1187490344500","56547159262"
"2021/08","한일홀딩스","003300","STK","13950","14000","12700","1.499524","-0.362484",,,"0.003690819","26939.6125","9.52381","566231","26963","7615976650","362665555"
"2021/08","대한제분","001130","STK","165000","178000","158000","1.727727","0.161401",,,"0.001497971","4407.1726","14.285714","100926","4806","16937887500","806566071"
"2021/08","하이트진로","000080","STK","33350","34600","30350","2.158076","2.356559",,,"0.000126179","382254.3853","4.761905","6637035","316049","218169026700","10389001271"
"2021/08","웰바이오텍","010600","STK","2130","2815","2120","3.613289","5.335526",,,"0.001235935","637423.9491","0","23879393","1137114","57001928860","2714377565"
"2021/08","태영건설우","009415","STK","15250","15450","13150","2.412274","-0.675411",,,"0.01649528","7992.4322","4.761905","192539","9169","2792095950","132956950"
"2021/08","태영건설","009410","STK","12200","12450","11150","1.827633","1.284896",,,"0.001052438","101819.8277","14.285714","2156251","102679","25525935050","1215520717"
"2021/08","대양금속","009190","STK","5380","5740","4970","2.204259","0.343802",,,"0.000521224","1230681.8795","0","16685821","794563","92676337500","4413158929"
"2021/08","한국전자홀딩스","006200","STK","1355","1475","1230","2.715805","0.869206",,,"0.002773794","434196.2308","14.285714","14559414","693305","19878603385","946600161"
"2021/08","SPC삼립","005610","STK","81500","84700","75300","1.620875","1.198678",,,"0.001100441","32190.3683","0","243931","11616","19714869500","938803310"
"2021/08","삼화콘덴서","001820","STK","62800","62800","56900","1.932805","2.05615",,,"0.000278539","101975.5999","9.52381","1866998","88905","114219393900","5439018757"
"2021/08","삼성중공우","010145","STK","257500","306500","236000","7.615163","13.243255",,,"0.002870042","2064.5919","38.095238","56848","3790","15823557000","1054903800"
"2021/08","호텔신라","008770","STK","89800","94400","84300","1.864671","1.876875",,,"0.000034781","595178.1081","4.761905","6997395","333209","627376143200","29875054438"
"2021/08","서울식품","004410","STK","373","412","352","2.213784","-0.902591",,,"0.000507828","6227241.8388","19.047619","180424772","8591656","70265542240","3345978202"
"2021/08","화천기공","000850","STK","38500","38500","35850","1.076193","1.255489",,,"0.003471053","11660.7851","14.285714","126475","6023","4660595150","221933102"
"2021/08","에스원","012750","STK","82100","84000","80000","0.910229","1.10631",,,"0.000120206","141329.139","4.761905","1305198","62152","106535692300","5073128205"
"2021/08","경인양행","012610","STK","6960","6960","6470","1.14539","0.528494",,,"0.000731099","285865.4906","9.52381","3604901","171662","24368106640","1160386030"
"2021/08","고려아연","010130","STK","532000","540000","486000","2.016656","1.167126",,,"0.000052593","55403.7032","4.761905","1102780","52513","572735023000","27273096333"
"2021/08","율촌화학","008730","STK","20550","21250","18950","1.739167","-0.222335",,,"0.001442076","53688.9214","4.761905","971160","46246","19502257250","928678917"
"2021/08","오뚜기","007310","STK","517000","540000","506000","1.248682","6.911813",,,"0.000332713","7011.902","14.285714","94340","4492","49575574000","2360741619"
"2021/08","NH투자증권우","005945","STK","11900","11950","11300","0.977239","-0.060346",,,"0.000678484","130129.2659","9.52381","2214158","105436","25779763050","1227607764"
"2021/08","SGC에너지","005090","STK","46950","50800","43200","2.106927","0.422313",,,"0.000478895","91450.365","4.761905","1541532","73406","72754760550","3464512407"
"2021/08","씨아이테크","004920","STK","1040","1255","970","2.453994","-0.700593",,,"0.005340979","204647.9909","4.761905","7956580","378885","8626766962","410798427"
"2021/08","보령","003850","STK","16550","18500","16300","2.94315","2.724847",,,"0.00025963","336571.6822","4.761905","9227030","439382","161898321200","7709443867"
"2021/08","대한항공","003490","STK","31300","31300","27600","2.294237","-0.140662",,,"0.000024974","3000871.5944","0","46585963","2218379","1395638240200","66458963819"
"2021/08","대원제약","003220","STK","20800","24000","15800","7.125424","2.059115",,,"0.000240177","1139929.112","0","98288360","4680398","2067514950200","98453092867"
"2021/08","성보화학","003080","STK","4310","4885","4010","2.189959","0.73827",,,"0.004000755","103861.7864","0","1862309","88681","8346111120","397433863"
"2021/08","아세아제지","002310","STK","49450","53500","47150","2.420522","3.83697",,,"0.000568875","61846.77","0","1162221","55344","58070378700","2765256129"
"2021/08","동양","001520","STK","1745","1975","1630","3.127029","-0.575913",,,"0.000862418","1250813.5037","4.761905","32798436","1561830","59202686675","2819175556"
"2021/08","SK증권우","001515","STK","4280","4575","4185","1.275221","0.909189",,,"0.02023794","16287.561","4.761905","238856","11374","1046617735","49838940"
"2021/08","남양유업","003920","STK","565000","611000","535000","3.379101","5.142592",,,"0.000680081","4201.689","0","130720","6225","74818021000","3562762905"
"2021/08","쌍용C&E","003410","STK","8430","8430","7720","1.289212","-1.064502",,,"0.000152562","1200182.082","0","19824562","944027","159766842010","7607944858"
"2021/08","아모레G우","002795","STK","21950","22550","20250","1.676738","-1.021435",,,"0.00438903","14741.6221","4.761905","339695","16176","7298549800","347549990"
"2021/08","JW중외제약","001060","STK","27150","29300","26400","2.399259","2.058561",,,"0.000546951","98258.6169","0","2313066","110146","65873579950","3136837140"
"2021/08","대덕","008060","STK","7520","7810","6960","1.530445","-0.559056",,,"0.000627544","395620.6282","4.761905","5324397","253543","39724868600","1891660410"
"2021/08","영풍제지","006740","STK","7230","8080","6680","2.510221","0.059654",,,"0.002320665","76246.9948","4.761905","2578187","122771","19243749190","916369009"
