,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율,매출액순이익률,CASH FLOW 대 매출액비율,CASH FLOW 대 부채비율,이자보상배율(이자비용),금융비용 대 총비용비율,설비투자효율,CASH FLOW 대 총자본비율,자본금회전률,총자본투자효율,총자본회전률,자기자본순이익률,매출채권회전률,유형자산회전율,부채비율,유동비율,자기자본배율,당좌비율,순운전자본비율,현금비율,타인자본회전률,총자본순이익률,매출액총이익률,매출원가 대 매출액비율,차입금의존도,재고자산회전률,총자산부채비율,현금비율(CASHTA),유보이익대총자산비율,판매관리비대매출액,고정비율,log총자산,총자본증가율,유동자산증가율,매출액증가율,총자산영업이익률,순이익률,이자비용/부채,영업이익증가율,순이익증가율,업종,규모,층화,label
680,(주)현대이지웰,90850,17-Dec,서비스업,173.45,3.81,6.32,6.67,15.31,0.26,177.58,4.59,11.8,23.14,0.84,9.29,19.5,7.47,221.38,134.35,504.91,120.5,18.54,34.21,1.28,3.2,50.17,49.83,9.47,13.38,0.6888392034648637,0.1846156544891876,0.2253869399027496,0.4274866297389322,0.2749293481692418,7.904528569113968,37.16,74.81,11.57,0.0624094101123291,0.0320337933344461,0.0062217702626114,616.859036006972,774.4635661925337,1,0,1,0
99,(주)디지털대성,68930,17-Dec,서비스업,34.43,9.19,14.44,42.66,81.59,-0.86,209.85,12.4,8.06,27.37,0.9,10.78,25.64,6.45,41.0,116.08,620.15,112.83,3.93,36.17,3.13,8.29,49.88,50.12,3.82,97.31,0.2907772693058965,0.0883126272023019,0.2653955866209727,0.3874139070683425,0.7165348998567208,8.019450539448476,10.52,2.98,7.58,0.1004776784853722,0.0829357297643755,0.0042676884310507,26.710634601895627,3.5184911579065297,1,0,1,0
616,(주)파수,150900,17-Dec,서비스업,125.64,1.9,-2.64,-2.83,1.63,2.52,1813.35,-1.86,7.19,37.57,0.73,4.01,2.4,28.37,191.01,124.6,351.17,124.6,10.62,31.37,1.12,1.39,61.94,38.06,45.95,0.0,0.6563676771929193,0.135436766858853,-0.097587571954507,0.5750089072088214,0.4620696282093802,7.619162968756959,8.7,7.74,36.58,0.0325409366428566,0.0139030925039754,0.0305146403431838,701.2275465917597,2286.3004127379727,1,0,1,0
507,(주)지란지교시큐리티,208350,17-Dec,서비스업,34.35,18.59,15.44,31.67,28.61,0.2,973.42,9.47,10.83,33.19,0.61,13.75,3.04,17.99,42.65,220.95,974.04,220.95,29.13,90.62,2.05,11.4,46.45,53.55,14.01,0.0,0.2989756398908754,0.2182354014065122,0.0816379672464514,0.2637805875118146,0.4678722966521247,7.833222912323942,0.0,0.0,0.0,0.1742052787303411,0.1613661005148829,0.02119371093021,202.30724820389696,506.31369101811447,1,0,1,0
707,글로벌텍스프리(주),204620,17-Dec,서비스업,12.0,-7.19,6.29,17.42,3.26,-0.98,340.85,2.73,3.45,15.91,0.43,-3.7,0.0,9.3,18.59,791.33,669.86,791.33,69.97,602.55,2.77,-3.12,0.0,0.0,1.81,0.0,0.1567655629976523,0.6098146045515022,0.0703316655646184,0.975471589586322,0.1991235158706852,7.880516233074199,0.0,0.0,0.0,0.0212915732414269,-0.0623817241435292,0.0417171872936969,0.0,0.0,1,0,1,0
637,(주)폴라리스오피스,41020,17-Dec,서비스업,18.39,-95.67,-106.33,-206.45,2467274.0,-0.81,-87.34,-36.34,1.21,-1.0,0.34,-41.78,14.95,24.8,21.36,339.21,232.2,339.21,36.24,62.86,1.44,-32.07,0.0,0.0,0.0,0.0,0.1760092016049476,0.0952215586230714,-1.035932153292414,1.9347083082538168,0.4861216899325168,7.648852475350136,-3.73,-10.6,15.39,-0.3133633237686885,-0.3207418080665499,0.0,41.33358975167615,44.27034316334316,1,0,1,0
455,(주)이엔코퍼레이션,66980,17-Dec,서비스업,20.81,-7.0,3.66,6.95,4.49,0.13,120.92,1.45,1.01,11.74,0.39,-2.6,12.9,3.94,26.42,267.74,141.94,267.27,27.61,199.19,1.51,-2.72,0.0,0.0,7.09,543.08,0.2089852311563315,0.3278740351322676,0.0036235937973261,0.937906108635022,0.5592859447227728,8.282947141179143,-4.47,-7.88,224.57,0.0241000471184799,-0.027177152587901,0.0208294155451057,-3.1031869245597425,-427.91754166336335,1,0,1,0
262,(주)아미노로직스,74430,17-Dec,서비스업,7.1,3.22,21.2,84.4,63.25,-1.03,454.57,7.23,1.92,4.25,0.34,1.21,3.8,41.52,9.37,873.47,513.99,700.94,50.2,233.12,3.87,1.1,23.1,76.9,2.03,2.53,0.0856535754240286,0.1512909669350273,-1.6710702822203265,0.1671442708290021,0.4331378977266708,7.693474114194345,0.7,3.97,2.87,0.0218552845829211,0.0110192203053386,0.0039049951434494,37.83238816990381,790.1599065904978,1,0,1,0
123,(주)매커스,93520,17-Dec,서비스업,76.94,10.38,3.31,7.64,39.96,0.11,444.58,3.41,10.81,21.87,1.06,20.63,6.5,15.54,80.75,205.52,586.16,191.91,44.92,47.0,2.26,10.98,22.68,77.32,3.24,14.54,0.4467559873584322,0.2000646675415065,0.4232742240115918,0.1010433231431479,0.1252093786903073,7.928806880278882,5.69,4.36,29.0,0.1330145697092127,0.1097819500022171,0.0071250553154324,214.8098480159549,479.1153465159991,1,0,1,0
917,줌인터넷(주),229480,17-Dec,서비스업,23.18,11.43,5.24,53.88,2467274.0,-0.17,659.73,11.19,4.19,112.91,2.46,36.86,9.27,11.27,26.2,399.38,154.07,399.38,54.98,1.89,10.39,28.13,28.79,71.21,0.0,0.0,0.2076300810379335,0.0034714577151671,-0.7728611901210082,0.2110267757552293,0.2665289941035272,7.019896944438933,35.74,44.49,15.95,0.1892049422551573,0.2813336676763143,0.0,14.496520092264989,67.75338267743805,1,0,1,0
