,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율(IFRS연결),매출액순이익률(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),유형자산회전율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),총자산부채비율,순이익률,현금비율,이자비용/부채,유보이익대총자산비율,자기자본비율,매출액대판매관리비,고정비율,총자산영업이익율,log총자산,총자본증가율(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),차입금의존도(IFRS연결),매출액총이익률(IFRS연결),재고자산회전률(IFRS연결),매출원가 대 매출액비율(IFRS연결),영업이익증가율,순이익증가율,업종,규모,층화,label
807,글로벌텍스프리(주),204620,19-Dec,서비스업,28.18,9.72,8.29,9.24,2.58,2.96,356.69,3.92,4.22,22.16,0.5,7.91,0.0,10.88,73.57,495.16,390.62,495.16,64.15,365.05,1.3,4.87,0.4238612075620546,0.0486621945895077,0.5926434893787562,0.0585167281239453,0.1522938331644069,0.5761387924379454,0.8840894912627064,0.1961302851628374,0.0580437318046364,8.102215488214265,12.81,2.36,43.89,18.2,0.0,0.0,0.0,895.3342222,-30.57519029,1,0,1,0
480,(주)위메이드플레이,123420,19-Dec,서비스업,10.76,3.51,8.4,38.09,16.24,-3.78,562.06,4.56,17.64,18.41,0.55,2.16,10.28,23.02,13.6,833.67,2858.79,833.67,69.5,113.5,4.94,1.92,0.1197246489757595,0.0192425114026129,0.1075130884068638,0.0099681488398165,0.8146489613446811,0.8802753574594318,0.967270517602376,0.2103044388611008,0.0179432427487753,8.191438538799432,1.89,25.91,-1.84,2.11,0.0,0.0,0.0,-67.71813036607297,-70.14104577494139,1,0,1,0
777,(주)현대이지웰,90850,19-Dec,서비스업,142.52,5.7,6.99,10.69,23.95,-0.03,106.59,6.38,15.63,26.73,0.95,15.55,33.42,3.45,148.0,106.87,660.1,101.16,3.95,37.77,1.52,5.43,0.5967674497804446,0.0542669303276642,0.2170560378551065,0.0072444315173715,0.262124222233798,0.4032325502195554,0.3793709128144424,0.3858097935694709,0.1088236456001036,7.955242834762325,9.1,18.48,12.66,4.92,49.37,36.61,50.63,34.365417097889825,177.93019524760828,1,0,1,0
181,(주)바이오톡스텍,86040,19-Dec,서비스업,71.11,-6.6,8.71,7.77,-0.23,1.55,54.1,3.74,3.55,19.75,0.42,-5.15,6.51,1.15,92.9,77.44,413.94,74.25,-8.32,24.24,0.92,-2.77,0.4815997780094113,-0.027660135390482,0.0893531396585761,0.0200956662942677,0.0014067181201446,0.5184002219905888,0.2127469850038178,0.7145429261239171,-0.0021217839947501,7.7794198807388035,-4.69,8.29,-20.65,28.97,20.77,30.84,79.23,-107.91111396007433,-148.90773740730523,1,0,1,0
447,(주)와이비엠넷,57030,19-Dec,서비스업,69.78,2.97,10.56,18.88,4.46,0.4,119.53,8.38,7.37,31.15,0.78,4.24,10.8,2.77,79.75,112.01,516.67,96.26,4.66,34.89,1.74,2.33,0.4436734717909598,0.0233042801574722,0.1354634251412213,0.017128591780543,0.2599425350966119,0.5563265414105011,0.3961853860876946,0.5651547939943703,0.0343321443172272,7.879378004675162,-2.04,-7.67,-4.04,21.24,43.99,12.32,56.01,160.77836496712567,382.367767723371,1,0,1,0
222,(주)삼화네트웍스,46390,19-Dec,서비스업,14.69,1.33,1.3,8.42,7.24,-0.26,667.69,1.63,6.3,19.95,1.1,2.08,18.97,47.03,24.04,430.2,405.52,430.2,39.11,167.73,3.78,1.47,0.1937819895520916,0.0146955723361408,0.1986741021056657,0.0016699025254617,0.1570531925995294,0.8062180104479084,0.0379038645940905,0.4904399700654356,0.0035373277040551,7.636525877907314,-20.99,-43.57,331.55,0.47,4.11,0.0,95.89,2262.4384115806397,525.8001559114578,1,0,1,0
150,(주)매커스,93520,19-Dec,서비스업,91.46,8.35,7.72,9.11,34.83,0.01,284.66,4.39,7.11,12.39,0.61,9.11,6.67,13.38,92.93,191.12,653.51,148.4,43.19,37.75,1.37,5.1,0.4816902716577809,0.0510170393567203,0.1789592520250889,0.0040652782898653,0.4587028817707519,0.5183097382311698,0.1289429291669003,0.0940203157019804,0.0632059293702986,8.004849790665158,16.08,18.6,-35.86,1.79,23.24,4.11,76.76,-54.05494055763855,-48.406601683622306,1,0,1,0
1050,참좋은여행(주),94850,19-Dec,서비스업,48.82,36.88,15.82,20.06,8.85,-0.29,3622.63,6.74,8.87,36.45,0.41,25.44,1020.2,61.06,50.61,243.19,1381.48,240.35,46.41,145.02,1.04,15.3,0.3360231879814909,0.1530110305130322,0.4700694899277128,0.0135236991275434,0.4251579945412983,0.6639768120185091,0.8849695587615746,0.2117418045492018,0.0477191228398548,8.163288691693982,-5.14,65.39,-4.55,0.72,0.0,53.15,0.0,-44.45866486653707,123.6131558930458,1,0,1,0
116,(주)디지틀조선일보,33130,19-Dec,서비스업,9.8,10.23,16.93,66.65,31.03,-3.16,1102.08,6.67,1.82,23.18,0.41,4.54,6.32,16.29,11.13,653.54,414.09,651.56,48.83,123.34,4.34,4.16,0.1001227099423427,0.0415990737040827,0.1088109340078484,0.012121300631097,0.4494801323540253,0.8998772900576573,0.1683529044113258,0.4234525581600294,0.0352739015776953,7.93375891027346,6.46,1.7,-14.71,2.59,25.51,210.73,74.49,-53.85297300423334,-32.627375678730616,1,0,1,0
214,(주)사람인에이치알,143240,19-Dec,서비스업,17.07,27.21,20.81,100.31,821.08,-3.2,729.06,14.9,16.07,62.65,0.8,25.35,14.91,9.05,17.45,381.26,1908.5,381.26,40.88,28.37,5.46,21.66,0.1485383188715128,0.2165640925182667,0.0412289038003392,0.001939860813338,0.5499785234278461,0.8514616811284872,0.7082988460837485,0.4458783494035562,0.2321555394295183,8.116169130850473,25.08,52.08,8.61,0.56,0.0,0.0,0.0,44.59584386885574,52.745029130025166,1,0,1,0
585,(주)지란지교시큐리티,208350,19-Dec,서비스업,25.34,7.41,9.33,25.58,20.38,-0.54,225.19,5.76,14.28,33.45,0.65,8.21,3.67,6.32,29.09,266.12,1051.09,266.12,32.6,81.51,3.2,4.84,0.2253466755454062,0.0483544299181416,0.1599695960379995,0.0088595849488501,0.0859931045219724,0.7746533244545938,0.3296718142652753,0.477686195323672,0.0367719388340081,7.993292602981078,11.89,0.72,13.12,8.79,38.6,0.0,61.4,23.112757666248683,48.878707563101806,1,0,1,0
741,(주)플리토,300080,19-Dec,서비스업,4.65,-300.77,-183.98,-158.15,-16.77,3.46,-458.67,-13.83,1.09,-21.23,0.13,-125.49,6.12,3.11,9.58,2222.56,928.48,2222.56,90.12,375.19,0.19,-39.31,0.0874419833186694,-0.3930788155376181,0.1593035147125658,0.0328741586562138,-0.8024904505643409,0.9125580166813304,3.89008068420122,0.056304744099584,-0.3777074688246922,7.421780290287293,565.5,586.94,-43.37,3.39,0.0,0.0,0.0,-243.6638929,-58.74060765,1,0,1,0
