,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율,매출액순이익률,CASH FLOW 대 매출액비율,CASH FLOW 대 부채비율,이자보상배율(이자비용),금융비용 대 총비용비율,설비투자효율,CASH FLOW 대 총자본비율,자본금회전률,총자본투자효율,총자본회전률,자기자본순이익률,매출채권회전률,유형자산회전율,부채비율,유동비율,자기자본배율,당좌비율,순운전자본비율,현금비율,타인자본회전률,총자본순이익률,매출액총이익률,매출원가 대 매출액비율,차입금의존도,재고자산회전률,총자산부채비율,현금비율(CASHTA),유보이익대총자산비율,판매관리비대매출액,고정비율,log총자산,총자본증가율,유동자산증가율,매출액증가율,총자산영업이익률,순이익률,이자비용/부채,영업이익증가율,순이익증가율,업종,규모,층화,label
741,(주)플리토,300080,19-Dec,서비스업,4.65,-300.77,-183.98,-158.15,-16.77,3.46,-458.67,-13.83,1.09,-21.23,0.13,-125.49,6.12,3.11,9.58,2222.56,928.48,2222.56,90.12,375.19,0.19,-39.31,0.0,0.0,3.39,0.0,0.087441983,0.159303515,-0.802490451,3.890080684,0.056304744,7.42178029,565.5,586.94,-43.37,-0.377707469,-0.393078816,0.032874159,-243.6638929,-58.74060765,1,0,1,0
905,소프트캠프(주),258790,19-Dec,서비스업,96.58,3.18,30.91,52.99,50.1,0.15,2462.43,28.88,9.11,39.8,0.93,4.89,4.33,57.81,119.85,170.6,436.36,170.21,31.01,59.38,1.71,2.97,75.44,24.56,30.68,548.3,0.545138491,0.260849254,-0.193528919,0.547027216,0.250558989,7.324818982,0.0,0.0,0.0,0.387485271,0.0594077,0.014186775,93738.48249,69681.23556,1,0,1,0
169,(주)모비스,250060,19-Dec,서비스업,13.01,-4.61,-3.7,-5.02,-19.87,-0.77,298.33,-1.06,3.78,22.2,0.35,-2.35,26.99,4.03,26.65,487.61,803.54,487.18,39.81,109.28,2.01,-1.6,50.46,49.54,4.77,770.26,0.210401174,0.112242645,-0.035013744,0.646702711,0.499165098,7.628482564,54.03,24.53,386.56,-0.04924151,-0.015964282,0.014337186,-17.17145867,-58.19749987,1,0,1,0
214,(주)사람인에이치알,143240,19-Dec,서비스업,17.07,27.21,20.81,100.31,821.08,-3.2,729.06,14.9,16.07,62.65,0.8,25.35,14.91,9.05,17.45,381.26,1908.5,381.26,40.88,28.37,5.46,21.66,0.0,0.0,0.56,0.0,0.148538319,0.041228904,0.549978523,0.708298846,0.445878349,8.116169131,25.08,52.08,8.61,0.232155539,0.216564093,0.001939861,44.59584387,52.74502913,1,0,1,0
1088,한국기업평가(주),34950,19-Dec,서비스업,22.83,26.69,29.7,76.7,622.27,-3.62,2064.3,17.18,3.79,51.7,0.64,20.96,14.31,17.04,28.86,456.1,438.05,456.1,63.08,52.88,2.9,17.01,0.0,0.0,1.15,0.0,0.223973665,0.093660375,0.471808643,0.658781992,0.192113507,8.205034171,22.65,25.47,10.21,0.217462662,0.170107025,0.001588682,24.71216088,22.34978368,1,0,1,0
263,(주)솔본,35610,19-Dec,서비스업,10.73,7.19,11.74,37.55,2.2,-1.33,271.22,4.53,5.87,16.53,0.4,1.27,3.39,5.87,13.72,497.33,1025.98,489.44,37.49,116.25,3.59,2.85,52.92,47.08,1.89,61.27,0.120645924,0.109704819,0.108631733,0.525298519,0.530683341,8.318366903,5.51,-12.8,-4.89,0.001553119,0.02848265,0.006384497,-97.94603864,-42.62979434,1,0,1,0
1048,지엘팜텍(주),204840,19-Dec,서비스업,684.24,-51.99,-22.97,-10.08,-7.43,2.18,6.85,-9.18,2.96,4.03,0.37,-108.38,3.0,0.67,1024.08,39.28,66.0,26.28,-36.96,2.01,0.44,-18.98,19.12,80.88,59.12,5.69,0.911038384,0.012209811,-0.301061276,0.486351646,0.760888448,7.42401563,-15.89,-29.31,32.63,-0.107767708,-0.189832392,0.017595083,31.61622489,-3.101965189,1,0,1,0
111,(주)디와이디,219550,19-Dec,서비스업,63.61,-6.0,-10.14,-22.84,-3.85,0.16,369.62,-9.34,8.47,5.66,0.92,-9.56,7.79,60.16,69.17,148.91,536.01,102.62,18.39,3.79,2.25,-5.53,33.93,66.07,34.77,5.29,0.408861484,0.014269623,0.331791229,0.37595961,0.440041234,7.71791221,0.0,0.0,0.0,-0.041837197,-0.068585798,0.038133676,-132.9691673,-172.2159985,1,0,1,0
963,에이치엘비제약(주),47920,19-Dec,서비스업,128.98,1.31,-0.59,-0.76,1.21,3.16,73.04,-0.46,5.21,20.05,0.88,2.71,5.17,2.75,156.08,125.67,258.56,101.21,12.93,11.88,1.52,1.15,49.98,50.02,28.79,6.55,0.609498208,0.059849253,0.026494928,0.459860842,0.367049036,7.661300209,25.87,36.39,75.75,0.035029653,0.011490438,0.050345356,504.3415047,1593.61753,1,0,1,0
719,(주)팬엔터테인먼트,68050,19-Dec,서비스업,40.16,2.82,-19.57,-26.5,2.34,1.07,14.7,-10.16,5.85,7.63,0.56,2.4,5.39,0.99,62.15,104.02,695.59,95.56,1.0,7.55,1.63,1.58,8.57,91.43,30.76,20.56,0.38329324,0.018697864,0.02988984,0.058990208,0.74236063,7.889326146,17.14,79.35,204.41,0.014955492,0.015776514,0.018553251,254.9799986,209.2206455,1,0,1,0
