종목명,신문사,시간,제목,본문,전체,label,부도기사비율
MP한강,98,98,98,98,98,98,0.0
W홀딩컴퍼니,82,82,82,82,82,82,9.75609756097561
글로벌텍스프리,49,49,49,49,49,49,12.244897959183673
금강철강,25,25,25,25,25,25,0.0
나노,36,36,36,36,36,36,11.11111111111111
녹십자셀,32,32,32,32,32,32,0.0
뉴인텍,20,20,20,20,20,20,5.0
다믈멀티미디어,21,21,21,21,21,21,0.0
덕산네오룩스,25,25,25,25,25,25,4.0
덕산테코피아,11,11,11,11,11,11,0.0
동운아나텍,40,40,40,40,40,40,0.0
디알젬,49,49,49,49,49,49,0.0
디에이치피코리아,24,24,24,24,24,24,0.0
디케이디앤아이,60,60,60,60,60,60,0.0
램테크놀러지,38,38,38,38,38,38,2.631578947368421
메드팩토,84,84,84,84,84,84,5.952380952380952
멕아이씨에스,21,21,21,21,21,21,0.0
바이오솔루션,50,50,50,50,50,50,4.0
바이오톡스텍,15,15,15,15,15,15,0.0
사람인에이치알,17,17,17,17,17,17,0.0
삼일기업공사,14,14,14,14,14,14,0.0
선데이토즈,27,27,27,27,27,27,0.0
세진티에스,24,24,24,24,24,24,0.0
세틀뱅크,134,134,134,134,134,134,34.32835820895522
수산아이앤티,19,19,19,19,19,19,21.052631578947366
아이쓰리시스템,18,18,18,18,18,18,0.0
알로이스,35,35,35,35,35,35,2.857142857142857
앤디포스,40,40,40,40,40,40,5.0
에스디생명공학,33,33,33,33,33,33,6.0606060606060606
에스피시스템스,21,21,21,21,21,21,0.0
에쎈테크,15,15,15,15,15,15,13.333333333333334
에이비엘바이오,34,34,34,34,34,34,52.94117647058824
엔바이오니아,138,138,138,138,138,138,5.797101449275362
오스테오닉,16,16,16,16,16,16,0.0
우주일렉트로,54,54,54,54,54,54,0.0
원익홀딩스,29,29,29,29,29,29,3.4482758620689653
유에스티,10,10,10,10,10,10,0.0
이글루시큐리티,22,22,22,22,22,22,72.72727272727273
이노와이어리스,11,11,11,11,11,11,27.27272727272727
이랜시스,38,38,38,38,38,38,0.0
이스트소프트,18,18,18,18,18,18,5.555555555555555
이엘피,14,14,14,14,14,14,0.0
이지,17,17,17,17,17,17,58.82352941176471
이지웰페어,35,35,35,35,35,35,0.0
인콘,85,85,85,85,85,85,16.470588235294116
제이엠티,15,15,15,15,15,15,0.0
제일바이오,52,52,52,52,52,52,3.8461538461538463
지란지교시큐리티,19,19,19,19,19,19,57.89473684210527
지트리비앤티,48,48,48,48,48,48,0.0
참좋은여행,29,29,29,29,29,29,0.0
큐로홀딩스,56,56,56,56,56,56,0.0
티로보틱스,16,16,16,16,16,16,0.0
팬젠,80,80,80,80,80,80,0.0
플리토,37,37,37,37,37,37,0.0
피제이전자,23,23,23,23,23,23,0.0
하이즈항공,58,58,58,58,58,58,3.4482758620689653
한국비엔씨,59,59,59,59,59,59,1.694915254237288
휴온스,30,30,30,30,30,30,23.333333333333332
흥국에프엔비,24,24,24,24,24,24,4.166666666666666
희림,42,42,42,42,42,42,19.047619047619047
