회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),유형자산회전율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),유동부채비율(IFRS),매출액순이익률(IFRS),CASH FLOW 대 매출액비율(IFRS),CASH FLOW 대 부채비율(IFRS),이자보상배율(이자비용)(IFRS),금융비용 대 총비용비율(IFRS),설비투자효율(IFRS),CASH FLOW 대 총자본비율(IFRS),자본금회전률(IFRS),총자본투자효율(IFRS),총자본회전률(IFRS),자기자본순이익률(IFRS),매출채권회전률(IFRS),유형자산회전율(IFRS),부채비율(IFRS),유동비율(IFRS),자기자본배율(IFRS),당좌비율(IFRS),순운전자본비율(IFRS),현금비율(IFRS),타인자본회전률(IFRS),총자본순이익률(IFRS),부채(*)(IFRS연결),자산(*)(IFRS연결),현금및현금성자산(*)(IFRS연결),자본(*)(IFRS연결),비유동자산(*)(IFRS연결),이익잉여금(결손금)(*)(IFRS연결),매출액(수익)(*)(IFRS연결),당기순이익(손실)(IFRS연결),이자비용(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결),장기차입금(*)(IFRS연결),단기차입금(*)(IFRS연결),유동성장기부채(*)(IFRS연결),유동자산(*)(IFRS연결),재고자산(*)(IFRS연결),매출원가(*)(IFRS연결),매출총이익(손실)(IFRS연결),부채(*)(IFRS),자산(*)(IFRS),현금및현금성자산(*)(IFRS),자본(*)(IFRS),비유동자산(*)(IFRS),이익잉여금(결손금)(*)(IFRS),매출액(수익)(*)(IFRS),당기순이익(손실)(IFRS),이자비용(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),장기차입금(*)(IFRS),단기차입금(*)(IFRS),유동성장기부채(*)(IFRS),유동자산(*)(IFRS),재고자산(*)(IFRS),매출원가(*)(IFRS),매출총이익(손실)(IFRS)
(주)광무,29480,Dec-10,105.94,-18.32,8.43,12.07,0.68,2.37,-36.46,6.5,1.98,-1.47,0.77,-30.78,4.48,18.88,116.42,119.7,118.08,91.35,9.65,18.84,1.43,-14.12,83.39,-2.01,-6.35,-9.02,0.66,2.8,288.78,-4.31,2.01,9.19,0.73,-2.86,3.12,22.14,91.69,118.81,149.21,90.16,8.18,17.92,1.48,-1.46,57046447,106045148,9846776,48998701,43905740,-12175879,81747132,-14977960,4586758,14317319,3131491,0,18770884,26496276,62139409,14719433,62980133,18766999,56496192,118110114,9274328,61613923,57067012,1219079,80284671,-1612170,4561190,13178076,3016953,0,18770884,26496276,61043103,14719433,61972719,18311952
(주)광무,29480,Dec-11,89.15,-96.85,16.35,22.2,-3.01,3.29,-180.22,11.14,0.83,-41.21,0.68,-131.02,5.94,2.85,100.75,111.42,60.55,78.43,5.07,17.65,1.36,-66,65.31,-102.34,16.15,22.26,-2.59,3.22,-205.67,9.48,0.97,-39.95,0.49,-92.94,3.86,4.74,74.12,111.54,78.61,76.98,4.33,18.15,1.08,-50.54,38114862,75946478,6140429,37831616,38368387,-62535786,51755052,-50127229,4492739,19087540,-13535610,0,18255969,5487561,37578091,11126987,42251012,9504041,36539844,85836111,6033301,49296267,49926982,-50928341,50359203,-51537196,4404751,17275285,-11400527,0,17715969,5487561,35909129,11126987,40419633,9939570
(주)광무,29480,Dec-12,68.86,-25.96,-14.11,-22.1,-2.69,1.74,22.99,-10.41,6.37,5.14,0.74,-36.23,4,3.3,89.07,117.03,456.21,79.59,6.2,3.09,1.57,-19.16,52.02,-37.4,5.08,8.68,-2.61,1.6,-20.62,3.41,1.17,-4.23,0.55,-35.22,6.13,2.71,64.75,85.63,564.61,56.56,-4.54,3.28,1.34,-20.7,26281385,55788602,627277,29507217,32009671,-73135216,41178683,-10689029,2148753,13198130,-5776949,0,11206671,2588264,23778931,7606817,33757502,7421181,23645347,60163490,623839,36518143,43896724,-65909173,40406860,-15113066,2148753,12801293,-5614534,0,11208688,2588264,16266767,5521700,33220101,7186760
(주)광무,29480,Dec-13,245.96,-139.87,-16.51,-12.74,-8.2,2.44,-173.98,-9.58,2.58,-54.24,0.45,-150,3.08,1.75,302.71,66.23,93.21,42.61,-20.62,2.46,0.78,-63,125.43,-328.09,-32.34,-18.63,-4.26,2.66,-248.09,-11.31,1.27,-93.9,0.23,-138.53,3.28,0.87,154.61,49.36,120.37,47.61,-24.95,2.27,0.49,-74.46,26597916,35384615,530704,8786699,21070560,-35668750,20534276,-28721377,1696638,11817507,-13904969,0,12634238,0,14314055,5105102,22621739,-2087463,17543532,28890332,322924,11346800,21864842,-32895800,10105219,-33154332,1617921,6782906,-6899306,0,12634238,0,7025489,249281,10221619,-116400
(주)광무,29480,Dec-14,,,,,,,,,,,,,,,,,,,,,,,173.31,-2.24,1,1.99,1.12,2.6,88.77,1.38,4.07,27.58,1.35,-8.66,13.65,3.92,227.58,64.28,90.23,62.72,-18.9,11.64,2.08,-3.03,,,,,,,,,,,,,,,,,,,19357078,27862528,1716363,8505450,18386902,-3432736,38409667,-859721,1269418,5454577,1422352,0,7635126,2189436,9475626,230597,31532738,6876929
(주)광무,29480,Dec-15,,,,,,,,,,,,,,,,,,,,,,,83.72,-15.46,2.78,3.66,-0.8,2.67,61.29,2.32,1.7,23.52,0.72,-33.57,4.75,2.11,172.88,81.54,68.67,74.18,-5.66,17.8,1.08,-11.13,,,,,,,,,,,,,,,,,,,13388763,21133216,1154089,7744452,15846707,-4826989,17648493,-2727754,772292,4615892,-620363,4070000,1501000,1920000,5286509,476695,13652964,3995529
(주)광무,29480,Dec-16,,,,,,,,,,,,,,,,,,,,,,,165.04,0.36,-0.75,-0.94,1.93,2.2,87.28,-0.68,2.34,24.16,1.05,1.21,6.63,3.27,261.22,89.49,71.41,84.11,-4.8,40.45,1.54,0.38,,,,,,,,,,,,,,,,,,,21036538,29089768,5376790,8053231,17195809,-4433930,26429957,95615,670738,3383715,1294011,4070000,860015,0,11893960,714172,21752231,4677726
(주)광무,29480,Dec-17,,,,,,,,,,,,,,,,,,,,,,,100.03,-15.56,0.93,1.31,0.32,2.12,56.08,0.69,1.58,15.02,0.74,-31.04,4,2.73,113.62,110.28,84.96,108.89,4.82,7.17,1.18,-11.55,,,,,,,,,,,,,,,,,,,15398329,28950503,971317,13552175,14000561,-7683685,21540953,-3352682,623290,3838245,199525,0,845932,5600000,14949942,188668,17503183,4037770
(주)국순당,43650,Dec-10,11.53,13.22,15.25,74.93,261.67,-2.34,49.6,8.88,13.1,21.02,0.65,9.65,12.42,1.74,13.44,465.58,1933.23,385.08,37.14,265.67,6.39,8.64,10.91,15.43,16.03,75.8,999999999,-2.52,52.01,8.54,11.62,20.25,0.6,10.11,13.85,1.76,12.7,484.88,1934.63,407.9,37.25,278.35,6.49,9.18,23794160,200862986,54216662,177068826,105849006,153147484,116933694,15460732,55482,44687208,14517859,325000,0,900000,95013980,16428520,57728627,59205067,21936869,194683009,52441539,172746140,103331285,153252654,103748078,16007518,0,39020995,15496377,0,0,0,91351724,14503238,49230706,54517372
(주)국순당,43650,Dec-11,9.25,4.12,6.01,36.53,167.22,-1.46,40.35,3.86,14.3,16.71,0.64,2.99,11.34,1.51,11.8,500.27,1942.69,401.4,33.11,293.46,6.07,2.64,8.97,4.54,12.51,78.48,999999999,-1.44,42.79,8.02,13.92,16.66,0.64,3.25,11.92,1.62,11.38,496.76,1949.18,400.25,31.96,289.56,5.95,2.9,21020767,199135153,48340287,178114387,116729398,154073900,127686247,5264054,31961,49287226,5344491,525000,200000,100000,82405755,16285781,73054530,54631717,19804029,193849294,45220429,174045265,116269242,154632110,124279594,5640710,0,47560054,5668811,0,0,0,77580053,15071855,71050728,53228865
