,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율,매출액순이익률,CASH FLOW 대 매출액비율,CASH FLOW 대 부채비율,이자보상배율(이자비용),금융비용 대 총비용비율,설비투자효율,CASH FLOW 대 총자본비율,자본금회전률,총자본투자효율,총자본회전률,자기자본순이익률,매출채권회전률,유형자산회전율,부채비율,유동비율,자기자본배율,당좌비율,순운전자본비율,현금비율,타인자본회전률,총자본순이익률,매출액총이익률,매출원가 대 매출액비율,차입금의존도,재고자산회전률,총자산부채비율,현금비율(CASHTA),유보이익대총자산비율,판매관리비대매출액,고정비율,log총자산,총자본증가율,유동자산증가율,매출액증가율,총자산영업이익률,순이익률,이자비용/부채,영업이익증가율,순이익증가율,업종,규모,층화,label
0,(주)CMG제약,58820,17-Dec,제조업,11.11,6.83,6.34,22.67,999999999.0,-2.82,84.87,2.4,0.76,12.51,0.38,2.85,3.01,2.51,11.87,746.28,179.9,673.66,64.2,34.9,3.86,2.57,43.43,56.57,0.0,5.81,0.1060904439997268,0.0346725202167093,-0.0310100417591232,0.3967544410349987,0.2586593113420466,8.03968434077042,-1.27,3.12,25.98,0.014133946883767,0.025707789169905,0.0,-9.94630660758641,64.06674016650318,2,0,2,0
1,(주)ES큐브,50120,17-Dec,서비스업,5.08,4.86,4.97,5.37,2.86,1.0,64.47,1.68,1.15,7.08,0.34,2.41,13.8,3.83,45.42,1378.49,174.95,1153.05,44.7,654.97,1.07,1.65,27.1,72.9,27.01,4.53,0.312348525689789,0.2290067616072435,0.2351190854776546,0.2081177718419123,0.5180174625062556,8.024863688244848,0.69,0.3,4.25,0.0213072543325395,0.0164687927996543,0.0235937692425081,4.048002791247366,-91.93203097323914,1,0,1,0
2,(주)가비아,79940,17-Dec,서비스업,29.43,8.32,16.48,57.21,53.72,-0.3,108.49,14.36,17.17,36.5,0.9,8.88,7.68,2.62,33.52,224.87,823.81,219.17,27.52,101.89,3.67,7.46,48.1,51.9,7.2,76.48,0.251052746136632,0.2245946667220062,0.3963396975425217,0.371650199860278,0.5043326795948113,8.125099126683406,6.03,9.75,13.74,0.098095450803258,0.0746171594897738,0.0074729937061764,1.2980686748117956,-4.992019304979473,1,1,4,0
3,(주)강스템바이오텍,217730,17-Dec,제조업,26.01,-126.27,-116.58,-46.87,-8.15,4.59,-10.95,-22.56,1.12,-1.37,0.19,-46.19,20.71,0.69,92.79,396.43,302.13,369.34,40.0,61.46,0.4,-24.43,35.68,64.32,30.19,5.29,0.481298885723778,0.0829216030287434,-0.7583664468674206,1.6420515893076697,0.4651152941253242,7.673932604153962,0.0,0.0,0.0,-0.248050976942828,-0.243699447514933,0.0610214042002833,-28.739371723143336,-38.93286749092661,2,0,2,0
4,(주)고려시멘트,198440,17-Dec,제조업,29.88,1.15,3.61,8.22,16.79,-0.15,31.72,2.73,28.76,12.85,0.76,1.3,2.96,1.83,49.73,166.67,2539.18,152.27,13.3,2.92,2.28,0.87,13.33,86.67,8.83,26.32,0.3321278387374978,0.0058215789527277,0.2821325935899066,0.098882337536788,0.6673937678813948,8.064014557917147,0.0,0.0,0.0,0.0520810979342539,0.0173239034801204,0.0093385615573176,0.0,0.0,2,0,2,0
5,(주)고영테크놀러지,98460,17-Dec,제조업,20.01,13.15,12.09,56.02,6141.06,-0.2,259.28,11.98,29.74,32.01,1.02,16.76,3.33,8.27,27.21,499.8,2357.41,430.73,62.9,142.52,4.98,13.36,64.65,35.35,0.0,9.72,0.2138822343065285,0.2242217306165662,0.7635989708654979,0.4313359475615477,0.2136903796128,8.3121929861037,5.17,4.17,18.38,0.2185649596789014,0.1335607961245319,0.000174300520987,31.835407555481947,-10.058050245573124,2,1,5,0
6,(주)골프존,215000,17-Dec,서비스업,27.41,39.68,28.89,89.92,52.52,-0.5,123.58,22.79,63.77,34.14,0.91,51.19,13.6,2.77,33.95,309.32,6032.07,284.03,42.84,212.93,3.04,35.96,65.5,34.5,12.81,15.52,0.2534392120887214,0.4358034367149705,0.4622486175763554,0.467810343733938,0.3669320037508689,8.404273250322788,34.99,78.87,-7.77,0.1696499539744912,0.3595761099160958,0.010841698621466,-17.57143081288123,117.29654342175476,1,1,4,0
7,(주)골프존뉴딘홀딩스,121440,17-Dec,서비스업,24.1,-10.1,3.44,2.88,2.81,2.29,5.95,0.97,9.98,3.08,0.28,-4.2,40.0,0.54,51.02,97.2,2338.7,63.78,-0.45,39.77,0.88,-2.85,47.15,52.85,27.5,5.76,0.3378558973889668,0.0634705297640016,0.253387019875371,0.3852764389334198,0.844880538279404,8.878809477164499,-0.56,14.69,-12.13,0.024283849152062,-0.0284525072220003,0.0268294415611135,-50.21717433004418,-850.408680981307,1,1,4,0
8,(주)광림,14200,17-Dec,제조업,68.22,-17.46,-4.42,-5.96,-3.19,2.23,17.01,-2.87,5.58,4.75,0.62,-15.47,8.29,2.09,93.2,106.4,386.08,76.78,2.26,43.08,1.25,-10.79,2.98,97.02,31.48,5.6,0.4824013920751819,0.1521369853718359,0.0845227743686826,0.1213147791373186,0.6242601815319045,8.318185051900803,-9.38,-11.28,54.85,-0.0565264825923174,-0.1078568682768968,0.035781787636539,-7301.0606960308305,-1144.4919407694406,2,1,5,0
9,(주)구영테크,53270,17-Dec,제조업,146.65,0.91,8.27,9.45,2.37,1.48,44.88,6.63,15.14,20.27,0.85,2.61,8.56,1.46,235.08,78.36,555.59,53.8,-9.47,15.72,1.25,0.77,15.17,84.83,50.83,7.51,0.7015606833577703,0.0688093193548699,0.167268574002128,0.1137457528899923,0.6570213960525242,8.271864094047707,12.15,18.47,1.03,0.0321764212639123,0.0076735810143388,0.0199962326189577,31.20573278259841,-46.61464335581821,2,1,5,0
