종목명,부도기사비율,1m_ratio,2m_ratio,3m_ratio,4m_ratio,5m_ratio,6m_ratio,TF
씨제이프레시웨이,32.14285714,14.28571429,17.85714286,0,0,0,0,0
CMG제약,9.375,0,6.25,3.125,0,0,0,3
ITX엠투엠,0,0,0,0,0,0,0,7
JW신약,0,0,0,0,0,0,0,4
TJ미디어,5.555555556,5.555555556,0,0,0,0,0,1
고려제약,4.285714286,0,0,0,0,2.857142857,1.428571429,2
고영,8,8,0,0,0,0,0,1
광진윈텍,0,0,0,0,0,0,0,26
국일신동,0,0,0,0,0,0,0,0
국일제지,12.82051282,0,0,2.564102564,10.25641026,0,0,6
그랜드백화점,0,0,0,0,0,0,0,0
나노엔텍,30.43478261,0,0,0,17.39130435,8.695652174,4.347826087,6
나라엠앤디,13.51351351,0,0,0,0,0,13.51351351,14
네패스,18.08510638,0,3.191489362,0,3.191489362,9.574468085,2.127659574,45
뉴로스,12.6984127,0,0,0,0,11.11111111,1.587301587,8
다믈멀티미디어,23.91304348,0,0,0,0,5.434782609,18.47826087,41
대성미생물,26.92307692,0,0,0,1.923076923,11.53846154,13.46153846,13
대주산업,0,0,0,0,0,0,0,0
대창솔루션,0,0,0,0,0,0,0,0
데이타솔루션,14.70588235,2.941176471,0,2.941176471,0,5.882352941,2.941176471,3
동구바이오제약,4.545454545,0,0,0,4.545454545,0,0,0
동국제약,0,0,0,0,0,0,0,0
동방선기,0,0,0,0,0,0,0,0
동운아나텍,15.25423729,0,1.694915254,0,5.084745763,8.474576271,0,8
동원개발,0,0,0,0,0,0,0,0
동일금속,0,0,0,0,0,0,0,1
동일기연,0,0,0,0,0,0,0,1
동진쎄미켐,17.14285714,2.857142857,0,0,14.28571429,0,0,5
듀오백,4,0,0,0,0,0,4,0
디에스티로봇,17.24137931,5.172413793,6.896551724,1.724137931,1.724137931,1.724137931,0,7
디에이테크놀로지,13.46153846,0,0,0,1.923076923,5.769230769,5.769230769,7
디지아이,0,0,0,0,0,0,0,0
디지털대성,11.11111111,0,2.222222222,2.222222222,0,0,6.666666667,2
디케이락,0,0,0,0,0,0,0,0
딜리,9.090909091,0,0,9.090909091,0,0,0,0
레이언스,14.28571429,4.761904762,2.380952381,0,3.571428571,3.571428571,0,17
로보로보,11.9047619,0,0,0,2.380952381,7.142857143,2.380952381,6
로보스타,20.83333333,0,0,0,8.333333333,0,12.5,6
루멘스,3.448275862,3.448275862,0,0,0,0,0,1
링네트,0,0,0,0,0,0,0,0
마이크로프랜드,3.448275862,0,0,0,0,0,3.448275862,1
매커스,13.33333333,0,0,0,6.666666667,6.666666667,0,4
맥스로텍,0,0,0,0,0,0,0,0
메디아나,15.94202899,7.246376812,0,0,2.898550725,0,5.797101449,14
멕아이씨에스,5.263157895,5.263157895,0,0,0,0,0,0
모바일리더,7.692307692,0,7.692307692,0,0,0,0,1
미래생명자원,12.72727273,0,0,0,0,7.272727273,5.454545455,7
민앤지,5.128205128,0,2.564102564,0,0,0,2.564102564,0
바디텍메드,25.75757576,3.03030303,10.60606061,0,9.090909091,1.515151515,1.515151515,6
바이오리더스,37.59398496,2.255639098,3.759398496,6.015037594,4.511278195,21.05263158,0,34
바이오톡스텍,22.03389831,0,0,0,6.779661017,4.237288136,11.01694915,26
비디아이,16.47058824,10.58823529,5.882352941,0,0,0,0,13
비엠티,2.564102564,0,1.282051282,0,0,0,1.282051282,1
비트컴퓨터,31.57894737,0,2.631578947,2.631578947,10.52631579,2.631578947,13.15789474,6
삼영이엔씨,6.666666667,0,3.333333333,1.111111111,1.111111111,0,1.111111111,3
서린바이오,11.11111111,0,0,3.703703704,0,0,7.407407407,0
서울반도체,17.74193548,16.12903226,1.612903226,0,0,0,0,3
서울제약,5,0,1.666666667,0,0,3.333333333,0,2
슈프리마,11.71171171,4.504504505,0,0,2.702702703,1.801801802,2.702702703,17
시스웍,15.87301587,0,7.142857143,4.761904762,1.587301587,2.380952381,0,11
신스타임즈,45.45454545,0,0,0,9.090909091,36.36363636,0,4
신신제약,13.04347826,0,0,0,13.04347826,0,0,3
신화콘텍,2.941176471,0,0,2.941176471,0,0,0,4
썸에이지,7.894736842,0,0,0,0,7.894736842,0,9
쎄트렉아이,14.70588235,0,0,0,2.941176471,2.941176471,8.823529412,5
씨아이에스,17.64705882,0,0,0,0,14.70588235,2.941176471,6
씨앤지하이테크,22.36842105,0,0,0,19.73684211,2.631578947,0,17
씨유메디칼,21.42857143,0,7.142857143,0,0,0,14.28571429,2
씨큐브,0,0,0,0,0,0,0,1
아가방앤컴퍼니,16.4556962,6.329113924,2.53164557,0,3.797468354,3.797468354,0,8
아미코젠,11.58536585,0.609756098,0,0,1.829268293,2.43902439,6.707317073,18
아스타,5,0,5,0,0,0,0,6
아우딘퓨쳐스,28.125,0,1.5625,0,9.375,10.9375,6.25,1
아이센스,26.76056338,1.408450704,1.408450704,1.408450704,2.816901408,7.042253521,12.67605634,13
아이크래프트,5.405405405,0,0,0,5.405405405,0,0,3
아이텍반도체,0,0,0,0,0,0,0,6
아즈텍WB,25,0,0,0,0,0,25,1
아진엑스텍,8.620689655,1.724137931,3.448275862,0,0,3.448275862,0,3
알리코제약,12.5,0,0,0,12.5,0,0,0
알에프에이치아이씨,100,0,0,0,52.94117647,17.64705882,29.41176471,17
알티캐스트,4,0,0,0,0,0,4,0
앤디포스,0,0,0,0,0,0,0,1
에스디생명공학,28.98550725,0,0,4.347826087,15.94202899,8.695652174,0,22
에스에프에이,3.448275862,0,3.448275862,0,0,0,0,1
에스엠코어,26.19047619,0,4.761904762,0,4.761904762,14.28571429,2.380952381,11
에스텍,7.368421053,0,0,0,7.368421053,0,0,38
에스텍파마,40.74074074,0,0,0,22.22222222,11.11111111,7.407407407,11
에쎈테크,0,0,0,0,0,0,0,0
에이스침대,11.57894737,6.315789474,3.157894737,0,0,0,2.105263158,9
에이텍티앤,50,0,2.5,0,5,22.5,20,19
엑시콘,2.43902439,0,0,0,0,0,2.43902439,1
엔텔스,15.38461538,0,0,0,0,0,15.38461538,2
엘오티베큠,0,0,0,0,0,0,0,7
엘티씨,0,0,0,0,0,0,0,0
엠에스오토텍,1.176470588,0,0,1.176470588,0,0,0,2
영풍정밀,0,0,0,0,0,0,0,0
영화테크,12.98701299,7.792207792,1.298701299,0,0,1.298701299,2.597402597,6
오이솔루션,10.71428571,0,0,0,0,3.571428571,7.142857143,8
옴니시스템,0,0,0,0,0,0,0,0
옵토팩,4.761904762,0,0,0,0,0,4.761904762,0
와토스코리아,0,0,0,0,0,0,0,0
월덱스,0,0,0,0,0,0,0,0
웹스,45.45454545,0,0,0,27.27272727,9.090909091,9.090909091,4
위지트,0,0,0,0,0,0,0,0
윈팩,0,0,0,0,0,0,0,0
유니온커뮤니티,25.49019608,0,1.960784314,15.68627451,3.921568627,0,3.921568627,4
유라테크,0,0,0,0,0,0,0,0
이녹스,8.108108108,2.702702703,2.702702703,2.702702703,0,0,0,2
이미지스,36.36363636,0,0,0,0,27.27272727,9.090909091,8
이엔에프테크놀로지,4.761904762,0,0,0,0,0,4.761904762,1
이엠넷,11.76470588,0,11.76470588,0,0,0,0,2
인콘,16.21621622,0,0,0,4.054054054,8.108108108,4.054054054,12
장원테크,0,0,0,0,0,0,0,4
제룡전기,32.43243243,0,0,2.702702703,1.351351351,9.459459459,18.91891892,24
제이브이엠,23.40425532,2.127659574,10.63829787,0,6.382978723,2.127659574,2.127659574,13
제이씨케미칼,0,0,0,0,0,0,0,0
제이엠아이,0,0,0,0,0,0,0,0
지란지교시큐리티,30.68181818,4.545454545,3.409090909,5.681818182,0,2.272727273,14.77272727,16
지트리비앤티,10,0,0,1.666666667,0,6.666666667,1.666666667,13
진로발효,6.896551724,0,3.448275862,0,3.448275862,0,0,2
참좋은여행,22.22222222,0,0,3.703703704,3.703703704,14.81481481,0,12
카이노스메드,0,0,0,0,0,0,0,0
케이맥,22.22222222,0,0,0,5.555555556,16.66666667,0,4
케이씨티,0,0,0,0,0,0,0,0
케이아이엔엑스,0,0,0,0,0,0,0,0
케이엠,8.333333333,0,0,4.166666667,2.083333333,0,2.083333333,9
코디엠,7.425742574,0,1.485148515,0.495049505,2.97029703,1.98019802,0.495049505,9
코엔텍,0,0,0,0,0,0,0,0
코위버,2.777777778,0,2.777777778,0,0,0,0,0
큐로컴,6.25,3.125,3.125,0,0,0,0,0
크린앤사이언스,21.15384615,0,0,0,5.769230769,9.615384615,5.769230769,11
테고사이언스,10.97560976,0,0,1.219512195,0,7.317073171,2.43902439,12
토필드,10.16949153,1.694915254,0,0,3.389830508,0,5.084745763,5
투비소프트,31.00775194,6.976744186,0,10.85271318,5.426356589,5.426356589,2.325581395,16
티에스이,0,0,0,0,0,0,0,2
파루,40,0,12.5,7.5,5,15,0,39
파세코,19.04761905,9.523809524,4.761904762,4.761904762,0,0,0,0
펩트론,10,1.666666667,0,0,0,6.666666667,1.666666667,5
포스코엠텍,0,0,0,0,0,0,0,0
포인트엔지니어링,0,0,0,0,0,0,0,0
프럼파스트,0,0,0,0,0,0,0,0
프리엠스,0,0,0,0,0,0,0,0
피씨엘,23.07692308,0,0,2.197802198,2.197802198,8.791208791,9.89010989,20
한국가구,0,0,0,0,0,0,0,0
한국정보인증,44.82758621,6.896551724,3.448275862,0,24.13793103,6.896551724,3.448275862,7
한국테크놀로지,0,0,0,0,0,0,0,7
한솔씨앤피,21.05263158,0,0,5.263157895,15.78947368,0,0,0
한양디지텍,12.5,6.25,0,0,0,0,6.25,0
휴맥스홀딩스,0,0,0,0,0,0,0,0
휴메딕스,32.35294118,2.941176471,1.470588235,27.94117647,0,0,0,1
휴비츠,2.040816327,0,0,0,0,2.040816327,0,1
힘스,6.451612903,0,0,0,0,6.451612903,0,4
