,회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),영업이익증가율,순이익증가율,총자산영업이익율,총자산부채비율,log총자산,순이익률,현금비율,이자비용/부채,자기자본비율,고정비율,매출액대판매관리비,유보이익대총자산비율,통계청 한국표준산업분류 10차(대분류)
0,(주)CMG제약,58820,17-Dec,11.11,6.83,-1.27,6.34,22.67,0.0,999999999.0,-2.82,84.87,2.4,0.76,12.51,0.38,3.12,25.98,43.43,2.85,3.01,5.81,2.51,56.57,11.87,746.28,179.9,673.66,64.2,34.9,3.86,2.57,-9.94630660758641,64.06674016650318,0.014225000215162886,0.10609044399972682,8.03968434077042,0.025873403195908577,0.03467252021670932,0.0,0.8939095560002732,28340823,0.3967544410349987,-0.0310100417591232,제조업
1,(주)ES큐브,50120,17-Dec,5.08,4.86,0.69,4.97,5.37,27.01,2.86,1.0,64.47,1.68,1.15,7.08,0.34,0.3,4.25,27.1,2.41,13.8,4.53,3.83,72.9,45.42,1378.49,174.95,1153.05,44.7,654.97,1.07,1.65,4.048002791247366,-91.93203097323914,0.021234061292052003,0.312348525689789,8.024863688244848,0.016412220469904416,0.2290067616072435,0.023734030015373126,0.687651474310211,54853973,0.20811777184191235,0.23511908547765462,도매 및 소매업
2,(주)가비아,79940,17-Dec,29.43,8.32,6.03,16.48,57.21,7.2,53.72,-0.3,108.49,14.36,17.17,36.5,0.9,9.75,13.74,48.1,8.88,7.68,76.48,2.62,51.9,33.52,224.87,823.81,219.17,27.52,101.89,3.67,7.46,1.2980686748117956,-4.992019304979473,0.09530597337955306,0.25105274613663203,8.125099126683406,0.07249531917900166,0.22459466672200623,0.007066700941621565,0.7489472538633679,67269196,0.37165019986027803,0.39633969754252174,정보통신업
3,(주)강스템바이오텍,217730,17-Dec,26.01,-126.27,0.0,-116.58,-46.87,30.19,-8.15,4.59,-10.95,-22.56,1.12,-1.37,0.19,0.0,0.0,35.68,-46.19,20.71,5.29,0.69,64.32,92.79,396.43,302.13,369.34,40.0,61.46,0.4,-24.43,-28.739371723143336,-38.93286749092661,-0.24868895998788448,0.48129888572377805,7.673932604153962,-0.24432623849765903,0.08292160302874348,0.06336917990619813,0.5187011142762219,21952967,1.6420515893076697,-0.7583664468674206,제조업
4,(주)강원에너지,114190,17-Dec,69.76,-7.86,20.72,-11.88,-21.72,11.78,-26.56,-0.07,7.18,-10.46,10.76,0.74,0.96,26.72,93.99,1.05,-12.58,2.27,235.53,5.44,98.95,92.91,202.02,604.64,200.95,36.89,41.76,2.45,-7.57,-326.2167954301055,-473.3059586571895,-0.05997583542988056,0.48161274798589054,7.969319881650817,-0.06924083451326159,0.15101338821757093,0.004687810853922634,0.5183872520141095,25110973,0.07866931739444474,0.24194591778521332,제조업
5,(주)고려시멘트,198440,17-Dec,29.88,1.15,0.0,3.61,8.22,8.83,16.79,-0.15,31.72,2.73,28.76,12.85,0.76,0.0,0.0,13.33,1.3,2.96,26.32,1.83,86.67,49.73,166.67,2539.18,152.27,13.3,2.92,2.28,0.87,0.0,0.0,0.02604054896712697,0.3321278387374978,8.064014557917147,0.008661951740060245,0.0058215789527277925,0.004669280778658802,0.6678721612625022,77338671,0.09888233753678805,0.28213259358990667,제조업
6,(주)고영테크놀러지,98460,17-Dec,20.01,13.15,5.17,12.09,56.02,0.0,6141.06,-0.2,259.28,11.98,29.74,32.01,1.02,4.17,18.38,64.65,16.76,3.33,9.72,8.27,35.35,27.21,499.8,2357.41,430.73,62.9,142.52,4.98,13.36,31.835407555481947,-10.058050245573124,0.21319361873842893,0.2138822343065285,8.3121929861037,0.13027847413970994,0.22422173061656625,0.00016231408668911936,0.7861177656934715,43850844,0.4313359475615477,0.7635989708654979,제조업
7,(주)골드앤에스,35290,17-Dec,23.97,-62.3,-8.02,7.97,26.66,9.03,-26.15,0.35,-3780.33,5.94,1.21,-24.99,0.71,25.06,-19.45,37.49,-57.72,4.12,8.49,47.18,62.51,28.68,338.62,120.41,305.56,44.44,67.09,3.11,-44.5,-1018.755689307832,-2143.173475216912,-0.21509579575652266,0.22288766219784006,7.23486978955776,-0.46441747126779453,0.12494231082988906,0.036907847678780144,0.7771123378021599,6342934,0.6634406170581474,-1.4113933941984405,정보통신업
8,(주)골드퍼시픽,38530,17-Dec,386.77,-19.18,138.88,-73.82,-17.52,64.77,0.62,22.94,101.29,-13.98,0.31,4.95,0.27,216.54,-47.52,60.47,-26.61,3.44,16.75,3.83,39.53,395.26,82.97,161.2,80.35,-13.3,25.64,0.33,-5.12,1009.2509796309292,95.88159224030488,0.035290543683677414,0.7980841364339244,7.424358323154662,-0.03632521073215726,0.2001998120518593,0.07152045327668727,0.20191586356607563,9352807,0.4183616257694866,-1.1655613318098446,도매 및 소매업
9,(주)골프존,215000,17-Dec,27.41,39.68,34.99,28.89,89.92,12.81,52.52,-0.5,123.58,22.79,63.77,34.14,0.91,78.87,-7.77,65.5,51.19,13.6,15.52,2.77,34.5,33.95,309.32,6032.07,284.03,42.84,212.93,3.04,35.96,-17.57143081288123,117.29654342175476,0.14766121262871704,0.2534392120887214,8.404273250322788,0.3129705795883154,0.43580343671497057,0.011092549886578955,0.7465607879112786,93080529,0.467810343733938,0.46224861757635544,정보통신업
