,회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),정상영업이익증가율(IFRS연결),총자본순이익률(IFRS연결),총자산영업이익율,총자산부채비율,log총자산,순이익률,현금비율,이자비용/부채,자기자본비율,고정비율,매출액대판매관리비,유보이익대총자산비율
0,(주)CMG제약,58820,19-Dec,5.17,5.2,68.07,-49.69,3.16,15.35,0.15,303.0,-1.91,114.6,0.96,0.95,9.9,0.38,85.06,17.56,49.34,2.15,3.12,6.65,2.83,50.66,6.71,1618.07,259.42,1520.84,73.49,199.55,5.21,1.4,1.99,0.013544169367248145,0.06286248427681429,8.283850910131505,0.015871445854153277,0.09664749799220432,0.0007110536361833209,0.9371375157231857,41659100,0.4489534861089004,0.026293309172821258
1,(주)ES큐브,50120,19-Dec,310.83,-31.5,312.66,0.0,84.97,9.52,14.85,-0.68,5.02,-3.22,8.0,1.04,-0.12,0.15,696.75,29.45,18.75,-21.76,0.42,5.18,2.69,81.25,526.65,156.01,129.45,152.69,27.78,48.38,0.2,0.0,-4.78,-0.005640741541897654,0.8404200305078892,8.666479304160358,-0.029674513256223594,0.23999436329114482,0.009808351334112064,0.1595799694921108,104927987,0.24742518224081278,0.012966525381096437
2,(주)가비아,79940,19-Dec,31.93,14.23,32.01,43.49,19.83,45.28,17.58,34.25,0.03,209.21,14.71,21.91,66.57,0.84,11.3,15.21,48.99,15.73,7.19,64.12,2.21,51.01,48.13,201.58,1081.94,195.45,21.9,66.71,2.9,30.5,12.01,0.1187327699934329,0.3249212190886187,8.300847838248396,0.10555621447075723,0.14382696311784865,0.010669859671613801,0.6750787859134789,113035325,0.3298558951527521,0.35333584962185965
3,(주)강스템바이오텍,217730,19-Dec,29.98,-439.57,55.26,0.0,-206.5,-27.6,27.22,-21.5,1.89,-255.84,-10.91,0.53,-11.83,0.06,13.09,-34.49,-7.07,-41.61,5.06,5.5,0.26,107.07,65.37,268.99,587.15,267.69,30.63,37.29,0.17,0.0,-28.25,-0.2037394823577413,0.3953097372395409,8.055545353531919,-0.23225636526062682,0.06758723275255644,0.02396914731974519,0.6046902539610269,58235602,3.7853325059654424,-0.6795944609228965
4,(주)강원에너지,114190,19-Dec,145.99,-83.78,-39.69,-1763.05,-3.78,-4.53,32.91,-8.38,1.96,-275.98,-2.84,5.19,-43.28,0.57,-56.71,-50.47,-14.43,-94.77,1.53,128.45,3.38,114.43,167.94,99.04,242.2,98.65,-0.52,11.8,1.08,-5132.09,-47.39,-0.3034511833959126,0.6267882144154358,7.752832260396548,-0.6297904371436073,0.0642689118946071,0.057743715130370216,0.3732117679173637,26057831,0.25938488948268446,-0.1420819767646985
5,(주)고려시멘트,198440,19-Dec,31.66,4.79,-0.39,-26.89,3.24,5.95,9.5,-1.08,-0.22,32.34,1.81,22.18,12.76,0.56,-6.73,-17.32,7.5,3.88,2.53,12.68,1.42,92.5,43.63,166.4,2765.65,141.61,14.64,15.86,1.78,0.0,2.67,-0.0036180967987604544,0.3037747151343191,8.103925350832618,0.026736164680423804,0.03495111562176368,0.011019845844261736,0.6962252848656809,80444290,0.0815252792368539,0.2992590665923158
6,(주)고영테크놀러지,98460,19-Dec,15.76,13.31,9.47,-30.13,11.47,41.2,4.22,112.96,-0.65,225.13,8.34,32.41,26.43,0.76,-0.78,-6.78,63.58,12.59,2.73,6.56,6.31,36.42,25.37,587.8,3552.55,493.22,61.34,70.8,3.86,-27.51,10.11,0.10911085116129444,0.20234521547487522,8.484984465195161,0.09676432313421962,0.0890277746206457,0.004773569347998895,0.7976547845251248,79683935,0.48573429794737194,0.6870316470948339
7,(주)골드앤에스,35290,19-Dec,0.0,-325.58,-62.1,0.0,-63.09,-22.76,112.14,-1.46,13.94,-431.91,-29.96,1.21,-99.2,0.26,-81.41,-11.95,17.66,-572.47,6.44,8.55,1.02,82.34,0.0,18.57,-396.01,16.21,-106.52,3.6,0.31,0.0,-84.97,-0.4437153061877453,1.3163220194617726,7.206722550209335,-1.5459129718436124,0.04709722871962709,0.23068993238213245,-0.3163220194617726,12185981,1.111085523987296,-3.387868418387728
8,(주)골드퍼시픽,38530,19-Dec,239.48,-279.11,95.63,0.0,-24.59,-5.37,66.47,-0.89,0.0,-2778.35,-3.82,0.89,-34.62,0.21,29.31,102.89,29.09,-153.58,4.9,5.2,22.82,70.91,246.22,56.4,124.45,49.36,-30.16,12.59,0.33,0.0,-57.34,-0.04689843244176703,0.7111645295051694,7.862999952219125,-0.4332531097805118,0.08705141299335316,0.0739913554181885,0.28883547049483066,44490596,0.5930156206877518,-0.5025816105540251
9,(주)골프존,215000,19-Dec,30.53,6.56,23.04,-20.6,14.65,32.16,18.21,32.18,-0.42,88.99,11.58,78.73,31.88,0.87,-43.74,24.31,62.0,8.21,14.18,23.11,2.48,38.0,56.26,133.84,6375.45,116.02,6.61,26.2,2.88,14.69,5.72,0.10332312207339542,0.3600415311841077,8.494971305624084,0.051869954031367294,0.05118024267161246,0.008916933799747164,0.6399584688158922,230856814,0.4892800952208769,0.406851308151266
