회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),차입금의존도(IFRS),차입금의존도(IFRS연결),총자본증가율(IFRS),매출액증가율(IFRS),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),매출액총이익률(IFRS)
(주)세영디앤씨,52190,Dec-13,30202578,1779983,,,3406508,,,12669809,0,,15.55,124.92,,,66.63
(주)세영디앤씨,52190,Dec-14,24805044,1645191,,,-5262742,,,3146064,0,,-17.87,-75.17,,,34.15
(주)세영디앤씨,52190,Dec-15,20107490,13818810,,,-17710051,,,3181552,39.51,,-18.94,1.13,,,11.77
(주)세영디앤씨,52190,Dec-16,27704235,12410201,36908241,20095422,-7189283,-7189283,3016994,3016994,39.54,43.78,37.78,-5.17,0,-169.67,-169.67
(주)세영디앤씨,52190,Dec-17,21615264,8324370,31112426,17849244,-24662108,-23260279,11649229,7473240,31.77,42.34,-21.98,147.7,286.12,32.53,28.87
(주)스카이문스테크놀로지,33790,Dec-13,25758363,2665622,,,-1178986,,,9452066,0,,-4.18,-32.53,,,8.3
(주)스카이문스테크놀로지,33790,Dec-14,29181210,5008211,,,1229192,,,20942523,10.28,,13.29,121.57,,,15.3
(주)스카이문스테크놀로지,33790,Dec-15,30249035,5924499,,,83157,,,23017132,9.92,,3.66,9.91,,,7.87
(주)스카이문스테크놀로지,33790,Dec-16,28492212,6144055,,,-2081124,,,13085003,10.53,,-5.81,-43.15,,,3.71
(주)스카이문스테크놀로지,33790,Dec-17,63081247,23123044,62674030,23140011,-4134036,-4758219,13458871,13471809,33.76,33.98,121.4,2.96,0,4.72,4.81
(주)씨에스에이코스믹,83660,Dec-13,18610633,9839989,18739211,9965671,-732158,-1165319,20633506,20633506,26.85,26.66,-13.28,-35.62,-36,16.08,16.08
(주)씨에스에이코스믹,83660,Dec-14,15243401,7241368,15301364,7245367,-770019,-718951,18614644,18614644,29.27,29.16,-18.09,-9.78,-9.78,17.31,17.31
(주)씨에스에이코스믹,83660,Dec-15,44671815,21198690,,,340818,,,19997860,39.37,,193.06,7.43,,,22.81
(주)씨에스에이코스믹,83660,Dec-16,41891074,10375441,,,-5102487,,,34487398,12.51,,-6.22,72.46,,,38.97
(주)씨에스에이코스믹,83660,Dec-17,30328761,6652150,30762561,7094366,-9574134,-9579263,31466024,30497697,10.88,10.73,-27.6,-11.57,0,28.83,29.39
(주)아이엠텍,226350,Dec-13,,,,,,,,,,,,,,,
(주)아이엠텍,226350,Dec-14,30510239,9816258,,,5179732,,,46553304,4.69,,0,0,,,24.21
(주)아이엠텍,226350,Dec-15,51805465,16749742,,,14503922,,,104818767,3.22,,69.8,125.16,,,24.1
(주)아이엠텍,226350,Dec-16,61406731,22205839,,,-16934681,,,81087813,17.73,,18.53,-22.64,,,12.38
(주)아이엠텍,226350,Dec-17,47664340,24838377,47607120,24997809,-20748002,-20964654,69006125,69006125,14.49,14.83,-22.38,-14.9,0,5.37,5.37
(주)액션스퀘어,205500,Dec-14,,,,,,,,,,,,,,,
(주)액션스퀘어,205500,Dec-15,35883611,7241034,,,-8188170,,,6663082,5.89,,0,0,,,0
(주)액션스퀘어,205500,Dec-16,28514117,4826562,,,-8741482,,,3958085,0,,-20.54,-40.6,,,0
(주)액션스퀘어,205500,Dec-17,24636039,11442823,24963687,11484722,-12544739,-12258989,9402123,9402123,0,0,-13.6,137.54,0,0,0
(주)에스마크,30270,Dec-13,70065076,47787707,,,494680,,,60781914,59.63,,-1.87,-7.3,,,7.48
(주)에스마크,30270,Dec-14,73650815,51416726,,,-3719317,,,50833650,60.97,,5.12,-16.37,,,1.09
(주)에스마크,30270,Dec-15,61316856,36432613,,,-16423564,,,46692392,49.08,,-16.75,-8.15,,,-21.93
(주)에스마크,30270,Dec-16,103355175,55134792,104614742,57171817,-20068923,-20911963,28428152,25081505,48.34,48.4,68.56,-46.28,0,-24.81,-31
(주)에스마크,30270,Dec-17,59062302,28307938,65810066,32631679,-84728284,-84466669,17074815,9315882,42.6,40.59,-42.86,-62.86,-39.94,-10.11,-34.08
(주)에스엘바이오닉스,214310,Dec-13,20825563,13892699,,,401587,,,21914585,19.21,,0,0,,,4.74
(주)에스엘바이오닉스,214310,Dec-14,37961491,19436663,,,6245955,,,48136922,18.44,,82.28,119.66,,,24.19
(주)에스엘바이오닉스,214310,Dec-15,48126701,14861873,48661379,14862118,5124275,5126957,57249639,57249639,15.94,15.76,26.78,18.93,0,20.41,20.41
(주)에스엘바이오닉스,214310,Dec-16,69870377,39321513,70810853,39879492,-11859253,-11987723,59330985,59174840,32.5,32.54,45.18,3.36,3.64,22.85,22.65
(주)에스엘바이오닉스,214310,Dec-17,52542796,35980462,56424586,39912252,-14327107,-14514435,48020218,47652516,59.35,61.08,-24.8,-19.47,-19.06,21.99,21.39
(주)에이트원,230980,Dec-16,9600949,1107028,,,-2161601,,,8281760,,,,,,,
(주)에이트원,230980,Dec-17,21681461,12850434,41781273,30788989,-302658,-77875,8199432,8199432,51.48,53.76,0,0,0,9.49,9.49
(주)제이웨이,58420,Dec-13,12405988,3277676,12513349,3689113,-3980845,-4271455,12898433,10639609,16.27,16.13,-15.7,-14.38,0,12.73,14.69
(주)제이웨이,58420,Dec-14,7203739,1944087,7863481,2610950,-3756961,-3427943,13840273,9479530,3.75,3.43,-41.93,-10.9,0,22.06,22.93
(주)제이웨이,58420,Dec-15,8313262,1210021,8904595,1800790,287795,156583,13815789,9416571,0,0,15.4,-0.66,-0.18,25.14,25.54
(주)제이웨이,58420,Dec-16,11176805,1210591,10418151,1253931,-812876,-1623941,7477631,8021631,0,0,34.45,-14.81,-45.88,15.45,17.1
(주)제이웨이,58420,Dec-17,7708973,1058044,7887931,1186293,-4293577,-4122699,6935809,6304536,0,0,-31.03,-21.41,-7.25,11.21,4.42
(주)제이테크놀로지,35480,Dec-13,40734669,33239260,71759851,46195138,-26438264,-22408363,47701963,22485339,60.88,37.32,-50.15,-50.46,0,23.95,13.44
(주)제이테크놀로지,35480,Dec-14,50584669,10131245,54290417,19155271,9889649,1675933,46109159,6075123,16.56,15.43,24.18,-72.98,-3.34,42.52,-4.46
(주)제이테크놀로지,35480,Dec-15,53298611,11382127,,,-3154268,,,35543985,0.61,,5.37,485.07,,,41.45
(주)제이테크놀로지,35480,Dec-16,80103741,23154131,,,-22276200,,,24444180,11.06,,50.29,-31.23,,,-10.36
(주)제이테크놀로지,35480,Dec-17,65214277,27484148,66091545,27563118,-19975182,-20075622,8116103,8116103,17.27,17.04,-18.59,-66.8,0,-54.47,-54.47
더이앤엠(주),89230,Dec-13,213793190,158474544,,,-28049887,,,62834586,56.24,,-13.15,-54.57,,,-19.55
더이앤엠(주),89230,Dec-14,103226727,87086409,106921364,91148016,-60489609,-60856579,67587936,67468113,64.73,65.79,-51.72,7.37,0,-55.36,-55.24
더이앤엠(주),89230,Dec-15,63310352,13017229,67701532,16976550,-25475162,-24676333,24744323,24708819,11.31,11.96,-38.67,-63.38,-63.39,-41.62,-41.13
더이앤엠(주),89230,Dec-16,67325452,13290377,68317952,13874266,1502994,3764122,15331347,8561810,12.63,13.26,6.34,-65.35,-38.04,47.29,26.48
더이앤엠(주),89230,Dec-17,62197072,26305016,62198072,26305016,-18002348,-18409959,13590205,13590205,6.43,6.43,-7.62,58.73,-11.36,59.67,59.67
마이크로로봇(주),182690,Dec-13,19979030,7700251,,,5074717,,,32384436,24.53,,0,0,,,32.42
마이크로로봇(주),182690,Dec-14,23631877,2353638,,,4060476,,,27900171,0,,18.28,-13.85,,,28.54
마이크로로봇(주),182690,Dec-15,27642085,5983991,,,2003689,,,46624440,0,,16.97,67.11,,,11.4
마이크로로봇(주),182690,Dec-16,18049540,1592389,,,-4390609,,,17467238,0,,-34.7,-62.54,,,-3.61
마이크로로봇(주),182690,Dec-17,14201398,3757828,15262962,4859349,-6275790,-6283882,8057153,8057153,14.08,13.1,-21.32,-53.87,0,-21.82,-21.82
커머스마이너 (주),223310,Dec-14,15188877,12182563,17076805,13561060,2238554,2684860,33558805,32746325,,,,,,,
커머스마이너 (주),223310,Dec-15,34769730,6622230,,,5078206,,,59356194,4.83,,0,0,,,15.91
커머스마이너 (주),223310,Dec-16,31830800,4922834,,,-2248497,,,32856768,7.6,,-8.45,-44.64,,,8.67
커머스마이너 (주),223310,Dec-17,56669217,39627611,55926341,40725273,-25479776,-27635431,15183138,14673045,37.8,38.3,78.03,-55.34,0,-6.71,-8.72
