,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율,매출액순이익률,CASH FLOW 대 매출액비율,CASH FLOW 대 부채비율,이자보상배율(이자비용),금융비용 대 총비용비율,설비투자효율,CASH FLOW 대 총자본비율,자본금회전률,총자본투자효율,총자본회전률,자기자본순이익률,매출채권회전률,유형자산회전율,부채비율,유동비율,자기자본배율,당좌비율,순운전자본비율,현금비율,타인자본회전률,총자본순이익률,매출액(수익)(*),매출액총이익률,매출원가 대 매출액비율,차입금의존도,재고자산회전률,총자산부채비율,유보이익대총자산비율,자기자본비율,판매관리비대매출액,고정비율,log총자산,총자본증가율,유동자산증가율,매출액증가율,총자산영업이익률,순이익률,이자비용/부채,영업이익증가율,순이익증가율
1,(주)네이처셀,7390,11-Dec,제조업,215.45,-7.12,5.51,6.9,-1.42,2.15,26.94,4.79,1.84,7.86,0.9,-38.72,5.87,2.75,227.53,85.98,63.55,49.74,-9.22,0.024457112381873442,1.08,-6.41,22793853.0,6.53,93.47,42.88,3.81,0.6946816184757935,-0.342277577414947,0.30531838152420654,0.10296407544613015,1.422748718615292,7.418397289626552,1996.9577364384968,10.937576131848337,-22.89703555557435,-0.033924638679581065,-0.07679125229367186,0.023946011778015825,-219.82174707943844,-511.8334696708674
3,(주)디에스,51710,11-Dec,제조업,1044.81,-3.05,0.82,2.73,-5.7,0.6,27.36,2.53,83.32,6.7,2.69,-78.95,14.27,9.61,1261.87,52.04,197.42,31.04,-36.79,0.07663536329179112,3.01,-8.21,861261040.0,-3.05,103.05,45.67,17.75,0.9265718120366806,-0.09656696560690095,0.07342818796331942,0.015329345444442722,8.181061549962621,8.443897306028985,-55.69414002325361,-44.43412473731815,-40.29427288668792,-0.11431374766464744,-0.09161060094808887,0.020064848577040936,-1544.7494300932378,-887.6296037249531
5,(주)디지텍시스템스,91690,11-Dec,제조업,34.38,3.24,0.49,0.98,8.46,-0.11,42.72,0.37,20.12,12.58,0.85,4.09,8.09,2.43,61.03,285.58,1635.86,171.21,39.63,0.0408033902325488,2.59,2.75,137875122.0,9.02,90.98,23.63,3.76,0.3789873848977681,0.4453169303276351,0.6210126151022318,0.06308273656504906,0.6282970953564688,8.256484462868904,5.617103407951718,41.660774337391906,1.1464773414631368,0.0414701734623784,0.0839812648710178,0.004903413270490268,-67.29299813689562,-75.46554776908323
7,(주)렉스엘이앤지,4790,11-Dec,제조업,100.87,1.04,-31.19,-24.28,1.22,3.85,49.51,-12.19,1.18,8.22,0.37,0.89,2.39,2.1,100.91,65.88,410.46,30.94,-17.13,0.0024138667543051238,0.65,0.38,20014889.0,20.11,79.89,19.33,2.15,0.5022653478547819,-0.3244526141885303,0.49773465214521806,0.21438120391274715,1.3445649214655782,7.709203267901731,20.081229822969494,-29.46751885820985,-0.7656039330257602,0.01952970085960342,0.006734275133177847,0.016063042141695162,922.6120360450242,4509.269938768437
9,(주)마이스코,88700,11-Dec,제조업,105.66,-10.27,-0.56,-0.48,-0.76,5.29,7.16,-0.32,20.18,4.4,0.57,-16.58,3.11,0.94,207.43,104.49,1150.8,68.15,1.54,0.01959847888867442,0.89,-5.88,121087968.0,0.71,99.29,57.95,4.5,0.6747272446388851,0.0011404434395481313,0.3252727553611149,0.06072733832646362,1.9703539561872943,8.32690489311416,-14.740869269987723,-8.237139622154633,48.249327746149405,-0.026737083396289246,-0.09107309093960149,0.03531202131746666,67.74912285282365,43.000052196881505
11,(주)모린스,110310,11-Dec,제조업,76.27,-118.27,-4.9,-3.13,-15.43,2.94,-19.96,-1.35,2.74,-15.29,0.24,-43.51,9.05,0.35,76.27,36.42,564.02,26.76,-27.51,0.06418139560080759,0.72,-28.8,19375924.0,-28.85,128.85,39.26,4.59,0.432677623453596,-0.055783229002913284,0.567322390791377,0.6937905516144676,1.4848858464766879,7.846338367993799,-39.210828937406895,-60.424236752542,-74.0100044437755,-0.2517073745278225,-0.8519198050872461,0.016308878387760482,-1226.1956653756358,-1195.007769376615
13,(주)삼우이엠씨,26250,11-Dec,제조업,275.54,-19.11,-5.25,-5.47,-0.56,4.13,-7.61,-4.09,8.95,-1.31,0.77,-46.39,5.56,3.8,295.0,86.31,287.8,83.88,-9.55,0.0016918508697814183,1.13,-14.71,149183871.0,4.87,95.13,56.35,22.51,0.7468352194485902,0.0036607717891979133,0.25316478055140973,0.078383379661733,1.5719430895322777,8.282480401468643,-34.76661259308788,32.57199021056729,-16.26878101498036,-0.022891832089033184,-0.21546326699683738,0.04080154632177206,41.17447790142709,-1630.3168926022781
15,(주)아라온테크,41060,11-Dec,정보통신업,18.8,-680.64,-61.68,-176.92,1.12,0.0,-45229.54,-28.53,0.18,-303.46,0.18,-137.31,2.36,60.81,19.23,334.26,146.86,334.26,36.95,0.06459114840792916,1.81,-123.56,6426493.0,10.03,89.97,14.75,18.88,0.16125937584014113,-3.404181388068817,0.8387406241598588,0.24555243427480586,0.5637438512761901,7.142788376958336,-77.61787730392224,-2.109194358355193,-11.744618462087363,0.014744590224727518,-12.342119887287796,0.013157936365262413,2211.40501789368,-296.4398995535158
17,(주)아이에이,38880,11-Dec,제조업,109.97,-67.52,-30.01,-13.67,-9.2,3.6,-14.32,-8.67,1.47,-5.91,0.35,-59.51,1.98,0.87,173.6,68.99,186.51,60.53,-12.46,0.03410274070513175,0.59,-23.88,19469438.0,12.81,87.19,41.36,7.76,0.6345041025124968,-0.1921199300465732,0.3654958974875032,0.6091444961071809,1.9773309847224592,7.828624803607905,26.024780071899166,16.522062217074527,-37.56142856391502,-0.21607291903010922,-0.39891518486299604,0.02347879594966058,-116.99973799961612,-114.69841310281123
19,(주)아큐텍,13780,11-Dec,제조업,442.26,-69.55,-1.7,-1.2,-9.54,3.4,-20.01,-1.0,0.75,-14.97,0.5,-125.5,6.65,0.74,509.26,32.05,19.88,11.13,-49.33,0.0014060699163945033,0.7,-35.01,13957567.0,-27.71,127.71,62.66,2.82,0.8358652716277398,-0.6595907358834999,0.16413477073397129,0.1551364933444346,4.675269356697798,7.373026505440535,-66.58781731360015,-45.892751398395724,-31.93879938911739,-0.2855198202775843,-0.4855709596530053,0.02994118579728128,-1484.7930273316565,-2382.9734340352284
