회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결)
(주)CMG제약,058820,2011/12,42.33,-8.5,1.98,0,-24.07,-46.08,9.08,3.53,0.72,35.86,-15.65,0.84,12.72,0.66,17.64,56.4,41.83,-8.28,2.45,6.42,1.77,58.17,51.41,200.97,82.55,165.03,28.23,15.1
(주)CMG제약,058820,2012/12,21.5,-40.97,109.15,0,-12.71,-8.1,30.58,-7.75,1.78,2.89,-3.62,0.59,0.47,0.39,207.08,-8.43,28.34,-26.84,1.85,5.71,1.71,71.66,80.77,693.49,95.69,649.98,70.6,68.81
(주)CMG제약,058820,2013/12,11.23,1.45,-2.09,0,-13.51,-39.85,2.53,0.7,1.59,77.91,-4.93,0.53,12.51,0.36,-18.89,25.51,38.7,0.74,2.07,5.39,2.03,61.3,14.11,694.71,113.12,610.74,58.5,394.63
(주)CMG제약,058820,2014/12,17.79,0.69,3.86,-46.64,-7.06,-17.73,2.66,3.6,-0.64,37.8,-2.77,0.53,12.16,0.4,-25.93,11.52,37.07,0.32,1.86,4.77,1.54,62.93,18.5,324.58,113.13,268.23,33.72,101.24
(주)CMG제약,058820,2015/12,18.91,-13.5,-2.64,0,5.8,16.12,0.01,-32.22,-0.1,24.21,2.77,0.62,7.63,0.47,-7.17,18.85,36.26,-7.62,2.1,5.22,1.48,63.74,20.78,296.85,106.02,235.21,30.82,29
(주)CMG제약,058820,2016/12,9.04,5.24,96.31,0,8.69,29.03,0,999999999,-0.49,62.31,2.58,0.67,9.48,0.39,199.84,21.92,40.36,2.34,2.66,5.56,1.9,59.64,9.76,862.15,186.02,792.17,62.75,23.52
(주)CMG제약,058820,2017/12,11.11,6.83,-1.27,64.07,6.34,22.67,0,999999999,-2.82,84.87,2.4,0.76,12.51,0.38,3.12,25.98,43.43,2.85,3.01,5.81,2.51,56.57,11.87,746.28,179.9,673.66,64.2,34.9
(주)CMG제약,058820,2018/12,8.17,12.16,4.39,113.94,2.84,13.63,0,999999999,-1.06,106.25,1.24,0.92,14.73,0.45,0.18,20.05,45.6,6.01,3.08,6.05,2.98,54.4,10,957.86,190.99,856.94,63.71,158.5
(주)CMG제약,058820,2019/12,5.17,5.2,68.07,-49.69,3.16,15.35,0.15,303,-1.91,114.6,0.96,0.95,9.9,0.38,85.06,17.56,49.34,2.15,3.12,6.65,2.83,50.66,6.71,1618.07,259.42,1520.84,73.49,199.55
(주)ES큐브,050120,2011/12,37.71,-8.99,0,0,2.08,6.82,0.18,-245.99,-0.87,279.2,2,4.59,21.71,0.96,0,0,27.92,-12.61,4.27,10.05,12.37,72.08,41.36,230.24,327.25,194.35,34.75,21.35
(주)ES큐브,050120,2012/12,12.05,-0.64,0,0,9.33,81.36,0.33,1.72,-0.64,565.49,11.29,4.79,38.87,1.21,0,0,28.02,0.29,12.19,11.55,17.59,71.98,16.11,472.77,335.11,371.91,38.68,84.78
(주)ES큐브,050120,2013/12,8.57,-28.08,1.85,0,6.67,82.01,0.32,-37.44,-0.39,65.87,8.29,3.91,3.04,1.25,68.92,4.69,24.76,-40.47,15.18,10.55,21.87,75.24,11.25,1056.51,228.55,883.95,73.67,278.73
