회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원),금융비용(IFRS연결)(천원),부채(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),[제조]총자본순이익률(IFRS연결),[제조]정상영업이익증가율(IFRS연결),[제조]* (정상)영업손익(보고서기재)(IFRS연결),[제조]판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),[제조]   비유동자산(*)(IFRS연결)
(주)CMG제약,058820,2011/12,17751704,27305198,-1508282,1152489,0,9270949,18034249,-5.58,0,640283,6802089,11964031
(주)CMG제약,058820,2012/12,16255389,57108035,-6660149,4674359,0,25517350,31590685,-15.78,0,-4205503,8812202,9998822
(주)CMG제약,058820,2013/12,20402140,55912563,296181,21705184,0,6915281,48997281,0.52,0,791250,7104073,17702864
(주)CMG제약,058820,2014/12,22752584,58068326,158039,8827046,0,9065682,49002644,0.28,-44.1,442322,7992213,29767385
(주)CMG제약,058820,2015/12,27041894,56532821,-3650091,2566167,0,9725933,46806888,-6.37,0,-2572168,12376249,30261207
(주)CMG제약,058820,2016/12,32969825,110979867,1727895,2148521,0,9872232,101107635,2.06,0,1730753,11575683,32207666
(주)CMG제약,058820,2017/12,41535588,109568153,2834901,3799004,0,11624134,97944019,2.57,-9.95,1558607,16479429,28340823
(주)CMG제약,058820,2018/12,49864782,114379880,6065026,13464430,0,10398033,103981846,5.42,64.75,2567820,20172121,33009465
(주)CMG제약,058820,2019/12,58622681,192243166,3051177,18579821,0,12084883,180158283,1.99,1.4,2603774,26318857,41659100
(주)ES큐브,050120,2011/12,53379952,55477032,-4796438,3160449,0,16231202,39245830,-8.65,0,-3650245,18553426,21398837
(주)ES큐브,050120,2012/12,55971147,46281660,-359216,4071828,0,6421979,39859681,-0.78,0,89337,15591269,23574654
(주)ES큐브,050120,2013/12,58597361,47137573,-16455910,10119258,0,4765132,42372440,-35.23,0,-1164611,15673302,8780362
(주)ES큐브,050120,2014/12,44459581,56611836,-615409,25536887,0,6983745,49628091,-1.19,0,171090,9351950,10397078
(주)ES큐브,050120,2015/12,42152967,55620280,-2307159,26509578,0,5965820,49654460,-4.11,0,-4060426,15780388,14439681
(주)ES큐브,050120,2016/12,34289385,105164626,21541047,31283393,0,33468504,71696122,26.79,0,2161041,7673895,54278681
(주)ES큐브,050120,2017/12,35745794,105892131,1737925,24250014,0,33075251,72816880,1.65,4.05,2248520,7439335,54853973
(주)ES큐브,050120,2018/12,33763508,112430896,-6121462,26730206,0,41682289,70748607,-5.61,-153.86,-1211129,8938580,67369270
(주)ES큐브,050120,2019/12,43708239,463958680,-13767748,111347468,6734172,389920168,74038512,-4.78,0,-2617071,10814519,104927987
(주)가비아,079940,2011/12,52838864,64954440,7014899,12010183,0,16288697,48665742,11.9,22.24,8180883,15470152,36117250
(주)가비아,079940,2012/12,69058144,85244515,9419144,12997549,0,26299269,58945247,12.54,-6.86,7619962,21135774,53247030
(주)가비아,079940,2013/12,70675565,91231294,9505713,12326982,0,22631067,68600227,10.77,-7.7,7033504,24759315,53819414
(주)가비아,079940,2014/12,80432047,98544072,6752737,15906033,0,23034370,75509702,7.12,19.18,8382688,26773564,56623366
(주)가비아,079940,2015/12,91648622,105081568,8530281,23217895,0,20985420,84096148,8.38,35.39,11349094,30220634,52842463
(주)가비아,079940,2016/12,102178978,125796754,10177685,25443558,0,29844914,95951841,8.82,10.57,12549259,34631102,65555169
(주)가비아,079940,2017/12,116217941,133382584,9669613,29957017,0,33486064,99896520,7.46,1.3,12712157,43192421,67269196
(주)가비아,079940,2018/12,128728438,151440505,15340647,30287387,0,37253015,114187490,10.77,43.08,18188449,44788622,73382233
(주)가비아,079940,2019/12,148306878,199916131,21102390,28753330,0,64956993,134959139,12.01,30.5,23736596,48919898,113035325
(주)가온칩스,399720,2018/12,,,,,,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,,,,,,
(주)강스템바이오텍,217730,2013/12,,,,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,,,,,,,,,,,,
(주)강스템바이오텍,217730,2016/12,,,,,,,,,,,,
(주)강스템바이오텍,217730,2017/12,9132939,47198979,-11531949,3913815,0,22716816,24482163,-24.43,0,-11737865,14996757,21952967
(주)강스템바이오텍,217730,2018/12,9165454,73194018,-14294032,3221946,0,25612644,47581374,-23.75,0,-11693969,12871228,24201228
(주)강스템바이오텍,217730,2019/12,6004584,113643697,-26394472,7680863,0,44924460,68719236,-28.25,0,-23153708,22729347,58235602
(주)강원에너지,114190,2011/11,,,,,,,,,,,,
(주)강원에너지,114190,2012/12,,,,,,,,,,,,
(주)강원에너지,114190,2013/12,,,,,,,,,,,,
(주)강원에너지,114190,2014/12,,,,,,,,,,,,
(주)강원에너지,114190,2015/12,46188664,85457457,102482,31935364,0,28873556,56583901,0.12,0,447206,7476269,22530069
(주)강원에너지,114190,2016/12,42287473,77186606,-1125371,15897705,0,22097916,55088690,-1.38,-393.2,-1311190,8328386,23470270
(주)강원에너지,114190,2017/12,82034829,93179394,-6451819,14071336,0,44876384,48303010,-7.57,0,-5588512,6453624,25110973
(주)강원에너지,114190,2018/12,85905365,93845576,1708887,19740265,0,43641869,50203707,1.83,0,341329,5551803,23288846
(주)강원에너지,114190,2019/12,42549622,56602063,-35647438,3637753,0,35477506,21124556,-47.39,-5132.09,-17175963,11036729,26057831
(주)고려시멘트,198440,2014/12,,,,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,,,,
(주)고려시멘트,198440,2017/12,,,,,,,,,,,,
(주)고려시멘트,198440,2018/12,,,,,,,,,,,,
(주)고려시멘트,198440,2019/12,,,,,,,,,,,,
(주)고바이오랩,348150,2019/12,576519,35321574,-44066665,1278462,0,88945439,-53623865,,,-7351899,7639760,666370
(주)고영테크놀러지,098460,2011/12,86130810,87006201,15634438,6380037,0,17383474,69622726,19.83,-8.15,18820907,31057560,23702023
(주)고영테크놀러지,098460,2012/12,107841666,103351965,15221925,7690194,0,19950870,83401095,15.99,13.93,21443286,40048530,25494391
(주)고영테크놀러지,098460,2013/12,111902729,120951617,13933294,14728919,0,22632008,98319609,12.42,-21.78,16773438,45151797,26055617
(주)고영테크놀러지,098460,2014/12,142840131,141720465,22111066,19839993,0,25885224,115835240,16.84,67.86,28155311,54422413,33070591
(주)고영테크놀러지,098460,2015/12,145904431,158857627,23530903,26590403,0,27381980,131475647,15.66,-16.71,23449593,65558661,37022987
(주)고영테크놀러지,098460,2016/12,171793841,195121241,29723733,46315100,0,37853661,157267580,16.79,41.51,33184488,74753217,40229377
(주)고영테크놀러지,098460,2017/12,203368626,205207385,26734105,46011955,0,43890214,161317171,13.36,31.84,43748905,87720199,43850844
(주)고영테크놀러지,098460,2018/12,238208865,279059436,42309672,23211456,0,53192797,225866639,17.47,5.11,45983316,102888841,51495698
(주)고영테크놀러지,098460,2019/12,222057035,305481184,29559680,27196310,0,61812656,243668528,10.11,-27.51,33331312,107860718,79683935
(주)골드앤에스,035290,2011/12,47522791,46677146,1002287,146739,0,24240316,22436829,2.19,0,1295340,13406161,23200104
(주)골드앤에스,035290,2012/12,43889087,51950606,-6467495,3115314,0,26432789,25517817,-13.11,0,-2330876,15207506,25289350
(주)골드앤에스,035290,2013/12,39548810,51442505,-16837473,179423,0,38315150,13127355,-32.57,0,-6493110,17913933,35649528
(주)골드앤에스,035290,2014/12,31287203,46528474,-9319175,344315,0,34445853,12082621,-19.02,0,-3079598,10913085,31456254
(주)골드앤에스,035290,2015/12,22197935,24102094,-9502547,528314,0,8941840,15160254,-26.91,0,1143768,5854717,8737973
