회사명,거래소코드,회계년도,[제조]유동부채비율(IFRS),[제조]매출액순이익률(IFRS),[제조]총자본증가율(IFRS),[제조]순이익증가율(IFRS),[제조]CASH FLOW 대 매출액비율(IFRS),[제조]CASH FLOW 대 부채비율(IFRS),[제조]차입금의존도(IFRS),[제조]이자보상배율(이자비용)(IFRS),[제조]금융비용 대 총비용비율(IFRS),[제조]설비투자효율(IFRS),[제조]CASH FLOW 대 총자본비율(IFRS),[제조]자본금회전률(IFRS),[제조]총자본투자효율(IFRS),[제조]총자본회전률(IFRS),[제조]유동자산증가율(IFRS),[제조]매출액증가율(IFRS),[제조]매출액총이익률(IFRS),[제조]자기자본순이익률(IFRS),[제조]매출채권회전률(IFRS),[제조]재고자산회전률(IFRS),[제조]유형자산회전율(IFRS),[제조]매출원가 대 매출액비율(IFRS),[제조]부채비율(IFRS),[제조]유동비율(IFRS),[제조]자기자본배율(IFRS),[제조]당좌비율(IFRS),[제조]순운전자본비율(IFRS),[제조]현금비율(IFRS),[제조]타인자본회전률(IFRS),[제조]정상영업이익증가율(IFRS),[제조]총자본순이익률(IFRS)
(주)CMG제약,058820,2019/12,5.17,5.2,68.07,-49.69,3.16,15.35,0.15,303,-1.91,114.6,0.96,0.95,9.9,0.38,85.06,17.56,49.34,2.15,3.12,6.65,2.83,50.66,6.71,1618.07,259.42,1520.84,73.49,199.55,5.21,1.4,1.99
(주)ES큐브,050120,2019/12,101.49,-44.65,25.43,0,3.51,1.22,46.95,0.17,6.58,-62.01,0.74,0.68,-4.82,0.23,-16.37,-8.88,20.4,-21.14,10.35,55.45,2.66,79.6,152.04,44.35,126.09,43.49,-22.41,24.83,0.46,-15.01,-10.42
(주)가비아,079940,2019/12,37.46,7.99,19.69,68.48,19.3,38.93,17.27,19.48,-1.08,98.87,13.55,8.61,35.67,0.77,-26.03,5.54,40.72,8.96,20.09,0,1.82,59.28,53.4,67.14,799.13,67.14,-8.02,46.45,2.41,19.07,6.11
(주)강스템바이오텍,217730,2019/12,21.59,-8863.64,49.02,0,-3969.85,-40.31,19.62,-23.34,1.51,-385.59,-11.35,0.03,-16.76,0,13.76,-71.82,49.86,-42.09,0.54,1.05,0.02,50.14,39.21,327.75,588.19,327.53,35.32,32.42,0.01,0,-30.34
(주)강원에너지,114190,2019/12,120.35,-78.64,-38.51,0,-3.57,-4.71,20.74,-9.33,1.75,-264.68,-2.75,5.19,-40.87,0.59,-56.71,-50.47,-14.43,-92.7,1.53,128.45,4.74,114.43,140.6,110.09,262.61,109.66,5.05,12.48,1.17,0,-46.24
(주)고려시멘트,198440,2019/12,31.66,4.79,-0.39,-26.89,3.24,5.95,9.5,-1.08,-0.22,32.34,1.81,22.18,12.76,0.56,-6.73,-17.32,7.5,3.88,2.53,12.68,1.42,92.5,43.63,166.4,2765.65,141.61,14.64,15.86,1.78,0,2.67
(주)고영테크놀러지,098460,2019/12,13.69,16.57,10.01,-18.21,16.98,63.5,3.34,186.77,-0.77,214.8,11.55,30.57,23.85,0.71,-1.06,-4.7,61.05,14.42,2,10.26,6.18,38.95,22.22,664.27,3674.32,602.43,63.21,61.42,3.93,-13.29,11.8
(주)골드앤에스,035290,2019/12,0,-325.58,-62.1,0,-59.25,-21.47,112.14,-1.46,13.83,-438.94,-28.13,1.21,-100.82,0.26,-81.41,-11.95,17.66,0,6.44,8.55,1.02,82.34,0,18.65,0,16.28,-105.96,3.62,0.31,0,-84.97
(주)골드퍼시픽,038530,2019/12,239.48,-279.11,95.63,0,-24.59,-5.37,66.47,-0.89,0,-2778.35,-3.82,0.89,-34.62,0.21,29.31,102.89,29.09,-153.58,4.9,5.2,22.82,70.91,246.22,56.4,124.45,49.36,-30.16,12.59,0.33,0,-57.34
(주)골프존,215000,2019/12,26.47,8.24,19.75,-9.04,15.28,36.77,15.9,44.45,-0.52,82.18,11.98,76.19,28.69,0.85,-47.43,24.78,59.65,9.78,12.98,30.98,2.49,40.35,48.33,129.59,6550.31,115.92,5.28,12.58,3.06,24.46,7.04
